,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
22,Total  HC,2.24,2.17,2.16,2.16,2.14,2.04,2.04,2.04,2.05,2.05,2.04,2.04,2.03,2.02
23,Exhaust  CO,12.64,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56
24,Exhaust  NOx,1.26,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
25,DIESEL,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
26,Light-duty  vehicles,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
27,Exhaust  HC,0.77,0.79,0.81,0.81,0.82,0.80,0.76,0.73,0.73,0.60,0.58,0.48,0.36,0.29
28,Exhaust  CO,1.69,1.73,1.76,1.78,1.79,1.78,1.75,1.73,1.74,1.59,1.57,1.41,1.21,1.09
29,Exhaust  NOx,1.89,1.89,1.88,1.86,1.85,1.81,1.72,1.62,1.54,1.43,1.32,1.11,0.85,0.69
30,Light-duty  trucks,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
31,Exhaust  HC,1.67,1.69,1.63,1.51,1.42,1.02,0.88,0.96,0.97,0.98,0.80,0.79,0.63,0.55
32,Exhaust  CO,2.85,2.89,2.79,2.60,2.44,1.77,1.54,1.66,1.68,1.68,1.37,1.34,1.06,0.93
33,Exhaust  NOx,2.46,2.42,2.31,2.17,2.07,1.76,1.64,1.67,1.66,1.59,1.37,1.30,1.09,0.94
34,Heavy-duty  vehicles,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
35,Exhaust  HC,1.23,1.10,1.00,0.92,0.85,0.79,0.74,0.69,0.61,0.58,0.54,0.51,0.48,0.45
36,Exhaust  CO,6.32,5.73,5.23,4.80,4.43,4.10,3.82,3.58,3.37,3.19,3.05,2.90,2.66,2.31
37,Exhaust  NOx,20.49,20.24,20.04,19.84,19.14,18.05,16.68,15.52,13.92,12.50,11.45,10.55,9.60,8.61
38,"Average Emissions Per Vehicle, RFG and Diesel Fleet",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
39,Exhaust  HC,1.65,1.46,1.34,1.23,1.15,1.02,0.94,0.86,0.78,0.71,0.60,0.53,0.50,0.44
40,Nonexhaust  HC,0.86,0.84,0.82,0.80,0.78,0.62,0.60,0.58,0.57,0.54,0.52,0.49,0.46,0.42
41,Total  HC,2.51,2.30,2.16,2.03,1.93,1.64,1.55,1.44,1.35,1.26,1.12,1.02,0.95,0.87
42,Exhaust  CO,24.92,22.93,21.56,20.38,19.27,17.44,16.62,15.64,14.43,13.62,12.18,10.66,10.12,9.52
43,Exhaust  NOx,3.36,3.24,3.18,3.12,3.02,2.85,2.71,2.58,2.40,2.24,2.06,1.86,1.71,1.57
