,"Truck Container  2002  Total U.S.-Canadian border  6,820,052  Total top 5 gateways  4,544,669  Detroit, MI  1,668,496  Buffalo-Niagara, NY  1,208,096  Port Huron, MI  907,291  Blaine, WA  409,786  Champlain-Rouses Point, NY  351,000",Truck Container,2002,Total U.S.-Canadian border,"6,820,052",Total top 5 gateways,"4,544,669","Detroit, MI","1,668,496","Buffalo-Niagara, NY","1,208,096","Port Huron, MI","907,291","Blaine, WA","409,786","Champlain-Rouses Point, NY","351,000","Truck Container  2003  Total U.S.-Canadian border  6,606,307  Total top 5 gateways  4,397,004  Detroit, MI  1,588,769  Buffalo-Niagara, NY  1,162,950  Port Huron, MI  927,740  Champlain-Rouse Pt., NY  378,783  Blaine, WA  338,762",Truck Container.1,2003,Total U.S.-Canadian border.1,"6,606,307",Total top 5 gateways.1,"4,397,004","Detroit, MI.1","1,588,769","Buffalo-Niagara, NY.1","1,162,950","Port Huron, MI.1","927,740","Champlain-Rouse Pt., NY","378,783","Blaine, WA.1","338,762","Truck Container  2004  Total U.S.-Canadian border  6,775,388  Total top 5 gateways  4,520,932  Detroit, MI  1,638,062  Buffalo-Niagara, NY  1,175,884  Port Huron, MI  947,907  Champlain-Rouse Pt., NY  381,434  Blaine, WA  377,645",Truck Container.2,2004,Total U.S.-Canadian border.2,"6,775,388",Total top 5 gateways.2,"4,520,932","Detroit, MI.2","1,638,062","Buffalo-Niagara, NY.2","1,175,884","Port Huron, MI.2","947,907","Champlain-Rouse Pt., NY.1","381,434","Blaine, WA.2","377,645","Truck Container  2005  Total U.S.-Canadian border  6,775,444  Total top 5 gateways  4,472,799  Detroit, MI  1,678,177  Buffalo-Niagara, NY  1,142,274  Port Huron, MI  924,776  Champlain-Rouse Pt., NY  374,524  Blaine, WA  353,048",Truck Container.3,2005,Total U.S.-Canadian border.3,"6,775,444",Total top 5 gateways.3,"4,472,799","Detroit, MI.3","1,678,177","Buffalo-Niagara, NY.3","1,142,274","Port Huron, MI.3","924,776","Champlain-Rouse Pt., NY.2","374,524","Blaine, WA.3","353,048","Truck Container  2006  Total U.S.-Canadian border  6,669,623  Total top 5 gateways  4,412,181  Detroit, MI  1,715,969  Buffalo-Niagara, NY  1,118,120  Port Huron, MI  833,711  Champlain-Rouse Pt., NY  391,541  Blaine, WA  352,840",Truck Container.4,2006,Total U.S.-Canadian border.4,"6,669,623",Total top 5 gateways.4,"4,412,181","Detroit, MI.4","1,715,969","Buffalo-Niagara, NY.4","1,118,120","Port Huron, MI.4","833,711","Champlain-Rouse Pt., NY.3","391,541","Blaine, WA.4","352,840","Truck Container  2007  Total U.S.-Canadian border  6,365,752  Total top 5 gateways  4,306,192  Detroit, MI  1,725,426  Buffalo-Niagara, NY  1,088,469  Port Huron, MI  770,282  Champlain-Rouse Pt., NY  366,059  Blaine, WA  355,956",Truck Container.5,2007,Total U.S.-Canadian border.5,"6,365,752",Total top 5 gateways.5,"4,306,192","Detroit, MI.5","1,725,426","Buffalo-Niagara, NY.5","1,088,469","Port Huron, MI.5","770,282","Champlain-Rouse Pt., NY.4","366,059","Blaine, WA.5","355,956","Truck Container  2008  Total U.S.-Canadian border  5,782,214  Total top 5 gateways  3,827,225  Detroit, MI  1,482,250  Buffalo-Niagara, NY  981,329  Port Huron, MI  732,493  Champlain-Rouse Pt., NY  356,844  Blaine, WA  274,309",Truck Container.6,2008,Total U.S.-Canadian border.6,"5,782,214",Total top 5 gateways.6,"3,827,225","Detroit, MI.6","1,482,250","Buffalo-Niagara, NY.6","981,329","Port Huron, MI.6","732,493","Champlain-Rouse Pt., NY.5","356,844","Blaine, WA.6","274,309"
66,Total U.S.-Canadian border,1868245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Total top 5 gateways,1333244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Port Huron, MI",458551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Detroit, MI",254688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"International Falls, MN",252699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Portal, ND",217390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Buffalo-Niagara, NY",149916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Rail Container,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Total U.S.-Canadian border,1950909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Total top 5 gateways,1346724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Port Huron, MI",474175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"International Falls, MN",259165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Detroit, MI",234823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Portal, ND",224896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Buffalo-Niagara, NY",153665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Rail Container,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Total U.S.-Canadian border,1940557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Total top 5 gateways,1325479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Port Huron, MI",457275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"International Falls, MN",251118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Portal, ND",231832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Detroit, MI",231482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Buffalo-Niagara, NY",153772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Rail Container,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Total U.S.-Canadian border,1923787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Total top 5 gateways,1333105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Port Huron, MI",445269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"International Falls, MN",282784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Portal, ND",244988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Detroit, MI",218963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Buffalo-Niagara, NY",141101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Rail Container,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Total U.S.-Canadian border,1939876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Total top 5 gateways,1347207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Port Huron, MI",466569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"International Falls, MN",290852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Portal, ND",242220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Detroit, MI",213777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"Buffalo-Niagara, NY",133789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Rail Container,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Total U.S.-Canadian border,1898581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Total top 5 gateways,1329412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"Port Huron, MI",426661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"International Falls, MN",335442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Portal, ND",235589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Detroit, MI",210255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"Buffalo-Niagara, NY",121465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Truck Container  2009  Total U.S.-Canadian border  4,954,442  Total top 5 gateways  3,227,155  Detroit, MI  1,153,887  Buffalo-Niagara, NY  845,627  Port Huron, MI  623,549  Blaine, WA  310,962  Champlain-Rouse Pt., NY  293,130",Truck Container,2009.0,Total U.S.-Canadian border,4954442.0,Total top 5 gateways,3227155.0,"Detroit, MI",1153887.0,"Buffalo-Niagara, NY",845627.0,"Port Huron, MI",623549.0,"Blaine, WA",310962.0,"Champlain-Rouse Pt., NY",293130.0,"Truck Container  2010  Total U.S.-Canadian border  5,311,147  Total top 5 gateways  3,528,927  Detroit, MI  1,388,797  Buffalo-Niagara, NY  898,485  Port Huron, MI  658,350  Champlain-Rouse Pt., NY  292,834  Blaine, WA  290,461",Truck Container,2010.0,Total U.S.-Canadian border,5311147.0,Total top 5 gateways,3528927.0,"Detroit, MI",1388797.0,"Buffalo-Niagara, NY",898485.0,"Port Huron, MI",658350.0,"Champlain-Rouse Pt., NY",292834.0,"Blaine, WA",290461.0,"Truck Container  2011  Total U.S.-Canadian border  5,212,338  Total top 5 gateways  3,496,194  Detroit, MI  1,298,385  Buffalo-Niagara, NY  913,001  Port Huron, MI  665,194  Blaine, WA  335,956  Champlain-Rouse Pt., NY  283,658",Truck Container,2011.0,Total U.S.-Canadian border,5212338.0,Total top 5 gateways,3496194.0,"Detroit, MI",1298385.0,"Buffalo-Niagara, NY",913001.0,"Port Huron, MI",665194.0,"Blaine, WA",335956.0,"Champlain-Rouse Pt., NY",283658.0,"Truck Container  2012  Total U.S.-Canadian border  5,375,673  Total top 5 gateways  3,614,963  Detroit, MI  1,397,518  Buffalo-Niagara, NY  929,620  Port Huron, MI  679,095  Blaine, WA  327,315  Champlain-Rouse Pt., NY  281,415",Truck Container,2012.0,Total U.S.-Canadian border,5375673.0,Total top 5 gateways,3614963.0,"Detroit, MI",1397518.0,"Buffalo-Niagara, NY",929620.0,"Port Huron, MI",679095.0,"Blaine, WA",327315.0,"Champlain-Rouse Pt., NY",281415.0,"Truck Container  2013  Total U.S.-Canadian border  5,456,616  Total top 5 gateways  3,762,608  Detroit, MI  1,513,095  Buffalo-Niagara, NY  919,904  Port Huron, MI  723,725  Blaine, WA  325,266  Champlain-Rouse Pt., NY  280,618",Truck Container,2013.0,Total U.S.-Canadian border,5456616.0,Total top 5 gateways,3762608.0,"Detroit, MI",1513095.0,"Buffalo-Niagara, NY",919904.0,"Port Huron, MI",723725.0,"Blaine, WA",325266.0,"Champlain-Rouse Pt., NY",280618.0,"Truck Container  2014  Total U.S.-Canadian border  5,579,788  Total top 5 gateways  3,852,285  Detroit, MI  1,475,518  Buffalo-Niagara, NY  954,145  Port Huron, MI  768,121  Blaine, WA  367,979  Champlain-Rouse Pt., NY  286,522",Truck Container,2014.0,Total U.S.-Canadian border,5579788.0,Total top 5 gateways,3852285.0,"Detroit, MI",1475518.0,"Buffalo-Niagara, NY",954145.0,"Port Huron, MI",768121.0,"Blaine, WA",367979.0,"Champlain-Rouse Pt., NY",286522.0,"Truck Container  2015  Total U.S.-Canadian border  5,864,339  Total top 5 gateways  4,062,964  Detroit, MI  1,831,969  Buffalo-Niagara, NY  873,973  Port Huron, MI  790,103  Blaine, WA  289,825  Champlain-Rouse Pt., NY  277,094",Truck Container,2015.0,Total U.S.-Canadian border,5864339.0,Total top 5 gateways,4062964.0,"Detroit, MI",1831969.0,"Buffalo-Niagara, NY",873973.0,"Port Huron, MI",790103.0,"Blaine, WA",289825.0,"Champlain-Rouse Pt., NY",277094.0
114,Truck Container,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Total U.S.-Canadian border,4954442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Total top 5 gateways,3227155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Detroit, MI",1153887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Buffalo-Niagara, NY",845627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Port Huron, MI",623549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Blaine, WA",310962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Champlain-Rouse Pt., NY",293130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Truck Container,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Total U.S.-Canadian border,5311147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Total top 5 gateways,3528927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Detroit, MI",1388797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Buffalo-Niagara, NY",898485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"Port Huron, MI",658350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Champlain-Rouse Pt., NY",292834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"Blaine, WA",290461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Truck Container,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Total U.S.-Canadian border,5212338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Total top 5 gateways,3496194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"Detroit, MI",1298385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Buffalo-Niagara, NY",913001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"Port Huron, MI",665194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"Blaine, WA",335956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Champlain-Rouse Pt., NY",283658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Truck Container,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Total U.S.-Canadian border,5375673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Total top 5 gateways,3614963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Detroit, MI",1397518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Buffalo-Niagara, NY",929620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Port Huron, MI",679095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"Blaine, WA",327315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
