,Â,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
37,Commuter rail,33.6,33.4,22.9,28.6,39.0,25.8,14.8,24.1,27.6,25.7,22.1,24.9,2.7,6.2,6.5,10.3,5.0,7.6,12.0,6.3,5.1,4.0,6.5,5.6,6.5
38,Demand responsive,0.0,2.8,0.0,2.6,2.1,0.9,2.8,1.5,1.3,0.6,2.2,1.5,0.0,0.5,0.0,3.6,3.6,4.4,1.6,0.3,0.4,0.1,0.7,1.2,1.1
39,Van pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,1.3,0.0,0.0,2.3,0.6,0.0,0.5,0.9,0.0
40,Automated guideway,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,20.0
41,"Injured persons, all modesd",804.0,831.0,863.0,871.0,811.0,846.0,881.0,794.0,753.0,742.0,738.0,688.0,252.0,334.0,249.0,262.0,258.0,275.0,204.0,201.0,214.0,194.0,178.0,214.0,222.0
42,Motor busc,1132.0,1145.0,1218.0,1234.0,1155.0,1227.0,1258.0,1172.0,1132.0,1106.0,1088.0,1022.0,376.0,475.0,379.0,388.0,389.0,415.0,304.0,290.0,325.0,358.0,337.0,386.0,395.0
43,Light rail,1933.0,1735.0,1654.0,1318.0,968.0,1030.0,1815.0,785.0,767.0,889.0,798.0,580.0,293.0,302.0,386.0,398.0,357.0,466.0,320.0,595.0,581.0,383.0,311.0,163.0,223.0
44,Heavy rail,56.0,59.0,52.0,71.0,59.0,65.0,79.0,60.0,46.0,50.0,71.0,98.0,14.0,35.0,25.0,13.0,14.0,16.0,9.0,139.0,92.0,13.0,17.0,17.0,16.0
45,Commuter rail,45.0,297.0,59.0,102.0,103.0,73.0,105.0,46.0,27.0,22.0,21.0,42.0,20.0,40.0,18.0,97.0,35.0,21.0,65.0,18.0,13.0,18.0,12.0,17.0,21.0
46,Demand responsive,386.0,282.0,324.0,292.0,425.0,361.0,349.0,372.0,313.0,379.0,485.0,331.0,117.0,443.0,86.0,143.0,191.0,211.0,125.0,47.0,20.0,25.0,26.0,109.0,123.0
47,Van pool,208.0,430.0,103.0,363.0,132.0,123.0,101.0,158.0,121.0,75.0,94.0,70.0,77.0,33.0,64.0,28.0,61.0,29.0,20.0,29.0,18.0,8.0,8.0,23.0,9.0
48,Automated guideway,0.0,0.0,0.0,104.0,85.0,0.0,0.0,70.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,56.0,0.0,0.0,1320.0,0.0,20.0,20.0,0.0
49,"Accidents, all modesd",2329.0,1875.0,1450.0,1205.0,1161.0,980.0,966.0,922.0,845.0,796.0,808.0,773.0,453.0,254.0,250.0,263.0,287.0,262.0,107.0,106.0,108.0,98.0,89.0,113.0,120.0
50,Motor busc,3315.0,2678.0,2031.0,1692.0,1631.0,1400.0,1389.0,1338.0,1252.0,1166.0,1184.0,1141.0,668.0,358.0,362.0,377.0,418.0,386.0,153.0,145.0,154.0,169.0,156.0,189.0,198.0
51,Light rail,2906.0,2456.0,2121.0,1639.0,1516.0,897.0,910.0,891.0,758.0,624.0,687.0,654.0,925.0,874.0,773.0,928.0,886.0,778.0,225.0,313.0,313.0,234.0,217.0,136.0,193.0
52,Heavy rail,27.0,36.0,118.0,128.0,142.0,119.0,64.0,58.0,52.0,69.0,61.0,54.0,29.0,24.0,27.0,18.0,20.0,22.0,11.0,93.0,134.0,17.0,23.0,20.0,16.0
53,Commuter rail,93.0,132.0,96.0,101.0,127.0,100.0,99.0,89.0,80.0,86.0,102.0,92.0,35.0,35.0,33.0,25.0,27.0,44.0,37.0,46.0,48.0,41.0,28.0,20.0,27.0
54,Demand response,2177.0,1147.0,928.0,682.0,702.0,591.0,714.0,661.0,423.0,516.0,557.0,476.0,165.0,141.0,108.0,127.0,182.0,72.0,83.0,35.0,14.0,17.0,17.0,76.0,83.0
55,Van pool,1052.0,944.0,278.0,744.0,198.0,289.0,314.0,485.0,408.0,263.0,301.0,380.0,61.0,16.0,48.0,170.0,42.0,36.0,7.0,10.0,6.0,6.0,5.0,9.0,5.0
56,Automated guideway,162.0,204.0,102.0,104.0,85.0,87.0,69.0,209.0,207.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,111.0,56.0,0.0,71.0,73.0,0.0,20.0,20.0,20.0
