,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
38,Total certificated d,40049616,148137370,267972557,472235647,537517899,558793663,596163697,622183960,634933003,668625907,708419249,664849159,653194267,673822798,752064559,795117359,810106273
39,Average passenger revenue / passenger-mile 5,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
40,"(Domestic, scheduled service)",6.09,6.00,11.49,13.44,13.25,12.90,13.81,13.19,13.55,13.82,13.92,14.11,13.97,(R) 14.57,13.26,12.10,12.51
41,Average passenger fare 5,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
42,"(Domestic, scheduled service)",30.01,40.65,84.60,107.96,106.82,103.99,110.37,103.77,107.14,110.81,113.31,114.58,115.10,(R) 121.33,111.68,103.93,108.43
43,Revenue passenger enplanements (thousands) 4,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
44,Domestic,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
45,"Certificated, all services a,d",56352,153662,275182,428769,489357,506775,538397,553160,566377,589168,616397,574882,564552,596871,645674,674061,675212
46,"Majors, all services",48678,122866,223237,411797,428329,432076,466743,482656,486902,502305,537377,496455,468938,453112,487525,523288,567108
47,"Nationals, all services",5949,26726,47145,13374,46461,57670,58383,59690,67237,80995,75156,75600,81722,112715,132037,131142,87167
48,"Large regionals, all services",N,N,3748,3190,8854,10127,9122,9665,10276,4234,2444,1383,1338,3542,6623,7930,9383
49,International,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
50,"Certificated, all services a,d",5904,16620,26514,46121,51330,52863,54519,56759,57758,57694,60830,56641,56904,58837,67479,73090,75449
51,"Majors, all services",N,N,23949,43871,42701,43590,46304,48615,49608,49769,53157,50097,50637,50202,57929,63203,67009
52,"Nationals, all services",N,N,2343,964,6183,7235,7402,6887,6228,6274,5273,5664,5471,6868,6931,8309,7676
53,"Large regionals, all services",N,N,149,825,2168,1790,405,631,1751,1322,2151,779,718,1600,2379,1290,364
54,"Other certificated, all services, domestic and international d",N,N,1125,871,5992,7150,4558,1776,2133,1964,1668,1546,12631,27669,19729,11989,11953
55,Total certificated d,62256,169922,302821,474891,540688,559638,592916,609919,624135,646863,677227,631522,621456,655708,713153,747151,750660
56,Revenue passenger  Load factor (%) (scheduled service) 4,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
57,Domestic,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
58,"Certificated  a,d",58.5,48.9,58.0,60.4,64.7,65.4,67.9,69.1,70.0,69.8,71.2,69.1,70.3,72.6,74.4,77.0,79.0
59,Majors,59.5,49.3,58.1,60.5,65.0,65.8,68.5,69.6,70.4,70.2,71.6,69.3,70.6,72.9,74.8,77.7,79.4
60,Nationals,41.9,43.6,58.4,49.4,63.6,61.8,62.0,63.1,65.1,66.4,66.5,67.0,68.2,72.5,73.6,74.4,77.2
61,Large regionals,N,N,47.7,54.7,56.3,63.0,58.1,61.9,63.5,58.7,46.8,71.3,60.4,71.2,70.3,70.1,72.6
62,International,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
63,"Certificated  a,d",62.2,53.0,62.8,69.1,70.6,71.8,73.3,74.1,72.8,74.4,76.0,72.8,76.6,76.5,79.1,79.5,79.9
64,Majors,N,N,62.8,69.0,70.8,72.2,73.7,74.4,72.9,74.5,76.1,72.9,76.8,76.8,79.3,79.8,80.3
65,Nationals,N,N,65.5,85.7,68.3,67.9,67.8,69.6,70.9,73.7,73.4,70.0,68.3,64.8,70.4,71.4,70.8
66,Large regionals,N,N,73.9,63.9,46.2,53.1,N,57.2,46.0,0.0,58.0,67.0,59.1,70.4,77.6,0.0,64.3
67,"Other certificated, all services, domestic and international d",N,N,46.7,56.8,57.6,52.5,62.8,59.3,49.6,47.6,48.8,52.2,61.4,60.1,58.9,51.4,52.9
68,"U.S. international passenger travel e,6",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
69,Total passenger-arrivals (thousands)  Flag of carrier,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
70,United States,1332,5531,10031,19145,23291,24582,25148,26744,27390,27462,29837,27985,26953,26557,29992,31657,33364
71,Foreign,1234,4343,10231,17269,20527,22328,24704,27571,28791,30324,32380,28715,26912,27395,29591,29042,29587
72,Total passenger-departures (thousands)  Flag of carrier,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
73,United States,1200,4949,9369,17628,21355,22231,22901,24302,24513,25457,27431,25483,23610,24070,27249,29668,31492
74,Foreign,1136,4147,9886,16418,18993,20795,22884,25382,26350,28399,30068,27111,24996,25897,28682,28877,27985
75,"Total revenue ton-miles (thousands) f, 4",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
76,Domestic,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
77,"Certificated, all services a,d",3732949,13876802,24964907,43654400,50632739,52916214,56326750,58920010,60165036,63032298,66544502,61834963,62051071,65753373,72240509,74117030,74923193
78,"Majors, all services",3332483,12589057,21427534,42027064,44952734,46142919,49892293,52478725,53424348,55599788,59095406,54883338,54411945,54251883,58514663,61959817,65627369
79,"Nationals, all services",121157,850477,3336057,640398,3967715,4957793,5073195,5068024,5299740,6577361,6699944,6211281,6073565,8192062,11142320,10131320,7860786
80,"Large regionals, all services",N,N,180042,944830,1256308,1353436,1048507,1231075,1161148,611809,628394,597407,684963,1584694,1193008,1136544,1200010
81,International,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
82,"Certificated, all services a,d",1291336,6308701,9689067,19975913,24879793,26296958,28177722,30950867,31192066,32810134,35161434,32782793,33771616,35168498,40923680,44696422,45806946
83,"Majors, all services",N,N,7377733,18348692,20681990,21456604,22705604,24971379,25794347,27764444,30683566,28459230,28020656,27099570,30614976,32690861,34565570
84,"Nationals, all services",N,N,2261534,803083,2935386,3509127,4504772,4557048,4109500,3989939,3749703,3868703,5090922,7101794,8820202,9980412,9229784
85,"Large regionals, all services",N,N,44438,704369,918447,1186218,668766,1038610,1211260,993874,621161,303700,636385,812738,1256237,1421590,1618112
86,"Other certificated, all services, domestic and international d",N,N,28178,161878,799950,607077,611336,526016,356761,305217,227762,294098,904251,1879129,1622782,1492908,628507
87,Total certificated d,5024285,20185503,34682153,63630313,75512531,79213173,84504472,89870877,91357103,95842432,101705936,94617756,95822687,100921870,113164189,118813452,120730139
88,"Revenue ton-miles of freight (thousands) g,4",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
89,Domestic,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
90,"Certificated, all services a,d",552756,2708900,4528316,9067099,11802776,12524772,12860845,13640994,13886053,14201505,14982612,13172867,13931509,15231204,16451441,15741236,15859729
91,"Majors, all services",321176,U,3129087,7964164,9746353,10071016,10382373,11172436,11302581,11555576,11866926,10834520,11771815,11835383,12312098,12139755,12900706
92,"Nationals, all services",3850,U,1289510,374853,1227775,1588798,2033376,1869146,1889221,2240026,2743705,1856834,1205023,1401369,2696425,2280772,2310348
93,"Large regionals, all services",N,N,108864,716256,664768,787828,411285,549046,561109,296660,356013,422682,510401,1225120,601447,651532,624594
94,International,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
95,"Certificated, all services a,d",268156,1566105,3353371,7340033,9970191,10855442,12031635,14015255,13980493,14782230,15880424,14948684,16572205,18308387,21506293,23560482,23859784
96,"Majors, all services",N,N,1945660,6157984,7352000,7717612,8172522,9614884,10054447,11132370,12524975,11525689,11663007,11472799,12636132,13127294,13898610
97,"Nationals, all services",N,N,1395575,487873,1641444,2004875,3041774,3195422,2892634,2838536,2970370,3097665,4410564,6202264,7710029,8568375,8022366
98,"Large regionals, all services",N,N,11409,605504,671144,1017649,618232,962529,985159,790413,298069,185111,482784,491619,936234,1268703,1578680
99,"Other certificated, all services, domestic and international d",N,N,3124,100498,469484,192437,232918,292786,181393,130155,102978,199051,460121,911037,1065369,1265286,384208
100,Total certificated d,820907,3755436,7884811,16407132,21772967,23380215,24892480,27656249,27866545,28983735,30863036,28121551,30503714,33539592,37957734,39301718,39719513
