,Urban area,Population group,Gallons wasted,Percent changea,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
0,Short-term  2009-2014,Long-term  1982-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(R) 1982,(R) 1985,(R) 1990,(R) 1991,(R) 1992,(R) 1993,(R) 1994,(R) 1995,(R) 1996,(R) 1997,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012.0,2013.0,2014.0,Percent,Rank,Percent,Rank,,
67,"Oxnard-Ventura, CA",Small,1,1,2,2,2,2,3,3,3,4,4,5,5,5,6,6,7,7,8,8,8,7,7.0,8.0,8.0,8,8,8.0,61,700.0,25.0
68,"Pensacola, FL-AL",Small,2,3,5,5,6,7,7,8,9,10,11,12,12,13,14,15,16,17,18,18,18,17,17.0,17.0,17.0,18,18,5.6,72,800.0,17.0
69,"Philadelphia, PA-NJ-DE-MD",Very large,6,8,10,11,11,12,13,14,14,15,16,17,19,20,22,23,24,24,24,24,23,23,23.0,23.0,23.0,23,23,0.0,88,283.3,87.0
70,"Phoenix, AZ",Very large,5,6,8,8,9,9,10,10,11,12,13,15,16,17,18,19,20,22,23,24,24,22,23.0,23.0,24.0,24,25,13.0,37,400.0,63.0
71,"Pittsburgh, PA",Large,5,6,11,12,12,13,14,14,15,15,15,16,17,18,18,18,18,19,19,20,19,18,19.0,20.0,20.0,20,21,15.8,20,320.0,80.0
72,"Portland, OR-WA",Large,5,6,8,9,9,10,11,12,13,14,15,16,17,19,20,20,21,22,22,23,23,23,25.0,26.0,28.0,28,29,27.3,5,480.0,56.0
73,"Poughkeepsie-Newburgh, NY",Small,3,4,6,7,7,7,7,7,8,8,9,9,9,10,11,12,14,14,15,15,16,15,15.0,16.0,16.0,16,17,13.3,32,466.7,58.0
74,"Providence, RI-MA",Large,3,4,7,8,9,10,10,11,12,13,15,16,17,18,19,19,20,20,20,20,20,20,20.0,21.0,21.0,21,21,5.0,79,600.0,37.0
75,"Provo, UT",Medium,2,3,4,5,5,5,7,7,7,8,8,9,9,10,10,11,12,12,13,13,13,12,12.0,13.0,14.0,15,15,23.1,11,650.0,30.0
76,"Raleigh-Durham, NC",Medium,1,2,4,4,4,4,5,5,6,6,7,8,9,9,10,11,11,11,12,12,12,12,13.0,13.0,13.0,13,13,8.3,58,1200.0,5.0
77,"Richmond, VA",Large,2,3,4,5,5,5,6,6,6,6,7,7,7,8,9,10,11,12,12,13,13,13,13.0,13.0,14.0,14,14,8.3,58,600.0,37.0
78,"Riverside-San Bernardino, CA",Large,2,3,5,6,7,7,7,8,8,8,9,10,11,11,13,14,15,16,17,17,17,16,17.0,17.0,17.0,18,18,11.8,41,800.0,17.0
79,"Rochester, NY",Medium,5,6,9,10,10,10,11,12,13,13,13,14,14,15,16,17,19,20,20,21,19,20,20.0,20.0,20.0,20,20,0.0,88,300.0,83.0
80,"Sacramento, CA",Large,3,3,6,6,7,7,8,8,9,9,10,11,12,13,14,16,17,17,18,19,18,18,18.0,18.0,18.0,19,19,5.6,72,533.3,50.0
81,"Salem, OR",Small,2,3,8,8,9,9,10,10,10,11,12,13,14,16,18,19,20,21,22,22,22,21,21.0,21.0,21.0,21,21,0.0,88,950.0,11.0
82,"Salt Lake City, UT",Large,3,4,6,6,6,7,7,8,9,10,11,12,14,15,16,17,18,18,19,19,19,19,19.0,20.0,21.0,21,22,15.8,20,633.3,34.0
83,"San Antonio, TX",Large,3,4,5,6,6,7,8,9,10,11,12,12,13,14,14,15,15,16,17,17,17,16,17.0,18.0,19.0,19,20,23.5,9,566.7,46.0
84,"San Diego, CA",Very large,2,2,4,4,5,5,5,6,6,7,7,8,8,9,9,10,10,10,10,11,11,10,10.0,11.0,11.0,11,11,10.0,49,450.0,59.0
85,"San Francisco-Oakland, CA",Very large,14,17,21,21,22,23,24,25,26,27,27,28,29,29,29,30,31,31,32,32,32,30,31.0,31.0,32.0,33,33,9.4,55,135.7,96.0
86,"San Jose, CA",Large,4,6,9,10,10,11,11,12,12,13,14,15,16,17,18,19,19,20,21,21,22,21,23.0,25.0,26.0,27,28,33.3,3,600.0,37.0
87,"San Juan, PR",Large,2,4,7,8,8,9,11,12,12,12,13,14,16,17,19,21,22,22,22,22,21,22,23.0,23.0,24.0,24,24,9.1,56,1100.0,9.0
88,"Sarasota-Bradenton, FL",Medium,3,4,5,6,6,6,7,7,7,8,8,9,9,10,10,10,11,11,12,12,12,11,11.0,12.0,12.0,12,12,8.3,58,300.0,83.0
89,"Seattle, WA",Very large,6,8,11,12,13,13,14,14,15,16,17,18,19,20,21,23,24,24,25,25,25,25,26.0,26.0,27.0,28,28,12.0,40,366.7,71.0
90,"Spokane, WA",Small,5,6,8,10,10,11,12,13,13,14,15,16,17,17,18,20,21,21,22,22,22,22,22.0,22.0,22.0,23,23,4.5,84,360.0,72.0
91,"Springfield, MA-CT",Medium,5,7,9,10,11,11,12,13,13,14,15,15,16,16,16,17,17,18,18,18,19,18,18.0,18.0,19.0,19,19,5.6,72,280.0,88.0
