,"Truck Container  2002  Total U.S.-Mexican border  4,434,441  Total top 5 gateways  3,556,930  Laredo, TX  1,437,580  Otay Mesa/San Ysidro, CA  726,318  El Paso, TX  714,931  Hidalgo, TX  386,985  Calexico East, CA  291,116",Truck Container,2002,Total U.S.-Mexican border,"4,434,441",Total top 5 gateways,"3,556,930","Laredo, TX","1,437,580","Otay Mesa/San Ysidro, CA","726,318","El Paso, TX","714,931","Hidalgo, TX","386,985","Calexico East, CA","291,116","Truck Container  2003  Total U.S.-Mexican border  4,293,226  Total top 5 gateways  3,444,994  Laredo, TX  1,345,099  Otay Mesa/San Ysidro, CA  711,526  El Paso, TX  665,422  Hidalgo, TX  405,238  Calexico East, CA  317,709",Truck Container.1,2003,Total U.S.-Mexican border.1,"4,293,226",Total top 5 gateways.1,"3,444,994","Laredo, TX.1","1,345,099","Otay Mesa/San Ysidro, CA.1","711,526","El Paso, TX.1","665,422","Hidalgo, TX.1","405,238","Calexico East, CA.1","317,709","Truck Container  2004  Total U.S.-Mexican border  4,512,900  Total top 5 gateways  3,621,641  Laredo, TX  1,387,648  Otay Mesa/San Ysidro, CA  726,166  El Paso, TX  717,245  Hidalgo, TX  453,222  Calexico East, CA  337,360",Truck Container.2,2004,Total U.S.-Mexican border.2,"4,512,900",Total top 5 gateways.2,"3,621,641","Laredo, TX.2","1,387,648","Otay Mesa/San Ysidro, CA.2","726,166","El Paso, TX.2","717,245","Hidalgo, TX.2","453,222","Calexico East, CA.2","337,360","Truck Container  2005  Total U.S.-Mexican border  4,677,562  Total top 5 gateways  3,740,341  Laredo, TX  1,455,504  Otay Mesa/San Ysidro, CA  744,278  El Paso, TX  734,851  Hidalgo, TX  494,572  Calexico East, CA  311,136",Truck Container.3,2005,Total U.S.-Mexican border.3,"4,677,562",Total top 5 gateways.3,"3,740,341","Laredo, TX.3","1,455,504","Otay Mesa/San Ysidro, CA.3","744,278","El Paso, TX.3","734,851","Hidalgo, TX.3","494,572","Calexico East, CA.3","311,136","Truck Container  2006  Total U.S.-Mexican border  4,740,407  Total top 5 gateways  3,777,395  Laredo, TX  1,518,819  El Paso, TX  757,795  Otay Mesa/San Ysidro, CA  748,146  Hidalgo, TX  462,859  Nogales, AZ  289,776",Truck Container.4,2006,Total U.S.-Mexican border.4,"4,740,407",Total top 5 gateways.4,"3,777,395","Laredo, TX.4","1,518,819","El Paso, TX.4","757,795","Otay Mesa/San Ysidro, CA.4","748,146","Hidalgo, TX.4","462,859","Nogales, AZ","289,776","Truck Container  2007  Total U.S.-Mexican border  4,852,936  Total top 5 gateways  3,881,283  Laredo, TX  1,563,860  El Paso, TX  759,319  Otay Mesa/San Ysidro, CA  735,305  Hidalgo, TX  496,413  Calexico East, CA  326,386",Truck Container.5,2007,Total U.S.-Mexican border.5,"4,852,936",Total top 5 gateways.5,"3,881,283","Laredo, TX.5","1,563,860","El Paso, TX.5","759,319","Otay Mesa/San Ysidro, CA.5","735,305","Hidalgo, TX.5","496,413","Calexico East, CA.4","326,386","Truck Container  2008  Total U.S.-Mexican border  4,844,250  Total top 5 gateways  3,882,764  Laredo, TX  1,555,414  Otay Mesa/San Ysidro, CA  774,195  El Paso, TX  752,574  Hidalgo, TX  477,014  Calexico East, CA  323,567",Truck Container.6,2008,Total U.S.-Mexican border.6,"4,844,250",Total top 5 gateways.6,"3,882,764","Laredo, TX.6","1,555,414","Otay Mesa/San Ysidro, CA.6","774,195","El Paso, TX.6","752,574","Hidalgo, TX.6","477,014","Calexico East, CA.5","323,567"
67,Total top 5 gateways,596773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Laredo, TX",313244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Brownsville, TX",98622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Eagle Pass, TX",88329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"El Paso, TX",50893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Nogales, AZ",45685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Rail Container,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Total U.S.-Mexican border,675305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Total top 5 gateways,660214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Laredo, TX",317061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"El Paso, TX",110992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Brownsville, TX",97803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Eagle Pass, TX",87459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Nogales, AZ",46899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Rail Container,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Total U.S.-Mexican border,728559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Total top 5 gateways,710238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Laredo, TX",316402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"El Paso, TX",143741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Brownsville, TX",105175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Eagle Pass, TX",98089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Nogales, AZ",46831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Rail Container,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Total U.S.-Mexican border,803291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Total top 5 gateways,788472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Laredo, TX",332950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"El Paso, TX",185614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Eagle Pass, TX",112521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Brownsville, TX",97572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Nogales, AZ",59815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Rail Container,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Total U.S.-Mexican border,813511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Total top 5 gateways,797481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Laredo, TX",341856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"El Paso, TX",179076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Eagle Pass, TX",134041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Brownsville, TX",90139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"Nogales, AZ",52369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Rail Container,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Total U.S.-Mexican border,776385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Total top 5 gateways,762740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"Laredo, TX",328592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"El Paso, TX",160795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Eagle Pass, TX",142377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Brownsville, TX",75419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"Nogales, AZ",55557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Truck Container  2009  Total U.S.-Mexican border  4,278,741  Total top 5 gateways  3,408,198  Laredo, TX  1,382,455  Otay Mesa/San Ysidro, CA  686,119  El Paso, TX  639,896  Hidalgo, TX  420,646  Nogales, AZ  279,082",Truck Container,2009.0,Total U.S.-Mexican border,4278741.0,Total top 5 gateways,3408198.0,"Laredo, TX",1382455.0,"Otay Mesa/San Ysidro, CA",686119.0,"El Paso, TX",639896.0,"Hidalgo, TX",420646.0,"Nogales, AZ",279082.0,"Truck Container  2010  Total U.S.-Mexican border  4,709,137  Total top 5 gateways  3,765,646  Laredo, TX  1,573,315  Otay Mesa/San Ysidro, CA  731,960  El Paso, TX  689,305  Hidalgo, TX  459,698  Nogales, AZ  311,368",Truck Container,2010.0,Total U.S.-Mexican border,4709137.0,Total top 5 gateways,3765646.0,"Laredo, TX",1573315.0,"Otay Mesa/San Ysidro, CA",731960.0,"El Paso, TX",689305.0,"Hidalgo, TX",459698.0,"Nogales, AZ",311368.0,"Truck Container  2011  Total U.S.-Mexican border  4,797,940  Total top 5 gateways  3,845,841  Laredo, TX  1,695,576  Otay Mesa/San Ysidro, CA  747,531  El Paso, TX  630,469  Hidalgo, TX  459,028  Calexico East, CA  313,237",Truck Container,2011.0,Total U.S.-Mexican border,4797940.0,Total top 5 gateways,3845841.0,"Laredo, TX",1695576.0,"Otay Mesa/San Ysidro, CA",747531.0,"El Paso, TX",630469.0,"Hidalgo, TX",459028.0,"Calexico East, CA",313237.0,"Truck Container  2012  Total U.S.-Mexican border  5,083,126  Total top 5 gateways  4,088,740  Laredo, TX  1,760,041  Otay Mesa/San Ysidro, CA  781,335  El Paso, TX  735,018  Hidalgo, TX  475,318  Calexico East, CA  337,028",Truck Container,2012.0,Total U.S.-Mexican border,5083126.0,Total top 5 gateways,4088740.0,"Laredo, TX",1760041.0,"Otay Mesa/San Ysidro, CA",781335.0,"El Paso, TX",735018.0,"Hidalgo, TX",475318.0,"Calexico East, CA",337028.0,"Truck Container  2013  Total U.S.-Mexican border  5,031,783  Total top 5 gateways  4,041,207  Laredo, TX  1,820,187  Otay Mesa/San Ysidro, CA  770,120  El Paso, TX  652,660  Hidalgo, TX  485,980  Nogales, AZ  312,260",Truck Container,2013.0,Total U.S.-Mexican border,5031783.0,Total top 5 gateways,4041207.0,"Laredo, TX",1820187.0,"Otay Mesa/San Ysidro, CA",770120.0,"El Paso, TX",652660.0,"Hidalgo, TX",485980.0,"Nogales, AZ",312260.0,"Truck Container  2014  Total U.S.-Mexican border  5,313,783  Total top 5 gateways  4,285,646  Laredo, TX  1,923,085  Otay Mesa/San Ysidro, CA  813,099  El Paso, TX  696,611  Hidalgo, TX  520,087  Nogales, AZ  332,764",Truck Container,2014.0,Total U.S.-Mexican border,5313783.0,Total top 5 gateways,4285646.0,"Laredo, TX",1923085.0,"Otay Mesa/San Ysidro, CA",813099.0,"El Paso, TX",696611.0,"Hidalgo, TX",520087.0,"Nogales, AZ",332764.0,"Truck Container  2015  Total U.S.-Mexican border  5,536,865  Total top 5 gateways  4,486,128  Laredo, TX  1,992,876  Otay Mesa/San Ysidro, CA  831,645  El Paso, TX  763,939  Hidalgo, TX  551,134  Calexico East, CA  346,534",Truck Container,2015.0,Total U.S.-Mexican border,5536865.0,Total top 5 gateways,4486128.0,"Laredo, TX",1992876.0,"Otay Mesa/San Ysidro, CA",831645.0,"El Paso, TX",763939.0,"Hidalgo, TX",551134.0,"Calexico East, CA",346534.0
114,Truck Container,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Total U.S.-Mexican border,4278741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Total top 5 gateways,3408198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Laredo, TX",1382455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Otay Mesa/San Ysidro, CA",686119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"El Paso, TX",639896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Hidalgo, TX",420646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Nogales, AZ",279082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Truck Container,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Total U.S.-Mexican border,4709137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Total top 5 gateways,3765646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Laredo, TX",1573315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Otay Mesa/San Ysidro, CA",731960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"El Paso, TX",689305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Hidalgo, TX",459698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"Nogales, AZ",311368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Truck Container,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Total U.S.-Mexican border,4797940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Total top 5 gateways,3845841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"Laredo, TX",1695576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Otay Mesa/San Ysidro, CA",747531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"El Paso, TX",630469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"Hidalgo, TX",459028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Calexico East, CA",313237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Truck Container,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Total U.S.-Mexican border,5083126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Total top 5 gateways,4088740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Laredo, TX",1760041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Otay Mesa/San Ysidro, CA",781335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"El Paso, TX",735018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"Hidalgo, TX",475318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"Calexico East, CA",337028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Truck Container,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
