,"Truck  2002  Total U.S.-Canadian border  6,915,973  Total top 5 gateways  4,567,704  Detroit, MI  1,670,565  Buffalo-Niagara, NY  1,208,095  Port Huron, MI  907,729  Blaine, WA  410,256  Champlain-Rouses Point, NY  371,059",Truck,2002,Total U.S.-Canadian border,"6,915,973",Total top 5 gateways,"4,567,704","Detroit, MI","1,670,565","Buffalo-Niagara, NY","1,208,095","Port Huron, MI","907,729","Blaine, WA","410,256","Champlain-Rouses Point, NY","371,059","Truck  2003  Total U.S.-Canadian border  6,735,737  Total top 5 gateways  4,478,405  Detroit, MI  1,634,319  Buffalo-Niagara, NY  1,162,961  Port Huron, MI  928,074  Champlain-Rouse Pt., NY  387,962  Blaine, WA  365,089",Truck.1,2003,Total U.S.-Canadian border.1,"6,735,737",Total top 5 gateways.1,"4,478,405","Detroit, MI.1","1,634,319","Buffalo-Niagara, NY.1","1,162,961","Port Huron, MI.1","928,074","Champlain-Rouse Pt., NY","387,962","Blaine, WA.1","365,089","Truck  2004  Total U.S.-Canadian border  6,903,882  Total top 5 gateways  4,591,686  Detroit, MI  1,701,452  Buffalo-Niagara, NY  1,175,254  Port Huron, MI  945,962  Champlain-Rouse Pt., NY  397,317  Blaine, WA  371,701",Truck.2,2004,Total U.S.-Canadian border.2,"6,903,882",Total top 5 gateways.2,"4,591,686","Detroit, MI.2","1,701,452","Buffalo-Niagara, NY.2","1,175,254","Port Huron, MI.2","945,962","Champlain-Rouse Pt., NY.1","397,317","Blaine, WA.2","371,701","Truck  2005  Total U.S.-Canadian border  6,783,944  Total top 5 gateways  4,553,263  Detroit, MI  1,745,318  Buffalo-Niagara, NY  1,142,411  Port Huron, MI  922,401  Champlain-Rouse Pt., NY  388,869  Blaine, WA  354,264",Truck.3,2005,Total U.S.-Canadian border.3,"6,783,944",Total top 5 gateways.3,"4,553,263","Detroit, MI.3","1,745,318","Buffalo-Niagara, NY.3","1,142,411","Port Huron, MI.3","922,401","Champlain-Rouse Pt., NY.2","388,869","Blaine, WA.3","354,264","Truck  2006  Total U.S.-Canadian border  6,649,249  Total top 5 gateways  4,499,055  Detroit, MI  1,770,008  Buffalo-Niagara, NY  1,117,789  Port Huron, MI  835,927  Champlain-Rouse Pt., NY  409,372  Blaine, WA  365,959",Truck.4,2006,Total U.S.-Canadian border.4,"6,649,249",Total top 5 gateways.4,"4,499,055","Detroit, MI.4","1,770,008","Buffalo-Niagara, NY.4","1,117,789","Port Huron, MI.4","835,927","Champlain-Rouse Pt., NY.3","409,372","Blaine, WA.4","365,959","Truck  2007  Total U.S.-Canadian border  6,477,761  Total top 5 gateways  4,375,717  Detroit, MI  1,773,465  Buffalo-Niagara, NY  1,088,438  Port Huron, MI  770,282  Champlain-Rouse Pt., NY  387,033  Blaine, WA  356,499",Truck.5,2007,Total U.S.-Canadian border.5,"6,477,761",Total top 5 gateways.5,"4,375,717","Detroit, MI.5","1,773,465","Buffalo-Niagara, NY.5","1,088,438","Port Huron, MI.5","770,282","Champlain-Rouse Pt., NY.4","387,033","Blaine, WA.5","356,499","Truck  2008  Total U.S.-Canadian border  5,894,551  Total top 5 gateways  3,920,345  Detroit, MI  1,510,487  Buffalo-Niagara, NY  981,329  Port Huron, MI  732,422  Champlain-Rouse Pt., NY  364,912  Blaine, WA  331,195",Truck.6,2008,Total U.S.-Canadian border.6,"5,894,551",Total top 5 gateways.6,"3,920,345","Detroit, MI.6","1,510,487","Buffalo-Niagara, NY.6","981,329","Port Huron, MI.6","732,422","Champlain-Rouse Pt., NY.5","364,912","Blaine, WA.6","331,195"
67,Total top 5 gateways,19646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Port Huron, MI",5447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Detroit, MI",4246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"International Falls, MN",3928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Warroad, MN",3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Buffalo-Niagara, NY",2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Train,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Total U.S.-Canadian border,33267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Total top 5 gateways,18564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Port Huron, MI",5276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Detroit, MI",3936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"International Falls, MN",3720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Buffalo-Niagara, NY",2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Warroad, MN",2656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Train,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Total U.S.-Canadian border,32807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Total top 5 gateways,19129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Port Huron, MI",6344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"International Falls, MN",3980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Detroit, MI",3602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Buffalo-Niagara, NY",2918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Warroad, MN",2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Train,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Total U.S.-Canadian border,32526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Total top 5 gateways,17662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Port Huron, MI",4439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"International Falls, MN",4259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Detroit, MI",3610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Buffalo-Niagara, NY",2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Warroad, MN",2547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Train,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Total U.S.-Canadian border,30362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Total top 5 gateways,17240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Port Huron, MI",4459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"International Falls, MN",4026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Detroit, MI",3546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Warroad, MN",2640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"Buffalo-Niagara, NY",2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Train,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Total U.S.-Canadian border,29780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Total top 5 gateways,16677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"International Falls, MN",4136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Port Huron, MI",4061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Detroit, MI",3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Warroad, MN",2879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"Buffalo-Niagara, NY",2466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Truck  2009  Total U.S.-Canadian border  5,020,633  Total top 5 gateways  3,274,768  Detroit, MI  1,197,967  Buffalo-Niagara, NY  846,114  Port Huron, MI  625,642  Blaine, WA  310,075  Champlain-Rouse Pt., NY  294,970",Truck,2009.0,Total U.S.-Canadian border,5020633.0,Total top 5 gateways,3274768.0,"Detroit, MI",1197967.0,"Buffalo-Niagara, NY",846114.0,"Port Huron, MI",625642.0,"Blaine, WA",310075.0,"Champlain-Rouse Pt., NY",294970.0,"Truck  2010  Total U.S.-Canadian border  5,444,405  Total top 5 gateways  3,632,463  Detroit, MI  1,452,659  Buffalo-Niagara, NY  898,752  Port Huron, MI  670,769  Blaine, WA  318,059  Champlain-Rouse Pt., NY  292,224",Truck,2010.0,Total U.S.-Canadian border,5444405.0,Total top 5 gateways,3632463.0,"Detroit, MI",1452659.0,"Buffalo-Niagara, NY",898752.0,"Port Huron, MI",670769.0,"Blaine, WA",318059.0,"Champlain-Rouse Pt., NY",292224.0,"Truck  2011  Total U.S.-Canadian border  5,490,375  Total top 5 gateways  3,698,745  Detroit, MI  1,474,775  Buffalo-Niagara, NY  926,447  Port Huron, MI  673,707  Blaine, WA  338,570  Champlain-Rouse Pt., NY  285,246",Truck,2011.0,Total U.S.-Canadian border,5490375.0,Total top 5 gateways,3698745.0,"Detroit, MI",1474775.0,"Buffalo-Niagara, NY",926447.0,"Port Huron, MI",673707.0,"Blaine, WA",338570.0,"Champlain-Rouse Pt., NY",285246.0,"Truck  2012  Total U.S.-Canadian border  5,623,507  Total top 5 gateways  3,802,599  Detroit, MI  1,541,150  Buffalo-Niagara, NY  940,221  Port Huron, MI  691,348  Blaine, WA  348,955  Champlain-Rouse Pt., NY  280,925",Truck,2012.0,Total U.S.-Canadian border,5623507.0,Total top 5 gateways,3802599.0,"Detroit, MI",1541150.0,"Buffalo-Niagara, NY",940221.0,"Port Huron, MI",691348.0,"Blaine, WA",348955.0,"Champlain-Rouse Pt., NY",280925.0,"Truck  2013  Total U.S.-Canadian border  5,648,658  Total top 5 gateways  3,830,616  Detroit, MI  1,533,049  Buffalo-Niagara, NY  937,192  Port Huron, MI  731,165  Blaine, WA  349,983  Champlain-Rouse Pt., NY  279,227",Truck,2013.0,Total U.S.-Canadian border,5648658.0,Total top 5 gateways,3830616.0,"Detroit, MI",1533049.0,"Buffalo-Niagara, NY",937192.0,"Port Huron, MI",731165.0,"Blaine, WA",349983.0,"Champlain-Rouse Pt., NY",279227.0,"Truck  2014  Total U.S.-Canadian border  5,802,211  Total top 5 gateways  3,947,685  Detroit, MI  1,554,152  Buffalo-Niagara, NY  962,076  Port Huron, MI  778,268  Blaine, WA  367,994  Champlain-Rouse Pt., NY  285,195",Truck,2014.0,Total U.S.-Canadian border,5802211.0,Total top 5 gateways,3947685.0,"Detroit, MI",1554152.0,"Buffalo-Niagara, NY",962076.0,"Port Huron, MI",778268.0,"Blaine, WA",367994.0,"Champlain-Rouse Pt., NY",285195.0,"Truck  2015  Total U.S.-Canadian border  5,791,021  Total top 5 gateways  3,974,888  Detroit, MI  1,544,702  Buffalo-Niagara, NY  947,230  Port Huron, MI  801,272  Blaine, WA  378,747  Champlain-Rouse Pt., NY  302,937",Truck,2015.0,Total U.S.-Canadian border,5791021.0,Total top 5 gateways,3974888.0,"Detroit, MI",1544702.0,"Buffalo-Niagara, NY",947230.0,"Port Huron, MI",801272.0,"Blaine, WA",378747.0,"Champlain-Rouse Pt., NY",302937.0
114,Truck,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Total U.S.-Canadian border,5020633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Total top 5 gateways,3274768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Detroit, MI",1197967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Buffalo-Niagara, NY",846114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Port Huron, MI",625642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Blaine, WA",310075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Champlain-Rouse Pt., NY",294970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Truck,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Total U.S.-Canadian border,5444405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Total top 5 gateways,3632463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Detroit, MI",1452659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Buffalo-Niagara, NY",898752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"Port Huron, MI",670769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Blaine, WA",318059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"Champlain-Rouse Pt., NY",292224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Truck,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Total U.S.-Canadian border,5490375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Total top 5 gateways,3698745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"Detroit, MI",1474775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Buffalo-Niagara, NY",926447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"Port Huron, MI",673707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"Blaine, WA",338570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Champlain-Rouse Pt., NY",285246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Truck,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Total U.S.-Canadian border,5623507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Total top 5 gateways,3802599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Detroit, MI",1541150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Buffalo-Niagara, NY",940221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Port Huron, MI",691348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"Blaine, WA",348955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"Champlain-Rouse Pt., NY",280925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
