,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15,Motor fuel (million liters),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,Dieself,787,939,1026,1382,1632,2304,2464,2518,2593,2568,2567,2568,2025,2041,2122,2180,2236,2256,2551,2102,2061,2015,2062,2032,2028,2491,2395,2365,2321,2304,2053
17,Gasoline and other nondiesel fuelsg,727,469,257,30,42,174,129,129,141,173,227,230,96,97,84,80,89,98,131,97,108,110,116,112,119,371,369,383,385,404,411
18,Compressed natural gas,N,N,N,N,N,N,N,N,4,6,18,41,43,73,109,132,165,199,249,301,328,355,419,408,427,538,478,486,470,499,522
19,"Rail, Class I (in freight service)",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
20,Distillate / diesel fuel (million liters),13109,13597,13419,13843,14778,11773,11792,11000,11375,11689,12621,13173,13548,13533,13563,14063,14006,14044,14120,14483,15365,15513,15868,15376,14710,12083,13226,13949,13627,13938,13957
21,Amtrak,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
22,Electricity (million kWh),N,N,N,180,254,295,330,303,300,301,309,336,363,390,416,443,470,456,518,537,551,531,549,578,582,565,559,555,549,525,515
23,Distillate / diesel fuel (million liters),N,N,N,238,242,246,310,310,310,314,278,274,270,286,288,300,359,367,320,282,260,248,236,234,240,234,240,240,239,250,250
24,Water,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
25,Residual fuel oil (million liters),14960,11708,14286,15369,33887,17375,23948,25639,24844,19994,20390,22282,21582,18965,21276,22100,24264,20477,18351,14664,17755,19603,21780,23950,19903,17371,19467,17262,18244,15944,14562
26,Distillate / diesel fuel oil (million liters),2979,2468,3100,4156,5595,6431,7816,7745,8398,8157,8288,8854,9429,9743,9823,9158,8560,7738,7870,8392,8099,7592,7204,7283,7508,7241,7582,8076,6694,6344,6030
27,Gasoline (million liters),N,N,2264,2763,3982,3986,4921,6473,4982,3307,3314,4014,3761,3737,3620,4157,4256,3762,4093,4192,3804,4773,4684,4624,4302,4279,4418,4179,4138,4249,5371
28,Pipeline,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
29,Natural gas (million cubic feet),9828,14173,20450,16508,17971,14265,18684,17027,16642,17679,19407,19831,20146,21279,17995,18273,18185,17697,18885,16749,16033,16538,16543,17595,18348,18977,19089,19476,20694,23590,23666
