,SOC code,Occupation,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
57,33-3052,Transit and railroad police,4590,5760,6750,6010,4790,4610,5090,5320,5530,3830,3930,3540,3890,4140,4060,3380,3720.0
58,33-9091,Crossing guards,68310,72830,69990,73020,68910,70180,69390,67750,67570,68530,68470,68740,68520,70390,68050,66310,68640.0
59,39-7012,Travel guides,4180,5200,5480,4960,5240,4140,3120,3220,3520,4510,4270,3620,4110,4210,4250,3090,2810.0
60,53-2031,Flight attendants,123310,126380,115750,104360,99910,101980,99590,96760,97010,99480,95810,88020,87190,84960,93550,98510,108510.0
61,53-6061,"Transportation attendants, except flight attendants and baggage porters",22780,23550,25910,26580,28440,27730,24810,20790,20690,21870,22450,25150,27040,23790,21280,16380,15680.0
62,41-3041,Travel agents,111130,124030,111310,104550,98410,90500,88590,87600,85580,86420,76990,70930,67490,64680,64250,64750,66560.0
63,43-4181,Reservation and transportation ticket agents and travel clerks,222340,199700,183280,174170,156140,159910,160120,157650,167390,163880,142500,121250,126790,135930,141900,138260,138810.0
64,43-5021,Couriers and messengers,134370,130210,121670,120900,117460,111700,106520,105070,100820,96110,93460,85620,83250,76830,74060,71760,73180.0
65,43-5032,"Dispatchers, except police, fire, and ambulance",171560,167180,170050,168380,161570,165910,172550,185410,190190,193210,185100,180540,182310,184890,185270,190330,196940.0
66,43-5052,Postal service mail carriers,352550,354980,355120,347420,344090,344050,347180,346990,348070,354570,339030,324990,315330,305490,307490,307490,315950.0
67,43-5071,"Shipping, receiving, and traffic clerks",886230,864530,802600,792470,757750,747270,759910,763350,755790,760950,715130,687850,687940,690780,677450,661530,674820.0
68,53-6021,Parking lot attendants,109340,116930,109930,108460,109890,120080,124250,131870,131860,136470,129990,124590,126160,126520,130190,136440,144150.0
69,53-6041,Traffic technicians,5000,4590,5090,5370,5980,6240,6990,6560,6550,7030,6570,6730,6280,6340,6220,6490,6750.0
70,53-6051,Transportation inspectors,22440,26520,27670,28340,23860,24140,25570,23790,24130,24940,24250,24280,24810,24310,23970,24350,25860.0
71,53-7081,Refuse and recyclable material collectors,135320,118910,125600,132290,137510,139920,133930,125770,126270,129080,128940,126360,123160,117670,116460,115170,114220.0
72,53-7121,"Tank car, truck, and ship loaders",20830,17480,19430,16960,15910,16530,15950,15360,14870,12330,11560,10390,10960,12390,12560,12490,11960.0
73,Other,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,
74,11-3071,"Transportation, storage, and distribution managers",123450,116680,108590,107400,90940,88100,84870,89010,92790,96300,92380,90280,92150,98600,102610,106000,109210.0
75,53-1011,Aircraft cargo handling supervisors,8090,9960,9070,8920,8580,7460,6210,5620,4690,4950,5370,6160,6710,6720,6270,5750,6760.0
76,53-1021,"First-line supervisors/managers of helpers, laborers, and material movers, hand",138210,146790,147490,147180,159780,169860,176030,178820,184400,186230,174540,166360,166560,168910,167190,171720,176030.0
77,53-1031,First-line supervisors/managers of transportation and material-moving machine and vehicle operators,175260,186710,197430,207280,211960,222590,221520,220570,223710,218480,205780,196420,198690,197300,197800,197000,203550.0
