,"Reported Offenses, Violent Crime",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
111,Heavy rail,1155,1208,1398,1254,1044,1267,1228,483,616,663,634,853,1058,1305,1184,663,N,N
112,Light rail,400,653,463,443,436,985,1278,349,1951,699,677,1151,1376,1823,2106,1562,N,N
113,Otherb,34,358,206,217,45,13,17,21,25,20,29,38,39,22,47,36,N,N
114,Fare evasionr,33903,47873,53406,58856,55194,53863,47258,74385,69950,103156,129590,126092,135602,197819,249004,167746,N,N
115,Motor bus,3172,2372,1819,1694,2388,591,847,3089,7427,10270,21787,4372,5181,8869,8832,10950,N,N
116,Commuter rail,140,334,310,204,167,179,566,3849,3873,73,194,11768,346,2759,1323,309,N,N
117,Demand responsive,1,1,2,5,1,3,5,201,1,43,2,448,5,1,1,5,N,N
118,Heavy rail,8247,39957,46106,40350,35033,28933,24852,20469,16459,25775,15901,12611,21666,20754,32082,24684,N,N
119,Light rail,22212,1185,912,12798,17320,24124,20945,46766,42187,66991,91701,96868,108388,165428,206750,131791,N,N
120,Otherb,131,4024,4257,3805,285,33,43,11,3,4,5,25,16,8,16,7,N,N
121,Curfew and loitering lawss,1878,872,1960,1161,3022,3630,3391,N,N,N,N,N,N,N,N,N,N,N
122,Motor bus,1201,241,1112,291,495,469,403,N,N,N,N,N,N,N,N,N,N,N
123,Commuter rail,19,27,223,72,172,329,330,N,N,N,N,N,N,N,N,N,N,N
124,Demand responsive,0,1,5,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N
125,Heavy rail,462,493,530,680,1789,2324,2396,N,N,N,N,N,N,N,N,N,N,N
126,Light rail,161,95,80,106,509,498,251,N,N,N,N,N,N,N,N,N,N,N
127,Otherb,35,15,10,12,57,10,11,N,N,N,N,N,N,N,N,N,N,N
