,"All U.S.-Canadian land gateways  2002  All personal vehicle passengers  68,986,616  All personal vehicles  32,538,817  All bus passengers  4,212,863  All pedestrians  1,081,682  All train passengers  255,134  All buses  160,961",All U.S.-Canadian land gateways,2002,All personal vehicle passengers,"68,986,616",All personal vehicles,"32,538,817",All bus passengers,"4,212,863",All pedestrians,"1,081,682",All train passengers,"255,134",All buses,"160,961","All U.S.-Canadian land gateways  2003  All personal vehicle passengers  62,136,536  All personal vehicles  30,245,165  All bus passengers  3,779,970  All pedestrians  937,493  All train passengers  234,796  All buses  156,589",All U.S.-Canadian land gateways.1,2003,All personal vehicle passengers.1,"62,136,536",All personal vehicles.1,"30,245,165",All bus passengers.1,"3,779,970",All pedestrians.1,"937,493",All train passengers.1,"234,796",All buses.1,"156,589","All U.S.-Canadian land gateways  2004  All personal vehicle passengers  63,269,668  All personal vehicles  30,660,487  All bus passengers  3,890,380  All pedestrians  826,017  All train passengers  223,477  All buses  155,702",All U.S.-Canadian land gateways.2,2004,All personal vehicle passengers.2,"63,269,668",All personal vehicles.2,"30,660,487",All bus passengers.2,"3,890,380",All pedestrians.2,"826,017",All train passengers.2,"223,477",All buses.2,"155,702","All U.S.-Canadian land gateways  2005  All personal vehicle passengers  62,501,376  All personal vehicles  30,351,683  All bus passengers  3,854,858  All pedestrians  605,339  All train passengers  235,758  All buses  153,454",All U.S.-Canadian land gateways.3,2005,All personal vehicle passengers.3,"62,501,376",All personal vehicles.3,"30,351,683",All bus passengers.3,"3,854,858",All pedestrians.3,"605,339",All train passengers.3,"235,758",All buses.3,"153,454","All U.S.-Canadian land gateways  2006  All personal vehicle passengers  62,986,037  All personal vehicles  30,038,524  All bus passengers  3,499,103  All pedestrians  533,739  All train passengers  244,683  All buses  129,452",All U.S.-Canadian land gateways.4,2006,All personal vehicle passengers.4,"62,986,037",All personal vehicles.4,"30,038,524",All bus passengers.4,"3,499,103",All pedestrians.4,"533,739",All train passengers.4,"244,683",All buses.4,"129,452","All U.S.-Canadian land gateways  2007  All personal vehicle passengers  58,409,016  All personal vehicles  29,775,714  All bus passengers  3,684,631  All pedestrians  441,066  All train passengers  233,070  All buses  136,430",All U.S.-Canadian land gateways.5,2007,All personal vehicle passengers.5,"58,409,016",All personal vehicles.5,"29,775,714",All bus passengers.5,"3,684,631",All pedestrians.5,"441,066",All train passengers.5,"233,070",All buses.5,"136,430","All U.S.-Canadian land gateways  2008  All personal vehicle passengers  57,423,879  All personal vehicles  28,686,786  All bus passengers  3,404,305  All pedestrians  499,666  All train passengers  238,593  All buses  127,233",All U.S.-Canadian land gateways.6,2008,All personal vehicle passengers.6,"57,423,879",All personal vehicles.6,"28,686,786",All bus passengers.6,"3,404,305",All pedestrians.6,"499,666",All train passengers.6,"238,593",All buses.6,"127,233"
138,"Detroit, MI",915551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"Blaine, WA",336696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Champlain-Rouses Point, NY",282859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Port Huron, MI",147309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Bus passengers – top 5 gateways,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Buffalo-Niagara Falls, NY",1321778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"Detroit, MI",904425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"Blaine, WA",283863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Champlain-Rouses Point, NY",234620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"Sault Ste. Marie, MI",192760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Bus passengers – top 5 gateways,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"Buffalo-Niagara Falls, NY",1222775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Detroit, MI",930725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Blaine, WA",329297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"Champlain-Rouses Point, NY",277018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"Sault Ste. Marie, MI",223800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Bus passengers – top 5 gateways,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"Buffalo-Niagara Falls, NY",1367283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"Detroit, MI",931100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"Champlain-Rouses Point, NY",296390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Blaine, WA",294564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"Skagway, AK",134204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Bus passengers – top 5 gateways,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Detroit, MI",911799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Buffalo, Niagara Falls, NY",885061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Blaine, WA",452521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Champlain-Rouses Point, NY",294028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"Skagway, AK",144819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Bus passengers – top 5 gateways,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"Buffalo-Niagara Falls, NY",1142765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"Detroit, MI",870982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"Blaine, WA",337322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Champlain-Rouses Point, NY",306898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"Sault Ste. Marie, MI",165136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Bus passengers – top 5 gateways,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"Buffalo-Niagara Falls, NY",1040700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"Detroit, MI",720014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Blaine, WA",335951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"Champlain-Rouses Point, NY",306006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"Sault Ste. Marie, MI",208288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Pedestrians – top 5 gateways  2002  Buffalo-Niagara Falls, NY  818,913  Sumas, WA  64,432  Portland, MEa  39,293  Calais, ME  35,154  International Falls, MN  24,175",Pedestrians – top 5 gateways,2002.0,"Buffalo-Niagara Falls, NY",818913.0,"Sumas, WA",64432.0,"Portland, MEa",39293.0,"Calais, ME",35154.0,"International Falls, MN",24175.0,"Pedestrians – top 5 gateways  2003  Buffalo-Niagara Falls, NY  656,022  Sumas, WA  59,330  Calais, ME  45,899  Portland, MEa  38,129  International Falls, MN  27,623",Pedestrians – top 5 gateways,2003,"Buffalo-Niagara Falls, NY",656022.0,"Sumas, WA",59330.0,"Calais, ME",45899.0,"Portland, MEa",38129.0,"International Falls, MN",27623.0,"Pedestrians – top 5 gateways  2004  Buffalo-Niagara Falls, NY  547,126  Sumas, WA  54,911  Calais, ME  44,762  International Falls, MN  28,180  Portland, MEa  21,599",Pedestrians – top 5 gateways,2004,"Buffalo-Niagara Falls, NY",547126,"Sumas, WA",54911.0,"Calais, ME",44762.0,"International Falls, MN",28180.0,"Portland, MEa",21599.0,"Pedestrians – top 5 gateways  2005  Buffalo-Niagara Falls, NY  370,295  Calais, ME  44,238  Sumas, WA  33,769  International Falls, MN  24,497  Point Roberts, WA  22,440",Pedestrians – top 5 gateways,2005,"Buffalo-Niagara Falls, NY",370295,"Calais, ME",44238,"Sumas, WA",33769.0,"International Falls, MN",24497.0,"Point Roberts, WA",22440.0,"Pedestrians – top 5 gateways  2006  Buffalo-Niagara Falls, NY  345,652  Sumas, WA  28,963  Calais, ME  22,323  International Falls, MN  20,440  Point Roberts, WA  14,935",Pedestrians – top 5 gateways,2006,"Buffalo-Niagara Falls, NY",345652,"Sumas, WA",28963,"Calais, ME",22323,"International Falls, MN",20440.0,"Point Roberts, WA",14935,"Pedestrians – top 5 gateways  2007  Buffalo-Niagara Falls, NY  277,000  Sumas, WA  33,341  Calais, ME  29,123  Point Roberts, WA  14,762  International Falls, MN  14,238",Pedestrians – top 5 gateways,2007,"Buffalo-Niagara Falls, NY",277000,"Sumas, WA",33341,"Calais, ME",29123,"Point Roberts, WA",14762,"International Falls, MN",14238.0,"Pedestrians – top 5 gateways  2008  Buffalo-Niagara Falls, NY  333,565  Sumas, WA  37,699  Calais, ME  27,420  Detroit, MI  16,202  International Falls, MN  15,113",Pedestrians – top 5 gateways,2008,"Buffalo-Niagara Falls, NY",333565,"Sumas, WA",37699,"Calais, ME",27420,"Detroit, MI",16202,"International Falls, MN",15113,,,,,,,,,,,,,,
179,Pedestrians – top 5 gateways,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Buffalo-Niagara Falls, NY",818913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Sumas, WA",64432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"Portland, MEa",39293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"Calais, ME",35154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"International Falls, MN",24175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Pedestrians – top 5 gateways,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"Buffalo-Niagara Falls, NY",656022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"Sumas, WA",59330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"Calais, ME",45899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"Portland, MEa",38129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"International Falls, MN",27623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Pedestrians – top 5 gateways,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"Buffalo-Niagara Falls, NY",547126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"Sumas, WA",54911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Calais, ME",44762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"International Falls, MN",28180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"Portland, MEa",21599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Pedestrians – top 5 gateways,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"Buffalo-Niagara Falls, NY",370295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"Calais, ME",44238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"Sumas, WA",33769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"International Falls, MN",24497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"Point Roberts, WA",22440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Pedestrians – top 5 gateways,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"Buffalo-Niagara Falls, NY",345652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"Sumas, WA",28963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"Calais, ME",22323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"International Falls, MN",20440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"Point Roberts, WA",14935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Pedestrians – top 5 gateways,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"Buffalo-Niagara Falls, NY",277000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"Sumas, WA",33341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"Calais, ME",29123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"Point Roberts, WA",14762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"International Falls, MN",14238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Pedestrians – top 5 gateways,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"Buffalo-Niagara Falls, NY",333565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"Sumas, WA",37699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"Calais, ME",27420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"Detroit, MI",16202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"International Falls, MN",15113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"Train passengers – top 5 gateways  2002  Blaine, WA  60,521  Buffalo-Niagara Falls, NY  47,315  Champlain-Rouses Point, NY  33,738  Skagway, AK  29,754  Port Huron, MI  26,815",Train passengers – top 5 gateways,2002.0,"Blaine, WA",60521.0,"Buffalo-Niagara Falls, NY",47315.0,"Champlain-Rouses Point, NY",33738.0,"Skagway, AK",29754.0,"Port Huron, MI",26815.0,"Train passengers – top 5 gateways  2003  Skagway, AK  44,430  Blaine, WA  43,515  Buffalo-Niagara Falls, NY  37,240  Champlain-Rouses Point, NY  28,325  Port Huron, MI  25,485",Train passengers – top 5 gateways,2003,"Skagway, AK",44430.0,"Blaine, WA",43515.0,"Buffalo-Niagara Falls, NY",37240.0,"Champlain-Rouses Point, NY",28325.0,"Port Huron, MI",25485.0,"Train passengers – top 5 gateways  2004  Skagway, AK  52,353  Blaine, WA  41,705  Buffalo-Niagara Falls, NY  31,045  Champlain-Rouses Point, NY  30,294  Port Huron, MI  18,297",Train passengers – top 5 gateways,2004,"Skagway, AK",52353,"Blaine, WA",41705.0,"Buffalo-Niagara Falls, NY",31045.0,"Champlain-Rouses Point, NY",30294.0,"Port Huron, MI",18297.0,"Train passengers – top 5 gateways  2005  Skagway, AK  67,462  Buffalo-Niagara Falls, NY  35,951  Blaine, WA  35,454  Champlain-Rouses Point, NY  29,831  Port Huron, MI  19,032",Train passengers – top 5 gateways,2005,"Skagway, AK",67462,"Buffalo-Niagara Falls, NY",35951,"Blaine, WA",35454.0,"Champlain-Rouses Point, NY",29831.0,"Port Huron, MI",19032.0,"Train passengers – top 5 gateways  2006  Skagway, AK  74,347  Buffalo-Niagara Falls, NY  37,880  Champlain-Rouses Point, NY  33,518  Blaine, WA  32,184  Port Huron, MI  16,070",Train passengers – top 5 gateways,2006,"Skagway, AK",74347,"Buffalo-Niagara Falls, NY",37880,"Champlain-Rouses Point, NY",33518,"Blaine, WA",32184.0,"Port Huron, MI",16070,"Train passengers – top 5 gateways  2007  Skagway, AK  80,816  Buffalo-Niagara Falls, NY  39,640  Blaine, WA  32,106  Champlain-Rouses Point, NY  20,881  Detroit, MI  9,323",Train passengers – top 5 gateways,2007,"Skagway, AK",80816,"Buffalo-Niagara Falls, NY",39640,"Blaine, WA",32106,"Champlain-Rouses Point, NY",20881,"Detroit, MI",9323.0,"Train passengers – top 5 gateways  2008  Skagway, AK  77,137  Buffalo-Niagara Falls, NY  37,449  Blaine, WA  34,749  Champlain-Rouses Point, NY  32,274  Detroit, MI  9,385",Train passengers – top 5 gateways,2008,"Skagway, AK",77137,"Buffalo-Niagara Falls, NY",37449,"Blaine, WA",34749,"Champlain-Rouses Point, NY",32274,"Detroit, MI",9385,,,,,,,,,,,,,,
