STATE,INTERSTATE,,,,OTHER FREEWAYS  AND EXPRESSWAYS,,,,,,,OTHER PRINCIPAL  ARTERIAL,,,,,,
,LANE WIDTH IN  FEET,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL
Rhode Island,-,52 ,-,52 ,-,-,-,-,80 ,-,80 ,-,2 ,35 ,45 ,205 ,55 ,341 
South Carolina,2 ,288 ,13 ,304 ,-,1 ,-,-,69 ,14 ,84 ,2 ,5 ,20 ,44 ,574 ,414 ,"1,059 "
South Dakota,-,88 ,-,88 ,-,-,-,-,18 ,-,18 ,2 ,-,5 ,5 ,122 ,-,134 
Tennessee,0 ,530 ,-,530 ,-,-,-,-,162 ,-,162 ,-,-,78 ,233 ,"1,483 ",1 ,"1,795 "
Texas,30 ,"1,385 ",-,"1,415 ",-,-,-,20 ,"1,473 ",0 ,"1,494 ",-,2 ,40 ,685 ,"5,283 ",70 ,"6,080 "
Utah,-,252 ,-,252 ,-,-,-,-,44 ,-,44 ,-,-,-,-,649 ,-,649 
Vermont,-,62 ,-,62 ,-,-,2 ,6 ,8 ,0 ,16 ,-,-,11 ,36 ,60 ,6 ,113 
Virginia,36 ,615 ,-,651 ,20 ,0 ,1 ,7 ,317 ,3 ,347 ,37 ,3 ,138 ,217 ,"1,235 ",29 ,"1,658 "
Washington,3 ,331 ,1 ,335 ,-,-,-,21 ,382 ,14 ,417 ,0 ,16 ,30 ,414 ,911 ,69 ,"1,441 "
West Virginia,61 ,182 ,-,243 ,1 ,-,0 ,-,12 ,1 ,14 ,0 ,12 ,53 ,101 ,233 ,11 ,411 
Wisconsin,5 ,340 ,1 ,346 ,1 ,-,-,-,295 ,14 ,311 ,-,4 ,19 ,40 ,"1,053 ",817 ,"1,933 "
Wyoming,106 ,-,-,106 ,-,-,-,3 ,-,-,3 ,-,-,-,229 ,-,-,229 
U.S. Total,488 ,"17,448 ",771 ,"18,707 ",25 ,13 ,87 ,246 ,"10,896 ",466 ,"11,733 ",344 ,249 ,"2,619 ","7,388 ","48,835 ","6,733 ","66,168 "
Puerto Rico (3),2 ,-,231 ,233 ,-,-,5 ,-,-,61 ,66 ,-,-,108 ,-,-,283 ,391 
Grand Total,490 ,"17,448 ","1,002 ","18,940 ",25 ,13 ,92 ,246 ,"10,896 ",527 ,"11,799 ",344 ,249 ,"2,727 ","7,388 ","48,835 ","7,016 ","66,559 "
