FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
,,,INTERSTATE,,,,,,OTHER    FREEWAYS & EXPRESSWAYS,,,,,,OTHER    PRINCIPAL ARTERIAL,,,,,,MINOR  ARTERIAL (5),,,,,
,,,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,"<95

        >=3.5","95-119

        3.1-3.4","120-169

        2.6-3.0","170-220

        2.1-2.5",">220

        <=2.0","TOTAL
        REPORTED"
Jonesboro,AR,"191,564",0,0,0,0,0,0,"150,106","25,312","5,180",0,"1,440","182,038","99,903","76,030","31,131","19,128","5,558","231,750","88,222","166,661","67,274","39,690","7,854","369,702"
Joplin,MO,"2,792","241,470","7,792","9,321",753,0,"259,336","86,158","3,675","3,453","1,245",0,"94,531","261,723","17,440","14,332","6,021","5,339","304,856","80,575","113,954","167,649","53,843","54,375","470,397"
Kahului,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,"345,395","97,665","221,115","69,557","10,171","743,903","52,338","36,916","22,615","13,750","5,494","131,114"
Kailua    (Honolulu County)--Kaneohe,HI,0,"59,336","37,582","63,090","2,968",0,"162,976","36,250","84,615","103,660","8,630","8,790","241,945","85,881","146,744","172,571","99,345","30,012","534,554",0,879,"45,234","44,592","6,206","96,912"
Kalamazoo,MI,204,"758,088","86,217","25,657","6,545",0,"876,506","302,650","91,273","49,864","7,432","7,555","458,774","147,356","101,833","164,574","80,118","65,318","559,199","503,239","2,372","624,908",0,"607,703","1,738,221"
Kankakee,IL,0,"434,525","91,624",0,0,0,"526,149",0,0,0,0,0,0,"136,395","99,432","82,368","96,307","1,587","416,089",679,"47,836","135,073","40,485","46,139","270,212"
Kansas City,KS,"59,707","1,860,192","307,662","161,847","75,426","70,366","2,475,493","797,035","59,307","56,373","24,009","11,539","948,263","216,162","89,826","87,055","25,746","8,167","426,956","1,191,410","1,101,362","1,313,423","641,169","224,074","4,471,439"
Kansas City,MO,"125,353","2,926,338","358,360","281,438","40,183","6,774","3,613,093","1,469,367","226,477","241,970","53,900","11,701","2,003,416","690,843","171,946","227,496","53,628","15,472","1,159,385","628,381","928,059","1,722,058","907,640","1,112,758","5,298,896"
Kennewick--Pasco,WA,"67,470","489,840","241,670","46,615","1,034",0,"779,160","576,702","144,010","64,542","19,173","14,947","819,373","70,425","81,489","86,111","32,970","39,634","310,630","146,200","231,786","135,367","46,007","149,568","708,928"
Kenosha,WI,"13,935",0,0,0,0,0,0,0,0,0,0,0,0,"37,179","47,192","67,974","71,154","75,378","298,877",0,0,"4,971","28,480","137,677","171,128"
Killeen,TX,"40,745",0,0,0,0,0,0,"674,981","38,210","72,566",0,0,"785,757","269,284","75,582","83,351","23,174","8,213","459,605","253,359","142,776","231,176","168,828","107,175","903,314"
Kingsport,TN,"332,330","412,236","2,355","1,707",753,0,"417,052","79,558","14,152","8,321",461,0,"102,493","311,330","17,779","12,448","1,548","1,308","344,413","187,628","141,528","22,036","3,629",301,"355,123"
Kingsport,VA,96,0,0,0,0,0,0,"21,830","9,443","1,235",674,0,"33,181","74,958","58,357","13,757","1,119",0,"148,191","12,990","11,084","25,903","7,488",118,"57,583"
Kingston,NY,0,"470,535","50,722","34,747","24,093","12,948","593,046","12,393","29,534","57,522","8,133","3,902","111,484","30,076","19,390","83,404","37,749","33,089","203,708","166,041","106,792","101,433","45,740","24,393","444,398"
Kissimmee,FL,"3,406",0,0,0,0,0,0,"875,619","17,082","34,666",0,0,"927,367","725,209","176,993","57,728","10,710",0,"970,641","1,930,794","79,597","603,696","10,603","14,146","2,638,837"
Knoxville,TN,"2,031,874","2,547,345","178,127","50,654","21,440",0,"2,797,565","5,804","16,659","6,737","18,048",0,"47,248","851,910","119,491","84,313","18,919","40,012","1,114,645","1,163,826","173,800","216,099","49,881","20,414","1,624,020"
Kokomo,IN,"437,048",0,0,0,0,0,0,"150,839","7,989","7,208",0,0,"166,036","142,167","28,311","23,350","4,553","1,171","199,551",0,0,0,0,0,0
La Crosse,MN,"3,443",0,0,0,0,0,0,371,0,0,0,0,371,"34,324","5,986","4,785","2,806",0,"47,900","2,823","3,052","3,373","5,352",989,"15,589"
La Crosse,WI,"63,603","111,404","120,381",0,0,0,"231,785","91,268","18,669","23,918","6,405","7,517","147,776","49,953","38,827","37,977","38,941","46,569","212,267","89,547","41,624","65,392","36,633","90,732","323,929"
Lady    Lake--The Villages,FL,"1,734",0,0,0,0,0,0,"38,028","1,036",0,0,0,"39,064","410,921","25,073","10,569","1,120",0,"447,683","959,479","92,075","183,949","38,125","7,266","1,280,894"
Lafayette,IN,"709,474","200,892","18,818","45,945","1,105","7,151","273,912",0,0,0,0,0,0,"134,458","25,873","100,520","40,174","29,685","330,709","313,561","16,812","35,708","58,230","38,019","462,330"
Lafayette,LA,"165,707","829,383","140,738","203,075","144,434","30,413","1,348,042",0,0,0,0,0,0,"606,212","426,513","488,928","506,755","658,269","2,686,676","385,739","270,052","258,320","183,381","327,503","1,424,995"
Lafayette--Louisville--Erie,CO,0,0,0,0,0,0,0,"62,933","57,616","89,520","48,180","16,200","274,449","43,464","81,996","102,984","33,352","29,562","291,358","41,286","83,370","237,174","56,302","22,047","440,180"
Lake    Charles,LA,"35,397","576,278","252,240","252,997","163,357","73,816","1,318,687",0,0,0,0,0,0,"286,199","32,004","105,908","99,101","50,681","573,892","308,810","178,748","174,235","58,518","188,062","908,372"
Lake Havasu    City,AZ,"334,868",0,0,0,0,0,0,0,0,0,0,0,0,"182,931","19,062","6,165","1,026","14,602","223,787",0,0,0,0,0,0
Lake    Jackson--Angleton,TX,"101,003",0,0,0,0,0,0,"116,861","43,494","35,403","3,338",0,"199,096","123,124","22,499","47,815","25,848","9,941","229,227","364,041","14,782","106,758","229,700","15,922","731,202"
Lakeland,FL,"19,707","407,697","149,291","3,717","2,449",0,"563,154","142,007","8,691","4,273","3,200",0,"158,171","375,070","37,268","24,987","2,219",0,"439,543","1,370,704","130,069","878,633","12,218","16,989","2,408,614"
Lancaster,PA,0,"501,362","17,609",0,0,0,"518,971","389,146","153,909","129,320","11,019",0,"683,395","108,825","33,384","51,820","22,521","14,907","231,457","397,662","525,487","617,238","392,931","385,552","2,318,870"
Lancaster--Palmdale,CA,0,0,0,0,0,0,0,"484,933","8,800","233,989","49,211","27,538","804,470","246,916","64,853","44,010","26,463","41,473","423,715","140,354","622,652","913,410","10,022","774,896","2,461,333"
Lansing,MI,"26,356","666,251","304,315","155,587","32,637","8,701","1,167,492","305,839","143,069","44,836","9,168","2,880","505,792","141,268","56,765","92,361","32,793","39,144","362,330","948,143","29,471","1,023,030","92,117","362,936","2,455,697"
Laredo,TX,"114,794","381,122","26,807","36,134","2,346",0,"446,409",0,0,0,0,8,8,"168,261","112,332","182,167","76,734","92,411","631,905","132,088","56,830","313,746","303,110","18,482","824,256"
Las Cruces,NM,"81,395","266,288","28,153","30,026","1,856","5,951","332,274","124,415","21,169","3,346",0,0,"148,930","57,994","16,722","39,785","17,019","9,525","141,045","231,420","193,775","233,623","160,962","150,099","969,878"
Las    Vegas--Henderson,NV,"6,486","2,333,284","169,628","107,421","24,616",0,"2,634,949","1,080,085","292,507","189,724","4,300","4,300","1,570,916","566,507","154,469","174,875","29,570","11,880","937,300","5,538,570","1,694,816","1,535,969","699,029","679,888","10,148,272"
Lawrence,KS,874,"241,381","8,640","10,243",0,0,"260,264","155,269","2,658","3,178",648,0,"161,753","13,303","37,068","80,717","42,463","32,497","206,048","34,178","38,691","85,407","51,440","81,494","291,210"
Lawton,OK,"10,270","97,980","25,044","5,985","2,920",0,"131,929","47,500","28,580","10,713","7,040","23,695","117,528","47,465","1,849","57,737","68,884","80,183","256,119","36,686","31,746","21,091","77,401","116,543","283,467"
Lebanon,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,474","11,339","17,991","4,544","7,464","68,812",0,"18,813","38,351","43,868","62,851","163,882"
Leesburg--Eustis--Tavares,FL,321,0,0,0,0,0,0,0,0,0,0,0,0,"462,492","42,962","14,776","16,752",360,"537,342","663,451","29,331","416,599","165,937",0,"1,275,318"
Leominster--Fitchburg,MA,0,0,0,0,0,0,0,"41,810",0,"1,211",0,0,"43,020","197,113","25,466","28,917","23,420","35,203","310,119",0,"1,252","909,731","5,658","3,426","920,068"
Lewiston,ID,"45,467",0,0,0,0,0,0,0,0,0,0,0,0,"38,712","1,588","2,050",0,0,"42,350","243,869","104,472","47,550","17,665",376,"413,931"
Lewiston,WA,"1,471",0,0,0,0,0,0,"4,953",782,0,313,0,"6,048","7,707",385,"9,008","8,795","5,373","31,268","49,291","26,562","10,747","1,367","2,639","90,605"
Lewiston,ME,0,"106,597","44,126","14,834",0,0,"165,557",0,0,"25,534","1,412",0,"26,946","238,881","91,402","85,288","41,932","107,623","565,126","74,483","48,673","63,857","37,205","39,860","264,077"
Lexington-Fayette,KY,"1,127,389","998,494","17,485","7,058",0,0,"1,023,037","635,786","61,470","98,482","59,080","4,125","858,943","786,745","188,530","239,180","90,948","63,413","1,368,817","188,551","52,375","71,833","38,991","8,777","360,527"
Lexington    Park--California--Chesapeake Ranch Estates,MD,"4,647",0,0,0,0,0,0,"37,206",0,0,0,0,"37,206","173,424","22,429","7,137",0,"1,840","204,830","82,036","45,313","26,586","10,444",0,"164,378"
Lima,OH,0,"165,879","11,519","20,163","10,342","2,140","210,044",0,0,0,0,0,0,"10,200","19,398","22,700","18,644","11,259","82,200","191,584","71,200","23,569","15,150","37,120","338,622"
Lincoln,NE,"756,734","490,776","128,405","69,292","2,960",0,"691,433","282,808","28,783","41,544","7,127","13,255","373,518","90,886","68,282","158,787","115,631","154,270","587,856","1,124,192","128,093","462,726","143,446","83,401","1,941,859"
Little Rock,AR,"180,397","562,196","198,600","168,509","33,477","8,839","971,620","151,100","70,280","150,120","86,630","16,680","474,810","17,059","51,206","112,364","52,922","18,617","252,168","377,211","1,259,508","1,047,393","1,415,857","230,907","4,330,875"
Livermore,CA,0,"974,033","53,044","9,685",0,"18,000","1,054,762",0,0,0,0,0,0,"27,862","28,224","26,722","36,073","12,604","131,485",0,"11,872","32,352","98,592","248,577","391,393"
Lodi,CA,0,0,0,0,0,0,0,"44,094","7,398","4,851",0,0,"56,343","37,555","17,326","17,889","2,155","5,748","80,672","6,694","63,326","52,955","24,284","20,788","168,046"
Logan,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,"483,045","67,955","42,356","5,023","3,861","602,239","72,299","15,388","14,251","2,797","1,546","106,281"
Lompoc,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,645","47,251","33,430","14,059","2,374","157,759",0,"25,327","15,953","13,430","24,403","79,113"
Longmont,CO,0,"36,278","100,686","9,700",0,0,"146,664","88,511","64,592","61,449","37,774","18,853","271,179","35,675","22,399","51,938","8,626","2,190","120,828","13,461","31,926","255,852","160,619","116,465","578,324"
Longview,TX,"91,477","134,740","6,436","2,573",0,0,"143,749",0,0,0,0,0,0,"135,820","43,110","48,709","8,385",632,"236,657","363,703","44,393","118,076","94,143","10,230","630,545"
Longview,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,090","10,504","17,378","3,862","2,391","58,225","6,691","2,333",0,760,14,"9,798"
Longview,WA,"4,644","426,588","8,909","9,952","3,483",0,"448,933","53,616","11,174","7,601",0,813,"73,203","67,112","52,193","30,553","26,784","52,081","228,723","11,896","14,030","53,590","35,688","187,697","302,901"
Lorain--Elyria,OH,0,"242,151","50,609","35,403","15,697","1,486","345,347","314,906","26,325","13,290","3,542","2,177","360,241","73,060","41,699","52,882","33,933","19,002","220,575","379,245","167,345","139,327","171,858","149,008","1,006,782"
Los    Angeles--Long Beach--Anaheim,CA,0,"1,171,291","253,125","128,939","175,544","2,174","1,731,073","2,894,621","464,683","534,438","449,959","184,477","4,528,179","22,707","68,146","179,137","217,435","185,783","673,208","15,468","64,050","200,358","14,810,081","33,261,473","48,351,431"
Los Lunas,NM,0,"71,379","2,127","2,089",0,0,"75,595",0,0,0,0,0,0,"26,916","25,429","31,959","24,689","5,335","114,328","109,522","28,176","33,669","19,442","13,425","204,235"
Los Lunas,IN,"968,829","1,053,571","340,491","183,320","77,321","13,622","1,668,325","27,563","26,001","37,579","9,076","3,365","103,583","67,842","14,456","13,083","4,132",276,"99,789","314,841","29,011","46,181","8,884","6,858","405,775"
Louisville/Jefferson    County,KY,"1,139,955","6,859,780","947,775","880,731","370,091","60,623","9,119,001","55,845","171,118","252,699","86,705",0,"566,367","759,344","631,857","820,194","196,757","73,008","2,481,160","886,587","847,361","1,243,688","678,400","362,940","4,018,976"
Lubbock,TX,"178,255","151,225","112,770","93,408","21,324",0,"378,726","356,399","53,118","59,996","19,897","3,552","492,962","230,105","78,745","92,515","62,404","26,456","490,224","199,977","20,168","151,566","68,490","204,463","644,663"
Lynchburg,VA,"218,518",0,0,0,0,0,0,"663,906","142,367","25,505","7,670","3,919","843,366","444,452","188,620","151,775","34,375","23,705","842,926","253,083","213,424","254,683","144,551","43,207","908,948"
McAllen,TX,"60,418","1,419,258","98,081","117,274","14,942","4,923","1,654,478","62,134","2,071","4,403","1,345",0,"69,953","258,801","93,956","96,055","38,615","21,889","509,316","2,329,333","229,228","1,257,056","272,881","369,516","4,458,013"
McKinney,TX,"146,929",0,0,0,0,0,0,"535,740","362,940","258,053","17,531","3,340","1,177,603","243,657","86,503","84,219","19,335","15,532","449,245","750,294","17,406","429,523","8,388","1,251","1,206,861"
Macon,GA,0,"1,609,687","367,985","404,939","143,192","35,564","2,561,367",0,0,0,0,0,0,"281,746","100,264","126,956","52,380","30,428","591,773","201,142","64,885","29,528","33,468","14,689","343,712"
Madera,CA,0,0,0,0,0,0,0,"178,020","14,800",0,0,"4,736","197,556","1,239","2,509","2,978","3,222","11,637","21,584","1,156","18,713","142,565","21,964","174,732","359,129"
Madison,WI,"73,257","356,601","172,764","394,649","73,937","10,734","1,008,685","661,635","147,997","367,916","118,553","35,907","1,332,009","156,550","78,925","148,614","73,460","76,921","534,469","67,398","173,614","435,490","185,347","435,310","1,297,159"
Manchester,NH,0,"1,502,273","26,455","11,786",0,0,"1,540,514","434,198","5,184","6,400",0,0,"445,782","249,254","63,162","102,049","36,648","60,099","511,212","105,793","155,892","553,779","34,045","72,908","922,418"
Mandeville--Covington,LA,"124,743","1,037,723","15,720","23,176","6,257",0,"1,082,876","144,407","12,762","10,080","3,125",0,"170,374","290,960","98,433","63,635","44,193","8,348","505,569","248,611","96,806","81,770","33,367","11,310","471,865"
Manhattan,KS,5,0,0,0,0,0,0,"154,075","15,991",717,988,0,"171,771","88,174","9,964","31,171","9,032","5,129","143,471","33,865","33,799","74,267","24,817","50,139","216,886"
Mankato,MN,"185,830",0,0,0,0,0,0,"82,971","52,950","71,172","14,315","6,890","228,299","148,452","42,728","24,350","11,041","4,776","231,348","74,693",0,"26,854",0,"9,703","111,250"
Mansfield,OH,0,"198,044","20,534","18,537","3,341",0,"240,457","168,031","21,503","33,196","4,815","13,951","241,497","42,955","16,198","12,625","7,068","4,595","83,442","214,659","42,118","81,869","54,743","58,204","451,592"
Manteca,CA,0,0,0,0,0,0,0,"169,912","1,768","7,704","10,944","2,656","192,984","4,717","5,655","17,597","3,131","2,415","33,516","8,459","46,081","49,246","37,563",270,"141,619"
Marysville,WA,"93,280","789,900","142,674","23,696",0,0,"956,270","316,952","101,965","41,471","15,295","13,816","489,499","1,398","28,810","123,148","23,470","21,238","198,064","192,046","32,262","317,761","72,252","18,872","633,193"
Mauldin--Simpsonville,SC,0,"637,804","21,047","65,747",0,0,"724,598","13,056","35,628",0,0,0,"48,684","8,304","31,756","95,114",0,0,"135,174","51,773","223,718","282,159","166,067",0,"723,717"
Medford,OR,0,"834,858","70,030","12,610","3,610",0,"921,107",0,0,0,0,0,0,"357,117","111,086","92,667","42,887","54,680","658,437","588,788","250,834","305,658","37,514","81,741","1,264,534"
Memphis,AR,"8,458","121,858","24,457","23,663","3,917",0,"173,895",0,0,0,0,0,0,"3,842","21,361","28,117","2,900","5,099","61,320","66,300","61,862","97,497","10,499","43,080","279,238"
Memphis,MS,0,"560,643","38,489","25,328","2,962",0,"627,423","288,578","19,695","10,864","6,081","2,822","328,040","292,871","130,201","91,284","49,419","29,269","593,044","104,600","182,960","238,897","148,755","162,774","837,985"
Memphis,TN,"4,638,309","1,990,738","212,222","206,011","25,168","25,994","2,460,132","352,862","119,253","154,144","43,692","15,191","685,141","166,087","133,406","120,991","109,612","82,123","612,218","422,538","120,770","292,002","372,528","222,180","1,430,018"
Merced,CA,0,0,0,0,0,0,0,"31,409","45,961","90,427","68,624","11,234","247,655","6,075","13,233","20,771","13,161","16,857","70,097",0,0,"43,981","28,836","343,444","416,261"
Miami,FL,"1,758,530","3,406,187","341,131","149,234","10,900",0,"3,907,450","3,135,408","152,483","80,402","31,874","2,551","3,402,718","1,149,261","342,772","359,831","154,123","63,690","2,069,677","16,637,664","3,077,602","11,592,375","3,145,721","1,697,401","36,150,762"
Michigan    City--La Porte,IN,"404,206","47,614","41,870","24,954","2,490",0,"116,929",0,0,0,0,0,0,"206,273","73,972","80,869","62,056","41,965","465,135","29,706","55,989","44,959","8,591","3,131","142,375"
Michigan    City--La Porte,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,653","7,873","5,511",0,0,"16,037"
Middletown,OH,0,"372,626",0,0,0,0,"372,626",0,0,0,0,0,0,"51,623","29,784","45,147","20,297","16,031","162,882","64,573","77,873","108,128","71,479","28,045","350,098"
Midland,MI,"67,649",0,0,0,0,0,0,"399,103","35,505","23,456","9,405","1,573","469,042","35,532","20,587","94,896","25,142","34,388","210,544","20,706",0,"476,050",0,"106,474","603,230"
Midland,TX,"42,662","491,546","2,090",0,0,0,"493,636","103,976","19,629","24,109","14,258","2,886","164,858","81,332","45,353","67,733","34,806","22,009","251,233","144,469","253,209","282,096","58,270","95,554","833,598"
Milwaukee,WI,"64,505","2,611,848","628,480","191,270","124,052","42,451","3,598,102","142,356","59,335","126,134","42,653","36,036","406,514","114,162","77,669","122,000","104,133","166,115","584,080","45,074","222,983","400,785","519,312","2,359,466","3,547,619"
Minneapolis--St.    Paul,MN,"180,101","11,703,992","4,234,132","2,952,225","875,070","312,886","20,078,305","5,208,523","1,414,088","975,015","509,795","199,041","8,306,461","3,963,900","863,343","627,140","148,435","128,050","5,730,868","5,337,877","3,614,357","4,283,651","3,266,438","1,143,611","17,645,936"
Mission    Viejo--Lake Forest--San Clemente,CA,0,"1,397,011","425,518","484,277","65,584","9,850","2,382,239","140,844","41,191","31,239","4,166","6,481","223,920","20,802","19,437","28,822","39,275","48,541","156,877",0,0,288,"1,333,026","321,215","1,654,529"
Missoula,MT,0,"155,676","14,212","14,630","4,711",0,"189,228",0,0,0,0,0,0,"78,100","41,110","53,491","38,497","16,659","227,857","31,074","36,162","42,325","43,000","50,884","203,445"
Mobile,AL,"2,450,916","2,396,927","133,899","178,508","67,546","25,960","2,802,839",0,0,0,0,0,0,"190,840","27,390","26,411","14,301","7,953","266,896","93,454","13,495","2,528","1,124",0,"110,601"
Modesto,CA,0,0,0,0,0,0,0,"1,096,255","32,741",0,"24,390",0,"1,153,386","51,787","32,592","66,315","23,972","33,256","207,922","2,006","4,080","277,738","572,990","217,867","1,074,680"
Monessen--California,PA,0,"250,044","53,483","19,654","19,422",0,"342,604","41,652",0,"62,530",0,0,"104,182","51,028","16,868","24,998","6,364","3,891","103,148","53,606","52,504","104,110","56,803","12,676","279,699"
Monroe,LA,"39,167","670,514","32,755","23,794","20,429","53,668","801,160",0,0,0,0,0,0,"320,024","63,679","111,575","87,291","132,261","714,830","86,358","80,907","220,048","143,662","95,156","626,131"
Monroe,MI,0,"115,770","58,354","167,348","191,234","106,628","639,335",0,0,0,0,0,0,"76,005","32,047","44,062","25,105","8,392","185,611","165,163","30,817","161,621","20,685","213,401","591,687"
Montgomery,AL,"1,345,929","1,700,425","291,944","182,544","56,257",0,"2,231,170","98,157","5,530","3,461",0,0,"107,148","308,607","61,000","51,478","8,065","10,494","439,644","213,677","31,366","36,278","5,412","6,629","293,362"
Morgantown,WV,"36,840","312,284","8,104","3,174","3,376",0,"326,938",0,0,0,0,0,0,"68,869","72,184","112,153","94,257","67,922","415,385","92,314","19,629","75,502","60,664","66,292","314,400"
Morristown,TN,"94,042","12,061",0,0,0,0,"12,061",0,0,0,0,0,0,"151,877","11,886","9,494","1,981",0,"175,237","143,767","5,485","23,154","1,593","9,165","183,165"
Mount    Vernon,WA,"36,340","363,111","49,478","23,903",0,0,"436,491",0,0,0,0,0,0,"66,653","36,157","63,711","11,773","30,390","208,683","112,495","21,448","53,257","78,483","31,887","297,570"
Muncie,IN,"760,799",0,0,0,0,0,0,"50,465","9,605","19,012","3,529",292,"82,903","205,829","48,471","36,975","4,762",301,"296,339","44,737","12,133","12,769","10,008","6,541","86,186"
Murrieta--Temecula--Menifee,CA,0,"826,639","475,811","365,293","81,850",0,"1,749,593",0,0,0,0,0,0,"25,391","22,828","109,766","45,135","71,987","275,106","128,380","164,249","508,243","171,025","838,993","1,810,890"
Muskegon,MI,336,"120,517","3,136","1,563","1,708",0,"126,924","765,405","16,965","25,272",461,"3,939","812,041","176,819","123,516","135,096","80,694","49,134","565,260","635,427","39,568","575,330",0,"263,318","1,513,642"
Myrtle    Beach--Socastee,NC,165,0,0,0,0,0,0,0,0,0,0,0,0,"303,516","17,708","9,222","3,224","2,088","335,758","55,760","1,078",242,0,0,"57,080"
Myrtle Beach--Socastee,SC,0,0,0,0,0,0,0,"131,048","8,084","20,330",0,0,"159,462","512,320","331,357","453,738","55,259","6,446","1,359,120","408,362",0,"589,246","211,375","18,953","1,227,936"
Nampa,ID,"8,814","431,859","245,946","226,287","57,003","8,649","969,743",0,0,0,0,0,0,"258,111","145,213","134,979","61,909","44,377","644,588","274,980","23,036","89,611","194,710","71,285","653,623"
Napa,CA,0,0,0,0,0,0,0,"214,861","76,172","84,191","20,798","13,350","409,371","35,058","43,689","51,767","13,324","11,882","155,720",0,"4,744","43,535","2,900","100,862","152,040"
Nashua,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,621",0,0,0,0,"2,621",0,0,0,0,0,0
Nashua,NH,0,"745,696","53,925","14,212","26,139",0,"839,973","1,382,379","11,544","21,070",0,0,"1,414,993","265,459","61,868","108,933","75,429","67,516","579,206","157,401","447,502","1,017,876","77,471","37,060","1,737,311"
Nashville-Davidson,TN,"3,453,205","3,637,817","151,419","48,367","9,503","14,274","3,861,380","1,061,407","173,926","135,276","22,926","1,816","1,395,351","642,977","123,281","97,211","28,660","26,737","918,866","1,883,631","480,805","565,106","206,448","158,748","3,294,738"
Newark,OH,0,"104,848","10,405",0,0,0,"115,253","155,080","6,248","14,020",0,0,"175,348","95,819","33,733","31,429","13,980","8,510","183,470","80,445","65,786","62,868","33,986","26,793","269,878"
New Bedford,MA,"1,171","2,077,218","46,060","35,705","8,133","29,082","2,196,199","431,415","39,995","13,582","10,928","4,280","500,200","23,276","12,474","14,039","8,437","12,548","70,774","70,539","59,799","1,248,709","148,185","83,591","1,610,823"
New Bern,NC,"25,034",0,0,0,0,0,0,"150,595","29,826","12,074","2,857",0,"195,352","372,381","30,382","44,857","15,836","9,234","472,690","84,413","58,861","58,652","14,255","5,770","221,952"
New Haven,CT,0,"1,438,955","158,416","127,097","95,484","22,720","1,842,672","672,336","91,489","27,091","11,274","8,900","811,090","31,302","34,352","100,372","40,593","95,377","301,996","53,951","300,910","539,859","283,135","1,167,617","2,345,473"
New Orleans,LA,"729,491","1,949,995","241,985","376,823","119,646","37,163","2,725,612",0,0,"59,318","18,509","35,300","113,126","1,395,184","609,533","1,170,373","495,001","771,098","4,441,189","679,825","431,422","657,518","465,936","1,048,478","3,283,179"
New    York--Newark,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New    York--Newark,NJ,"20,387","4,438,500","566,950","698,581","272,217","205,147","6,181,395","3,843,752","375,985","486,520","142,391","183,458","5,032,106","912,738","399,726","497,568","227,186","281,708","2,318,926","5,671,158","2,813,636","7,414,970","4,487,229","4,291,453","24,678,446"
New    York--Newark,NY,"678,362","2,304,422","1,257,198","927,715","270,946","132,290","4,892,571","1,282,033","990,979","1,485,683","1,060,190","805,509","5,624,394","157,073","121,901","337,686","343,843","475,356","1,435,859","1,862,388","3,170,066","8,473,331","6,008,652","6,441,653","25,956,091"
North    Port--Port Charlotte,FL,"206,552","265,035","35,983","4,010","3,570",0,"308,597",0,0,0,0,0,0,"472,205","73,376","36,355",0,"1,860","583,796","756,205","90,215","237,758","40,924","4,612","1,129,714"
Norwich--New London,CT,0,"886,853","164,249","61,732","9,424",0,"1,122,258","66,358","19,097","19,449","5,369","11,674","121,947","59,239","28,544","60,454","34,077","27,271","209,585","28,507","82,587","348,791","267,026","278,139","1,005,050"
Norwich--New    London,RI,0,0,0,0,0,0,0,"6,430","4,678","27,424","16,632","7,450","62,614","44,102","15,693","20,839","16,489","9,149","106,272","7,735","23,133","46,752","31,662","18,577","127,858"
Ocala,FL,"64,096","857,929","8,512","9,600",0,0,"876,041",0,0,0,0,0,0,"382,553","59,101","19,856","4,565",203,"466,277","1,654,392","110,087","106,204","40,779","19,129","1,930,591"
Odessa,TX,"203,693","688,285","18,938","11,759",0,0,"718,983","137,459","1,549",527,0,560,"140,094","209,100","41,184","64,137","36,999","32,328","383,748","127,262","198,235","207,295","180,605","91,264","804,660"
Ogden--Layton,UT,"87,496","4,398,066","594,954","279,020","39,877","1,566","5,313,483","281,882","8,163","4,748","2,527",0,"297,321","1,598,637","422,671","360,585","104,638","31,758","2,518,288","260,842","128,241","118,472","20,942","9,672","538,169"
Oklahoma    City,OK,"7,793","2,087,570","528,669","335,095","366,054","161,434","3,478,823","952,856","193,431","61,867","24,255","33,334","1,265,744","162,517","212,662","331,700","114,042","105,607","926,528","351,162","272,990","2,057,713","1,701,916","1,159,074","5,542,855"
Olympia--Lacey,WA,0,"1,574,458","109,867","24,090","15,595","5,459","1,729,468","255,274","62,931","15,776","2,297","1,750","338,028","53,555","57,413","32,749","19,155","26,446","189,318","186,907","139,090","357,042","171,153","145,845","1,000,038"
Omaha,IA,"295,710","290,785","126,601","94,959","27,028","11,356","550,728",0,0,0,0,0,0,"14,404","28,645","46,711","37,911","71,330","199,001",0,"40,060","1,530","2,295","18,374","62,259"
Omaha,NE,"1,391,126","1,929,437","350,928","297,416","108,410",0,"2,686,190","1,222,773","252,031","155,039","125,555","112,667","1,868,065","234,759","297,614","716,920","585,543","775,856","2,610,692","1,175,664","811,351","584,112","545,292","22,601","3,139,020"
Orlando,FL,"590,034","1,242,193","156,334","60,451","23,679",0,"1,482,657","1,903,510","122,300","93,698",0,0,"2,119,507","941,819","230,400","177,900","45,695","15,249","1,411,063","8,140,751","1,874,512","943,980","565,285","344,055","11,868,584"
Oshkosh,WI,"21,316","122,936","235,747","39,610",0,0,"398,293",0,0,0,0,0,0,"5,861","8,969","34,473","12,195","17,063","78,560","25,007","46,686","51,420","84,619","125,032","332,764"
Owensboro,KY,"479,122",0,0,0,0,0,0,"215,500","18,628",0,"1,008",0,"235,135","60,369","39,495","48,287","36,550","23,694","208,396","24,158","11,607","14,698","11,155","4,681","66,299"
