FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
,,,INTERSTATE,,,,,,OTHER    FREEWAYS & EXPRESSWAYS,,,,,,OTHER    PRINCIPAL ARTERIAL,,,,,,MINOR  ARTERIAL (5),,,,,
,,,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,"<95

        >=3.5","95-119

        3.1-3.4","120-169

        2.6-3.0","170-220

        2.1-2.5",">220

        <=2.0","TOTAL
        REPORTED"
Bellingham,WA,"94,097","384,960","342,558","142,148","16,455",0,"886,121",0,0,0,0,0,0,"42,316","22,388","37,229","39,556","39,863","181,352","27,321","9,258","140,996","203,550","105,897","487,022"
Beloit,IL,0,"126,999",0,0,0,0,"126,999",0,0,0,0,0,0,"4,875","55,786","48,053",0,"2,820","111,534","27,564",0,"55,261","3,871","2,947","89,643"
Beloit,WI,"1,978","143,228","4,961","13,802","4,609","2,786","169,385",0,0,0,0,0,0,"4,733","7,161","17,357","22,130","13,473","64,853","17,246","49,735","25,674","32,121","38,348","163,125"
Bend,OR,"6,865",0,0,0,0,0,0,0,0,0,0,0,0,"460,353","72,175","59,655","23,707","30,227","646,116","282,494","137,990","169,960","12,428","13,828","616,701"
Benton Harbor--St. Joseph--Fair Plain,MI,0,"414,755","189,639","75,367","83,159","52,898","815,819",0,0,0,0,0,0,"36,048","19,901","38,273","29,951","35,080","159,253","334,028","12,082","125,826","33,221","18,062","523,219"
Billings,MT,"4,969","91,810","5,284","7,483",0,0,"104,576",0,0,0,0,0,0,"32,963","29,209","43,634","24,758","38,513","169,077","158,166","20,162","67,618","72,291","40,206","358,443"
Binghamton,NY,"45,413","349,284","12,447","39,849","25,199","35,304","462,084","507,963","133,510","113,175","37,336","6,029","798,014","98,842","33,169","6,263","3,397","3,249","144,920","225,065","172,351","435,788","218,427","118,665","1,170,296"
Binghamton,PA,0,"34,820","1,953","6,993",293,215,"44,274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,144","1,144"
Birmingham,AL,"3,316,193","6,803,884","964,036","1,544,434","889,933","507,836","10,710,123","44,611","37,840","10,325","9,109","2,164","104,049","637,019","108,187","119,169","47,914","32,695","944,985","626,895","252,133","140,197",0,"33,955","1,053,180"
Bismarck,ND,0,"287,972","17,437","11,737","2,504","3,243","322,892",0,0,0,0,0,0,"90,133","59,968","50,636","30,810","21,842","253,389","35,279","62,186","100,177","42,204","53,340","293,185"
Blacksburg,VA,516,"137,422","53,685","30,324","3,556","1,152","226,138","249,066","64,075","37,341","1,242","1,844","353,568","57,595","41,579","54,169","17,754","7,253","178,351","78,075","127,895","181,574","61,415","12,915","461,873"
Bloomington,IN,"654,120",0,0,0,0,0,0,0,0,0,0,0,0,"234,491","24,776","17,882","20,952","7,618","305,719",0,"8,766","7,146",0,0,"15,912"
Bloomington--Normal,IL,0,"881,387","29,055",0,0,0,"910,442","6,028",0,0,"30,516",0,"36,544","178,933","198,412","112,998","42,492","4,480","537,315","96,030","8,692","216,546","102,798","292,881","716,948"
Bloomsburg--Berwick,PA,0,"461,231","28,950","22,119","7,226",164,"519,691",0,0,0,0,0,0,"21,579","8,165","6,838",0,0,"36,582","89,068",0,"16,527","49,799","28,157","183,551"
Boise City,ID,"35,156","1,419,096","219,692","63,103",0,0,"1,701,891",0,0,0,0,0,0,"923,907","177,800","116,566","54,558","22,543","1,295,374","1,685,358","76,361","591,473","82,072","23,241","2,458,506"
Bonita Springs,FL,"23,147","976,755","18,654",0,0,0,"995,409",0,0,0,0,0,0,"532,304","60,202","35,819","4,190",0,"632,514","2,418,808","390,666","632,963","109,522","54,350","3,606,309"
Boston,MA,0,"27,216,746","1,197,653","1,046,941","527,670","637,736","30,626,745","4,515,410","710,844","418,091","108,701","77,031","5,830,077","197,684","211,173","537,641","465,407","394,437","1,806,342","399,170","720,211","16,413,910","1,925,428","1,525,861","20,984,580"
Boston,NH,0,"696,524",0,0,0,0,"696,524","62,867",0,0,0,0,"62,867","66,803","39,566","44,988","23,933","17,710","193,000","103,245","339,253","421,210","14,954","3,626","882,288"
Boulder,CO,0,0,0,0,0,0,0,"261,763","69,802","59,437","37,497","3,190","431,689","29,348","16,732","96,681","56,825","20,138","219,724","72,863","36,025","111,890","116,865","180,671","518,315"
Bowling Green,KY,"195,111","366,863","26,295","3,808",883,0,"397,849","165,816","7,382","3,653",0,0,"176,851","297,132","42,706","11,278","3,609",0,"354,725","354,448","60,813","63,171","8,757","10,291","497,481"
Bremerton,WA,"15,278",0,0,0,0,0,0,"1,527,479","89,480","39,290","3,609","2,970","1,662,828","200,727","108,002","103,298","47,064","73,808","532,899","72,643","7,629","209,483","129,649","394,429","813,834"
Bridgeport--Stamford,CT,0,"1,143,910","242,927","149,699","50,912","12,595","1,600,043","830,661","148,216","122,576","25,729","13,658","1,140,840","22,651","63,753","133,732","112,674","246,885","579,695","209,264","416,873","782,790","488,489","1,676,168","3,573,584"
Bristol--Bristol,TN,"110,705","216,757",0,"2,771",0,0,"219,527",0,0,0,0,0,0,"138,111","28,973","21,365","3,157","1,116","192,722","18,452","34,435","35,922","20,663","13,473","122,946"
Bristol--Bristol,VA,"29,929","965,211","51,518","10,443","2,427",688,"1,030,288",0,0,0,0,0,0,"63,311","41,348","75,668","17,387","6,332","204,046","101,145","56,265","72,094","22,682","8,119","260,305"
Brownsville,TX,"107,311","252,441","19,116","44,839","4,843",0,"321,239","4,744","5,312","14,627",36,0,"24,720","169,619","85,911","90,971","28,743","21,591","396,836","415,999","203,277","197,533","33,484","73,399","923,691"
