STATE,NATIONAL  HIGHWAY  SYSTEM - URBAN,,,,,,,,,,,,
,INTERSTATE  SYSTEM ,,,,,,OTHER ,,,,,,TOTAL 
,AVERAGE  DAILY  TRAFFIC  VOLUME ,,,,,TOTAL,AVERAGE  DAILY  TRAFFIC  VOLUME ,,,,,TOTAL,
,"LESS  THAN 30,000 ","30,000- 69,999 ","70,000- 124,999 ","125,000- 174,999 ","175,000 AND  OVER ",,"LESS  THAN 7,500 ","7,500- 14,999 ","15,000- 34,999 ","35,000- 59,999 ","60,000 AND  OVER ",,
Oregon,60 ,90 ,47 ,37 ,1 ,234 ,108 ,301 ,428 ,56 ,28 ,921 ,"1,155 "
Pennsylvania,169 ,431 ,116 ,26 ,13 ,756 ,441 ,"1,361 ","1,280 ",266 ,67 ,"3,416 ","4,172 "
Rhode Island,-,21 ,13 ,17 ,0 ,52 ,30 ,183 ,167 ,32 ,12 ,424 ,476 
South Carolina,32 ,139 ,125 ,9 ,-,304 ,88 ,377 ,554 ,138 ,4 ,"1,161 ","1,465 "
South Dakota,65 ,22 ,-,-,-,88 ,67 ,57 ,28 ,-,-,153 ,240 
Tennessee,39 ,273 ,139 ,72 ,9 ,531 ,227 ,558 ,935 ,190 ,39 ,"1,948 ","2,479 "
Texas,179 ,488 ,348 ,240 ,161 ,"1,416 ",901 ,"1,618 ","3,030 ",775 ,608 ,"6,932 ","8,348 "
Utah,75 ,60 ,59 ,38 ,22 ,253 ,147 ,172 ,356 ,86 ,9 ,770 ,"1,023 "
Vermont,44 ,18 ,-,-,-,62 ,29 ,72 ,27 ,1 ,-,129 ,191 
Virginia,44 ,337 ,145 ,91 ,36 ,653 ,252 ,491 ,942 ,359 ,106 ,"2,150 ","2,803 "
Washington,52 ,101 ,68 ,72 ,41 ,335 ,188 ,509 ,917 ,173 ,81 ,"1,867 ","2,202 "
West Virginia,80 ,150 ,15 ,-,-,245 ,67 ,148 ,196 ,15 ,-,426 ,671 
Wisconsin,91 ,167 ,77 ,28 ,-,363 ,457 ,736 ,613 ,94 ,23 ,"1,923 ","2,286 "
Wyoming,106 ,-,-,-,-,106 ,106 ,83 ,42 ,-,-,232 ,338 
U.S. Total,"3,379 ","7,387 ","4,824 ","2,133 ","1,340 ","19,063 ","10,264 ","21,107 ","32,996 ","9,127 ","4,522 ","78,015 ","97,078 "
Puerto Rico (2),33 ,140 ,42 ,10 ,8 ,233 ,5 ,17 ,39 ,26 ,29 ,116 ,349 
Grand Total,"3,412 ","7,527 ","4,866 ","2,143 ","1,348 ","19,296 ","10,269 ","21,124 ","33,035 ","9,153 ","4,551 ","78,131 ","97,427 "
