,FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),INTERSTATE,OTHER    FREEWAYS & EXPRESSWAYS,OTHER    PRINCIPAL ARTERIAL,MINOR  ARTERIAL (5),< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95.1,95-119.1,120-169.1,170-220.1,> 220.1,TOTAL REPORTED.1,< 95.2,95-119.2,120-169.2,170-220.2,> 220.2,TOTAL REPORTED.2,"<95
        
        >=3.5","95-119
        
        3.1-3.4","120-169
        
        2.6-3.0","170-220
        
        2.1-2.5",">220
        
        <=2.0","TOTAL
        REPORTED"
376,Peoria,IL,0,31,3,0,0,0,35,2,0,5,3,0,10,37,24,20,15,4,99,33,11,28,52,51,174,,,,,,
377,Petaluma,CA,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1,1,1,3,0,11,3,1,0,16,,,,,,
378,Philadelphia,DE,1,12,3,1,0,0,17,4,1,0,0,0,5,10,3,3,1,2,19,26,17,23,20,17,103,,,,,,
379,Philadelphia,MD,0,4,0,0,0,0,5,2,0,0,0,0,2,11,1,1,1,1,15,19,8,8,2,1,39,,,,,,
380,Philadelphia,NJ,0,13,3,2,1,0,19,16,2,1,0,0,20,12,8,8,4,6,38,165,70,283,154,140,812,,,,,,
381,Philadelphia,PA,0,96,18,27,5,2,148,8,3,5,2,0,19,2,6,14,9,8,39,34,73,240,384,261,992,,,,,,
382,Phoenix--Mesa,AZ,217,63,5,1,0,0,68,144,16,10,1,0,171,87,56,68,29,23,262,122,151,271,119,69,732,,,,,,
383,Pine Bluff,AR,5,1,0,1,1,0,3,0,0,0,0,0,0,1,1,2,1,1,6,5,31,26,23,11,96,,,,,,
384,Pittsburgh,PA,0,149,21,16,4,0,189,15,9,4,1,0,29,9,4,4,2,1,21,183,146,204,203,202,938,,,,,,
385,Pittsfield,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,1,1,19,7,1,94,0,0,102,,,,,,
386,Pocatello,ID,1,13,2,1,0,0,16,0,0,0,0,0,0,10,3,5,3,2,22,33,14,18,14,0,79,,,,,,
387,Port Arthur,TX,12,2,1,0,0,0,3,7,2,1,0,0,10,11,5,5,2,2,26,41,2,33,7,32,114,,,,,,
388,Porterville,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,8,5,6,7,1,8,28,,,,,,
389,Port Huron,MI,1,9,1,0,0,0,11,1,0,0,0,0,2,8,6,6,2,1,23,98,4,37,1,7,147,,,,,,
390,Portland,ME,0,26,1,1,0,0,28,5,0,1,0,0,7,7,7,7,5,3,29,14,10,24,17,14,80,,,,,,
391,Portland,OR,1,54,7,2,1,0,66,23,1,1,1,0,27,63,43,61,35,41,243,787,358,124,55,12,1336,,,,,,
392,Portland,WA,1,16,3,2,0,0,21,25,3,2,1,0,32,8,6,6,3,5,28,16,18,38,29,55,155,,,,,,
393,Port St. Lucie,FL,1,13,0,0,0,0,13,17,0,0,0,0,18,11,11,9,2,1,33,170,25,103,10,13,321,,,,,,
394,Portsmouth,ME,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,2,4,2,3,1,1,11,,,,,,
395,Portsmouth,NH,0,11,0,0,0,0,12,13,1,1,0,0,15,4,3,3,1,1,12,2,25,95,1,1,124,,,,,,
396,Pottstown,PA,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,3,1,1,13,10,7,10,5,2,34,,,,,,
397,Poughkeepsie--Newburgh,NY,0,36,2,2,1,1,40,24,3,4,2,0,33,15,9,12,5,2,43,53,53,93,39,20,258,,,,,,
398,Prescott Valley--Prescott,AZ,23,0,0,0,0,0,0,7,0,0,0,0,7,14,3,1,0,0,19,7,2,1,0,0,10,,,,,,
399,Providence,MA,0,4,0,0,0,0,4,2,1,0,0,0,3,1,4,5,3,1,15,8,11,298,13,17,346,,,,,,
400,Providence,RI,0,41,4,2,1,0,50,25,9,7,2,1,43,9,8,28,20,18,83,17,27,96,91,101,332,,,,,,
401,Provo--Orem,UT,9,32,6,1,0,0,39,0,0,0,0,0,0,55,20,15,6,2,98,9,3,4,1,0,18,,,,,,
402,Pueblo,CO,0,11,1,1,0,0,13,11,3,3,1,0,18,1,2,2,2,1,7,11,5,59,18,62,156,,,,,,
403,Racine,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,4,17,4,3,7,8,34,57,,,,,,
404,Raleigh,NC,5,61,12,5,1,0,78,36,4,4,0,1,44,99,30,23,7,9,168,156,141,115,38,17,466,,,,,,
405,Rapid City,SD,0,19,3,2,1,0,24,8,3,1,0,0,12,7,4,5,3,1,20,12,14,15,17,15,72,,,,,,
406,Reading,PA,0,5,1,1,0,0,8,4,2,3,1,1,12,2,4,4,2,2,14,2,17,27,25,34,105,,,,,,
407,Redding,CA,0,12,0,0,0,0,12,10,2,1,1,0,14,1,1,1,0,0,3,20,0,0,0,77,97,,,,,,
408,Reno,NV,0,10,4,3,0,0,17,11,1,1,0,0,13,11,3,3,3,2,21,51,25,68,30,22,197,,,,,,
409,Richmond,VA,9,103,41,32,8,1,186,24,11,13,4,2,54,85,61,93,40,20,298,32,83,203,128,91,536,,,,,,
410,Riverside--San Bernardino,CA,0,15,3,3,0,0,22,11,5,5,2,1,24,2,4,6,4,5,20,65,193,174,84,187,704,,,,,,
411,Roanoke,VA,4,32,5,2,0,0,39,3,0,0,0,0,3,25,12,15,6,3,61,23,23,41,17,3,107,,,,,,
412,Rochester,MN,2,0,0,0,0,0,0,4,4,2,0,0,10,7,4,3,1,0,16,12,17,17,7,17,71,,,,,,
413,Rochester,NY,0,23,5,3,1,0,32,19,6,4,1,0,30,10,8,7,2,1,27,185,106,69,41,24,425,,,,,,
414,Rockford,IL,0,20,8,3,0,0,31,10,2,0,0,0,12,42,22,22,46,15,148,3,23,71,38,37,172,,,,,,
415,Rock Hill,SC,0,5,0,0,0,0,6,0,1,2,2,0,4,2,7,3,1,0,13,4,11,11,22,9,56,,,,,,
416,Rocky Mount,NC,1,3,0,0,0,0,4,12,0,0,0,0,13,17,5,6,3,4,35,31,9,16,7,5,68,,,,,,
417,Rome,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,3,2,2,52,19,2,2,0,0,24,,,,,,
418,Round Lake Beach--McHenry--Grayslake,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,
419,Sacramento,CA,0,8,1,1,0,0,10,18,2,1,1,0,22,2,1,4,2,4,14,27,40,190,49,107,414,,,,,,
420,Saginaw,MI,0,5,3,7,1,0,15,0,0,0,0,0,0,3,3,6,7,5,24,54,0,38,0,78,169,,,,,,
421,St. Augustine,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,13,13,11,15,5,3,47,,,,,,
422,St. Cloud,MN,1,5,0,0,0,0,5,0,0,0,0,0,0,29,3,2,0,1,35,15,20,24,15,13,87,,,,,,
423,St. George,UT,10,13,1,0,0,0,14,9,1,0,0,0,10,0,1,2,0,0,3,5,6,0,0,0,11,,,,,,
424,St. Joseph,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,1,2,2,0,8,,,,,,
425,St. Joseph,MO,1,8,1,1,0,0,10,1,0,1,0,0,3,9,3,2,1,1,16,4,5,10,9,13,41,,,,,,
426,St. Louis,IL,0,60,0,21,0,0,81,14,6,2,0,0,22,111,69,53,7,6,247,49,33,153,69,19,323,,,,,,
427,St. Louis,MO,5,49,5,3,1,0,58,26,6,4,1,0,37,13,6,11,6,4,41,75,63,131,80,112,460,,,,,,
428,Salem,OR,0,12,2,0,0,0,15,10,1,0,0,0,11,17,13,13,7,8,58,142,32,49,13,8,244,,,,,,
429,Salinas,CA,0,0,0,0,0,0,0,5,3,2,0,0,10,4,2,2,1,1,9,16,4,7,2,1,30,,,,,,
430,Salisbury,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,2,0,1,1,0,3,,,,,,
431,Salisbury,MD,1,0,0,0,0,0,0,6,0,0,0,0,7,12,0,1,0,1,15,8,10,11,3,5,37,,,,,,
432,Salt Lake City--West Valley City,UT,40,29,16,16,3,0,65,0,0,0,0,0,0,82,34,42,14,7,179,62,4,1,3,2,72,,,,,,
433,San Angelo,TX,2,0,0,0,0,0,0,6,2,2,1,0,11,13,2,1,1,0,18,7,0,6,54,26,93,,,,,,
434,San Antonio,TX,2,39,4,2,0,0,45,18,8,5,1,0,31,14,8,11,5,8,45,183,135,682,264,321,1585,,,,,,
435,San Diego,CA,0,17,1,0,0,0,18,9,4,4,1,0,18,2,4,5,5,7,22,34,5,126,180,437,783,,,,,,
436,San Francisco--Oakland,CA,0,2,1,1,0,0,5,6,3,4,1,2,16,1,2,4,5,11,22,56,33,162,187,410,848,,,,,,
437,San Jose,CA,0,5,1,1,0,0,7,8,5,4,1,0,18,7,3,5,4,6,24,0,0,66,26,281,373,,,,,,
438,San Luis Obispo,CA,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,2,1,0,5,0,1,6,11,10,27,,,,,,
439,San Marcos,TX,2,6,0,1,0,0,7,0,0,0,0,0,0,5,2,1,1,1,10,5,16,26,7,12,66,,,,,,
440,Santa Barbara,CA,0,0,0,0,0,0,0,12,2,1,0,0,15,3,3,5,2,3,16,1,14,13,5,32,64,,,,,,
441,Santa Clarita,CA,0,3,2,3,1,0,8,4,0,0,0,0,5,3,3,1,1,1,9,1,5,4,16,11,37,,,,,,
442,Santa Cruz,CA,0,0,0,0,0,0,0,5,2,0,0,0,7,0,1,1,1,2,5,4,22,17,14,16,73,,,,,,
443,Santa Fe,NM,4,7,0,0,0,0,8,0,0,0,0,0,0,9,2,1,0,0,12,6,10,31,5,11,64,,,,,,
444,Santa Maria,CA,0,0,0,0,0,0,0,7,0,0,0,0,7,5,1,1,1,0,8,24,8,11,11,8,62,,,,,,
445,Santa Rosa,CA,0,0,0,0,0,0,0,10,4,2,0,0,16,6,2,3,2,3,16,0,16,21,19,61,117,,,,,,
446,Sarasota--Bradenton,FL,0,11,0,0,0,0,12,0,0,0,0,0,0,21,6,3,1,0,31,48,24,129,33,16,250,,,,,,
447,Saratoga Springs,NY,1,14,4,1,0,0,19,0,1,0,0,0,2,3,1,2,2,2,9,5,7,10,4,0,26,,,,,,
448,Savannah,GA,0,40,5,3,1,0,49,0,1,2,0,0,3,45,11,11,5,7,80,12,5,9,4,2,33,,,,,,
449,Scranton,PA,0,40,10,7,2,2,60,4,1,1,1,0,7,4,3,7,5,3,21,15,31,43,48,70,207,,,,,,
450,Seaside--Monterey,CA,0,0,0,0,0,0,0,2,2,1,0,0,6,2,1,4,2,3,12,1,2,16,14,3,36,,,,,,
451,Seattle,WA,4,78,13,12,7,3,113,88,22,14,3,3,131,64,56,61,30,37,248,65,80,378,276,286,1085,,,,,,
452,Sebastian--Vero Beach South--Florida Ridge,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,0,19,96,16,54,5,4,175,,,,,,
453,Sebring--Avon Park,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,12,22,0,37,0,0,60,,,,,,
454,Sheboygan,WI,0,6,0,0,0,0,6,1,0,0,0,0,1,1,1,1,1,1,5,0,2,2,4,30,38,,,,,,
455,Sherman,TX,13,0,0,0,0,0,0,7,2,4,2,1,16,3,2,5,2,0,12,10,27,48,10,4,99,,,,,,
456,Shreveport,LA,14,16,8,17,9,3,53,1,1,3,4,2,10,20,13,26,18,13,90,31,31,47,38,45,193,,,,,,
457,Sierra Vista,AZ,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,10,6,5,2,0,0,14,,,,,,
458,Simi Valley,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,10,29,0,14,0,53,,,,,,
459,Sioux City,IA,6,9,2,1,1,0,12,0,0,0,0,0,0,11,10,9,3,4,37,0,0,1,9,0,10,,,,,,
460,Sioux City,NE,4,2,0,0,0,0,3,0,1,2,1,1,4,0,0,2,2,1,5,11,5,5,1,0,22,,,,,,
461,Sioux City,SD,0,4,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,7,,,,,,
462,Sioux Falls,SD,0,20,6,6,1,0,33,2,1,0,0,0,3,4,7,7,7,14,38,13,26,40,42,40,162,,,,,,
463,Slidell,LA,2,23,3,2,1,0,29,0,0,0,0,0,0,7,6,4,1,2,20,14,6,8,5,4,38,,,,,,
464,South Bend,IN,79,0,0,0,0,0,0,15,9,5,1,0,30,9,9,12,5,3,39,8,1,3,1,0,13,,,,,,
465,South Bend,MI,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,5,5,1,13,14,2,39,4,20,79,,,,,,
466,South Lyon--Howell,MI,0,14,1,1,2,1,18,12,0,1,0,0,13,6,6,5,3,1,20,43,6,95,2,48,194,,,,,,
467,Spartanburg,SC,0,9,3,6,0,0,18,8,0,0,0,0,8,6,3,3,1,0,13,23,16,57,10,4,109,,,,,,
468,Spokane,WA,2,21,3,1,0,0,26,13,3,1,0,0,17,25,7,8,8,8,55,33,36,63,29,52,213,,,,,,
469,Springfield,IL,0,36,0,0,0,0,36,0,0,0,0,0,0,32,17,10,7,2,68,10,14,59,14,21,118,,,,,,
470,Springfield,CT,0,7,0,0,0,0,7,3,1,1,0,0,4,1,3,6,2,2,13,6,9,20,13,14,62,,,,,,
471,Springfield,MA,0,66,3,2,1,2,75,5,1,1,1,0,8,8,5,5,3,3,24,94,17,384,17,156,668,,,,,,
472,Springfield,MO,0,11,1,0,0,0,12,38,4,3,1,0,46,13,4,6,2,1,26,16,22,36,22,19,115,,,,,,
473,Springfield,OH,0,5,0,0,0,0,6,7,0,1,0,0,7,3,1,3,1,1,9,22,17,12,13,11,75,,,,,,
474,Spring Hill,FL,2,0,0,0,0,0,0,11,0,0,0,0,11,18,3,1,0,0,23,55,5,18,28,4,110,,,,,,
475,State College,PA,0,6,1,1,0,0,8,1,0,0,0,0,2,4,2,4,2,0,12,6,9,9,1,0,24,,,,,,
476,Staunton--Waynesboro,VA,0,15,0,0,0,0,16,6,1,0,0,0,7,6,4,4,1,0,16,23,20,14,7,3,67,,,,,,
477,Stockton,CA,0,4,0,0,0,0,5,3,1,1,1,1,6,4,3,2,1,3,13,13,4,20,11,21,70,,,,,,
478,Sumter,SC,0,0,0,0,0,0,0,3,0,0,0,0,3,4,1,6,2,1,14,3,19,9,18,7,56,,,,,,
479,Syracuse,NY,0,27,3,2,0,0,32,21,2,2,1,0,26,5,3,4,3,3,18,77,36,49,28,40,230,,,,,,
480,Tallahassee,FL,1,12,0,0,0,0,12,0,0,0,0,0,0,14,3,1,0,0,18,103,13,30,6,2,154,,,,,,
481,Tampa--St. Petersburg,FL,15,37,1,1,0,0,39,10,2,1,0,0,13,33,6,3,1,0,44,458,79,323,245,114,1219,,,,,,
482,Temple,TX,12,9,2,2,1,0,14,3,0,1,0,0,4,9,4,3,1,1,19,54,9,31,16,19,129,,,,,,
483,Terre Haute,IN,33,8,0,1,0,0,9,0,0,0,0,0,0,30,5,6,3,2,46,12,5,0,0,1,18,,,,,,
484,Texarkana--Texarkana,AR,1,6,2,1,0,0,9,0,1,0,0,0,1,3,1,1,1,2,7,1,7,22,30,3,62,,,,,,
485,Texarkana--Texarkana,TX,5,6,0,0,0,0,7,0,1,0,0,0,2,6,1,1,1,0,9,56,7,24,19,0,106,,,,,,
486,Texas City,TX,16,7,2,1,1,0,12,1,0,2,1,0,5,10,3,2,2,1,18,61,9,29,34,21,153,,,,,,
487,Thousand Oaks,CA,0,0,0,0,0,0,0,2,1,4,1,0,7,1,1,3,4,2,11,47,5,6,3,20,81,,,,,,
488,Titusville,FL,4,7,0,0,0,0,7,2,0,0,0,0,2,9,3,1,0,0,14,9,3,1,2,8,23,,,,,,
489,Toledo,MI,0,1,0,0,0,0,1,0,1,0,0,0,2,2,2,1,0,0,6,8,2,21,0,31,62,,,,,,
490,Toledo,OH,0,19,3,2,0,0,24,5,0,0,0,0,5,4,5,6,2,2,19,85,57,69,42,76,328,,,,,,
491,Topeka,KS,3,11,5,5,1,0,21,11,2,2,1,0,15,3,1,2,1,1,9,7,16,45,27,68,163,,,,,,
492,Tracy,CA,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,2,7,1,1,0,6,16,25,,,,,,
493,Trenton,NJ,0,12,1,1,0,0,14,5,2,1,0,0,9,3,2,3,4,5,17,32,30,82,33,46,224,,,,,,
494,Tucson,AZ,19,35,5,2,0,0,42,1,0,2,0,0,4,38,27,45,29,29,168,42,36,81,72,104,336,,,,,,
495,Tulsa,OK,1,15,5,4,1,0,25,31,7,10,4,1,53,4,2,8,5,6,26,14,60,274,164,134,645,,,,,,
496,Turlock,CA,0,0,0,0,0,0,0,2,2,1,0,0,5,0,0,0,1,1,3,0,2,4,5,7,18,,,,,,
497,Tuscaloosa,AL,10,10,2,1,0,1,14,0,0,0,0,0,0,9,3,2,0,0,15,7,0,3,3,1,14,,,,,,
498,Twin Rivers--Hightstown,NJ,0,1,0,0,0,0,2,0,1,0,0,0,2,3,2,1,1,0,7,19,3,20,22,15,79,,,,,,
499,Tyler,TX,5,0,0,0,0,0,0,8,2,1,0,0,10,12,4,3,2,1,21,44,52,59,47,8,211,,,,,,
500,Uniontown--Connellsville,PA,0,0,0,0,0,0,0,9,4,0,0,0,13,4,2,1,0,0,8,6,7,15,2,3,33,,,,,,
501,Urban Honolulu,HI,0,9,5,11,7,3,35,3,4,10,5,5,27,4,9,20,20,23,77,2,7,30,16,24,80,,,,,,
502,Utica,NY,0,21,2,1,0,0,25,18,5,5,2,0,29,8,4,6,2,1,21,37,27,37,9,7,116,,,,,,
503,Vacaville,CA,0,4,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,1,5,0,0,0,0,17,17,,,,,,
504,Valdosta,GA,0,20,1,0,0,0,20,0,0,0,0,0,0,29,5,6,2,2,43,6,3,2,0,0,11,,,,,,
505,Vallejo,CA,0,4,3,2,0,0,9,1,1,1,0,0,3,1,2,6,3,2,14,0,0,3,5,49,56,,,,,,
506,Victoria,TX,1,0,0,0,0,0,0,9,2,1,0,0,12,6,3,2,1,1,12,39,7,13,9,7,74,,,,,,
507,Victorville--Hesperia,CA,0,10,2,1,0,0,14,0,0,0,0,0,0,8,4,2,3,0,17,24,20,131,88,67,329,,,,,,
508,Villas,NJ,0,0,0,0,0,0,0,3,1,0,0,0,5,1,1,2,1,2,6,7,11,34,13,1,66,,,,,,
509,Vineland,NJ,0,0,0,0,0,0,0,4,1,1,0,1,8,1,1,2,1,1,5,4,17,52,31,15,119,,,,,,
510,Virginia Beach,VA,16,52,22,14,4,1,94,19,11,6,2,1,40,120,73,108,63,35,399,48,59,133,108,66,414,,,,,,
511,Visalia,CA,0,0,0,0,0,0,0,6,3,4,1,0,14,5,4,5,1,2,17,28,18,41,16,22,125,,,,,,
512,Waco,TX,1,10,2,1,1,0,14,8,1,1,1,1,11,8,3,2,0,1,14,30,61,62,47,82,282,,,,,,
513,Waldorf,MD,1,0,0,0,0,0,0,4,0,0,0,0,5,21,3,2,1,0,26,16,9,11,3,2,41,,,,,,
514,Walla Walla,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,7,13,2,1,0,0,17,,,,,,
515,Walla Walla,WA,4,0,0,0,0,0,0,7,0,0,0,0,8,3,0,1,1,4,10,2,4,6,9,8,28,,,,,,
516,Warner Robins,GA,0,10,3,4,1,0,18,0,0,0,0,0,0,28,8,5,1,1,43,26,1,2,2,1,33,,,,,,
517,Washington,DC,0,0,0,6,1,1,8,0,0,6,2,2,10,0,0,2,1,33,36,2,0,0,2,159,164,,,,,,
518,Washington,MD,0,24,2,1,1,1,29,10,3,2,0,1,16,22,9,9,4,4,47,39,96,134,74,45,387,,,,,,
519,Washington,VA,7,68,17,10,2,0,98,73,15,13,3,1,104,74,51,67,44,38,274,66,109,195,85,80,535,,,,,,
520,Waterbury,CT,0,3,1,1,0,1,6,3,1,1,0,0,5,0,1,2,2,3,7,2,9,20,21,41,94,,,,,,
521,Waterloo,IA,19,6,0,0,0,0,6,0,0,0,0,0,0,15,12,19,5,6,57,0,0,0,0,8,8,,,,,,
522,Watertown,NY,0,7,0,0,0,0,8,0,0,0,0,0,0,4,2,1,1,1,9,37,10,8,2,0,56,,,,,,
523,Watsonville,CA,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,1,1,4,4,1,4,3,2,14,,,,,,
524,Wausau,WI,0,6,1,0,0,0,7,5,2,1,0,0,8,2,0,1,1,1,5,0,13,15,16,19,63,,,,,,
525,Weirton--Steubenville,OH,0,0,0,0,0,0,0,12,1,1,0,0,13,4,2,4,0,1,11,6,3,5,10,9,32,,,,,,
526,Weirton--Steubenville,PA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
527,Weirton--Steubenville,WV,6,0,0,0,0,0,0,1,1,2,1,0,5,10,4,3,1,0,20,8,1,8,8,9,34,,,,,,
528,Wenatchee,WA,0,0,0,0,0,0,0,16,1,1,0,0,18,10,3,3,1,1,18,16,8,19,8,7,59,,,,,,
529,West Bend,WI,0,0,0,0,0,0,1,1,1,1,1,0,3,0,0,1,0,1,3,1,0,0,19,14,34,,,,,,
530,Westminster--Eldersburg,MD,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,1,1,18,6,9,3,1,6,25,,,,,,
531,Wheeling,OH,0,10,1,0,0,0,11,4,1,1,0,0,7,2,1,1,0,0,5,4,3,3,5,6,20,,,,,,
532,Wheeling,WV,4,6,0,0,0,0,7,0,0,0,0,1,2,8,5,6,5,3,27,1,2,14,2,21,40,,,,,,
533,Wichita,KS,5,32,2,2,1,0,36,21,3,6,3,0,34,8,1,1,1,0,11,64,14,89,39,25,230,,,,,,
534,Wichita Falls,TX,1,3,1,2,0,0,6,4,2,2,0,0,8,9,5,4,2,1,21,23,4,43,42,36,148,,,,,,
535,Williamsburg,VA,0,11,2,4,0,0,17,0,0,0,0,0,0,20,9,6,2,0,37,11,9,11,7,3,42,,,,,,
536,Williamsport,PA,0,8,0,1,0,0,10,2,0,0,0,0,3,2,0,1,1,1,5,17,8,10,4,2,41,,,,,,
537,Wilmington,NC,2,8,2,1,0,0,11,8,2,3,1,0,14,27,22,28,12,6,95,27,18,21,10,7,83,,,,,,
538,Winchester,VA,1,16,0,0,0,0,16,8,0,0,0,0,9,27,7,8,4,1,47,6,8,4,1,1,20,,,,,,
539,Winston-Salem,NC,8,32,7,4,1,0,44,37,18,15,2,1,74,18,14,10,3,2,46,65,41,45,10,11,172,,,,,,
540,Winter Haven,FL,0,2,0,0,0,0,2,1,0,0,0,0,1,17,3,1,1,0,21,41,7,112,4,1,164,,,,,,
541,Woodland,CA,0,5,0,0,0,0,5,3,0,0,0,0,4,0,1,1,1,0,3,0,0,2,2,20,24,,,,,,
542,Worcester,CT,0,4,4,3,0,0,11,0,0,0,0,0,0,0,1,1,1,1,5,3,8,13,8,5,38,,,,,,
543,Worcester,MA,0,71,4,4,2,2,84,9,0,0,0,0,9,2,2,5,3,3,15,25,27,489,45,59,644,,,,,,
544,Yakima,WA,0,10,0,0,0,0,10,17,1,0,0,0,19,1,1,2,2,3,8,4,7,22,10,36,78,,,,,,
545,York,PA,0,16,1,1,0,0,18,4,1,1,0,0,5,4,3,3,1,2,14,12,17,40,12,13,94,,,,,,
546,Youngstown,OH,0,20,1,2,0,0,23,14,2,2,0,0,18,11,6,7,3,2,28,58,44,34,28,29,194,,,,,,
547,Youngstown,PA,0,1,0,0,0,0,1,3,0,0,0,0,4,2,0,2,1,2,7,9,10,7,3,2,30,,,,,,
548,Yuba City,CA,0,0,0,0,0,0,0,5,0,0,0,0,5,6,1,2,0,0,8,12,0,18,24,5,59,,,,,,
549,Yuma,AZ,34,14,0,0,0,0,14,3,0,0,0,0,3,3,2,0,0,0,5,0,0,0,0,0,0,,,,,,
550,Zephyrhills,FL,4,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,13,17,3,21,22,2,65,,,,,,
551,TOTAL,US,3012,7370,1159,923,262,97,9811,3397,751,686,230,116,5180,7289,3289,4078,1998,1901,18555,24943,12653,33867,15748,18837,106047,,,,,,
