,FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),INTERSTATE,OTHER    FREEWAYS & EXPRESSWAYS,OTHER    PRINCIPAL ARTERIAL,MINOR  ARTERIAL (5),< 95,95-119,120-169,170-220,> 220,TOTAL REPORTED,< 95.1,95-119.1,120-169.1,170-220.1,> 220.1,TOTAL REPORTED.1,< 95.2,95-119.2,120-169.2,170-220.2,> 220.2,TOTAL REPORTED.2,"<95
        
        >=3.5","95-119
        
        3.1-3.4","120-169
        
        2.6-3.0","170-220
        
        2.1-2.5",">220
        
        <=2.0","TOTAL
        REPORTED"
38,Beckley,WV,3,18,4,4,0,0,26,0,0,0,0,0,0,16,6,3,1,1,27,47,12,35,2,3,100,,,,,,
39,Bellingham,WA,1,8,7,3,0,0,18,0,0,0,0,0,0,2,1,2,2,2,9,8,3,17,29,13,69,,,,,,
40,Beloit,IL,0,3,0,0,0,0,3,0,0,0,0,0,0,1,5,6,0,0,12,6,0,13,2,1,22,,,,,,
41,Beloit,WI,0,4,0,0,0,0,5,0,0,0,0,0,0,0,1,2,2,1,6,6,8,7,5,10,36,,,,,,
42,Bend,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,4,1,2,29,52,19,37,5,5,117,,,,,,
43,Benton Harbor--St. Joseph--Fair Plain,MI,0,9,4,2,2,1,17,0,0,0,0,0,0,3,2,3,3,3,15,64,1,28,4,5,102,,,,,,
44,Billings,MT,1,4,1,1,0,0,5,0,0,0,0,0,0,2,2,2,2,3,12,17,4,11,9,7,48,,,,,,
45,Binghamton,NY,3,12,1,1,1,1,16,14,5,4,1,0,24,4,2,0,0,0,7,30,19,63,25,12,149,,,,,,
46,Binghamton,PA,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
47,Birmingham,AL,46,105,12,18,10,6,151,0,1,0,0,0,1,28,5,4,2,1,40,57,19,14,0,3,94,,,,,,
48,Bismarck,ND,0,14,1,1,0,0,16,0,0,0,0,0,0,8,6,5,2,2,23,4,9,15,6,13,47,,,,,,
49,Blacksburg,VA,0,3,1,1,0,0,5,9,2,1,0,0,12,5,4,5,2,1,17,5,8,14,6,1,35,,,,,,
50,Bloomington,IN,37,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,0,19,0,2,2,0,0,3,,,,,,
51,Bloomington--Normal,IL,0,31,1,0,0,0,32,0,0,0,2,0,3,13,11,9,3,0,37,26,3,37,15,37,118,,,,,,
52,Bloomsburg--Berwick,PA,0,12,1,1,0,0,13,0,0,0,0,0,0,1,1,0,0,0,2,14,0,3,11,8,35,,,,,,
53,Boise City,ID,6,20,3,1,0,0,23,0,0,0,0,0,0,36,10,8,3,1,59,263,15,80,23,9,389,,,,,,
54,Bonita Springs,FL,3,14,0,0,0,0,14,0,0,0,0,0,0,13,2,1,0,0,16,115,12,37,3,2,170,,,,,,
55,Boston,MA,0,250,10,9,5,6,279,57,9,6,1,1,75,9,13,33,26,22,104,51,97,3411,206,138,3903,,,,,,
56,Boston,NH,0,8,0,0,0,0,8,1,0,0,0,0,1,6,2,2,1,1,13,9,56,83,1,0,148,,,,,,
57,Boulder,CO,0,0,0,0,0,0,0,6,1,1,1,0,9,2,0,4,2,1,9,4,5,12,10,15,46,,,,,,
58,Bowling Green,KY,9,7,0,0,0,0,7,9,0,0,0,0,9,15,2,1,0,0,17,14,3,3,1,1,21,,,,,,
59,Bremerton,WA,1,0,0,0,0,0,0,38,3,2,0,0,43,9,5,5,3,3,25,26,2,55,21,42,146,,,,,,
60,Bridgeport--Stamford,CT,0,10,2,1,0,0,14,14,3,2,0,0,19,1,3,8,6,13,31,23,45,79,60,217,424,,,,,,
61,Bristol--Bristol,TN,5,7,0,0,0,0,7,0,0,0,0,0,0,10,2,2,0,0,14,4,5,5,2,1,18,,,,,,
62,Bristol--Bristol,VA,2,23,1,0,0,0,24,0,0,0,0,0,0,9,10,12,2,1,35,11,6,8,4,2,31,,,,,,
63,Brownsville,TX,12,5,0,1,0,0,6,1,0,1,0,0,2,10,6,7,2,2,27,88,40,38,7,17,190,,,,,,
64,Brunswick,GA,0,13,1,0,0,0,14,0,0,0,0,0,0,18,7,5,2,1,33,12,3,4,1,1,20,,,,,,
65,Buffalo,NY,1,27,3,3,1,0,34,21,9,10,9,4,52,6,7,6,3,3,25,199,131,123,18,31,501,,,,,,
