STATE,NATIONAL  HIGHWAY     SYSTEM,,,,,,,,,OTHER FEDERAL-AID HIGHWAYS,,,ALL FEDERAL-AID HIGHWAYS ,,,ALL NON-FEDERAL-AID HIGHWAYS,,,TOTAL
,INTERSTATE,,,OTHER,,,TOTAL,,,,,,,,,,,,
,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,
Texas (2),"27,433 ","77,226 ","104,659 ","32,187 ","112,884 ","145,071 ","59,620 ","190,110 ","249,730 ","41,086 ","97,536 ","138,622 ","100,706 ","287,646 ","388,352 ","10,161 ","16,894 ","27,055 ","415,408 "
Utah,"4,961 ","11,982 ","16,943 ","3,670 ","9,141 ","12,811 ","8,630 ","21,123 ","29,753 ","2,030 ","7,004 ","9,034 ","10,660 ","28,127 ","38,787 ","2,677 ","6,179 ","8,855 ","47,642 "
Vermont,"1,962 ",868 ,"2,830 ","1,124 ",889 ,"2,013 ","3,085 ","1,757 ","4,843 ","3,423 ","1,034 ","4,458 ","6,509 ","2,792 ","9,300 ","1,858 ",612 ,"2,470 ","11,770 "
Virginia,"10,396 ","30,211 ","40,607 ","8,841 ","31,143 ","39,984 ","19,237 ","61,354 ","80,591 ","12,981 ","25,023 ","38,003 ","32,218 ","86,376 ","118,594 ","5,765 ","8,612 ","14,377 ","132,971 "
Washington,"7,417 ","19,042 ","26,459 ","6,421 ","24,493 ","30,915 ","13,838 ","43,536 ","57,374 ","9,152 ","18,257 ","27,409 ","22,990 ","61,792 ","84,783 ","3,587 ","7,631 ","11,219 ","96,001 "
West Virginia,"3,525 ","5,648 ","9,173 ","3,597 ","4,098 ","7,695 ","7,122 ","9,746 ","16,868 ","6,201 ","5,330 ","11,531 ","13,323 ","15,076 ","28,399 ","2,324 ","1,185 ","3,509 ","31,908 "
Wisconsin,"9,314 ","12,441 ","21,756 ","12,414 ","17,385 ","29,799 ","21,728 ","29,827 ","51,555 ","20,304 ","14,352 ","34,656 ","42,032 ","44,179 ","86,211 ","9,660 ","4,027 ","13,686 ","99,897 "
Wyoming,"4,051 ",865 ,"4,916 ","2,624 ","1,294 ","3,918 ","6,675 ","2,159 ","8,834 ","1,868 ","1,413 ","3,280 ","8,543 ","3,572 ","12,114 ","2,163 ","1,167 ","3,331 ","15,445 "
U.S. Total,"379,428 ","870,955 ","1,250,383 ","347,502 ","1,125,909 ","1,473,411 ","726,930 ","1,996,864 ","2,723,794 ","480,974 ","1,002,405 ","1,483,379 ","1,207,904 ","2,999,269 ","4,207,173 ","287,023 ","487,324 ","774,347 ","4,981,519 "
Puerto Rico (3),744 ,"8,099 ","8,843 ",100 ,"2,891 ","2,991 ",844 ,"10,990 ","11,834 ",849 ,"14,088 ","14,937 ","1,692 ","25,078 ","26,771 ",385 ,"3,132 ","3,517 ","30,288 "
Grand Total,"380,172 ","879,054 ","1,259,226 ","347,602 ","1,128,800 ","1,476,402 ","727,774 ","2,007,854 ","2,735,628 ","481,823 ","1,016,493 ","1,498,316 ","1,209,596 ","3,024,347 ","4,233,944 ","287,408 ","490,456 ","777,864 ","5,011,808 "
