STATE,JANUARY,FEBRUARY,MARCH ,APRIL,MAY ,JUNE ,JULY ,AUGUST ,SEPTEMBER ,OCTOBER ,NOVEMBER,DECEMBER ,TOTAL (1),CHANGE FROM PREVIOUS YEAR,
,,,,,,,,,,,,,,GALLONS,PERCENT
Oklahoma,"67,777 ","92,125 ","76,978 ","61,375 ","57,195 ","94,351 ","73,359 ","69,826 ","79,595 ","56,170 ","65,311 ","70,027 "," 864,089 "," (7,033)",(0.8)
Oregon,"44,140 ","42,484 ","45,040 ","49,287 ","45,640 ","44,502 ","47,505 ","48,957 ","45,987 ","45,229 ","44,954 ","44,784 "," 548,509 "," 25,735 ",4.9 
Pennsylvania,"121,541 ","110,926 ","147,508 ","119,606 ","121,502 ","155,530 ","122,032 ","120,133 ","149,995 ","125,169 ","111,077 ","143,898 "," 1,548,917 ", 594 ,0.0 
Rhode Island,"6,110 ","5,262 ","5,097 ","5,561 ","5,688 ","5,919 ","4,528 ","5,674 ","5,724 ","6,539 ","5,973 ","5,355 "," 67,430 "," 7,611 ",12.7 
South Carolina,"56,706 ","41,439 ","65,119 ","70,847 ","49,971 ","64,834 ","69,732 ","66,873 ","73,868 ","69,027 ","64,491 ","68,598 "," 761,505 "," 82,501 ",12.2 
South Dakota,"17,388 ","17,013 ","16,705 ","18,853 ","18,345 ","18,313 ","19,305 ","20,487 ","20,882 ","20,961 ","23,589 ","19,442 "," 231,283 "," 13,208 ",6.1 
Tennessee,"71,201 ","69,248 ","83,744 ","84,696 ","80,436 ","84,105 ","74,058 ","86,731 ","84,312 ","82,282 ","83,911 ","95,273 "," 979,997 "," 94,428 ",10.7 
Texas,"433,036 ","398,159 ","469,728 ","434,641 ","431,785 ","367,529 ","457,075 ","465,791 ","440,023 ","435,882 ","432,723 ","448,477 "," 5,214,849 "," 447,806 ",9.4 
Utah,"36,517 ","32,679 ","35,978 ","38,512 ","38,899 ","43,667 ","41,472 ","42,779 ","43,729 ","42,801 ","36,463 ","32,803 "," 466,299 "," 17,428 ",3.9 
Vermont,"8,022 ","2,615 ","7,367 ","5,334 ",486 ,"4,999 ",489 ,"6,268 ","8,417 ","9,919 ","5,803 ","6,391 "," 66,110 "," 3,245 ",5.2 
Virginia,"87,462 ","76,973 ","74,299 ","83,999 ","80,705 ","96,864 ","102,068 ","89,290 ","70,963 ","93,892 ","81,286 ","74,710 "," 1,012,511 "," 7,834 ",0.8 
Washington,"54,705 ","47,942 ","53,222 ","61,410 ","55,676 ","58,268 ","60,115 ","61,187 ","60,004 ","80,134 ","40,020 ","50,757 "," 683,440 "," 38,168 ",5.9 
West Virginia,"25,148 ","27,660 ","20,477 ","40,993 ","32,624 ","21,189 ","47,098 ","34,540 ","15,999 ","13,626 ","3,306 ","37,459 "," 320,119 "," 32,989 ",11.5 
Wisconsin,"61,824 ","62,657 ","60,668 ","57,389 ","76,861 ","68,611 ","76,414 ","63,483 ","74,654 ","85,285 ","51,792 ","65,220 "," 804,858 "," 76,552 ",10.5 
Wyoming,"19,962 ","27,061 ","32,483 ","28,311 ","26,366 ","38,594 ","20,570 ","44,889 ","20,147 ","24,147 ","38,814 ","29,044 "," 350,388 "," 4,548 ",1.3 
 Total," 3,189,329 "," 3,026,237 "," 3,559,699 "," 3,280,628 "," 3,234,626 "," 3,447,035 "," 3,444,305 "," 3,523,597 "," 3,527,135 "," 3,517,937 "," 3,226,341 "," 3,636,280 "," 40,613,161 "," 2,204,157 ",5.7 
