STATE,INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTHER FREEWAYS & EXPRESSWAYS ,,,,,,,,,,OTHER PRINCIPAL ARTERIAL ,,,,,,,,,,MINOR ARTERIAL (3),,,,,,,,,
,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
Montana,-,-,-,-,-,-,-,-,-,-,-,690 ,"1,339 ",386 ,165 ,80 ,50 ,28 ,36 ,"2,773 ",9 ,434 ,"1,414 ",473 ,243 ,130 ,53 ,37 ,59 ,"2,843 "
Nebraska,35 ,63 ,131 ,51 ,25 ,14 ,6 ,4 ,3 ,297 ,216 ,"1,055 ",633 ,198 ,107 ,67 ,34 ,19 ,24 ,"2,136 ",25 ,"1,119 ","1,086 ",582 ,371 ,222 ,119 ,90 ,91 ,"3,680 "
Nevada,-,-,-,-,-,-,-,-,-,-,14 ,844 ,469 ,90 ,21 ,13 ,14 ,16 ,24 ,"1,490 ",1 ,136 ,430 ,113 ,30 ,7 ,4 ,1 ,1 ,721 
New Hampshire,-,9 ,0 ,-,-,-,-,-,-,9 ,0 ,143 ,105 ,25 ,14 ,11 ,9 ,6 ,11 ,324 ,4 ,167 ,201 ,68 ,35 ,33 ,30 ,22 ,70 ,626 
New Jersey,-,9 ,19 ,6 ,1 ,1 ,0 ,0 ,0 ,35 ,0 ,29 ,38 ,23 ,24 ,16 ,10 ,7 ,11 ,157 ,1 ,8 ,73 ,71 ,39 ,39 ,24 ,6 ,6 ,267 
New Mexico,-,-,-,-,-,-,-,-,-,-,54 ,813 ,651 ,198 ,110 ,63 ,24 ,15 ,13 ,"1,887 ",7 ,465 ,503 ,395 ,306 ,152 ,117 ,84 ,93 ,"2,116 "
New York,6 ,16 ,57 ,15 ,8 ,5 ,3 ,1 ,2 ,107 ,9 ,242 ,"1,003 ",420 ,212 ,118 ,59 ,32 ,35 ,"2,122 ",18 ,197 ,"1,141 ",695 ,353 ,199 ,91 ,87 ,109 ,"2,873 "
North Carolina,10 ,216 ,152 ,18 ,7 ,3 ,1 ,0 ,0 ,397 ,31 ,250 ,811 ,256 ,111 ,42 ,18 ,10 ,17 ,"1,517 ",9 ,141 ,"1,293 ",691 ,449 ,181 ,72 ,60 ,76 ,"2,963 "
North Dakota,-,-,-,-,-,-,-,-,-,-,3 ,"1,092 ","1,136 ",403 ,166 ,84 ,32 ,20 ,25 ,"2,960 ",5 ,713 ,"1,125 ",352 ,149 ,102 ,38 ,21 ,18 ,"2,516 "
Ohio,0 ,125 ,141 ,36 ,16 ,8 ,3 ,1 ,1 ,331 ,4 ,421 ,678 ,231 ,96 ,45 ,20 ,10 ,11 ,"1,513 ",12 ,504 ,"1,320 ",464 ,203 ,82 ,38 ,12 ,26 ,"2,649 "
Oklahoma,-,-,-,-,-,-,-,-,-,-,1 ,445 ,936 ,385 ,209 ,130 ,65 ,38 ,43 ,"2,251 ",19 ,549 ,"1,164 ",265 ,530 ,87 ,21 ,39 ,9 ,"2,664 "
Oregon,-,-,-,-,-,-,-,-,-,-,0 ,596 ,"1,326 ",417 ,166 ,72 ,36 ,21 ,23 ,"2,657 ",13 ,238 ,966 ,474 ,278 ,139 ,58 ,33 ,34 ,"2,222 "
Pennsylvania,1 ,133 ,146 ,29 ,20 ,12 ,8 ,5 ,4 ,357 ,1 ,306 ,709 ,266 ,121 ,73 ,36 ,22 ,29 ,"1,562 ",-,271 ,"1,524 ","1,193 ",562 ,403 ,233 ,137 ,220 ,"4,543 "
Rhode Island,-,4 ,2 ,3 ,1 ,1 ,0 ,-,-,11 ,-,0 ,12 ,13 ,18 ,18 ,13 ,9 ,14 ,97 ,0 ,5 ,9 ,9 ,13 ,11 ,9 ,8 ,8 ,72 
South Carolina,-,5 ,28 ,9 ,3 ,0 ,-,-,-,45 ,-,38 ,673 ,379 ,302 ,78 ,36 ,24 ,15 ,"1,546 ",-,330 ,943 ,908 ,398 ,228 ,178 ,-,-,"2,986 "
South Dakota,-,81 ,127 ,40 ,27 ,11 ,4 ,1 ,1 ,291 ,-,298 ,"1,072 ",588 ,298 ,162 ,84 ,50 ,42 ,"2,593 ",5 ,462 ,"1,207 ",556 ,325 ,191 ,109 ,73 ,39 ,"2,962 "
Tennessee,-,-,-,-,-,-,-,-,-,-,9 ,779 ,657 ,157 ,68 ,40 ,16 ,7 ,6 ,"1,729 ",17 ,"1,003 ","1,132 ",301 ,150 ,98 ,31 ,122 ,98 ,"2,936 "
Texas,-,0 ,2 ,1 ,0 ,0 ,0 ,-,-,4 ,18 ,"1,764 ","3,695 ","1,590 ",761 ,340 ,140 ,70 ,60 ,"8,420 ",80 ,"1,056 ","3,752 ","2,325 ","1,323 ",717 ,278 ,115 ,130 ,"9,697 "
