YEAR,RURAL,,,,,,,,URBAN,,,,,,,,UNKNOWN,TOTAL
1995,"2,675 ", ,"5,205 ","4,742 ","5,699 ","1,702 ","3,955 ","23,978 ","2,154 ","1,290 ","5,872 ","3,754 ","1,441 ", ,"3,328 ","17,839 ", ,"41,817 "
1996,"2,924 ", ,"5,251 ","4,184 ","5,973 ","1,553 ","4,396 ","24,281 ","2,321 ","1,538 ","5,528 ","3,652 ","1,208 ", ,"3,052 ","17,299 ",485 ,"42,065 "
1997,"3,040 ", ,"5,394 ","4,284 ","5,920 ","1,723 ","4,450 ","24,811 ","2,292 ","1,296 ","5,420 ","3,523 ","1,163 ", ,"3,064 ","16,758 ",444 ,"42,013 "
1998,"3,105 ", ,"5,378 ","4,216 ","5,840 ","1,753 ","4,459 ","24,751 ","2,283 ","1,282 ","5,285 ","3,335 ","1,037 ", ,"2,921 ","16,143 ",607 ,"41,501 "
1999,"3,244 ", ,"5,294 ","4,279 ","5,833 ","1,762 ","4,773 ","25,185 ","2,353 ","1,362 ","5,065 ","3,201 ","1,031 ", ,"2,958 ","15,970 ",562 ,"41,717 "
2000,"3,254 ", ,"4,917 ","4,090 ","5,501 ","1,808 ","4,414 ","23,984 ","2,419 ","1,364 ","4,948 ","3,211 ","1,001 ", ,"2,912 ","15,855 ","2,106 ","41,945 "
2001,"3,142 ", ,"5,013 ","4,254 ","5,896 ","1,818 ","4,712 ","24,835 ","2,523 ","1,425 ","5,148 ","3,355 ","1,094 ", ,"3,350 ","16,895 ",466 ,"42,196 "
2002,"3,298 ", ,"4,894 ","4,467 ","6,014 ","2,003 ","5,059 ","25,735 ","2,482 ","1,506 ","5,124 ","3,218 ","1,151 ", ,"3,497 ","16,978 ",292 ,"43,005 "
2003,"3,144 ", ,"5,042 ","4,678 ","5,793 ","1,837 ","4,366 ","24,860 ","2,500 ","1,591 ","5,067 ","3,684 ","1,323 ", ,"3,528 ","17,693 ",331 ,"42,884 "
2004,"3,227 ", ,"5,167 ","5,043 ","5,568 ","1,787 ","4,162 ","24,954 ","2,602 ","1,673 ","4,847 ","3,573 ","1,385 ", ,"3,290 ","17,370 ",512 ,"42,836 "
2005,"3,248 ", ,"4,821 ","4,483 ","5,757 ","1,635 ","4,443 ","24,387 ","2,734 ","1,735 ","5,364 ","3,836 ","1,426 ", ,"3,458 ","18,553 ",570 ,"43,510 "
2006,"2,887 ", ,"4,554 ","4,346 ","5,675 ","1,650 ","4,294 ","23,406 ","2,663 ","1,690 ","5,447 ","3,807 ","1,513 ", ,"3,622 ","18,742 ",560 ,"42,708 "
2007,"2,658 ", ,"4,674 ","4,084 ","5,568 ","1,459 ","4,264 ","22,707 ","2,608 ","1,477 ","4,900 ","3,499 ","1,437 ", ,"3,546 ","17,467 ",885 ,"41,059 "
2008,"2,416 ", ,"4,358 ","3,515 ","5,068 ","1,423 ","4,027 ","20,807 ","2,259 ","1,505 ","4,446 ","3,105 ","1,239 ", ,"3,402 ","15,956 ",498 ,"37,261 "
2009,"2,045 ", ,"4,652 ","2,957 ","4,568 ","1,342 ","3,626 ","19,190 ","2,049 ","1,321 ","4,005 ","2,829 ","1,158 ", ,"3,098 ","14,460 ",233 ,"33,883 "
2010,"2,113 ", ,"3,986 ","3,015 ","4,171 ","1,143 ","3,540 ","17,968 ","2,124 ","1,232 ","4,294 ","2,945 ","1,069 ", ,"2,978 ","14,642 ",389 ,"32,999 "
2011,"1,969 ", ,"4,050 ","2,989 ","4,182 ",989 ,"3,454 ","17,633 ","2,159 ","1,277 ","4,142 ","2,858 ","1,137 ", ,"2,969 ","14,542 ",304 ,"32,479 "
2012,"1,835 ", ,"4,219 ","3,482 ","4,220 ",958 ,"3,452 ","18,166 ","2,150 ","1,150 ","4,538 ","3,065 ", ,"1,236 ","3,195 ","15,334 ",282 ,"33,782 "
2013,"1,994 ", ,"4,152 ","3,258 ","3,873 ",874 ,"3,485 ","17,636 ","2,101 ","1,061 ","4,605 ","2,972 ","1,114 ", ,"3,249 ","15,102 ",156 ,"32,894 "
2014,"1,762 ", ,"4,044 ","3,316 ","3,673 ",829 ,"3,024 ","16,648 ","2,332 ","1,125 ","4,951 ","3,069 ","1,219 ",-,"3,127 ","15,823 ",273 ,"32,744 "
2015,"1,918 ",891 ,"4,321 ","3,253 ","3,448 ",874 ,"2,345 ","17,050 ","2,424 ","1,136 ","5,145 ","3,174 ",967 ,275 ,"2,155 ","15,276 ","2,766 ","35,092 "
