STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL LANE MILES
,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR (2),LOCAL (2),TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL (2),TOTAL,
Rhode Island,71 ,43 ,209 ,146 ,358 ,298 ,"1,683 ","2,809 ",307 ,326 ,901 ,713 ,"1,077 ",64 ,"6,590 ","9,978 ","12,787 "
South Carolina,"2,226 ",187 ,"4,616 ","6,302 ","20,129 ","4,088 ","80,983 ","118,532 ","1,583 ",368 ,"4,074 ","4,872 ","5,905 ",145 ,"24,907 ","41,855 ","160,386 "
South Dakota,"2,364 ","1,155 ","5,365 ","5,958 ","24,846 ","12,491 ","108,181 ","160,360 ",349 ,72 ,470 ,"1,084 ",728 ,-,"4,720 ","7,423 ","167,783 "
Tennessee,"2,346 ",-,"5,512 ","6,392 ","9,911 ","19,687 ","88,558 ","132,406 ","2,833 ",736 ,"6,725 ","7,367 ","5,085 ","2,063 ","45,359 ","70,168 ","202,574 "
Texas,"8,149 ",7 ,"25,350 ","22,599 ","70,583 ","29,893 ","268,576 ","425,158 ","8,227 ","7,352 ","24,560 ","25,384 ","35,592 ","2,265 ","149,039 ","252,418 ","677,577 "
Utah,"2,771 ",36 ,"2,696 ","2,731 ","6,548 ","7,117 ","50,498 ","72,396 ","1,611 ",166 ,"2,556 ","1,804 ","2,355 ",759 ,"15,929 ","25,180 ","97,575 "
Vermont,"1,034 ",3 ,663 ,"1,463 ","3,981 ","1,738 ","17,268 ","26,150 ",247 ,42 ,280 ,306 ,484 ,31 ,"1,729 ","3,119 ","29,269 "
Virginia,"1,937 ",351 ,"4,615 ","6,772 ","14,651 ","9,749 ","60,213 ","98,290 ","3,451 ","1,550 ","6,783 ","7,489 ","6,066 ","1,632 ","37,676 ","64,647 ","162,937 "
Washington,"1,921 ","1,583 ","2,671 ","4,058 ","16,188 ","12,489 ","75,190 ","114,100 ","2,104 ","1,593 ","4,886 ","5,907 ","5,548 ",375 ,"32,393 ","52,807 ","166,908 "
West Virginia,"1,260 ",35 ,"2,540 ","2,638 ","10,736 ","4,248 ","43,029 ","64,485 ","1,061 ",52 ,"1,316 ","1,586 ","2,117 ",180 ,"9,130 ","15,441 ","79,926 "
Wisconsin,"2,141 ",568 ,"7,316 ","9,534 ","24,204 ","16,951 ","125,649 ","186,362 ","1,730 ","1,337 ","6,022 ","6,335 ","5,947 ",1 ,"30,875 ","52,247 ","238,609 "
Wyoming,"3,232 ",-,"4,084 ","2,491 ","5,477 ","14,000 ","24,521 ","53,806 ",423 ,11 ,756 ,578 ,"1,048 ",89 ,"3,600 ","6,505 ","60,311 "
U.S. Total,"118,252 ","22,896 ","231,326 ","274,794 ","822,257 ","515,986 ","4,040,544 ","6,026,054 ","104,738 ","56,669 ","236,981 ","295,909 ","278,606 ","29,422 ","1,708,209 ","2,710,533 ","8,736,587 "
Puerto Rico,170 ,-,121 ,451 ,440 ,485 ,"4,586 ","6,252 ",227 ,"1,321 ","1,954 ","2,247 ",-,"22,767 ","29,694 ","58,211 ","64,462 "
Grand Total,"118,421 ","22,896 ","231,446 ","275,244 ","822,697 ","516,471 ","4,045,130 ","6,032,305 ","104,965 ","57,990 ","238,935 ","298,156 ","278,606 ","52,189 ","1,737,903 ","2,768,744 ","8,801,049 "
