Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
119.0,"SUNY, U. Albany",79681,,4270,,61642,,5780,,2038,,1313,,3781,,0,,0,,857,
120.0,New Mexico State U.,78903,,1154,,15146,,1646,,9723,,5,,46,,315,,50218,,650,
121.0,Naval Postgraduate School,78780,,11033,,244,,7496,,11103,,0,,7260,,7327,,27524,,6793,
122.0,U. Dayton,77973,,62,,656,,1591,,1410,,11,,109,,179,,70530,,3425,
123.0,Florida International U.,76528,,3223,,23672,,5468,,4601,,5773,,814,,0,,23742,,9235,
124.0,Rice U.,74266,,3095,,7483,,11926,,16927,,505,,859,,656,,32366,,449,
125.0,"U. Nebraska, Medical Center",71920,,0,,71920,,0,,0,,0,,0,,0,,0,,0,
126.0,Kansas State U.,69918,,1010,,39466,,3694,,6919,,2619,,3361,,261,,9302,,3286,
127.0,U. Oregon,69723,,2905,,26532,,4420,,11068,,9432,,1805,,0,,286,,13275,
128.0,Drexel U.,69462,,1145,,34359,,4422,,1028,,3109,,119,,0,,23044,,2236,
129.0,"Montana State U., Bozeman",69136,,9091,,20901,,1171,,12226,,563,,901,,6217,,11757,,6309,
130.0,West Virginia U.,68731,,5499,,35742,,1061,,6221,,176,,799,,188,,16922,,2123,
131.0,U. Louisville,68069,,89,,57080,,448,,1625,,1022,,98,,0,,5738,,1969,
132.0,"U. Alabama, Huntsville",67451,,8981,,443,,22766,,5832,,150,,570,,0,,27822,,887,
133.0,U. Rhode Island,64711,,26460,,16682,,400,,4905,,1170,,3116,,5137,,3215,,3626,
134.0,George Mason U.,63600,,7745,,10811,,12992,,3139,,5419,,5458,,0,,8549,,9487,
135.0,"U. California, Riverside",63515,,3991,,29238,,3694,,11609,,1919,,1927,,21,,10243,,873,
136.0,U. Mississippi,59978,,1863,,47102,,115,,6186,,0,,20,,0,,3511,,1181,
137.0,Rensselaer Polytechnic Institute,59528,,1361,,2101,,8401,,6242,,2174,,173,,0,,38965,,111,
138.0,Thomas Jefferson U.,58536,,0,,58536,,0,,0,,0,,0,,0,,0,,0,
139.0,U. Houston,58458,,1056,,12743,,4131,,4731,,7379,,1692,,0,,22784,,3942,
140.0,New Jersey Institute of Technology,55094,,160,,959,,2978,,2496,,0,,61,,7437,,36463,,4540,
141.0,Clemson U.,53136,,0,,7833,,3576,,4655,,589,,2659,,0,,25980,,7844,
142.0,Rush U.,52193,,0,,48472,,0,,0,,3721,,0,,0,,0,,0,
143.0,"U. Nevada, Reno",51724,,7367,,26379,,1370,,4547,,1025,,485,,77,,8727,,1747,
144.0,U. Arkansas for Medical Sciences,50603,,0,,50603,,0,,0,,0,,0,,0,,0,,0,
145.0,Georgia Regents U.,50585,,0,,50585,,0,,0,,0,,0,,0,,0,,0,
146.0,U. Idaho,50559,,2864,,29410,,1973,,1461,,123,,1296,,4713,,7751,,968,
147.0,Georgia State U.,50122,,319,,20327,,1292,,9289,,3935,,1681,,0,,0,,13279,
148.0,Cold Spring Harbor Laboratory,49063,,0,,49063,,0,,0,,0,,0,,0,,0,,0,
149.0,U. Wyoming,48970,,18898,,17115,,1520,,3299,,0,,2346,,1,,4053,,1738,
150.0,"Auburn U., Auburn",48352,,2371,,18886,,249,,3396,,182,,2368,,555,,19932,,413,
151.0,"U. Maryland, Baltimore County",47954,,13770,,2448,,7489,,4873,,1384,,7477,,178,,9972,,363,
152.0,Brandeis U.,47841,,0,,21915,,2431,,6525,,2548,,13345,,0,,0,,1077,
153.0,San Diego State U.,46870,,1393,,24065,,3023,,1225,,8461,,1889,,420,,3050,,3344,
154.0,"U. Texas, El Paso",41897,,2583,,11841,,5149,,4211,,2032,,3158,,0,,11360,,1563,
155.0,Cleveland State U.,41851,,0,,33818,,283,,188,,57,,446,,0,,6929,,130,
156.0,Old Dominion U.,40002,,3355,,2990,,1485,,5140,,1268,,93,,568,,12958,,12145,
157.0,"U. Tennessee, Health Science Center",39356,,0,,39284,,0,,0,,0,,0,,72,,0,,0,
158.0,Howard U.,38820,,2479,,16927,,810,,7599,,886,,195,,0,,9155,,769,
159.0,"Oklahoma State U., Stillwater",38585,,1364,,20844,,597,,2344,,613,,2371,,2900,,7465,,87,
160.0,"CUNY, City C.",38434,,1204,,8513,,1913,,6578,,735,,85,,0,,18872,,534,
161.0,U. North Dakota,37697,,6880,,13741,,125,,918,,0,,31,,177,,15585,,240,
162.0,Florida A&M U.,36975,,2943,,16575,,675,,796,,149,,195,,3005,,2362,,10275,
163.0,"Louisiana State U., Health Sciences Center – New Orleans",36027,,0,,36027,,0,,0,,0,,0,,0,,0,,0,
164.0,North Dakota State U.,35482,,177,,12688,,1974,,6620,,2045,,7929,,1890,,1714,,445,
165.0,U. Maine,35369,,11375,,11685,,205,,931,,63,,1014,,4304,,5456,,336,
166.0,"U. Arkansas, Fayetteville",34288,,1253,,15982,,104,,5371,,564,,563,,0,,9649,,802,
167.0,Colorado School of Mines,34266,,2702,,0,,407,,5343,,0,,174,,0,,24952,,688,
168.0,San Jose State U.,33782,,11912,,765,,190,,1294,,16545,,12,,0,,532,,2532,
169.0,"U. Montana, Missoula",33718,,775,,25940,,651,,2784,,497,,2970,,0,,0,,101,
170.0,C. of William and Mary and Virginia Institute of Marine Science,33129,,12669,,1754,,2049,,5295,,151,,5804,,0,,0,,5407,
171.0,Texas Tech U.,32987,,3400,,4454,,1971,,2281,,807,,955,,0,,11590,,7529,
172.0,Syracuse U.,32378,,1151,,4529,,2918,,7868,,1284,,2642,,143,,6234,,5609,
173.0,"U. Puerto Rico, Medical Sciences Campus",31889,,0,,31889,,0,,0,,0,,0,,0,,0,,0,
174.0,"U. Texas, Dallas",31068,,139,,6500,,4697,,7334,,1093,,450,,735,,9828,,292,
175.0,"U. Massachusetts, Lowell",31059,,241,,7984,,2366,,10573,,245,,1883,,0,,5706,,2061,
176.0,U.S. Air Force Academy,30637,,0,,325,,3129,,3067,,479,,460,,0,,21957,,1220,
177.0,Morehouse School of Medicine,30012,,0,,30012,,0,,0,,0,,0,,0,,0,,0,
178.0,Portland State U.,29987,,4606,,1884,,1908,,2948,,1654,,3675,,1383,,5331,,6598,
179.0,"U. Alabama, Tuscaloosa",28988,,767,,3128,,7123,,4160,,3121,,901,,0,,8829,,959,
180.0,Michigan Technological U.,28692,,10049,,866,,807,,598,,260,,859,,0,,15142,,111,
181.0,South Dakota State U.,28670,,4603,,18872,,657,,928,,0,,1476,,0,,1952,,182,
182.0,"U. Massachusetts, Boston",28653,,3163,,4949,,1891,,1651,,1566,,1505,,489,,250,,13189,
183.0,Eastern Virginia Medical School,28637,,0,,28637,,0,,0,,0,,0,,0,,0,,0,
184.0,"Loyola U., Chicago",28200,,500,,25690,,299,,569,,273,,49,,0,,0,,820,
185.0,"U. Texas, Arlington",27712,,639,,891,,2036,,6091,,46,,46,,0,,17109,,854,
186.0,Saint Louis U.,27580,,731,,24155,,171,,476,,410,,11,,0,,1389,,237,
187.0,"U. Nevada, Las Vegas",27493,,2954,,7943,,3,,5296,,883,,430,,0,,9461,,523,
188.0,U. Toledo,27085,,678,,14699,,0,,5406,,0,,0,,0,,5645,,657,
189.0,Wright State U.,26931,,329,,8709,,2052,,2003,,915,,14,,51,,12741,,117,
190.0,Worcester Polytechnic Institute,26327,,0,,468,,4987,,1022,,0,,1114,,0,,18152,,584,
191.0,Stevens Institute of Technology,25980,,3474,,225,,2294,,264,,0,,24,,337,,18436,,926,
192.0,Illinois Institute of Technology,25826,,170,,6041,,2353,,5688,,719,,481,,40,,9987,,347,
193.0,U. Wisconsin-Milwaukee,25587,,2875,,6119,,960,,7675,,2349,,1378,,1,,2865,,1365,
194.0,U. Southern Mississippi,25005,,10270,,7070,,254,,6350,,242,,472,,42,,10,,295,
195.0,"Brigham Young U., Provo",24250,,347,,5495,,2382,,2443,,953,,790,,0,,8359,,3481,
196.0,"U. Texas, San Antonio",23511,,1037,,11510,,2827,,2716,,308,,497,,0,,4213,,403,
197.0,Boston C.,23352,,4237,,5048,,955,,5202,,1882,,85,,0,,0,,5943,
198.0,Lehigh U.,22910,,995,,1043,,1002,,4073,,323,,866,,0,,12378,,2230,
199.0,"U. North Texas, Health Science Center",22422,,0,,22422,,0,,0,,0,,0,,0,,0,,0,
200.0,North Carolina Agricultural and Technical State U.,22413,,350,,7239,,2468,,470,,29,,201,,185,,10860,,611,
201.0,Alabama A&M U.,21982,,1501,i,11911,i,1074,i,1834,i,514,i,659,i,0,i,3729,i,760,i
202.0,Mercer U.,21563,,0,,1964,,0,,6,,0,,16,,0,,19577,,0,
203.0,Loma Linda U.,21082,,0,,21082,,0,,0,,0,,0,,0,,0,,0,
204.0,"SUNY, Downstate Medical Center",20779,,0,,20779,,0,,0,,0,,0,,0,,0,,0,
205.0,Northern Arizona U.,20285,,5694,,12698,,63,,720,,204,,196,,331,,205,,174,
206.0,Rochester Institute of Technology,20147,,551,,128,,3060,,7380,,0,,726,,0,,5634,,2668,
207.0,New Mexico Institute of Mining and Technology,20018,,4853,,323,,165,,2135,,0,,172,,0,,12327,,43,
208.0,Catholic U. of America,19900,,0,,2440,,0,,14557,,1345,,2,,0,,1204,,352,
209.0,Jackson State U.,19656,,1710,,2699,,1597,,6531,,0,,222,,3367,,2323,,1207,
210.0,U. of the Virgin Islands,19456,,0,,19415,,0,,41,,0,,0,,0,,0,,0,
211.0,"SUNY, Upstate Medical U.",19213,,0,,19213,,0,,0,,0,,0,,0,,0,,0,
212.0,"CUNY, Hunter C.",19193,,250,,7023,,294,,3130,,8027,,294,,0,,0,,175,
213.0,"U. North Carolina, Charlotte",19132,,193,,1847,,5302,,3114,,24,,1523,,0,,5025,,2104,
214.0,"U. Puerto Rico, Rio Piedras",18922,,3713,,3458,,670,,7678,,503,,0,,205,,1950,,745,
215.0,U. Memphis,18825,,1789,,4674,,2438,,708,,2545,,933,,0,,3163,,2575,
216.0,"Indiana U.-Purdue U., Indianapolis",18479,,591,,7487,,1914,,912,,1904,,1644,,218,,3420,,389,
217.0,Boise State U.,18296,,3424,,8107,,692,,540,,6,,526,,216,,4051,,734,
218.0,Texas State U.,18289,,732,,2999,,1888,,1797,,0,,2059,,120,,1723,,6971,
219.0,Missouri U. of Science and Technology,17632,,1271,,38,,1813,,2486,,0,,0,,0,,11698,,326,
220.0,Ohio U.,17303,,1346,,2206,,107,,4759,,1365,,15,,15,,7327,,163,
221.0,Air Force Institute of Technology,16727,,112,,0,,5128,,4471,,0,,0,,0,,6658,,358,
222.0,Desert Research Institute,16511,,11808,,174,,78,,0,,0,,97,,3011,,1343,,0,
223.0,"SUNY, Binghamton U.",16171,,229,,692,,1444,,3610,,4550,,1828,,0,,3685,,133,
224.0,"U. Louisiana, Lafayette",15799,,866,,2820,,4708,,57,,0,,577,,266,,1021,,5484,
225.0,"U. Puerto Rico, Mayaguez",15700,,4553,,954,,417,,2643,,0,,68,,0,,6678,,387,
226.0,"U. North Texas, Denton",15470,,42,,3028,,3005,,2659,,915,,462,,0,,4175,,1184,
227.0,"U. Tennessee, Knoxville, Institute of Agriculture",15320,,0,,8680,,0,,0,,0,,1864,,3814,,962,,0,
228.0,U.S. Military Academy,15312,,0,,170,,1447,,479,,174,,1168,,0,,9697,,2177,
229.0,U. South Alabama,15106,,813,,11440,,976,,348,,0,,213,,0,,1235,,81,
230.0,East Carolina U.,15079,,1204,,12639,,45,,375,,336,,111,,0,,216,,153,
231.0,"U. North Carolina, Greensboro",14978,,0,,5221,,264,,1634,,2549,,1438,,0,,0,,3872,
232.0,"Southern Illinois U., Carbondale",14895,,211,,11353,,186,,1022,,187,,113,,710,,1113,,0,
233.0,Hampton U.,14735,,4829,,1323,,720,,4769,,0,,2108,,0,,870,,116,
234.0,U. Akron,14676,,119,,826,,278,,2588,,341,,51,,0,,10307,,166,
235.0,"SUNY, Polytechnic Institute",14641,,0,,2185,,992,,0,,0,,0,,0,,11464,,0,
236.0,San Francisco State U.,14336,,2712,,6399,,921,,1787,,1528,,767,,0,,222,,0,
237.0,Southern Methodist U.,14324,,4046,,1061,,1188,,2067,,677,,86,,270,,2411,,2518,
238.0,Tuskegee U.,14166,i,0,i,8949,i,732,i,1198,i,226,i,217,i,0,i,2607,i,237,i
239.0,"U. Maryland, Center for Environmental Science",14096,,11275,,718,,0,,0,,0,,0,,0,,0,,2103,
240.0,"CUNY, Queens C.",14080,,325,,9377,,1036,,1398,,1088,,308,,0,,0,,548,
241.0,"U. Missouri, Kansas City",13327,,223,,9649,,455,,1265,,885,,159,,0,,174,,517,
242.0,Meharry Medical C.,13068,,0,,13068,,0,,0,,0,,0,,0,,0,,0,
243.0,Charles R. Drew U. of Medicine and Science,12992,,0,,12992,,0,,0,,0,,0,,0,,0,,0,
244.0,Morgan State U.,12805,,5119,,1647,,651,,1184,,0,,166,,0,,3926,,112,
245.0,"Columbia U., Teachers C.",12775,,0,,2785,,242,,0,,2864,,6775,,0,,0,,109,
246.0,"U. Hawaii, Hilo",12772,,401,,11771,,161,,11,,197,,147,,30,,0,,54,
247.0,"U. California, Merced",12648,,1549,,2563,,314,,3353,,493,,380,,0,,3955,,41,
248.0,"Rutgers, State U. New Jersey, Newark",12611,,1235,,6102,,820,,1100,,1170,,554,,0,,137,,1493,
249.0,Delaware State U.,12091,,620,,8138,,1176,,2141,,0,,0,,0,,0,,16,
250.0,"California State U., Northridge",12060,,1880,,1333,,703,,3355,,993,,762,,1432,,431,,1171,
251.0,U. Denver,12048,,0,,617,,215,,2069,,3353,,84,,0,,1796,,3914,
252.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,11869,,506,,2013,,613,,1653,,249,,42,,0,,2140,,4653,
253.0,Idaho State U.,11738,,1789,,2723,,412,,3537,,367,,417,,0,,2265,,228,
254.0,Florida Atlantic U.,11574,,370,,5815,,661,,733,,934,,13,,0,,1876,,1172,
255.0,New York Medical C.,11326,,0,,11326,,0,,0,,0,,0,,0,,0,,0,
256.0,Kent State U.,11158,,343,,1906,,867,,3507,,747,,1721,,0,,503,,1564,
257.0,Marshall U.,11154,,1,,8851,,5,,703,,34,,83,,178,,1225,,74,
258.0,Tennessee State U.,11145,,0,,8094,,457,,438,,116,,70,,0,,1745,,225,
259.0,U. West Florida,10935,,0,,407,,0,,141,,496,,15,,0,,2,,9874,
260.0,North Carolina Central U.,10874,,214,,5755,,0,,3885,,5,,434,,0,,0,,581,
261.0,"Texas Tech U., Health Sciences Center",10251,,0,,9949,,0,,0,,0,,0,,0,,0,,302,
262.0,Embry-Riddle Aeronautical U.,10049,,395,,0,,125,,924,,0,,65,,0,,8431,,109,
