Rank,Institution,Other agency R&D expendituresa,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
252.0,"U. Tennessee, Knoxville, Institute of Agriculture",1268.0,,0.0,,0.0,,748.0,,0.0,,0.0,,0.0,,190.0,,149.0,,181.0,,0.0,,0
254.0,"U. Texas, Dallas",1256.0,,94.0,,28.0,,0.0,,0.0,,0.0,,0.0,,0.0,,152.0,,883.0,,99.0,,0
255.0,U. Texas Medical Branch,1192.0,,0.0,,0.0,,1090.0,,0.0,,0.0,,0.0,,0.0,,0.0,,102.0,,0.0,,0
256.0,Humboldt State U.,1183.0,,0.0,,329.0,,823.0,,0.0,,0.0,,0.0,,31.0,,0.0,,0.0,,0.0,,0
256.0,Seton Hall U.,1183.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1183.0,,0
258.0,Case Western Reserve U.,1179.0,,0.0,,54.0,,255.0,,0.0,,298.0,,154.0,,0.0,,0.0,,410.0,,8.0,,0
259.0,Morgan State U.,1166.0,,0.0,,0.0,,63.0,,259.0,,0.0,,0.0,,14.0,,0.0,,830.0,,0.0,,0
260.0,"U. North Texas, Denton",1143.0,,198.0,,0.0,,252.0,,0.0,,188.0,,0.0,,91.0,,0.0,,170.0,,244.0,,0
261.0,Icahn School of Medicine at Mt. Sinai,1114.0,,0.0,,0.0,,1114.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
262.0,Maine Maritime Academy,1110.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1110.0,,0
263.0,U. Guam,1071.0,,0.0,,589.0,,346.0,,0.0,,0.0,,0.0,,5.0,,0.0,,0.0,,131.0,,0
264.0,Towson U.,1070.0,,74.0,,40.0,,28.0,,0.0,,1.0,,0.0,,232.0,,0.0,,0.0,,695.0,,0
265.0,Western Kentucky U.,1058.0,,0.0,,108.0,,21.0,,0.0,,371.0,,0.0,,112.0,,0.0,,31.0,,415.0,,0
266.0,U. Tulsa,1057.0,,183.0,,15.0,,128.0,,0.0,,40.0,,0.0,,0.0,,0.0,,405.0,,286.0,,0
267.0,Miami U.,1042.0,,0.0,,20.0,,16.0,,46.0,,0.0,,127.0,,459.0,,0.0,,1.0,,373.0,,0
268.0,Cleveland State U.,1041.0,,0.0,,0.0,,252.0,,0.0,,0.0,,18.0,,326.0,,0.0,,407.0,,38.0,,0
269.0,"Pennsylvania State U., Behrend",1040.0,,1.0,,1013.0,,2.0,,1.0,,3.0,,1.0,,1.0,,0.0,,13.0,,5.0,,0
270.0,"U. Massachusetts, central office",1013.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,1012.0,,0
271.0,U. Houston-Downtown,1006.0,,0.0,,62.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,146.0,,798.0,,0
272.0,"California State U., San Marcos",981.0,,0.0,,0.0,,493.0,,0.0,,0.0,,0.0,,0.0,,0.0,,121.0,,367.0,,0
273.0,"U. Puerto Rico, Rio Piedras",943.0,,0.0,,511.0,,44.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,388.0,,0
274.0,Western Washington U.,937.0,,0.0,,380.0,,3.0,,312.0,,11.0,,0.0,,6.0,,0.0,,0.0,,225.0,,0
275.0,U. South Alabama,936.0,,0.0,,642.0,,2.0,,0.0,,0.0,,0.0,,47.0,,0.0,,174.0,,71.0,,0
276.0,"CUNY, Brooklyn C.",928.0,,54.0,,295.0,,344.0,,0.0,,112.0,,59.0,,0.0,,0.0,,0.0,,64.0,,0
277.0,Stephen F. Austin State U.,912.0,,0.0,,33.0,,365.0,,0.0,,0.0,,0.0,,134.0,,0.0,,0.0,,380.0,,0
278.0,"U. Missouri, Saint Louis",897.0,,0.0,,0.0,,34.0,,0.0,,0.0,,28.0,,377.0,,0.0,,130.0,,328.0,,0
279.0,Hampton U.,882.0,,3.0,,746.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,17.0,,116.0,,0
280.0,Marquette U.,870.0,,0.0,,0.0,,177.0,,4.0,,3.0,,0.0,,0.0,,0.0,,686.0,,0.0,,0
280.0,Roger Williams U.,870.0,,0.0,,268.0,,0.0,,0.0,,0.0,,0.0,,0.0,,30.0,,0.0,,572.0,,0
282.0,Idaho State U.,860.0,,0.0,,183.0,,129.0,,0.0,,266.0,,0.0,,105.0,,0.0,,4.0,,173.0,,0
