Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All engineering,Unnamed: 8,Aeronautical and astronautical engineering,Unnamed: 10,Bioengineering and biomedical engineering,Unnamed: 12,Chemical engineering,Unnamed: 14,Civil engineering,Unnamed: 16,Electrical engineering,Unnamed: 18,Mechanical engineering,Unnamed: 20,Metallurgical and materials engineering,Unnamed: 22,"Engineering, nec  "
68.0,Colorado School of Mines,22047,,25577,,24952,,0,,54,,4135,,3629,,529,,1665,,9815,,5125,
69.0,Mississippi State U.,21030,,20193,,24033,,1485,,205,,1012,,1284,,7394,,7309,,0,,5344,
70.0,"U. Pittsburgh, Pittsburgh",25280,,23238,,23776,,0,,7719,,5339,,1783,,2917,,3684,,0,,2334,
71.0,Florida International U.,11215,,16056,,23742,,0,,2065,,84,,15460,,2369,,684,,0,,3080,
72.0,U. Iowa,25189,,22928,,23731,,0,,276,,611,,10292,,2686,,1536,,0,,8330,
73.0,Michigan State U.,28819,,24679,,23614,,0,,244,,6034,,2972,,9308,,3499,,0,,1557,
74.0,Drexel U.,29096,,28761,,23044,,0,,4236,,2557,,2212,,3629,,4499,,4462,,1449,
75.0,U. Houston,22559,,25047,,22784,,275,,2556,,2898,,5009,,4727,,3088,,2373,,1858,
76.0,U.S. Air Force Academy,36561,,27333,,21957,,4156,,0,,0,,168,,524,,17109,,0,,0,
77.0,U. Connecticut,24567,,20550,,21394,,0,,41,,3651,,5004,,4490,,3393,,920,,3895,
78.0,U. Kentucky,26502,,19370,,21330,,0,,767,,669,,7196,,1434,,1812,,1628,,7824,
79.0,"Washington U., Saint Louis",12749,,16372,,21218,,0,,8562,,5179,,2939,,1978,,2560,,0,,0,
80.0,"U. Massachusetts, Amherst",24216,,25507,,21158,,17,,0,,5686,,4972,,6797,,3535,,0,,151,
81.0,"U. California, Irvine",21053,,20798,,20914,,0,,4156,,2613,,3169,,5791,,5051,,0,,134,
82.0,"Auburn U., Auburn",26383,,21770,,19932,,209,,0,,2071,,1604,,2396,,2927,,205,,10520,
83.0,Mercer U.,17307,,17870,,19577,,7167,,0,,0,,0,,81,,8471,,3858,,0,
84.0,"Colorado State U., Fort Collins",24358,,20228,,19135,,0,,0,,1139,,6562,,6671,,4717,,0,,46,
85.0,Dartmouth C.,14632,,12969,,18973,,0,,6144,,2884,,341,,1961,,7643,,0,,0,
86.0,"CUNY, City C.",18146,,20990,,18872,,0,,4103,,2043,,9786,,1885,,948,,0,,107,
87.0,Stevens Institute of Technology,19541,,18385,,18436,,61,,984,,973,,453,,751,,679,,63,,14472,
88.0,Washington State U.,21176,,19254,,18367,,380,,988,,1880,,1800,,3133,,2447,,1733,,6006,
89.0,Worcester Polytechnic Institute,10407,,11021,,18152,,0,,1633,,2095,,438,,1853,,11172,,0,,961,
90.0,"U. Nebraska, Lincoln",19477,,16674,,17327,,0,,1059,,775,,6574,,4743,,2063,,2113,,0,
91.0,"U. Hawaii, Manoa",8403,,14584,,17218,,0,,1409,,0,,1713,,11782,,1665,,0,,649,
92.0,"U. Texas, Arlington",17561,,13162,,17109,,0,,1133,,0,,1257,,3358,,1650,,8637,,1074,
93.0,West Virginia U.,21103,,19870,,16922,,0,,0,,2166,,1623,,3775,,6253,,523,,2582,
94.0,Brown U.,13729,,17821,,16304,,580,,2990,,314,,0,,3660,,3736,,3037,,1987,
95.0,U. North Dakota,24187,,20078,,15585,,0,,0,,424,,130,,35,,404,,0,,14592,
96.0,Tufts U.,16236,,15882,,15335,,0,,6552,,1154,,2378,,2608,,2546,,0,,97,
97.0,Michigan Technological U.,18612,,17196,,15142,,0,,679,,772,,938,,6260,,5129,,1308,,56,
98.0,"U. South Carolina, Columbia",15496,,15516,,14827,,0,,0,,4113,,1539,,2490,,6657,,0,,28,
99.0,"U. Oklahoma, Norman and Health Science Center",13877,,7741,,13638,,0,,0,,4457,,3293,,3166,,1530,,0,,1192,
100.0,Old Dominion U.,13214,,12876,,12958,,0,,0,,0,,5186,,3877,,3895,,0,,0,
101.0,"SUNY, Stony Brook U.",13926,,11910,,12955,,0,,5671,,0,,73,,2480,,904,,2877,,950,
102.0,Wright State U.,10689,,13044,,12741,,0,,3793,,0,,0,,3230,,1007,,81,,4630,
103.0,Lehigh U.,11902,,11471,,12378,,0,,158,,2064,,2430,,1933,,2818,,2260,,715,
104.0,New Mexico Institute of Mining and Technology,12928,,25521,,12327,,539,,0,,9432,,266,,200,,393,,241,,1256,
105.0,U. New Hampshire,22984,,11805,,12143,,0,,1807,,557,,3137,,4569,,1817,,256,,0,
106.0,"Montana State U., Bozeman",10700,,11202,,11757,,0,,1869,,66,,4140,,1642,,644,,0,,3396,
107.0,Missouri U. of Science and Technology,19455,,15908,,11698,,0,,0,,301,,786,,2619,,3168,,464,,4360,
108.0,Texas Tech U.,9247,,10738,,11590,,0,,0,,3229,,342,,5280,,2179,,0,,560,
109.0,"SUNY, Polytechnic Institute",na,,18364,,11464,,0,,0,,0,,0,,55,,26,,11383,,0,
110.0,"U. Texas, El Paso",9566,,9676,,11360,,0,,0,,0,,1554,,2707,,4012,,761,,2326,
111.0,North Carolina Agricultural and Technical State U.,9612,,10557,,10860,,0,,643,,0,,562,,1357,,4770,,0,,3528,
112.0,U. Akron,14800,,15085,,10307,,0,,495,,3543,,1876,,607,,1458,,0,,2328,
