Rank,Institution,2006,Unnamed: 3,2007,Unnamed: 5,2008,Unnamed: 7,2009,Unnamed: 9,2010,Unnamed: 11,2011,Unnamed: 13,2012,Unnamed: 15,2013,Unnamed: 17,2014,Unnamed: 19,2015,Unnamed: 21,shift
43.0,U. Colorado Denver and Anschutz Medical Campus,222889,,216799,,215519,,266137,,285126,,307395,,315685,,296932,,285017,,274345.0,,0
44.0,Scripps Research Institute,268533,,267073,,265657,,288388,,313746,,317201,,309471,,308628,,292268,,274097.0,,0
45.0,Michigan State U.,181592,,187671,,169656,,177355,,214134,,240837,,268952,,260610,,261826,,272838.0,,0
46.0,California Institute of Technology,248646,,255088,,244944,,308230,,328522,,342945,,326701,,282823,,279515,,272673.0,,0
47.0,U. Arizona,302707,,270682,,278229,,288148,,308157,,327565,,331578,,338790,,290370,,269959.0,,0
48.0,U. Rochester,280422,,282821,,277747,,296618,,322048,,337907,,308115,,299553,,266767,,262681.0,,0
49.0,Boston U.,241726,,234104,,236597,,256666,,302411,,305476,,275319,,267194,,257017,,259736.0,,0
50.0,Baylor C. of Medicine,287679,,263146,,262498,,267130,,284072,,295529,,268753,,285230,,264641,,256895.0,,0
51.0,U. Cincinnati,202306,,219625,,221738,,229504,,262513,,287182,,267691,,258460,,245086,,251717.0,,0
52.0,Oregon Health and Science U.,223204,,227441,,232208,,233774,,247054,,268777,,242337,,246491,,247740,,245509.0,,0
53.0,U. Iowa,221966,,228526,,234559,,255101,,282465,,283627,,269734,,255329,,235527,,225587.0,,0
54.0,"Colorado State U., Fort Collins",193630,,217145,,214958,,217590,,211297,,236566,,252286,,219856,,212054,,219321.0,,0
55.0,"U. South Florida, Tampa",,,,,,,,,243017,,243030,,236148,,225414,,222790,,218338.0,,0
56.0,"Purdue U., West Lafayette",,,,,,,,,232564,,259948,,270655,,271504,,236860,,217330.0,,0
57.0,"U. Maryland, Baltimore",186160,,164211,,169026,,169081,,208246,,229706,,231886,,242108,,224802,,216687.0,,0
58.0,U. Miami,151892,,149309,,168036,,174074,,197824,,225352,,224172,,205870,,203751,,216008.0,,0
59.0,"Indiana U., Bloomington",,,,,,,,,71208,,74143,,79727,,85852,,84592,,210899.0,,0
60.0,"U. Virginia, Charlottesville",,,,,,,,,228917,,252928,,240254,,225567,,205865,,203401.0,,0
61.0,"U. Hawaii, Manoa",203221,,208196,,194508,,203453,,196275,,201700,,193722,,225359,,206810,,200202.0,,0
62.0,North Carolina State U.,131262,,131848,,131987,,136905,,139096,,155293,,174758,,177118,,181449,,199862.0,,0
63.0,Arizona State U.,113324,,118276,,130343,,142037,,172202,,185766,,194376,,201363,,196270,,196528.0,,0
64.0,Virginia Polytechnic Institute and State U.,121129,,129208,,135977,,148716,,162566,,189198,,184175,,201646,,204308,,196096.0,,0
65.0,"U. Illinois, Chicago",205639,,210799,,197369,,197537,,232380,,248936,,246128,,222566,,203733,,196010.0,,0
66.0,Carnegie Mellon U.,185390,,168486,,171347,,170260,,179386,,200967,,209522,,215560,,198247,,187259.0,,0
67.0,U. Texas Southwestern Medical Center,196621,,191687,,201480,,207216,,232027,,231639,,207513,,198114,,185137,,183787.0,,0
68.0,"U. Massachusetts, Medical School",136141,,131226,,145113,,145834,,178293,,208244,,202149,,189159,,183582,,183588.0,,0
69.0,Yeshiva U.,153785,,147941,,143866,,137108,,163399,,197032,,201397,,193831,,186885,,180791.0,,0
70.0,"SUNY, U. Buffalo",155668,,151572,,158152,,154876,,167099,,182585,,193613,,204995,,189209,,177441.0,,0
71.0,"U. California, Irvine",170336,,170611,,179527,,178138,,194559,,209117,,206985,,198730,,182585,,174875.0,,0
72.0,Woods Hole Oceanographic Institution,101631,,112754,,117587,,127378,,153066,,165819,,161115,,158672,,177616,,172995.0,,0
73.0,U. Texas M. D. Anderson Cancer Center,182028,,190508,,194889,,194633,,206664,,236400,,196753,,182971,,158986,,161171.0,,0
74.0,Princeton U.,118757,,121095,,125917,,130006,,150261,,163438,,161591,,156541,,164277,,158313.0,,0
75.0,U. Kansas,127180,,125300,,128306,,134257,,147598,,162721,,171043,,174021,,165442,,155835.0,,0
76.0,U. New Mexico,130388,,124121,,136138,,134740,,148216,,162854,,160895,,158057,,153889,,154794.0,,0
77.0,Oregon State U.,133328,,129287,,134280,,139587,,135886,,146882,,156446,,149396,,145247,,153017.0,,0
78.0,Wake Forest U.,139709,,141655,,146761,,144906,,159084,,173130,,172779,,156506,,153069,,148451.0,,0
79.0,U. Kentucky,155366,,158559,,159302,,147583,,171528,,179161,,159678,,150468,,142312,,146548.0,,0
80.0,Dartmouth C.,140482,,128164,,122318,,134694,,118271,,131583,,147421,,155209,,145498,,146233.0,,0
81.0,Virginia Commonwealth U.,112159,,96690,,106335,,104206,,144138,,153228,,142053,,135804,,138559,,142447.0,,0
82.0,Florida State U.,121944,,124050,,121901,,127104,,134794,,140850,,140419,,148413,,151701,,139597.0,,0
83.0,George Washington U.,91837,,104533,,128022,,91665,,122357,,116611,,112110,,120857,,141552,,139016.0,,0
84.0,U. Connecticut,126914,,126829,,122651,,124385,,132169,,144280,,153264,,148651,,144104,,137980.0,,0
85.0,Washington State U.,84779,,79439,,97925,,100631,,113452,,123502,,129255,,134329,,126955,,134889.0,,0
86.0,Brown U.,96922,,96288,,96233,,94485,,127087,,128628,,131994,,126559,,129248,,132142.0,,0
87.0,U. Georgia,96444,,107060,,105541,,109382,,119486,,137255,,137710,,131824,,126164,,132118.0,,0
88.0,Temple U.,54567,,57778,,60848,,71131,,79939,,89719,,90243,,131872,,126803,,129499.0,,0
89.0,"U. Oklahoma, Norman and Health Science Center",93145,,91405,,96435,,100924,,105366,,118970,,133841,,132456,,118925,,127709.0,,0
90.0,"U. Texas Health Science Center, Houston",122870,,131879,,129277,,135087,,150324,,156790,,146424,,144235,,136145,,125890.0,,0
91.0,Tufts U.,98634,,94284,,98175,,105122,,116699,,122208,,121512,,113450,,116204,,121428.0,,0
92.0,Utah State U.,97577,,91953,,89940,,84970,,90581,,113871,,108501,,106985,,114959,,120369.0,,0
93.0,Medical U. South Carolina,104057,,101402,,102187,,113789,,131650,,143464,,136907,,127472,,118649,,117255.0,,0
94.0,"U. California, Santa Barbara",107686,,113335,,113298,,115453,,129457,,136244,,136352,,132960,,121045,,116232.0,,0
95.0,"SUNY, Stony Brook U.",112973,,111316,,106419,,107430,,120146,,125102,,123383,,118513,,111683,,115150.0,,0
96.0,Iowa State U.,107422,,98917,,104550,,97975,,109461,,117522,,118242,,121993,,116273,,114518.0,,0
97.0,U. Delaware,81066,,84189,,86005,,88357,,105454,,118673,,117072,,119756,,116340,,114245.0,,0
98.0,Wayne State U.,118623,,114720,,116266,,117395,,132166,,134735,,126915,,119520,,113618,,109586.0,,0
99.0,Medical C. Wisconsin,100128,,107200,,111602,,117842,,121750,,133929,,125325,,116765,,111241,,109542.0,,0
100.0,"U. Tennessee, Knoxville",,,,,,,,,96972,,111942,,112471,,117836,,112201,,105417.0,,0
101.0,"U. Missouri, Columbia",109996,,119545,,112814,,124796,,116965,,116403,,114345,,111510,,104910,,105015.0,,0
102.0,"U. Massachusetts, Amherst",71244,,73485,,80432,,80950,,97937,,107683,,115280,,111448,,110189,,103417.0,,0
103.0,U. Texas Medical Branch,120408,,118173,,122009,,126703,,128840,,128098,,109867,,108287,,101761,,98050.0,,0
104.0,"U. Nebraska, Lincoln",81347,,81044,,82732,,84455,,96069,,105724,,104579,,98235,,94265,,95831.0,,0
105.0,"U. California, Santa Cruz",67010,,69122,,70919,,77253,,84518,,97817,,94222,,91002,,90858,,92870.0,,0
106.0,U. New Hampshire,91165,,86287,,87431,,84993,,84553,,106806,,119451,,102053,,101125,,92040.0,,0
107.0,"U. South Carolina, Columbia",,,,,,,,,125501,,103296,,98836,,91612,,91890,,90453.0,,0
108.0,U. Central Florida,41284,,60735,,68806,,73742,,69331,,69098,,78411,,76533,,70716,,88814.0,,0
109.0,Georgetown U.,94901,,107904,,113707,,121514,,120589,,123540,,115197,,114760,,100475,,88015.0,,0
110.0,"U. Texas Health Science Center, San Antonio",95110,,95610,,121758,,129399,,121723,,121200,,106177,,99198,,89303,,85940.0,,0
111.0,Tulane U.,84196,,98612,,109561,,109659,,106872,,111007,,101360,,97994,,94486,,84166.0,,0
112.0,U. Vermont,82676,,90419,,90220,,92760,,98635,,101471,,87843,,85118,,79743,,83733.0,,0
113.0,U. Notre Dame,56248,,54491,,67497,,57953,,62152,,79716,,83295,,79564,,79690,,83710.0,,0
114.0,"Louisiana State U., Baton Rouge",79834,,81072,,80583,,89593,,97407,,97517,,92551,,94563,,94701,,83644.0,,0
115.0,Rockefeller U.,93742,,86728,,81557,,73906,,88705,,97710,,84616,,80384,,81820,,81949.0,,0
116.0,"U. Alaska, Fairbanks",99277,,101219,,97356,,92244,,99657,,105469,,99674,,94953,,85904,,81586.0,,0
117.0,Northeastern U.,38484,,38843,,38861,,40031,,59074,,67938,,77667,,85170,,79666,,80576.0,,0
118.0,Mississippi State U.,94318,,106804,,106159,,104121,,106324,,98998,,96689,,74075,,71715,,80097.0,,0
119.0,"SUNY, U. Albany",106588,,105776,,108994,,97007,,124324,,125189,,112989,,114158,,105333,,79681.0,,0
120.0,New Mexico State U.,102257,,102367,,86715,,89450,,98399,,90598,,90722,,86806,,80599,,78903.0,,0
121.0,Naval Postgraduate School,59636,,65946,,88846,,81330,,93605,,94278,,127049,,91134,,96573,,78780.0,,0
122.0,U. Dayton,58582,,61352,,65621,,71361,,73540,,70996,,65169,,67698,,66318,,77973.0,,0
123.0,Florida International U.,58158,,62366,,60045,,57371,,62580,,65446,,69402,,72357,,78961,,76528.0,,0
124.0,Rice U.,54038,,54662,,55177,,56524,,69395,,78730,,76964,,80075,,73965,,74266.0,,0
125.0,"U. Nebraska, Medical Center",53808,,53506,,51300,,61224,,80784,,86295,,84196,,80750,,76195,,71920.0,,0
126.0,Kansas State U.,53558,,48383,,54491,,59444,,68560,,76953,,77689,,70167,,67438,,69918.0,,0
127.0,U. Oregon,54935,,57708,,65135,,70628,,76378,,84997,,86316,,75423,,74603,,69723.0,,0
128.0,Drexel U.,68915,,67467,,65868,,68514,,77438,,83702,,87860,,76343,,77684,,69462.0,,0
129.0,"Montana State U., Bozeman",83355,,82917,,78728,,81208,,93100,,87528,,86511,,73619,,72777,,69136.0,,0
130.0,West Virginia U.,64262,,67159,,71075,,68741,,79415,,88419,,82149,,74704,,69165,,68731.0,,0
131.0,U. Louisville,71920,,78070,,74581,,78614,,93260,,96010,,89976,,78144,,65849,,68069.0,,0
132.0,"U. Alabama, Huntsville",46365,,50504,,49030,,55152,,73075,,72665,,78528,,85738,,75343,,67451.0,,0
133.0,U. Rhode Island,46898,,52561,,51791,,58762,,62981,,78303,,83754,,74870,,65715,,64711.0,,0
134.0,George Mason U.,45126,,48452,,52908,,60694,,63011,,65301,,63786,,65096,,61877,,63600.0,,0
135.0,"U. California, Riverside",62209,,61059,,58670,,58586,,63127,,62312,,63821,,59065,,57397,,63515.0,,0
136.0,U. Mississippi,72028,,80317,,69076,,65028,,71475,,74918,,74955,,64590,,64218,,59978.0,,0
137.0,Rensselaer Polytechnic Institute,45414,,49153,,47491,,48509,,54847,,59284,,62341,,60870,,59070,,59528.0,,0
138.0,Thomas Jefferson U.,82551,,81545,,76034,,73152,,77817,,80027,,68976,,56247,,54676,,58536.0,,0
139.0,U. Houston,42613,,42644,,43845,,42450,,52920,,59580,,55812,,61038,,58954,,58458.0,,0
140.0,New Jersey Institute of Technology,35489,,41330,,40087,,42656,,50051,,54250,,59398,,57466,,54655,,55094.0,,0
141.0,Clemson U.,57181,,54394,,56944,,57232,,62934,,52919,,51764,,52002,,49887,,53136.0,,0
142.0,Rush U.,45044,,39601,,40942,,43608,,51304,,57978,,57512,,57063,,53501,,52193.0,,0
143.0,"U. Nevada, Reno",64959,,63924,,66777,,64720,,58115,,57220,,55437,,56900,,53363,,51724.0,,0
144.0,U. Arkansas for Medical Sciences,66127,,60836,,62035,,61249,,72217,,75924,,69883,,64856,,55556,,50603.0,,0
145.0,Georgia Regents U.,na,,na,,na,,na,,na,,na,,na,,47913,,47771,,50585.0,,0
146.0,U. Idaho,48335,,46273,,46235,,43207,,46303,,54243,,55115,,53986,,50638,,50559.0,,0
147.0,Georgia State U.,28542,,28205,,30248,,28364,,27073,,28210,,34075,,37521,,42259,,50122.0,,0
148.0,Cold Spring Harbor Laboratory,ne,,ne,,ne,,ne,,ne,,51529,,43874,,41002,,41845,,49063.0,,0
149.0,U. Wyoming,26060,,25579,,29018,,30144,,45323,,48932,,57441,,53971,,42280,,48970.0,,0
150.0,"Auburn U., Auburn",,,,,,,,,53971,,59559,,55557,,57253,,50088,,48352.0,,0
151.0,"U. Maryland, Baltimore County",44885,,49696,,50698,,54455,,59448,,61172,,45014,,44662,,47538,,47954.0,,0
152.0,Brandeis U.,41201,,41366,,38204,,40817,,43669,,48235,,44532,,45337,,47532,,47841.0,,0
153.0,San Diego State U.,37770,,34792,,38038,,44250,,56504,,64056,,56797,,51274,,50542,,46870.0,,0
154.0,"U. Texas, El Paso",26844,,27218,,26996,,29507,,34617,,35399,,40024,,38253,,35304,,41897.0,,0
155.0,Cleveland State U.,6087,,6282,,5496,,4356,,25024,,42575,,46645,,50243,,44233,,41851.0,,0
156.0,Old Dominion U.,32869,,32976,,35421,,36433,,34687,,39534,,38555,,39963,,41270,,40002.0,,0
157.0,"U. Tennessee, Health Science Center",,,,,,,,,52652,,51842,,48473,,42269,,41830,,39356.0,,0
158.0,Howard U.,35125,,34251,,35873,,31938,,33017,,36060,,37690,,33966,,32663,,38820.0,,0
159.0,"Oklahoma State U., Stillwater",,,,,,,,,56998,,81855,,85876,,44200,,36687,,38585.0,,0
160.0,"CUNY, City C.",21902,,21866,,22027,,23238,,32900,,40595,,39572,,40094,,40095,,38434.0,,0
161.0,U. North Dakota,38849,,44625,,46620,,49240,,52504,,54058,,54476,,46491,,40340,,37697.0,,0
162.0,Florida A&M U.,25674,,14502,,23657,,23535,,45856,,44905,,42937,,39675,,36570,,36975.0,,0
163.0,"Louisiana State U., Health Sciences Center – New Orleans",52437,,54690,,43865,,43398,,46142,,45581,,40637,,36886,,34637,,36027.0,,0
164.0,North Dakota State U.,46086,,46345,,50682,,44343,,51883,,53451,,46490,,38453,,36277,,35482.0,,0
165.0,U. Maine,41751,,44919,,41740,,47785,,50163,,59800,,39661,,34252,,50589,,35369.0,,0
166.0,"U. Arkansas, Fayetteville",34357,,38831,,33066,,33184,,33674,,37587,,34189,,30625,,26111,,34288.0,,0
167.0,Colorado School of Mines,20543,,18248,,20072,,25109,,29892,,33789,,33481,,32399,,34781,,34266.0,,0
168.0,San Jose State U.,31283,,28188,,29151,,33299,,24292,,26389,,24153,,27780,,32901,,33782.0,,0
169.0,"U. Montana, Missoula",33096,,33953,,34497,,36888,,40760,,38565,,35984,,34021,,30319,,33718.0,,0
170.0,C. of William and Mary and Virginia Institute of Marine Science,35174,,33045,,31357,,30665,,27685,,30361,,32526,,31628,,33320,,33129.0,,0
171.0,Texas Tech U.,23171,,23961,,21392,,25651,,35970,,35191,,29969,,28827,,33137,,32987.0,,0
172.0,Syracuse U.,32444,,32230,,33566,,31000,,33796,,33850,,33156,,27729,,29404,,32378.0,,0
173.0,"U. Puerto Rico, Medical Sciences Campus",31199,,31955,,28481,,33841,,29813,,54381,,35173,,31037,,30197,,31889.0,,0
174.0,"U. Texas, Dallas",19954,,17783,,21383,,26244,,30754,,33216,,35297,,33920,,32699,,31068.0,,0
175.0,"U. Massachusetts, Lowell",19598,,20759,,23284,,23933,,25550,,27960,,26786,,27360,,28654,,31059.0,,0
176.0,U.S. Air Force Academy,9678,,16142,,44935,,38795,,49711,,62118,,43431,,45169,,34669,,30637.0,,0
177.0,Morehouse School of Medicine,25156,,23230,,24985,,23583,,25855,i,28128,,31786,,34511,,33020,,30012.0,,0
178.0,Portland State U.,22236,,20813,,23727,,31917,,36996,,41580,,42662,,40377,,33523,,29987.0,,0
179.0,"U. Alabama, Tuscaloosa",22997,,27953,,23788,,24283,,26364,,32999,,33023,,28375,,26161,,28988.0,,0
180.0,Michigan Technological U.,18789,,28226,,29944,,27263,,27676,,32724,,33189,,32086,,30588,,28692.0,,0
181.0,South Dakota State U.,12793,,17064,,20929,,24356,,38368,,41904,,41975,,33231,,29524,,28670.0,,0
182.0,"U. Massachusetts, Boston",9131,,16104,,17149,,18378,,24527,,26958,,33275,,24924,,27715,,28653.0,,0
183.0,Eastern Virginia Medical School,19399,,20620,,17499,,24083,,29291,,25319,,24694,,28728,,28532,,28637.0,,0
184.0,"Loyola U., Chicago",25903,,25148,,23481,,23855,,28995,,28633,,28530,,33074,,31189,,28200.0,,0
185.0,"U. Texas, Arlington",19095,,20259,,20927,,25144,,31628,,30659,,33150,,30815,,24857,,27712.0,,0
186.0,Saint Louis U.,45183,,49588,,49434,,33736,,33728,,38323,,35873,,31645,,30071,,27580.0,,0
187.0,"U. Nevada, Las Vegas",43200,,49347,,42314,,32033,,32441,,30457,,25068,,24502,,26950,,27493.0,,0
188.0,U. Toledo,17649,,32801,,29676,,29707,,38389,,44881,,41072,,40497,,34684,,27085.0,,0
189.0,Wright State U.,22430,,22229,,21315,,22789,,24785,,27422,,25552,,26888,,27838,,26931.0,,0
190.0,Worcester Polytechnic Institute,11047,,10146,,10650,,10938,,13582,,15714,,12968,,17003,,19643,,26327.0,,0
191.0,Stevens Institute of Technology,25223,,26800,,20461,,20620,,29370,,32570,,27420,,24812,,23656,,25980.0,,0
192.0,Illinois Institute of Technology,19883,,20930,,20230,,17705,,28349,,34858,,27767,,28319,,25679,,25826.0,,0
193.0,U. Wisconsin-Milwaukee,20650,,23982,,21710,,24868,,29042,,30479,,28862,,26450,,25377,,25587.0,,0
194.0,U. Southern Mississippi,36175,,43972,,42820,,41978,,37054,,40984,,37524,,28694,,26163,,25005.0,,0
195.0,"Brigham Young U., Provo",20607,,19436,,19819,,20800,,22115,,24273,,22069,,23639,,24490,,24250.0,,0
196.0,"U. Texas, San Antonio",21463,,21669,,22574,,26966,,28717,,31972,,32672,,29078,,23066,,23511.0,,0
197.0,Boston C.,18837,,21227,,22585,,24324,,33290,,31953,,30855,,27975,,25115,,23352.0,,0
198.0,Lehigh U.,19648,,23559,,22739,,19724,,23721,,22390,,23312,,24831,,24271,,22910.0,,0
199.0,"U. North Texas, Health Science Center",19183,,19203,,19818,,20215,,25847,,26132,,26627,,24187,,21943,,22422.0,,0
200.0,North Carolina Agricultural and Technical State U.,16093,,15453,,18506,,18550,,23883,,22652,,22477,,21663,,23373,,22413.0,,0
201.0,Alabama A&M U.,7537,,8467,,5566,,10265,,22154,,22120,i,22086,i,22052,i,22018,i,21982.0,,0
202.0,Mercer U.,11741,,11075,,12012,,13377,,18778,,17904,,19963,,19411,,19666,,21563.0,,0
203.0,Loma Linda U.,28788,,24666,,32350,,29114,,29284,,32187,,24884,,26253,,19088,,21082.0,,0
204.0,"SUNY, Downstate Medical Center",25184,,23232,,25299,,22849,,25023,,33964,,34884,,31972,,25802,,20779.0,,0
205.0,Northern Arizona U.,14445,,12409,,13310,,13345,,15070,,17765,,16015,,15638,,18209,,20285.0,,0
206.0,Rochester Institute of Technology,15361,,14572,,15597,,19707,,23254,,20396,,19394,,18379,,19465,,20147.0,,0
207.0,New Mexico Institute of Mining and Technology,47901,,69050,,64322,,61178,,42243,,37316,,29894,,23581,,33245,,20018.0,,0
208.0,Catholic U. of America,13561,,15533,,15223,,16029,,15878,,19890,,17608,,17310,,17205,,19900.0,,0
209.0,Jackson State U.,30783,,30980,,35221,,37321,,39457,,43001,,39511,,29700,,21677,,19656.0,,0
210.0,U. of the Virgin Islands,12518,,12561,,12770,,16628,,28369,,16338,,22605,,15627,,14992,,19456.0,,0
211.0,"SUNY, Upstate Medical U.",27247,,27933,,23117,,21828,,27959,,28663,,27013,,23730,,21334,,19213.0,,0
212.0,"CUNY, Hunter C.",19179,,16473,,15833,,19487,,18498,,22901,,24265,,22512,,19268,,19193.0,,0
213.0,"U. North Carolina, Charlotte",13159,,13858,,12038,,14202,,17284,,15930,,19230,,20994,,19069,,19132.0,,0
214.0,"U. Puerto Rico, Rio Piedras",16881,,16114,,25382,,19376,,21717,,24887,,25407,,17946,,18262,,18922.0,,0
215.0,U. Memphis,18807,,22872,,20293,,19024,,20654,,20348,,22142,,18619,,21898,,18825.0,,0
216.0,"Indiana U.-Purdue U., Indianapolis",,,,,,,,,148672,,156607,,166825,,152578,,143386,,18479.0,,0
217.0,Boise State U.,8346,,10345,,9370,,9938,,14614,,18811,,20070,,16117,,15746,,18296.0,,0
218.0,Texas State U.,1930,,3091,,3237,,8312,,8904,,10319,,11950,,14908,,14243,,18289.0,,0
219.0,Missouri U. of Science and Technology,23722,,18798,,22353,,23548,,28239,,27961,,23731,,25571,,21811,,17632.0,,0
220.0,Ohio U.,19630,,18641,,18274,,16783,,18466,,23051,,20780,,20203,,16597,,17303.0,,0
221.0,Air Force Institute of Technology,5579,,6774,,8274,,12197,,15474,,20196,,19579,,18739,,16782,,16727.0,,0
222.0,Desert Research Institute,30407,,30752,,30703,,29544,,28307,,28489,,27294,,22814,,19932,,16511.0,,0
223.0,"SUNY, Binghamton U.",12322,,15207,,15497,,18119,,20979,,21244,,21162,,17715,,14843,,16171.0,,0
224.0,"U. Louisiana, Lafayette",11819,,11099,,13079,,13641,,12881,,14659,,13848,,11090,,10666,,15799.0,,0
225.0,"U. Puerto Rico, Mayaguez",11645,,12366,,11913,i,12673,,12735,,18568,,19949,,14414,,14162,,15700.0,,0
226.0,"U. North Texas, Denton",9009,,7815,,9045,,10870,,14444,,14754,,18043,,16515,,16318,,15470.0,,0
227.0,"U. Tennessee, Knoxville, Institute of Agriculture",,,,,,,,,12527,,15512,,17786,,17493,,15342,,15320.0,,0
228.0,U.S. Military Academy,6660,i,7248,,9420,,8641,,22146,,13799,,12227,,11630,,14819,,15312.0,,0
229.0,U. South Alabama,15567,,16676,,15907,,15883,,14730,,16758,,13816,,13743,,14353,,15106.0,,0
230.0,East Carolina U.,10771,,10472,,11351,,17633,,16113,,19675,,17838,,18227,,17409,,15079.0,,0
231.0,"U. North Carolina, Greensboro",12217,,12137,,14259,,17578,,19477,,20868,,16530,,13658,,13489,,14978.0,,0
232.0,"Southern Illinois U., Carbondale",20108,,17724,,17499,,19223,,22209,,23696,,22055,,18398,,16288,,14895.0,,0
