Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All social sciences,Unnamed: 10,Economics,Unnamed: 12,Political science,Unnamed: 14,Sociology,Unnamed: 16,"Social sciences, nec",Unnamed: 18,shift
362.0,New Mexico State U.,142,,133,,331,,106.0,,1.0,,4.0,,25.0,,76.0,,,0
363.0,Desert Research Institute,26,,0,,33,,104.0,,0.0,,0.0,,0.0,,104.0,,,0
364.0,"SUNY, Geneseo",106,,44,,33,,103.0,,0.0,,35.0,,49.0,,19.0,,,0
365.0,Bates C.,137,,201,,66,,98.0,,37.0,,15.0,,46.0,,0.0,,,0
365.0,"California State U., Channel Islands",ne,,15,,260,,98.0,,0.0,,49.0,,49.0,,0.0,,,0
367.0,Embry-Riddle Aeronautical U.,55,,0,,59,,97.0,,11.0,,0.0,,9.0,,77.0,,,0
367.0,Stevens Institute of Technology,0,,0,,49,,97.0,,74.0,,0.0,,23.0,,0.0,,,0
369.0,Tennessee State U.,0,,6,,73,,96.0,,7.0,,0.0,,0.0,,89.0,,,0
369.0,U. Wisconsin-Green Bay,87,i,90,i,93,i,96.0,i,44.0,i,34.0,i,18.0,i,0.0,i,,0
371.0,Calvin C.,347,,709,,90,,90.0,i,10.0,i,22.0,i,58.0,i,0.0,i,,0
372.0,Quinnipiac U.,35,i,44,i,ne,,89.0,i,14.0,i,17.0,i,13.0,i,45.0,i,,0
372.0,U. North Dakota,21,,45,,65,,89.0,,0.0,,45.0,,0.0,,44.0,,,0
374.0,Hofstra U.,87,,69,,30,,88.0,,0.0,,9.0,,69.0,,10.0,,,0
374.0,Oakland U.,86,,33,,91,,88.0,,0.0,,23.0,,65.0,,0.0,,,0
374.0,Saint Joseph's U.,147,,30,,94,,88.0,,6.0,,15.0,,47.0,,20.0,,,0
377.0,Montclair State U.,388,,265,,23,,87.0,,0.0,,4.0,,37.0,,46.0,,,0
377.0,U. Wisconsin-Oshkosh,30,,26,i,80,i,87.0,i,18.0,i,13.0,i,21.0,i,35.0,i,,0
379.0,Trinity U.,61,,65,,37,,86.0,,0.0,,46.0,,40.0,,0.0,,,0
380.0,Salish Kootenai C.,0,,0,,98,i,83.0,,0.0,,0.0,,0.0,,83.0,,,0
381.0,U. of the Pacific,758,,354,,274,,82.0,,74.0,,0.0,,8.0,,0.0,,,0
381.0,West Texas A&M U.,0,,0,,2,,82.0,,82.0,,0.0,,0.0,,0.0,,,0
383.0,Bucknell U.,51,,53,,40,,81.0,,13.0,,41.0,,27.0,,0.0,,,0
384.0,"U. Oklahoma, Tulsa",ne,,ne,,ne,,80.0,,0.0,,67.0,,0.0,,13.0,,,0
385.0,"CUNY, C. Staten Island",44,,33,i,44,,79.0,,60.0,,1.0,,0.0,,18.0,,,0
386.0,"California State U., San Marcos",11,i,11,,1,i,76.0,,41.0,,0.0,,0.0,,35.0,,,0
386.0,Clarkson U.,38,,7,,161,,76.0,,0.0,,64.0,,0.0,,12.0,,,0
386.0,"U. Texas, Tyler",0,,58,,10,,76.0,,76.0,,0.0,,0.0,,0.0,,,0
389.0,U. Wisconsin-Platteville,ne,,ne,,34,i,69.0,i,0.0,i,43.0,i,26.0,i,0.0,i,,0
390.0,"U. Arkansas, Little Rock",186,,285,,93,,68.0,,0.0,,0.0,,4.0,,64.0,,,0
390.0,Wichita State U.,540,,379,,512,,68.0,,8.0,,3.0,,53.0,,4.0,,,0
392.0,U. del Turabo,0,,0,,927,,67.0,,0.0,,0.0,,0.0,,67.0,,,0
393.0,C. Wooster,69,,ne,,68,,66.0,i,11.0,i,27.0,i,28.0,i,0.0,i,,0
393.0,"SUNY, Farmingdale State C.",0,,0,,0,,66.0,,66.0,,0.0,,0.0,,0.0,,,0
395.0,Appalachian State U.,51,,116,,82,,64.0,,40.0,,3.0,,21.0,,0.0,,,0
395.0,"Minnesota State U., Mankato",66,,41,,86,,64.0,,0.0,,0.0,,0.0,,64.0,,,0
397.0,"U. South Florida, Saint Petersburg",271,,244,,244,,62.0,,58.0,,0.0,,4.0,,0.0,,,0
398.0,La Salle U.,0,,59,,83,,61.0,,0.0,,2.0,,59.0,,0.0,,,0
398.0,Middle Tennessee State U.,619,,1013,,195,,61.0,,0.0,,0.0,,0.0,,61.0,,,0
398.0,New Jersey Institute of Technology,448,,427,,304,,61.0,,0.0,,0.0,,0.0,,61.0,,,0
398.0,"Pennsylvania State U., Behrend",90,,71,,44,,61.0,,30.0,,0.0,,31.0,,0.0,,,0
402.0,Sewanee: U. of the South,57,,ne,,61,,57.0,,0.0,,0.0,,0.0,,57.0,,,0
403.0,Siena C.,0,,15,,14,,55.0,,39.0,,9.0,,7.0,,0.0,,,0
404.0,Gallaudet U.,80,,55,,68,,53.0,,0.0,,0.0,,10.0,,43.0,,,0
404.0,Saginaw Valley State U.,7,,3,,ne,,53.0,,0.0,,0.0,,20.0,,33.0,,,0
406.0,"California State U., Monterey Bay",0,,10,,29,,52.0,,4.0,,0.0,,48.0,,0.0,,,0
406.0,"U. Nebraska, Kearney",18,,35,,58,,52.0,,2.0,,6.0,,0.0,,44.0,,,0
408.0,Stockton U.,109,,ne,,120,,48.0,,0.0,,10.0,,0.0,,38.0,,,0
409.0,U. Redlands,21,,153,,246,,47.0,,0.0,,0.0,,47.0,,0.0,,,0
410.0,"California State U., Chico",14,,13,,102,,46.0,,0.0,,0.0,,0.0,,46.0,,,0
410.0,U. Houston-Clear Lake,0,,34,,48,,46.0,,0.0,,0.0,,44.0,,2.0,,,0
410.0,Wright State U.,15,,118,,38,,46.0,,1.0,,0.0,,3.0,,42.0,,,0
413.0,U. West Georgia,193,,132,,114,,42.0,,0.0,,2.0,,40.0,,0.0,,,0
414.0,Sonoma State U.,ne,,35,,47,,40.0,,4.0,,2.0,,0.0,,34.0,,,0
415.0,Carleton C.,0,,12,,5,,39.0,,10.0,,29.0,,0.0,,0.0,,,0
