Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All physical sciences,Unnamed: 10,Astronomy,Unnamed: 12,Chemistry,Unnamed: 14,Physics,Unnamed: 16,"Physical sciences, nec",Unnamed: 18,shift
138.0,"U. Alabama, Tuscaloosa",5506,,4773,,4017,,4160.0,,141.0,,1942.0,,2077.0,,0.0,,,0
139.0,Lehigh U.,3345,,3672,,3954,,4073.0,,0.0,,2562.0,,1511.0,,0.0,,,0
140.0,North Carolina Central U.,1150,,151,,2180,,3885.0,,0.0,,719.0,,3166.0,,0.0,,,0
141.0,U. Cincinnati,4071,,5227,,4771,,3794.0,,0.0,,1874.0,,1920.0,,0.0,,,0
142.0,"SUNY, Binghamton U.",3868,,3142,,2197,,3610.0,,0.0,,3165.0,,445.0,,0.0,,,0
143.0,Idaho State U.,5741,,4105,,3346,,3537.0,,0.0,,342.0,,3195.0,,0.0,,,0
144.0,Kent State U.,5097,,4096,,3468,,3507.0,,0.0,,750.0,,2373.0,,384.0,,,0
145.0,Georgetown U.,5126,,4373,,4199,,3494.0,,0.0,,2237.0,,1257.0,,0.0,,,0
146.0,"Auburn U., Auburn",4183,,3335,,3907,,3396.0,,0.0,,1067.0,,2329.0,,0.0,,,0
147.0,"California State U., Northridge",4232,,2834,,4216,,3355.0,,192.0,,819.0,,2344.0,,0.0,,,0
148.0,"U. California, Merced",2115,,1552,,1561,,3353.0,,0.0,,2622.0,,731.0,,0.0,,,0
149.0,U. Wyoming,4382,,3977,,2807,,3299.0,,0.0,,1693.0,,1606.0,,0.0,,,0
150.0,Tulane U.,1998,,2412,,2423,,3227.0,,0.0,,1698.0,,1529.0,,0.0,,,0
151.0,U. Metropolitana,5963,,4692,,3622,,3180.0,,3180.0,,0.0,,0.0,,0.0,,,0
152.0,George Mason U.,6492,,6116,,4067,,3139.0,,1889.0,,103.0,,1147.0,,0.0,,,0
153.0,"CUNY, Hunter C.",4717,,4377,,3529,,3130.0,,72.0,,2176.0,,882.0,,0.0,,,0
154.0,"U. North Carolina, Charlotte",2195,,2747,,2176,,3114.0,,0.0,,436.0,,2678.0,,0.0,,,0
155.0,U.S. Air Force Academy,5016,,3133,,3415,,3067.0,,0.0,,396.0,,2671.0,,0.0,,,0
156.0,Utah State U.,4804,,3118,,2549,,2958.0,,0.0,,1508.0,,493.0,,957.0,,,0
157.0,Portland State U.,8040,,5400,,3756,,2948.0,,0.0,,2431.0,,517.0,,0.0,,,0
158.0,George Washington U.,2545,,2610,,2893,,2889.0,,67.0,,1262.0,,1560.0,,0.0,,,0
