Rank,Institution,2006,Unnamed: 3,2007,Unnamed: 5,2008,Unnamed: 7,2009,Unnamed: 9,2010,Unnamed: 11,2011,Unnamed: 13,2012,Unnamed: 15,2013,Unnamed: 17,2014,Unnamed: 19,2015,Unnamed: 21,shift
155.0,San Diego State U.,73777,,65810,,69974,,79190,,95064,,91789,,75670,,69338,,77474,,76131.0,,0
156.0,"U. Texas, Arlington",29267,,32734,,43005,,51673,,62410,,60003,,64684,,72571,,74261,,74702.0,,0
157.0,Naval Postgraduate School,56780,,63392,,83314,,76860,,96067,,95153,,124531,,89616,,91400,,74293.0,,0
158.0,"SUNY, Binghamton U.",29635,,35462,,59017,,66050,,66512,,65816,,73098,,67892,,63960,,70367.0,,0
159.0,Brandeis U.,57017,,56831,,49797,,62228,,67672,,71638,,69489,,69398,,67048,i,68690.0,i,0
160.0,"U. Maryland, Baltimore County",65718,,66968,,66802,,75571,,81894,,83155,,65628,,62887,,64329,,67944.0,,0
161.0,Georgia Regents U.,na,,na,,na,,na,,na,,na,,na,,64033,,64116,,67736.0,,0
162.0,"U. Tennessee, Knoxville, Institute of Agriculture",,,,,,,,,59212,i,62786,,68480,,67887,,67171,,67059.0,,0
163.0,Michigan Technological U.,43081,,55294,,58763,,58356,,60183,,66812,,67977,,66192,,64791,,66135.0,,0
164.0,"U. Tennessee, Health Science Center",,,,,,,,,81900,i,81216,,77749,,71897,,67841,,65771.0,,0
165.0,U. Oregon,57153,,61694,,67378,,75869,,83545,,87161,,87656,,78654,,77655,,65226.0,,0
166.0,U. North Dakota,56074,,63036,,65027,,71656,,76262,,74636,,79792,,68636,,67199,,63590.0,,0
167.0,"U. Montana, Missoula",52903,,55755,,58032,,59505,,62814,,59617,,58735,,59809,,54808,,60282.0,,0
168.0,Ohio U.,38000,,38671,,38108,,41256,,44428,,43399,,42798,,44746,,58238,i,57786.0,i,0
169.0,"Southern Illinois U., Carbondale",74520,,64703,,67094,,66316,,69924,,71130,,71097,,70854,,65256,,57509.0,,0
170.0,"U. Massachusetts, Lowell",27635,,34824,,36486,,52431,,55120,,55257,,53980,,51465,,52595,,57435.0,,0
171.0,South Dakota State U.,33275,,39033,,47758,,55334,,67269,,69646,,68554,,63751,,58199,,57433.0,,0
172.0,Colorado School of Mines,28729,,29939,,34050,,40117,,43403,,45816,,55925,,57778,,58498,,57425.0,,0
173.0,Cleveland State U.,14496,,15948,,14131,,13424,,33857,,55044,,60481,,67137,,61291,,56683.0,i,0
174.0,U. Wisconsin-Milwaukee,34033,,40023,,41285,,44115,,58417,,56845,,52271,,47568,,51316,,55883.0,,0
175.0,"U. Louisiana, Lafayette",47308,,52075,,58667,,68018,,57333,,56313,,51873,,52089,,59068,,55250.0,,0
176.0,U. Wyoming,89414,,79700,,74720,,77633,,53957,,55320,,63812,,63149,,48736,,54928.0,,0
177.0,U. Akron,28440,,27138,,27182,,34507,,47558,,52881,,59765,,62331,,64270,,54089.0,,0
178.0,Wright State U.,47711,,49713,,47770,,48153,,48396,,47795,,45901,,49760,,54456,,53881.0,,0
179.0,C. of William and Mary and Virginia Institute of Marine Science,52025,,49854,,55090,,51169,,51453,,48835,,46547,,48183,,49428,,52642.0,,0
180.0,"CUNY, City C.",30316,,32840,,34452,,36368,,45050,,56734,,56618,,54316,,52072,,51905.0,,0
181.0,"U. Alabama, Tuscaloosa",35129,,36382,,32846,,36508,,39992,,52601,,52021,,49728,,47920,,51555.0,,0
182.0,"Indiana U.-Purdue U., Indianapolis",,,,,,,,,290490,,314004,,308101,,325562,,316650,,51479.0,,0
183.0,"U. Texas, San Antonio",30259,,30542,,33106,,43818,,51480,,50496,,48700,,48599,,42318,,50012.0,,0
184.0,Wichita State U.,31873,,47398,,47853,,65988,,51068,,51862,,50108,,52831,,53614,,49902.0,,0
185.0,Syracuse U.,44208,,43978,,47481,,60033,,76808,,56598,,56192,,48195,,48034,,49384.0,,0
186.0,"U. Maryland, Center for Environmental Science",40146,,40720,,40556,,41670,,42670,,50007,,48224,,53683,,50814,,49341.0,,0
187.0,Old Dominion U.,49966,,52134,,66538,,71909,,76710,,80696,,79305,,76187,,52832,,48418.0,,0
