Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All life sciences,Unnamed: 10,Agricultural sciences,Unnamed: 12,Biological sciences,Unnamed: 14,Medical sciences,Unnamed: 16,"Life sciences, nec"
161.0,"U. Texas, El Paso",17961,,20301,,21326,,25094,,0,,18480,,2246,,4368,
162.0,"U. California, Office of the President",35920,,26949,,24651,,24410,,2110,,0,,22300,,0,
163.0,U. Houston,19151,,23655,,22667,,24341,,34,,10502,,12649,,1156,
164.0,"U. California, Santa Barbara",18289,,28187,,28090,,24093,,0,,24093,,0,,0,
165.0,"Louisiana State U., Health Sciences Center - Shreveport",29365,,28266,,25004,,24069,,0,,7229,,16055,,785,
166.0,"U. California, Santa Cruz",17304,,19553,,21776,,22706,,2147,,20559,,0,,0,
167.0,East Carolina U.,22824,,28780,,23932,,22368,,0,,9003,,12096,,1269,
168.0,"U. Alaska, Fairbanks",25897,,20444,,20893,,21419,,5744,,11188,,1850,,2637,
169.0,U. Rhode Island,24000,,18284,,20603,,21362,,1840,,4392,,8125,,7005,
170.0,U. Toledo,31356,,30581,,24257,,21320,,806,,8460,,11859,,195,
171.0,"U. Texas, Dallas",16572,,19120,,22624,,21135,,0,,2310,,16858,,1967,
172.0,Howard U.,24589,,23633,,23334,,20950,,0,,3656,,14821,,2473,
173.0,Florida A&M U.,18299,,21846,,18736,,20497,,10152,,67,,9443,,835,
174.0,Georgia Institute of Technology,20884,,20955,,19454,,19879,,0,,14652,,5217,,10,
175.0,U. Wyoming,20236,,19514,,19583,,19576,,3805,,7477,,1405,,6889,
176.0,U. of the Virgin Islands,23656,i,17117,i,7406,i,19415,,3353,,1974,,0,,14088,
177.0,Northern Arizona U.,17423,,18643,,19611,,19325,,5573,,10880,,41,,2831,
178.0,"Indiana U.-Purdue U., Indianapolis",279797,,293766,,283120,,18869,,0,,5676,,7752,,5441,
179.0,"U. Texas, San Antonio",18951,,18998,,17035,,18852,,0,,18686,,0,,166,
180.0,Creighton U.,28975,i,21328,i,20055,i,18611,i,0,i,6453,i,11318,i,840,i
181.0,"SUNY, C. of Environmental Science and Forestry",17697,i,15930,i,14876,i,18536,,11808,,6728,,0,,0,
182.0,George Mason U.,12625,,14114,,15389,,18428,,83,,5024,,11097,,2224,
183.0,"Texas Tech U., Health Sciences Center, El Paso",ne,,ne,,22634,,18186,,0,,4342,,13844,,0,
184.0,Albany Medical C.,17735,,15093,,16093,,18043,,0,,13004,,5039,,0,
185.0,U. North Dakota,16957,,17004,,15538,,18007,,0,,14853,,830,,2324,
186.0,New York Medical C.,23277,,20243,,17908,,17653,,0,,6978,,10029,,646,
187.0,North Carolina Agricultural and Technical State U.,17517,,17694,,17964,,17509,,16952,,521,,36,,0,
188.0,"U. Missouri, Kansas City",16478,,17570,,19437,,17390,,0,,2008,,14004,,1378,
189.0,Wright State U.,20492,,17433,,17483,,17002,,0,,2571,,14226,,205,
190.0,Northeast Ohio Medical U.,13249,,12551,,15756,,16825,,0,,3412,,12933,,480,
191.0,Tuskegee U.,9272,,10176,,14158,i,16742,i,143,i,5871,i,9964,i,764,i
192.0,"U. Tennessee, Knoxville",20194,,19686,,18238,,16590,,1274,,12315,,1384,,1617,
193.0,"U. Texas, Arlington",5263,,5228,,4101,,16079,,0,,2195,,1144,,12740,
194.0,Alabama A&M U.,16415,i,16271,i,16125,i,15979,i,4362,i,11617,i,0,i,0,i
195.0,Rosalind Franklin U. of Medicine and Science,14870,,16351,,17081,,15420,,0,,10734,,4686,,0,
196.0,Tennessee State U.,10232,,11090,,15119,,14963,,12261,,858,,0,,1844,
197.0,"U. Massachusetts, Lowell",11645,,12408,,13201,,14770,,0,,1896,,125,,12749,
198.0,Ohio U.,11169,,12902,,15861,i,14334,i,16,i,3745,i,6529,i,4044,i
199.0,Charles R. Drew U. of Medicine and Science,20580,,18250,,20686,,14128,,0,,0,,14128,,0,
200.0,Texas A&M U.-Kingsville,11352,,11717,,13172,,14062,,12934,,1127,,1,,0,
201.0,Meharry Medical C.,25559,,22532,,18997,,13998,,0,,13998,,0,,0,
202.0,"CUNY, Hunter C.",14237,,13951,,14822,,13586,,0,,13574,,0,,12,
203.0,"U. Hawaii, Hilo",9871,,4389,,8454,,13280,,2751,,2222,,8307,,0,
204.0,Florida Atlantic U.,21931,,12985,,12739,,13276,,355,,6756,,4312,,1853,
205.0,U. South Dakota,16270,,19364,,17398,,13125,,0,,11257,,789,,1079,
206.0,Marshall U.,11683,,12429,,13539,,13059,,0,,4548,,8462,,49,
207.0,"U. Texas Health Science Center, Tyler",ne,,ne,,ne,,12191,,0,,12191,,0,,0,
208.0,Rice U.,9696,,14674,,11516,,11821,,0,,11821,,0,,0,
209.0,"U. Maryland, Baltimore County",9382,,8888,,11252,,11710,,0,,11710,,0,,0,
210.0,"Southern Illinois U., Edwardsville",18261,,14477,,9851,,11214,,8308,,146,,2468,,292,
211.0,Carnegie Mellon U.,14734,,10527,,10681,,11212,,499,,8790,,833,,1090,
212.0,U. Wisconsin-Milwaukee,8873,,6361,,6337,,11077,,0,,1542,,116,,9419,
213.0,Delaware State U.,9783,,11871,,12314,,10849,,7066,,3171,,612,,0,
214.0,San Francisco State U.,11232,,11962,,10700,,10492,,44,,9720,,340,,388,
215.0,Boise State U.,6267,,6221,,5271,,10473,,0,,5661,,1107,,3705,
216.0,U. Memphis,6032,,6350,,8316,,10391,,0,,2379,,8012,,0,
217.0,"CUNY, Queens C.",10717,,10986,,11037,,10353,,0,,697,,0,,9656,
218.0,"U. Nevada, Las Vegas",6669,,7374,,7668,,9951,,0,,3352,,201,,6398,
219.0,"CUNY, City C.",10840,,10099,,10706,,9841,,0,,5907,,3932,,2,
220.0,U. Southern Mississippi,10567,,10808,,9333,,9736,,2279,,5965,,38,,1454,
221.0,"Rutgers, State U. New Jersey, Newark",14827,,15029,,11143,,9438,,0,,3193,,5450,,795,
222.0,"U. Massachusetts, Boston",8443,,7599,,9922,,9362,,124,,3305,,1358,,4575,
223.0,Claremont Graduate U.,0,,0,,0,i,9089,i,0,i,0,i,9089,i,0,i
224.0,"U. North Texas, Denton",9616,,10135,,9501,,8884,,71,,8527,,0,,286,
225.0,Nova Southeastern U.,7031,,7194,,7648,,8875,,0,,0,,7464,,1411,
226.0,Midwestern U.,5200,,6292,,7310,,8560,,0,,5991,,1636,,933,
227.0,Duquesne U.,6889,,7080,,6769,,8411,,0,,2756,,5118,,537,
228.0,Old Dominion U.,12940,,12763,,9788,,8165,,0,,5040,,3112,,13,
229.0,Prairie View A&M U.,8375,,7477,,7385,,8074,,7801,,189,,84,,0,
230.0,Langston U.,5326,,4932,,8512,,7963,,7963,,0,,0,,0,
231.0,Texas State U.,5271,,4239,,6451,,7816,,1042,,5252,,740,,782,
232.0,"Brigham Young U., Provo",6673,,7711,,8233,,7742,,3570,,4051,,37,,84,
233.0,Ponce Health Sciences U.,11586,,7241,,5710,,7520,,0,,0,,7520,,0,
234.0,Marquette U.,7031,,7815,,7897,,7199,,0,,1515,,3255,,2429,
235.0,Illinois Institute of Technology,6961,,7715,,6695,,7152,,0,,7152,,0,,0,
236.0,"U. Arkansas, Pine Bluff",7809,,7639,,6892,,7126,,6922,,71,,0,,133,
237.0,Boston C.,8251,,9509,,8321,,7091,,0,,6659,,0,,432,
238.0,U. Central del Caribe,7313,,7095,,7181,,6964,,0,,0,,6964,,0,
239.0,Syracuse U.,5400,,5950,,6252,,6956,,0,,5687,,182,,1087,
240.0,"U. North Carolina, Greensboro",5787,,5075,,6334,,6726,,0,,3771,,0,,2955,
241.0,Clark Atlanta U.,5067,,5321,,5544,,6718,,0,,6718,,0,,0,
242.0,U. Southern Maine,8536,,7471,,7436,i,6628,i,0,i,2001,i,4112,i,515,i
243.0,"SUNY, Binghamton U.",6022,,5424,,6209,,6333,,0,,4875,,0,,1458,
244.0,North Carolina Central U.,8889,,7258,,7049,,6308,,0,,5539,,0,,769,
245.0,"U. North Carolina, Wilmington",7778,,8651,,6475,,6273,,1210,,4333,,469,,261,
246.0,"Arkansas State U., Jonesboro",6896,,5875,,5625,,6107,,1141,,4639,,0,,327,
247.0,U. New England,4180,,5840,,5844,,6106,,5,,2389,,3385,,327,
248.0,Tarleton State U.,5537,,4750,,6592,,6017,,5573,,197,,52,,195,
249.0,Alcorn State U.,6775,,6644,,6223,,6005,,4908,,1047,,0,,50,
250.0,Central Michigan U.,5143,,6566,,6783,,5990,,522,,3066,,2317,,85,
251.0,Kentucky State U.,6590,,5383,,5556,,5950,,5950,,0,,0,,0,
252.0,"U. California, Merced",4784,,5905,,5692,,5903,,0,,5407,,496,,0,
253.0,"U. Alaska, Anchorage",5018,,4392,,5553,,5814,,874,,3033,,664,,1243,
254.0,Mercer U.,5865,,5279,,5355,,5685,,0,,2,,4022,,1661,
255.0,Rensselaer Polytechnic Institute,3058,,3004,,5584,,5598,,0,,5598,,0,,0,
256.0,West Virginia State U.,4685,,3908,,5879,,5552,,3841,,1633,,78,,0,
257.0,"California State U., Fresno",6707,,5397,,6130,,5540,,4064,,1212,,0,,264,
258.0,Kent State U.,4645,,4628,,4794,,5416,,31,,4128,,479,,778,
259.0,"U. Alabama, Tuscaloosa",5161,,5081,,4886,,5333,,0,,3343,,1152,,838,
260.0,"California Polytechnic State U., San Luis Obispo",4848,,4142,,5454,,5322,,2417,,892,,2013,,0,
261.0,East Tennessee State U.,8642,,7135,,5869,,5263,,0,,3056,,2207,,0,
262.0,Virginia State U.,6554,,5797,,5010,,5152,,5152,,0,,0,,0,
263.0,Georgia Southern U.,2466,,3422,,4567,,5020,,10,,1793,,2384,,833,
264.0,Rowan U.,83,,0,,4151,,4996,,0,,1672,,3324,,0,
265.0,Oakland U.,5272,,4756,,4646,,4918,,0,,1819,,55,,3044,
266.0,South Carolina State U.,5117,,2355,i,3555,i,4754,i,0,i,3799,i,0,i,955,i
267.0,"U. Maryland, Eastern Shore",5158,,4812,,4766,,4594,,3512,,455,,627,,0,
268.0,"Southern U. and A&M C., Agricultural Research and Extension Center",7816,,5342,,5400,,4555,,4555,,0,,0,,0,
269.0,Humboldt State U.,7014,,5256,,5076,,4444,,2669,,1331,,0,,444,
270.0,U. Guam,4250,,4491,,5285,,4426,,2710,,741,,974,,1,
271.0,Xavier U. Louisiana,5249,,4581,,4549,,4371,,0,,1300,,3071,,0,
272.0,Miami U.,9571,,6558,i,5943,,4279,,17,,2961,,324,,977,
273.0,"U. Puerto Rico, Rio Piedras",9164,,7000,,6654,,4170,,4,,3856,,310,,0,
274.0,"Lincoln U., Jefferson City",5851,,4480,,4356,,4161,,3712,,415,,0,,34,
275.0,Fort Valley State U.,2990,,3270,,4332,,4149,,4149,,0,,0,,0,
276.0,Baylor U.,1167,,2240,,4123,,4147,,0,,2241,,1615,,291,
277.0,Idaho State U.,5291,,4772,,3855,,3936,,0,,2436,,1360,,140,
