Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources,Unnamed: 16,shift
81.0,Princeton U.,279851.0,,158313.0,,408.0,,85666.0,,8641.0,,20795.0,,6028.0,,,0
82.0,U. Connecticut,259397.0,,137980.0,,8965.0,,87332.0,,10073.0,,10146.0,,4901.0,,,0
83.0,Florida State U.,256449.0,,139597.0,,4985.0,,98315.0,,1563.0,,11024.0,,965.0,,,0
84.0,"U. Massachusetts, Medical School",250338.0,,183588.0,,4615.0,,32641.0,,9452.0,,17609.0,,2433.0,,,0
85.0,"U. Missouri, Columbia",246684.0,,105015.0,,2029.0,,118193.0,,5429.0,,9713.0,,6305.0,,,0
86.0,Oregon State U.,245317.0,,153017.0,,43165.0,,25320.0,,9792.0,,2085.0,,11938.0,,,0
87.0,Medical U. South Carolina,243534.0,,117255.0,,4519.0,,91169.0,,15021.0,,8022.0,,7548.0,,,0
88.0,"U. Oklahoma, Norman and Health Science Center",242367.0,,127709.0,,28961.0,,59364.0,,9114.0,,8893.0,,8326.0,,,0
89.0,Carnegie Mellon U.,242004.0,,187259.0,,1630.0,,15254.0,,22833.0,,5938.0,,9090.0,,,0
90.0,George Washington U.,241117.0,,139016.0,,1074.0,,64282.0,,1957.0,,33631.0,,1157.0,,,0
91.0,"U. Texas Health Science Center, Houston",234299.0,,125890.0,,39270.0,,25195.0,,9850.0,,20728.0,,13366.0,,,0
92.0,U. New Mexico,232271.0,,154794.0,,2895.0,,58782.0,,3729.0,,10313.0,,1758.0,,,0
93.0,Temple U.,227468.0,,129499.0,,2816.0,,63462.0,,7632.0,,17315.0,,6744.0,,,0
94.0,Mississippi State U.,226359.0,,80097.0,,77189.0,,57142.0,,10854.0,,705.0,,372.0,,,0
95.0,"U. California, Santa Barbara",222870.0,,116232.0,,4778.0,,43393.0,,20689.0,,20046.0,,17732.0,,,0
96.0,"SUNY, Stony Brook U.",220580.0,,115150.0,,6251.0,,83173.0,,6957.0,,7457.0,,1592.0,,,0
97.0,Virginia Commonwealth U.,218925.0,,142447.0,,6698.0,,51736.0,,6924.0,,11120.0,,0.0,,,0
98.0,Woods Hole Oceanographic Institution,216592.0,,172995.0,,989.0,,16204.0,,7472.0,,,,18932.0,,,0
