"State, institutional control, system, and institution",All R&D expenditures,Unnamed: 2
National U.,2305,
Occidental C.,1544,
Palo Alto U.,670,
Pepperdine U.,2714,
Point Loma Nazarene U.,178,
Santa Clara U.,1659,
Scripps Research Institute,384161,
Stanford U.,1022551,
Touro C. and U. Systema,3106,
"Touro U., Vallejo",3106,
U. of the Pacific,2734,
U. Redlands,555,
U. San Diego,4476,
U. San Francisco,2599,
U. Southern California,691031,
Western U. of Health Sciences,4904,
Westmont C.,317,
Colorado,1275340,
Public,1256387,
Colorado Mesa U.,284,
Colorado School of Mines,58349,
Colorado State U. System,317449,
"Colorado State U., Fort Collins",317219,
"Colorado State U., Pueblo",230,
Fort Lewis C.,483,
U. Colorado System,837844,
U. Colorado Boulder,420775,
U. Colorado Colorado Springs,6988,
U. Colorado Denver and Anschutz Medical Campus,410081,
U. Northern Colorado,3652,
U.S. Air Force Academy,38326,
Private,18953,
Colorado C.,2247,
Regis U.,590,
U. Denver,16116,
Connecticut,1093245,
Public,268209,
Connecticut State U. System,8152,
Central Connecticut State U.,1259,
Eastern Connecticut State U.,1149,
Southern Connecticut State U.,5482,
Western Connecticut State U.,262,
U. Connecticut,259397,
U.S. Coast Guard Academy,660,
Private,825036,
Connecticut C.,1900,
Fairfield U.,5750,
Quinnipiac U.,967,i
"Trinity C., Hartford",1717,
U. Bridgeport,942,
U. Hartford,1701,
U. New Haven,1832,
Wesleyan U.,7223,
Yale U.,803004,
Delaware,191704,
Public,191704,
Delaware State U.,15980,
U. Delaware,175724,
District of Columbia,559222,
Public,7585,
Board of Trustees of U. of the District of Columbia,2043,
U. of the District of Columbia,2043,
National Defense U.,5542,
Private,551637,
American U.,58325,
Catholic U. of America,24265,
Gallaudet U.,4477,
George Washington U.,241117,
Georgetown U.,176131,
Howard U.,47322,
Florida,2391412,
Public (State U. Florida Board of Governors),1981549,
Florida A&M U.,46522,
Florida Atlantic U.,21214,
Florida Gulf Coast U.,8992,
Florida International U.,163033,
Florida Polytechnic U.,212,
Florida State U.,256449,
New C. Florida,924,
U. Central Florida,215519,
U. Florida,739522,
U. North Florida,3689,
U. South Florida System,494241,
"U. South Florida, Saint Petersburg",7292,
"U. South Florida, Sarasota-Manatee",1595,
"U. South Florida, Tampa",485354,
U. West Florida,31232,
Private,409863,
Barry U.,762,
Eckerd C.,415,
Embry-Riddle Aeronautical U.,11942,
Florida Institute of Technology,14282,
Nova Southeastern U.,14775,
Rollins C.,460,
Stetson U.,204,
U. Miami,365574,
U. Tampa,1449,
Georgia,2048899,
Public (U. System Georgia Board of Regents),1378851,
Albany State U.,1356,
Fort Valley State U.,4320,
Georgia C. and State U.,829,
Georgia Gwinnett C.,318,
Georgia Institute of Technology,765370,
Georgia Regents U.,67737,
Georgia Southern U.,17152,
Georgia State U.,139596,
Kennesaw State U.,4762,
Savannah State U.,1801,
U. Georgia,374264,
U. West Georgia,646,
Valdosta State U.,700,
Private,670048,
Agnes Scott C.,387,
Berry C.,346,
Clark Atlanta U.,9945,
Emory U.,585210,
Mercer U.,32838,
Morehouse C.,6180,
Morehouse School of Medicine,33367,
Paine C.,251,
Spelman C.,1524,
Hawaii,332383,
Public (U. Hawaii System),330992,
"U. Hawaii, Hilo",14495,
"U. Hawaii, Manoa",316497,
Private,1391,
"Brigham Young U., Laie",150,i
Hawaii Pacific U.,1241,
Idaho,147849,
Public,146991,
Boise State U.,31341,
Idaho State U.,17866,
Lewis-Clark State C.,291,
U. Idaho,97493,
Private,858,
Northwest Nazarene U.,858,
Illinois,2397428,
Public,1113141,
Chicago State U.,1300,
Eastern Illinois U.,946,
Illinois State U.,18742,
Northeastern Illinois U.,564,
Northern Illinois U.,17722,
Southern Illinois U. System,76560,
"Southern Illinois U., Carbondale",57509,
"Southern Illinois U., Edwardsville",19051,
U. Illinois System,996447,
"U. Illinois, Chicago",354560,
"U. Illinois, Springfield",2070,
"U. Illinois, Urbana-Champaign",639817,
Western Illinois U.,860,
Private,1284287,
"Augustana C., Rock Island",495,
Bradley U.,1499,
DePaul U.,9479,
Elmhurst C.,182,
Erikson Institute,2397,
Illinois C. of Optometry,519,
Illinois Institute of Technology,34336,
Illinois Wesleyan U.,345,
Lake Forest C.,455,
"Loyola U., Chicago",48664,
Midwestern U.,8560,
National U. of Health Sciences,263,
North Central C.,235,
Northwestern U.,656167,
Roosevelt U.,652,
Rosalind Franklin U. of Medicine and Science,16604,
Rush U.,79048,
"Toyota Technological Institute, Chicago",2543,
U. Chicago,421061,
"Wheaton C., Wheaton",783,
Indiana,1329434,
Public,1133020,
Ball State U.,10548,
Indiana State U.,1541,
Indiana U.,544217,
"Indiana U., Bloomington",485076,
"Indiana U., Gary",197,
"Indiana U., Kokomo",488,
"Indiana U., New Albany",613,
"Indiana U., Richmond",251,
"Indiana U., South Bend",1619,
"Indiana U.-Purdue U., Indianapolis",55973,
Purdue U.,576435,
"Indiana U.-Purdue U., Fort Wayne",7052,
"Purdue U., Calumet",9669,
"Purdue U., North Central",1103,
"Purdue U., West Lafayette",558611,
U. Southern Indiana,279,
Private,196414,
Butler U.,350,
DePauw U.,303,
Earlham C.,1353,
Indiana Wesleyan U.,280,
Rose-Hulman Institute of Technology,480,
Taylor U.,162,
U. Evansville,476,
U. Notre Dame,190954,
Valparaiso U.,1678,
Wabash C.,378,
Iowa,762176,
Public (Iowa Board of Regents),753375,
Iowa State U.,306125,
U. Iowa,443218,
U. Northern Iowa,4032,
Private,8801,
Coe C.,433,
Cornell C.,239,
Des Moines U.,1018,
Drake U.,1108,
Grinnell C.,3723,
Luther C.,582,
Palmer C. of Chiropractic,1698,
"Palmer C. of Chiropractic, Davenport",1698,
Kansas,563193,
Public (Kansas Board of Regents),563193,
Emporia State U.,258,
Fort Hays State U.,681,
Kansas State U.,188721,
Pittsburg State U.,2210,
U. Kansas,311383,
Wichita State U.,59940,
Kentucky,533618,
Public (Kentucky Council on Postsecondary Education),532991,
Eastern Kentucky U.,1681,
Kentucky State U.,6017,
Morehead State U.,1838,
Murray State U.,2371,
Northern Kentucky U.,2026,
U. Kentucky,331705,
U. Louisville,179499,
Western Kentucky U.,7854,
Private,627,
Centre C.,627,
Louisiana,665976,
Public (State of Louisiana Board of Regents),493554,
Louisiana State U. System,352767,
"Louisiana State U., Baton Rouge",281154,
"Louisiana State U., Health Sciences Center – New Orleans",46840,
"Louisiana State U., Health Sciences Center - Shreveport",24069,
"Louisiana State U., Shreveport",704,
Southern U. System,9806,
"Southern U. and A&M C., Agricultural Research and Extension Center",4761,
"Southern U. and A&M C., Baton Rouge",4766,
"Southern U., New Orleans",279,
U. Louisiana System,130981,
Grambling State U.,1863,
Louisiana Tech U.,23827,
McNeese State U.,1672,
Nicholls State U.,1591,
Northwestern State U. Louisiana,1426,
Southeastern Louisiana U.,2670,
"U. Louisiana, Lafayette",77300,
"U. Louisiana, Monroe",1672,
U. New Orleans,18960,
Private,172422,
Dillard U.,9387,
"Loyola U., New Orleans",789,
Tulane U.,152658,
Xavier U. Louisiana,9588,
Maine,108317,
Public,93289,
Maine Maritime Academy,1483,
U. Maine System,91806,
U. Maine,79500,
"U. Maine, Machias",376,i
U. Southern Maine,11930,i
Private,15028,
Bates C.,2791,
Bowdoin C.,2991,
Colby C.,1748,
U. New England,7498,
Maryland,3743598,
Public,1436672,
Morgan State U.,13577,
St. Mary's C. Maryland,475,
U.S. Naval Academy,9609,
U. Maryland System,1051838,
Bowie State U.,1497,
Coppin State U.,189,
Salisbury U.,7960,
Towson U.,3153,
U. Baltimore,5022,
"U. Maryland, Center for Environmental Science",52235,
"U. Maryland, Baltimore",397695,
"U. Maryland, Baltimore County",68688,
"U. Maryland, College Park",505699,
"U. Maryland, Eastern Shore",9700,
Uniformed Services U. of the Health Sciences,361173,
Private,2306926,
Goucher C.,208,
Johns Hopkins U.b,2305679,
"Loyola U., Maryland",449,
Maryland Institute C. of Art,590,
Massachusetts,3681347,
Public (Massachusetts System of Public Higher Education),629469,
Bridgewater State U.,639,
U. Massachusetts System,628830,
"U. Massachusetts, Amherst",213902,
"U. Massachusetts, Boston",62374,
"U. Massachusetts, central office",5056,
"U. Massachusetts, Dartmouth",26776,
"U. Massachusetts, Lowell",70384,
"U. Massachusetts, Medical School",250338,
Private,3051878,
Amherst C.,4412,
Babson C.,2945,
Boston C.,47761,
Boston U.,388336,
Brandeis U.,74700,
C. of the Holy Cross,512,
Clark U.,7050,
Emerson C.,1291,
Franklin W. Olin C. of Engineering,2136,
Hampshire C.,539,
Harvard U.,1013753,
Massachusetts C. of Pharmacy and Health Sciences,561,
Massachusetts Institute of Technology,930719,
MGH Institute of Health Professions,3931,
Mount Holyoke C.,3826,
New England C. of Optometry,1077,
Northeastern U.,122915,
Simmons C.,303,
Smith C.,5268,
Stonehill C.,581,
Suffolk U.,1305,
Tufts U.,168314,
Wellesley C.,9595,
Western New England U.,1348,
"Wheaton C., Norton",299,
Williams C.,5679,
Woods Hole Oceanographic Institution,216592,
Worcester Polytechnic Institute,36130,
Michigan,2339342,
Public,2282668,
Central Michigan U.,12880,
Eastern Michigan U.,1761,
Ferris State U.,458,
Grand Valley State U.,7453,
Lake Superior State U.,1170,
Michigan State U.,558248,
Michigan Technological U.,69607,
Northern Michigan U.,1177,
Oakland U.,17108,
Saginaw Valley State U.,1220,
U. Michigan,1378029,
"U. Michigan, Ann Arbor",1369278,
"U. Michigan, Dearborn",7802,
"U. Michigan, Flint",949,
Wayne State U.,213878,
Western Michigan U. and Homer Stryker M.D. School of Medicine,19679,
Private,56674,
Albion C.,743,
Andrews U.,872,
Calvin C.,2945,i
Hope C.,2932,
Kalamazoo C.,597,
Kettering U.,3673,
Lawrence Technological U.,2528,
U. Detroit Mercy,1882,
Van Andel Institute,40502,
Minnesota,933400,
Public,917615,
Minnesota State Colleges and Universities System,7561,
Metropolitan State U.,254,
"Minnesota State U., Mankato",2294,
"Minnesota State U., Moorhead",481,
St. Cloud State U.,4192,
Winona State U.,340,
U. Minnesota,910054,
"U. Minnesota, Duluth",27550,
"U. Minnesota, Morris",1223,
"U. Minnesota, Rochester",663,
"U. Minnesota, Twin Cities",880618,
Private,15785,
Augsburg C.,1193,
C. of Saint Benedict,1179,
Carleton C.,6746,
"Concordia C., Moorhead",232,
Gustavus Adolphus C.,601,
Hamline U.,182,
Macalester C.,1286,
"Saint John's U., Collegeville",1372,
St. Catherine U.,514,
St. Olaf C.,1346,
U. of St. Thomas (MN),1134,
Mississippi,409426,
Public (Mississippi State Institutions of Higher Learning),406082,
Alcorn State U.,9396,
Jackson State U.,23908,
Mississippi State U.,226359,
Mississippi Valley State U.,539,
U. Mississippi,94040,
U. Southern Mississippi,51840,
Private,3344,
Millsaps C.,655,
Tougaloo C.,2689,
Missouri,1078204,
Public (Missouri Department of Higher Education),332941,
"Lincoln U., Jefferson City",6296,
Missouri State U.,3540,
Missouri Western State U.,207,
Northwest Missouri State U.,150,i
Southeast Missouri State U.,392,
Truman State U.,761,
U. Central Missouri,413,
U. Missouri System,321182,
Missouri U. of Science and Technology,35842,
"U. Missouri, Columbia",246684,
"U. Missouri, Kansas City",26595,
"U. Missouri, Saint Louis",12061,
Private,745263,
A. T. Still U.,4571,
Barnes-Jewish C. Goldfarb School of Nursing,273,
Kansas City U. of Medicine and Biosciences,1500,
Logan U.,393,
Saint Louis U.,44457,
"Washington U., Saint Louis",694069,
Montana,182803,
Public (Montana U. System),181617,
Montana State U.,109537,
"Montana State U., Billings",573,
"Montana State U., Bozeman",108414,
"Montana State U., Havre",550,
U. Montana,72080,
Montana Tech of U. Montana,11595,
"U. Montana, Missoula",60485,
Private,1186,
Salish Kootenai C.,1186,
Nebraska,463807,
Public,439508,
Nebraska State C. System,153,
Peru State C.,153,
U. Nebraska System,439355,
"U. Nebraska, Kearney",1496,
"U. Nebraska, Lincoln",284438,
"U. Nebraska, Medical Center",143999,
"U. Nebraska, Omaha",9422,
Private,24299,
Creighton U.,23825,
Doane C.,474,
Nevada,157528,
Public (Nevada System of Higher Education),154241,
Desert Research Institute,22103,
"U. Nevada, Las Vegas",42000,
"U. Nevada, Reno",90138,
Private,3287,
Roseman U. of Health Sciences,3287,
New Hampshire,358154,
Public (U. System of New Hampshire),148508,
Keene State C.,966,
Plymouth State U.,2807,
U. New Hampshire,144735,
Private,209646,
Dartmouth C.,209646,
New Jersey,1109294,
Public,785045,
C. New Jersey,830,
Kean U.,1064,
Montclair State U.,4274,
New Jersey City U.,443,
New Jersey Institute of Technology,110512,
Ramapo C. New Jersey,153,
Rowan U.,8044,
"Rutgers, the State U. of New Jersey",658123,
"Rutgers, State U. New Jersey, Camden",5123,
"Rutgers, State U. New Jersey, New Brunswick",628613,
"Rutgers, State U. New Jersey, Newark",24387,
Stockton U.,1452,
William Paterson U.,150,i
Private,324249,
Fairleigh Dickinson U.,312,
Monmouth U.,1220,
Princeton U.,279851,
Rider U.,1726,
Seton Hall U.,7058,
Stevens Institute of Technology,34082,
New Mexico,393312,
Public (New Mexico Higher Education Department),393312,
"Eastern New Mexico U., Portales",1144,
New Mexico Highlands U.,1037,
New Mexico Institute of Mining and Technology,26265,
New Mexico State U.,132377,
U. New Mexico,232271,
Western New Mexico U.,218,
New York,5713893,
Public,1350513,
CUNY System,146019,
"CUNY, Advanced Science Research Center",569,
"CUNY, Baruch C.",2451,
"CUNY, Brooklyn C.",9091,
"CUNY, C. Staten Island",3060,
"CUNY, City C.",53223,
"CUNY, Graduate Center",6175,
"CUNY, Hunter C.",36368,
"CUNY, John Jay C. of Criminal Justice",8689,
"CUNY, Lehman C.",3130,
"CUNY, Medgar Evers C.",970,
"CUNY, New York City C. of Technology",703,
"CUNY, Queens C.",19092,
"CUNY, system office",1782,
"CUNY, York C.",716,
SUNY System,1189182,
"SUNY, Binghamton U.",79895,
"SUNY, Buffalo State",2366,
"SUNY, C. Brockport",1367,
"SUNY, C. Cortland",731,
"SUNY, C. of Environmental Science and Forestry",22051,
"SUNY, C. of Optometry",3906,
"SUNY, C. Old Westbury",150,i
"SUNY, C. Plattsburgh",1135,
"SUNY, Cobleskill",422,
"SUNY, Downstate Medical Center",28652,
"SUNY, Farmingdale State C.",1102,
"SUNY, Fredonia",386,
"SUNY, Geneseo",1314,
"SUNY, New Paltz",399,
"SUNY, Oneonta",274,
"SUNY, Oswego",820,
"SUNY, Polytechnic Institute",295313,
"SUNY, Potsdam",239,
"SUNY, Purchase C.",373,
"SUNY, Stony Brook U.",220580,
"SUNY, system office",614,
"SUNY, U. Albany",111705,
"SUNY, U. Buffalo",382935,
"SUNY, Upstate Medical U.",32453,
U.S. Military Academy,15312,
Private,4363380,
Adelphi U.,175,
Albany C. of Pharmacy and Health Sciences,2533,
Albany Medical C.,18043,
Alfred U.,5193,
Bard C.,250,
Barnard C.,2916,
Canisius C.,972,
Clarkson U.,13406,
Cold Spring Harbor Laboratory,84653,
Colgate U.,2721,
Columbia U. in the City of New York,868159,
"Columbia U., Teachers C.",23269,
Cooper Union for the Advancement of Science and Art,452,
Cornell U.,954412,
Daemen C.,378,
Fordham U.,20939,
Hamilton C.,2291,
Hartwick C.,150,i
Hobart and William Smith Colleges,946,
Hofstra U.,2585,
Icahn School of Medicine at Mt. Sinai,508353,
Iona C.,361,
Ithaca C.,972,
Long Island U.,1187,
Manhattan C.,732,
Marist C.,448,
"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",3089,
New School,8978,
New York Chiropractic C.,521,
New York Institute of Technology,4169,
New York Law School,471,
New York U.,602041,
Niagara U.,1828,
Pace U.,4647,
Rensselaer Polytechnic Institute,102841,
Rochester Institute of Technology,40442,
Rockefeller U.,323932,
Siena C.,1623,
Skidmore C.,1772,
St. Bonaventure U.,1149,
"St. John's U., Manhattan",2558,
St. Lawrence U.,200,
Syracuse U.,69896,
Touro C. and U. Systema,18277,
New York Medical C.,17653,
Touro C.,624,
U. Rochester,346932,
"Union C., Schenectady",1560,
Union Graduate C.,548,
Utica C.,382,
Vassar C.,2854,
Yeshiva U.,306174,
North Carolina,2818528,
Public (U. North Carolina),1602489,
Appalachian State U.,3878,
East Carolina U.,26549,
Elizabeth City State U.,2277,
Fayetteville State U.,13746,
North Carolina Agricultural and Technical State U.,35172,
North Carolina Central U.,12448,
North Carolina State U.,468293,
"U. North Carolina, Asheville",2384,
"U. North Carolina, Chapel Hill",966781,
"U. North Carolina, Charlotte",24870,
"U. North Carolina, general administration",4197,
"U. North Carolina, Greensboro",23026,
"U. North Carolina, Pembroke",813,
"U. North Carolina, Wilmington",15564,
Western Carolina U.,1145,
Winston-Salem State U.,1346,
Private,1216039,
Davidson C.,2377,
Duke U.,1036698,
Elon U.,2608,
Johnson C. Smith U.,1026,
Shaw U.,1404,i
Wake Forest U.,171926,
North Dakota,218722,
Public (North Dakota U. System),218722,
Mayville State U.,204,
Minot State U.,377,
North Dakota State U.,153542,
U. North Dakota,64384,
Valley City State U.,215,
Ohio,2155279,
Public,1648801,
Air Force Institute of Technology,26866,
U. System Ohio Board of Regents,1621935,
Bowling Green State U.,7995,
Central State U.,1508,
Cleveland State U.,57662,
Kent State U.,38069,
Miami U.,16108,
Northeast Ohio Medical U.,17103,
Ohio State U.,817881,
Ohio U.,61078,
U. Akron,58512,
U. Cincinnati,436028,
U. Toledo,52354,
Wright State U.,54289,
Youngstown State U.,3348,
Private,506478,
C. Wooster,1275,i
Case Western Reserve U.,401527,
Denison U.,937,
Heidelberg U.,1109,
John Carroll U.,201,
Kenyon C.,795,
Oberlin C.,1932,
Ohio Wesleyan U.,316,
U. Dayton,98182,
Wittenberg U.,204,
Oklahoma,420631,
Public (Oklahoma State System of Higher Education),395565,
Oklahoma Agricultural and Mechanical Colleges,139719,
Langston U.,8126,
"Oklahoma State U., Center for Health Sciences",1625,
"Oklahoma State U., Stillwater",129968,
Regional University System of Oklahoma,9375,
East Central U.,655,
Northeastern State U.,497,
Southeastern Oklahoma State U.,150,i
Southwestern Oklahoma State U.,382,
U. Central Oklahoma,7691,
U. Oklahoma,246471,
"U. Oklahoma, Norman and Health Science Center",242367,
"U. Oklahoma, Tulsa",4104,
Private,25066,
U. Tulsa,25066,
Oregon,723103,
Public (Oregon U. System),709358,
Eastern Oregon U.,367,
Oregon Health and Science U.,326915,
Oregon Institute of Technology,2056,
Oregon State U.,245317,
Portland State U.,53872,
Southern Oregon U.,816,
U. Oregon,79698,
Western Oregon U.,317,
Private,13745,
Lewis and Clark C.,3873,
Linfield C.,330,
National C. of Natural Medicine,715,
Pacific U.,2016,
Reed C.,3050,
U. Portland,677,
U. Western States,1077,
Willamette U.,2007,
Pennsylvania,3371651,
Public,1899233,
Pennsylvania State System of Higher Education,8877,
Bloomsburg U. Pennsylvania,809,
Cheyney U. Pennsylvania,278,
Clarion U. Pennsylvania,215,
East Stroudsburg U. Pennsylvania,351,
Indiana U. Pennsylvania,1245,
Millersville U. Pennsylvania,706,
Shippensburg U. Pennsylvania,264,
West Chester U. Pennsylvania,5009,
Pennsylvania State U.,800978,
"Pennsylvania State U., Altoona",797,
"Pennsylvania State U., Beaver",407,
"Pennsylvania State U., Behrend",3737,
"Pennsylvania State U., Berks",195,
"Pennsylvania State U., Great Valley School of Graduate Professional Studies",288,
"Pennsylvania State U., Greater Allegheny",510,
"Pennsylvania State U., Harrisburg",3379,
"Pennsylvania State U., Lehigh Valley",369,
"Pennsylvania State U., Wilkes-Barre",265,
"Pennsylvania State U., University Park and Hershey Medical Center",791031,
Temple U.,227468,
U. Pittsburgh,861910,
"U. Pittsburgh, Bradford",705,
"U. Pittsburgh, Pittsburgh",861205,
Private,1472418,
Allegheny C.,1166,
Arcadia U.,640,
Bryn Athyn C.,289,
Bryn Mawr C.,11692,
Bucknell U.,4140,
Carnegie Mellon U.,242004,
Commonwealth Medical C.,2171,
Dickinson C.,1492,
Drexel U.,128027,
Duquesne U.,16159,
Franklin and Marshall C.,3888,
Gannon U.,249,
Gettysburg C.,843,
Haverford C.,2633,
Juniata C.,483,
La Salle U.,1079,
Lafayette C.,1693,
Lake Erie C. of Osteopathic Medicine,265,
Lehigh U.,36788,
Mercyhurst U.,1987,
Messiah C.,659,
Moravian C.,217,
Muhlenberg C.,489,
Philadelphia C. of Osteopathic Medicine,2561,
Saint Joseph's U.,2093,
Salus U.,1257,
Susquehanna U.,716,
Swarthmore C.,2943,
Thomas Jefferson U.,119631,
U. of the Sciences Philadelphia,4076,
U. Pennsylvania,864068,
U. Scranton,367,
Ursinus C.,584,
Villanova U.,14512,
"Widener U., Chester",247,
Wilkes U.,310,
Rhode Island,454177,
Public,106561,
Naval War C.,2653,
Rhode Island Board of Governors for Higher Education,103908,
Rhode Island C.,10080,
U. Rhode Island,93828,
Private,347616,
Brown U.,342040,
Bryant U.,331,
Providence C.,1329,
Rhode Island School of Design,1013,
Roger Williams U.,2348,
Salve Regina U.,555,
South Carolina,666655,
Public,661678,
C. Charleston,10607,
Citadel Military C. South Carolina,383,
Clemson U.,171215,
Coastal Carolina U.,1862,
Francis Marion U.,289,
Medical U. South Carolina,243534,
South Carolina State U.,12607,
U. South Carolina,211025,
"U. South Carolina, Aiken",1154,
"U. South Carolina, Beaufort",892,
"U. South Carolina, Columbia",208736,
"U. South Carolina, Spartanburg",243,
Winthrop U.,10156,
Private,4977,
Benedict C.,1373,
Claflin U.,1255,
Coker C.,156,
Furman U.,1928,
Sherman C. of Straight Chiropractic,265,
South Dakota,104471,
Public,103233,
Oglala Lakota C.,647,
South Dakota Board of Regents,102586,
Black Hills State U.,2430,
Dakota State U.,1152,
South Dakota School of Mines and Technology,14970,
South Dakota State U.,58373,
U. South Dakota,25661,
Private,1238,
"Augustana C., Sioux Falls",782,
Sinte Gleska U.,456,i
Tennessee,1076797,
Public,404797,
Tennessee Board of Regents System,91105,
Austin Peay State U.,2113,
East Tennessee State U.,6930,
Middle Tennessee State U.,4350,
Tennessee State U.,19955,
Tennessee Technological U.,11082,
U. Memphis,46675,
U. Tennessee System,313692,
"U. Tennessee, Chattanooga",6817,
"U. Tennessee, Health Science Center",65771,
"U. Tennessee, Knoxville",173533,
"U. Tennessee, Knoxville, Institute of Agriculture",67059,
"U. Tennessee, Martin",512,
Private,672000,
Fisk U.,8758,i
Meharry Medical C.,13998,
Sewanee: U. of the South,1115,
Southern C. of Optometry,313,
Vanderbilt U.,647816,
Texas,5088700,
Public,4342520,
Midwestern State U.,569,
Stephen F. Austin State U.,5170,
Texas A&M U. System,946599,
Prairie View A&M U.,13123,
Tarleton State U.,9825,
Texas A&M International U.,2917,
"Texas A&M U., College Station and Health Science Center",866678,
Texas A&M U.-Commerce,3755,
Texas A&M U.-Corpus Christi,24507,
Texas A&M U.-Kingsville,20894,
Texas A&M U.-Texarkana,387,
West Texas A&M U.,4513,
Texas Southern U.,5005,
Texas State U. System,55808,
Lamar U.,2824,
Sam Houston State U.,3086,
Sul Ross State U.,2204,
Texas State U.,47694,
Texas Tech U. System,224192,
Angelo State U.,968,
Texas Tech U.,163897,
"Texas Tech U., Health Sciences Center",40438,
"Texas Tech U., Health Sciences Center, El Paso",18889,
Texas Woman's U.,2310,
U. Houston System,155649,
U. Houston,150628,
U. Houston system administration,1027,
U. Houston-Clear Lake,1535,
U. Houston-Downtown,2459,
U. North Texas System,89963,
"U. North Texas, Denton",43628,
"U. North Texas, Health Science Center",46335,
U. Texas System,2857255,
"U. Texas Health Science Center, Houston",234299,
"U. Texas Health Science Center, San Antonio",170277,
"U. Texas Health Science Center, Tyler",12191,
U. Texas M. D. Anderson Cancer Center,833406,
U. Texas Medical Branch,173506,
U. Texas Pan American,11266,
U. Texas Southwestern Medical Center,438824,
"U. Texas, Arlington",77798,
"U. Texas, Austin",650608,
"U. Texas, Brownsville",5827,
"U. Texas, Dallas",98551,
"U. Texas, El Paso",89418,
"U. Texas, Permian Basin",1725,
"U. Texas, San Antonio",54949,
"U. Texas, Tyler",4610,
Private,746180,
Abilene Christian U.,671,
Austin C.,352,
Baylor C. of Medicine,520220,
Baylor U.,24642,
LeTourneau U.,861,
North American U.,335,
Parker U.,314,
Rice U.,144679,
Southern Methodist U.,29282,
Southwestern U.,722,
St. Edward's U.,9515,
"St. Mary's U., San Antonio",714,
Texas Chiropractic C. Foundation Inc.,209,i
Texas Christian U.,8007,
Trinity U.,2633,
U. of the Incarnate Word,848,
Wiley C.,2176,
Utah,734229,
Public (Utah System of Higher Education),695103,
U. Utah,518928,
Utah State U.,175353,
Utah Valley U.,272,
Weber State U.,550,
Private,39126,
"Brigham Young U., Provo",39126,
Vermont,120650,
Public,115384,
U. Vermont,114547,
Vermont State Colleges,837,
