Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
28.0,"SUNY, U. Buffalo",65395,,82189,,82076,,88489.0,,44827,,57786,,54660,,49338.0,,,,0
29.0,U. Florida,87878,,88911,,85271,,87307.0,,47709,,46988,,47166,,46690.0,,,,0
30.0,U. Dayton,76796,,77587,,78165,,87160.0,,62269,,62946,,59665,,70530.0,,,,0
31.0,Woods Hole Oceanographic Institution,50667,,58804,,78228,,86277.0,,43811,,52885,,66853,,75538.0,,,,0
32.0,Duke U.,58592,,72195,,76918,,85580.0,,50404,,62722,,67173,,68947.0,,,,0
33.0,Iowa State U.,63085,,67958,,91095,,84114.0,,33211,,37001,,36666,,34986.0,,,,0
34.0,U. Rochester,99098,,98369,,90231,,83755.0,,84455,,83030,,76444,,78524.0,,,,0
35.0,California Institute of Technology,43509,i,33410,i,49293,,83424.0,,36843,,23143,,25957,,39206.0,,,,0
36.0,"U. California, Davis",83140,,85867,,86393,,83273.0,,33089,,36070,,33723,,33242.0,,,,0
37.0,"U. California, Los Angeles",70756,,76010,,73254,,82540.0,,39317,,42541,,41440,,45457.0,,,,0
38.0,Northwestern U.,80250,,81955,,87075,,77676.0,,56016,,56278,,57273,,49278.0,,,,0
39.0,Princeton U.,84468,,78258,,84868,,75674.0,,52495,,47900,,50626,,46280.0,,,,0
40.0,Harvard U.,47953,,57962,,56876,,73786.0,,38689,,41524,,44016,,38416.0,,,,0
41.0,"Rutgers, State U. New Jersey, New Brunswick",61123,,59611,,64537,,71565.0,,42820,,40326,,40049,,36596.0,,,,0
42.0,"U. Tennessee, Knoxville",62903,,65343,,64557,,70341.0,,38245,,41851,,37964,,39156.0,,,,0
43.0,Rensselaer Polytechnic Institute,58953,,60295,,71340,,69540.0,,36928,,36806,,38920,,38965.0,,,,0
44.0,U. Southern California,63193,,67714,,69986,,69527.0,,43504,,48493,,45321,,43266.0,,,,0
45.0,U. Notre Dame,56709,,63663,,65682,,67235.0,,30414,,30456,,32007,,34363.0,,,,0
46.0,New Mexico State U.,69350,,77303,,70449,,64534.0,,57362,,61255,,55834,,50218.0,,,,0
47.0,Rice U.,48379,,48869,,54805,,61766.0,,31814,,30319,,31406,,32366.0,,,,0
48.0,"U. California, Santa Cruz",60396,,56129,,59837,,60838.0,,45343,,41203,,43337,,45384.0,,,,0
49.0,Vanderbilt U.,55490,,59890,,56207,,60740.0,,44503,,47496,,47373,,42288.0,,,,0
50.0,New Jersey Institute of Technology,50675,,50652,,48997,,59378.0,,32828,,31352,,30327,,36463.0,,,,0
51.0,"U. Virginia, Charlottesville",63008,,67517,,59157,,58586.0,,42022,,41907,,37036,,34115.0,,,,0
52.0,Clemson U.,54513,,51795,,56334,,58366.0,,27896,,24699,,23948,,25980.0,,,,0
53.0,U. Arizona,62605,,61461,,54558,,56911.0,,31296,,29922,,26009,,27701.0,,,,0
54.0,Columbia U. in the City of New York,59239,,63405,,62976,,55763.0,,44004,,47694,,47025,,41422.0,,,,0
55.0,Washington State U.,51092,,40886,,42293,i,54515.0,,23660,,21176,,19254,,18367.0,,,,0
56.0,Boston U.,39638,,43319,,46103,,52011.0,,33025,,31794,,31358,,31311.0,,,,0
57.0,U. Iowa,46855,,51403,,48135,,50476.0,,22303,,25189,,22928,,23731.0,,,,0
58.0,U. Central Florida,33787,,37519,,34383,,50374.0,,21329,,21104,,13736,,26519.0,,,,0
59.0,U. Kentucky,55825,,53258,,45002,,48952.0,,27122,,26502,,19370,,21330.0,,,,0
60.0,U. Delaware,54374,,58592,,57086,,47897.0,,43828,,47336,,43851,,36382.0,,,,0
61.0,"U. South Florida, Tampa",37629,,48713,,71752,,47844.0,,17307,,20596,,22642,,25625.0,,,,0
62.0,U. Houston,45791,,46701,,53091,,47555.0,,21831,,22559,,25047,,22784.0,,,,0
63.0,Wichita State U.,44294,,47026,,48330,,46965.0,,10489,,6189,,5796,,4427.0,,,,0
64.0,U. Pennsylvania,45841,,48182,,46345,,46031.0,,39873,,42552,,39567,,39464.0,,,,0
65.0,Michigan State U.,45582,,45695,,43506,,44392.0,,25772,,28819,,24679,,23614.0,,,,0
66.0,U. Connecticut,38052,,39224,,43185,,44329.0,,25741,,24567,,20550,,21394.0,,,,0
67.0,Mississippi State U.,54766,,40165,,40714,,44160.0,,35163,,21030,,20193,,24033.0,,,,0
68.0,Case Western Reserve U.,44720,,48079,,54453,,43484.0,,31325,,35396,,32987,,30806.0,,,,0
69.0,Oregon State U.,32010,,35384,,37174,,43110.0,,22746,,24586,,25696,,29479.0,,,,0
70.0,Florida State U.,41684,,42108,,43246,,42929.0,,33293,,32424,,33994,,30593.0,,,,0
71.0,"U. Nebraska, Lincoln",39596,,41693,,40055,,42326.0,,19897,,19477,,16674,,17327.0,,,,0
72.0,"U. Massachusetts, Amherst",44699,,45030,,44867,,41390.0,,24580,,24216,,25507,,21158.0,,,,0
73.0,"U. California, Irvine",42051,,43025,,38055,,40460.0,,20246,,21053,,20798,,20914.0,,,,0
74.0,"Auburn U., Auburn",45370,,51672,,46263,,40249.0,,24304,,26383,,21770,,19932.0,,,,0
75.0,Colorado School of Mines,37780,,38715,,40604,,39509.0,,23148,,22047,,25577,,24952.0,,,,0
76.0,"U. Texas, Dallas",36244,,38530,,38936,,39488.0,,11287,,9522,,10487,,9828.0,,,,0
77.0,Northeastern U.,38523,,42171,,40441,,39190.0,,28706,,31688,,28613,,28912.0,,,,0
78.0,U. Cincinnati,39668,,37388,,38667,,39108.0,,16508,,15173,,11027,,8568.0,,,,0
79.0,Yale U.,33010,,33012,,39856,,39001.0,,25732,,25456,,25960,,25538.0,,,,0
80.0,"Louisiana State U., Baton Rouge",37163,,38041,,41378,,38728.0,,11245,,12566,,12768,,9963.0,,,,0
81.0,Michigan Technological U.,40891,,39860,,38504,,38427.0,,20117,,18612,,17196,,15142.0,,,,0
82.0,Texas Tech U.,29783,,31909,,34890,,38185.0,,9130,,9247,,10738,,11590.0,,,,0
83.0,Florida International U.,18913,,20018,,27098,,37637.0,,11221,,11215,,16056,,23742.0,,,,0
84.0,"U. Texas, Arlington",39075,,48233,,45440,,37401.0,,17159,,17561,,13162,,17109.0,,,,0
85.0,"U. Alabama, Birmingham",19363,,21186,,17847,,37222.0,,15270,,16828,,13732,,32514.0,,,,0
86.0,"U. Pittsburgh, Pittsburgh",31167,,36867,,36179,,37093.0,,22961,,25280,,23238,,23776.0,,,,0
87.0,Brown U.,28928,,27815,,44695,i,36512.0,i,11221,,13729,,17821,,16304.0,,,,0
88.0,"U. Alabama, Huntsville",40340,,49258,,41665,,35720.0,,36999,,43465,,36592,,27822.0,,,,0
89.0,"U. Missouri, Columbia",37824,,34769,,33116,,35554.0,,17112,,13156,,9811,,9149.0,,,,0
90.0,U. New Mexico,33275,,37010,,34447,,34534.0,,26265,,27981,,25273,,25776.0,,,,0
91.0,Drexel U.,46895,,42032,,40248,,34387.0,,34391,,29096,,28761,,23044.0,,,,0
92.0,West Virginia U.,41488,,37058,,38572,,34040.0,,24176,,21103,,19870,,16922.0,,,,0
93.0,"U. South Carolina, Columbia",37565,,33757,,34131,,33559.0,,19625,,15496,,15516,,14827.0,,,,0
94.0,U. North Dakota,45141,,37548,,39871,,33551.0,,29060,,24187,,20078,,15585.0,,,,0
95.0,"Colorado State U., Fort Collins",36821,,37058,,35925,,32850.0,,25457,,24358,,20228,,19135.0,,,,0
96.0,U. Akron,32182,,36384,,37673,,29895.0,,11045,,14800,,15085,,10307.0,,,,0
97.0,"U. Arkansas, Fayetteville",27388,,26269,,23967,,28469.0,,11216,,9997,,6635,,9649.0,,,,0
98.0,Naval Postgraduate School,22397,,21627,,30403,,28358.0,,20442,,20667,,29950,,27524.0,,,,0
99.0,"CUNY, City C.",29415,,26356,,26856,,27835.0,,18911,,18146,,20990,,18872.0,,,,0
100.0,"Washington U., Saint Louis",20122,,19340,,20675,,27283.0,,15020,,12749,,16372,,21218.0,,,,0
101.0,Ohio U.,19526,,19488,,28670,i,26851.0,i,7406,,7445,,7803,,7327.0,,,,0
102.0,Wright State U.,14831,,21804,,26572,,26610.0,,8401,,10689,,13044,,12741.0,,,,0
103.0,Mercer U.,24694,,22737,,24163,,26464.0,,17669,,17307,,17870,,19577.0,,,,0
104.0,"U. Oklahoma, Norman and Health Science Center",29402,,26730,,25506,,26162.0,,15826,,13877,,7741,,13638.0,,,,0
105.0,Missouri U. of Science and Technology,26544,,27560,,29980,,25880.0,,18837,,19455,,15908,,11698.0,,,,0
106.0,Stevens Institute of Technology,25764,,22465,,23870,,25652.0,,22872,,19541,,18385,,18436.0,,,,0
107.0,U. New Hampshire,43067,,37183,,24010,,25083.0,,29426,,22984,,11805,,12143.0,,,,0
108.0,Dartmouth C.,21980,,21751,,18238,,25056.0,,14531,,14632,,12969,,18973.0,,,,0
109.0,"U. Texas, El Paso",26108,,24015,,22719,,24525.0,,11227,,9566,,9676,,11360.0,,,,0
110.0,U.S. Air Force Academy,25637,,37998,,31488,i,24268.0,,24357,,36561,,27333,,21957.0,,,,0
111.0,"U. Hawaii, Manoa",7873,,11245,,17127,,24109.0,,4508,,8403,,14584,,17218.0,,,,0
112.0,Kansas State U.,23918,,26233,,25546,,24023.0,,11968,,11362,,9563,,9302.0,,,,0
113.0,Old Dominion U.,30218,,32209,,23575,,23987.0,,13182,,13214,,12876,,12958.0,,,,0
114.0,Worcester Polytechnic Institute,10058,,15041,,17360,,23775.0,,6158,,10407,,11021,,18152.0,,,,0
115.0,"U. California, Riverside",25931,,24754,,22852,,23381.0,,12794,,12320,,8450,,10243.0,,,,0
116.0,"SUNY, Stony Brook U.",22748,,21676,,19679,,23118.0,,13466,,13926,,11910,,12955.0,,,,0
117.0,"SUNY, Binghamton U.",24257,,22316,,20363,,22219.0,,5259,,4066,,3700,,3685.0,,,,0
118.0,Lehigh U.,18565,,18529,,19956,,22052.0,,12418,,11902,,11471,,12378.0,,,,0
119.0,"U. Alaska, Fairbanks",14806,,15848,,26774,,21968.0,,10894,,9670,,5778,,3689.0,,,,0
120.0,"U. Illinois, Chicago",19896,,19144,,21161,,21567.0,,10897,,9434,,9791,,8700.0,,,,0
121.0,U. Kansas,17107,,17796,,19632,,19992.0,,8619,,10002,,10982,,8826.0,,,,0
122.0,"Montana State U., Bozeman",21646,,20062,,19519,,19933.0,,12260,,10700,,11202,,11757.0,,,,0
123.0,"Oklahoma State U., Stillwater",60575,,25511,,24235,,19515.0,,50560,,13445,,11104,,7465.0,,,,0
124.0,Tufts U.,17825,,20105,,20301,,19440.0,,13384,,16236,,15882,,15335.0,,,,0
125.0,Wayne State U.,19128,,20292,,21524,,18843.0,,10564,,9752,,11019,,9291.0,,,,0
126.0,U. Louisville,23867,,23550,,24567,,18708.0,,11340,,10054,,9512,,5738.0,,,,0
127.0,U. Maine,25040,,19397,,25392,,17891.0,,9742,,9333,,11536,,5456.0,,,,0
128.0,U. Tulsa,13429,,15205,,20261,,17822.0,,1511,,1390,,1266,,1524.0,,,,0
129.0,"U. Alabama, Tuscaloosa",21755,,18597,,15372,,17102.0,,15477,,11127,,8398,,8829.0,,,,0
130.0,"U. Massachusetts, Lowell",18073,,15236,,13540,,16201.0,,7149,,6728,,4740,,5706.0,,,,0
131.0,Illinois Institute of Technology,16703,,18080,,13899,,15876.0,,14047,,12001,,10462,,9987.0,,,,0
132.0,Rochester Institute of Technology,13265,,14548,,11938,,15820.0,,7140,,6475,,5751,,5634.0,,,,0
133.0,Syracuse U.,16785,,15865,,14943,,14644.0,,6750,,6827,,5999,,6234.0,,,,0
134.0,"U. Nevada, Reno",14176,,12682,,11789,,14072.0,,10544,,9084,,8418,,8727.0,,,,0
135.0,New Mexico Institute of Mining and Technology,14091,,16649,i,33539,,13969.0,,11507,,12928,,25521,,12327.0,,,,0
136.0,"U. Nevada, Las Vegas",5176,,5627,,10586,,13965.0,,4179,,3921,,6965,,9461.0,,,,0
137.0,"Brigham Young U., Provo",10630,,13590,,13861,,13434.0,,6718,,8227,,8700,,8359.0,,,,0
138.0,George Washington U.,16211,,15531,,13807,,13405.0,,7977,,9345,,7043,,6572.0,,,,0
139.0,U. Toledo,14532,,16304,,17699,,13320.0,,6618,,7074,,7100,,5645.0,,,,0
140.0,U. Idaho,15248,,15707,,14528,,12975.0,,9499,,9104,,8021,,7751.0,,,,0
141.0,Air Force Institute of Technology,16073,,12194,,12309,,12788.0,,8228,,6878,,7237,,6658.0,,,,0
142.0,North Dakota State U.,11762,,14564,,12114,,12678.0,,5581,,3744,,2168,,1714.0,,,,0
143.0,North Carolina Agricultural and Technical State U.,12130,,12348,,12347,,12631.0,,9631,,9612,,10557,,10860.0,,,,0
144.0,"U. Maryland, Baltimore County",9355,,10593,,9999,,12518.0,,6518,,7282,,8718,,9972.0,,,,0
145.0,South Dakota School of Mines and Technology,17592,,10805,,9066,,12394.0,,13195,,6623,,5903,,7639.0,,,,0
146.0,Virginia Commonwealth U.,4347,,4560,,7189,,12384.0,,3614,,3848,,5388,,5557.0,,,,0
147.0,"U. Puerto Rico, Mayaguez",15476,,12034,,10947,,12115.0,,8937,,4502,,5019,,6678.0,,,,0
148.0,"U. Texas, San Antonio",11779,,11488,,9667,,11383.0,,5082,,6046,,4630,,4213.0,,,,0
149.0,Oregon Health and Science U.,11246,,9156,,9043,,11063.0,,8408,,6931,,6234,,7692.0,,,,0
150.0,"U. Louisiana, Lafayette",4450,,4550,,5535,,10891.0,,1515,,995,,716,,1021.0,,,,0
151.0,Howard U.,7919,,8639,,8588,,10748.0,,6693,,7604,,7799,,9155.0,,,,0
152.0,"U. North Texas, Denton",10560,,14488,,12792,,10688.0,,4675,,5279,,5068,,4175.0,,,,0
153.0,Cleveland State U.,17354,,16568,,19717,,10513.0,i,9701,,7805,,7741,,6929.0,,,,0
154.0,New York U.,0,,3332,,11078,,10248.0,,0,,0,,4188,,4429.0,,,,0
155.0,George Mason U.,9667,,9283,,8148,,10181.0,,8512,,8112,,7279,,8549.0,,,,0
156.0,U. Georgia,10288,,9644,,8968,,9943.0,,5017,,3766,,3301,,3427.0,,,,0
157.0,Clarkson U.,10303,,8158,,9378,,9939.0,,5270,,3582,,4118,,4099.0,,,,0
158.0,"U. California, Merced",8237,,7993,,7662,,9778.0,,3793,,4135,,3980,,3955.0,,,,0
159.0,U. Wisconsin-Milwaukee,12588,,11291,,10696,,9715.0,,4488,,3897,,4057,,2865.0,,,,0
160.0,U.S. Military Academy,3656,,6525,,5534,,9697.0,,3656,,6525,,5534,,9697.0,,,,0
161.0,Embry-Riddle Aeronautical U.,12989,,10143,,12816,,9672.0,,11243,,8795,,11315,,8431.0,,,,0
162.0,Portland State U.,8077,,8488,,10544,,8789.0,,5486,,4909,,6659,,5331.0,,,,0
163.0,Marquette U.,4840,,4292,,5438,,8663.0,,2452,,1466,,1505,,2862.0,,,,0
164.0,Louisiana Tech U.,10086,,9907,,7626,,8638.0,,4555,,4396,,2692,,1977.0,,,,0
165.0,"California State U., Sacramento",6399,,5598,,6201,,8359.0,,2336,,2503,,2190,,3126.0,,,,0
166.0,Boise State U.,11769,,7700,,8004,,8270.0,,7848,,4642,,4587,,4051.0,,,,0
167.0,"Southern Illinois U., Carbondale",9118,,11069,,10858,,8191.0,,980,,891,,1029,,1113.0,,,,0
168.0,U. Colorado Denver and Anschutz Medical Campus,2252,,2601,,10486,,7919.0,,1796,,1412,,8603,,5529.0,,,,0
169.0,U. Memphis,7672,,7921,,8887,,7871.0,,4623,,3728,,3952,,3163.0,,,,0
170.0,"U. North Carolina, Charlotte",5858,,7204,,6575,,7696.0,,4335,,5816,,4759,,5025.0,,,,0
171.0,"U. Massachusetts, Dartmouth",5691,,6705,,8917,,7138.0,,2376,,1697,,2945,,2368.0,,,,0
172.0,U. Chicago,0,,1712,,3335,,7069.0,,0,,1190,,2396,,5759.0,,,,0
173.0,Tulane U.,5493,,7066,,6738,,7022.0,,2794,,2407,,2530,,2547.0,,,,0
174.0,Oakland U.,4620,,4441,,3806,,6756.0,,2535,,2183,,1538,,1396.0,,,,0
175.0,"U. Michigan, Dearborn",4896,,5862,,7151,,6638.0,,2547,,2937,,2764,,1730.0,,,,0
176.0,"Indiana U.-Purdue U., Indianapolis",7053,,6689,,8058,,6620.0,,4844,,3727,,4637,,3420.0,,,,0
177.0,U. Vermont,9360,,8449,,7556,,6545.0,,5865,,5867,,5218,,5068.0,,,,0
178.0,"U. Maryland, Baltimore",6253,,6649,,6611,,6412.0,,2806,,3286,,3216,,3301.0,,,,0
179.0,San Diego State U.,8869,,5206,,5321,,6393.0,,3144,,2946,,2519,,3050.0,,,,0
180.0,Temple U.,6291,,5344,,5656,,6368.0,,3278,,2560,,2365,,2272.0,,,,0
181.0,Villanova U.,2806,i,3542,i,5200,,6328.0,,1453,i,1414,,1319,,1667.0,,,,0
182.0,"California Polytechnic State U., San Luis Obispo",4759,,5285,,5844,,6122.0,,3598,,4278,,4729,,4470.0,,,,0
183.0,U. Rhode Island,7354,,6950,,5701,,5889.0,,6708,,5498,,3895,,3215.0,,,,0
184.0,Emory U.,16603,,5473,,5648,i,5801.0,,11699,,5185,,4647,,4971.0,,,,0
185.0,"U. Tennessee, Knoxville, Institute of Agriculture",7060,,6818,,6121,,5717.0,,2040,,1728,,1240,,962.0,,,,0
186.0,U. Mississippi,6301,,5453,,5836,,5676.0,,5491,,4274,,3505,,3511.0,,,,0
187.0,U. Miami,5785,,6142,,5478,,5621.0,,3985,,4425,,3724,,3085.0,,,,0
188.0,U. Wyoming,6529,,6360,,4917,,5568.0,,4927,,4355,,3086,,4053.0,,,,0
189.0,U.S. Naval Academy,5728,,6146,,6720,,5565.0,,5591,,6076,,6513,,5343.0,,,,0
190.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,3402,,3441,,4284,,5544.0,,1191,,1330,,1361,,2140.0,,,,0
191.0,Alfred U.,4776,,5227,,3886,,5036.0,,1094,,909,,1040,,1278.0,,,,0
192.0,"U. North Carolina, Chapel Hill",3957,,3812,,5014,,5014.0,,2496,,2758,,3277,,3321.0,,,,0
193.0,Alabama A&M U.,5089,i,5045,i,5001,i,4957.0,i,3747,i,3741,i,3735,i,3729.0,i,,,0
194.0,Texas State U.,3889,,3866,,2560,,4898.0,,686,,2192,,997,,1723.0,,,,0
195.0,Tennessee Technological U.,6144,,5571,,5022,,4883.0,,1833,,1487,,1643,,1622.0,,,,0
196.0,Georgia Southern U.,499,,708,,1303,,4660.0,,147,,100,,367,,402.0,,,,0
197.0,U. Texas Pan American,3082,,3403,,5298,,4529.0,,2009,,2425,,3915,,2776.0,,,,0
198.0,Southern Methodist U.,6184,,5025,,4627,,4410.0,,4005,,3412,,2999,,2411.0,,,,0
199.0,Morgan State U.,6932,,5141,,4871,,4269.0,,5433,,4470,,4374,,3926.0,,,,0
200.0,Montana Tech of U. Montana,3862,,3347,,3824,,4040.0,,1832,,1274,,1320,,1884.0,,,,0
201.0,South Dakota State U.,11483,,8578,,7127,,3997.0,,7095,,5331,,3613,,1952.0,,,,0
202.0,Tuskegee U.,1640,,6627,,8233,i,3891.0,i,1212,,6235,,6926,i,2607.0,i,,,0
203.0,Northern Illinois U.,3647,,2720,,3211,i,3695.0,,2227,,1507,,1753,,2756.0,,,,0
204.0,"Purdue U., Calumet",1461,,1807,,2213,,3446.0,,1001,,1056,,1239,,1783.0,,,,0
205.0,Milwaukee School of Engineering,3521,,3371,,3218,,3334.0,,535,,500,,606,,464.0,,,,0
206.0,U. New Orleans,6349,,4979,,3506,,3135.0,,3731,,2426,,1040,,635.0,,,,0
207.0,Norfolk State U.,6334,,3971,,4000,,3131.0,,5957,,3527,,3694,,3005.0,,,,0
208.0,Florida Atlantic U.,10014,,4295,,4301,,3051.0,,4130,,2550,,2434,,1876.0,,,,0
209.0,U. Texas Medical Branch,13368,,7191,,4846,,3037.0,,3394,,2324,,1846,,1423.0,,,,0
210.0,Jackson State U.,5139,,2891,,3115,,2999.0,,4866,,2567,,2512,,2323.0,,,,0
211.0,"Southern Illinois U., Edwardsville",2614,,4377,,3690,,2927.0,,541,,840,,821,,602.0,,,,0
212.0,Florida A&M U.,2420,,2062,,2409,,2859.0,,1751,,2044,,2018,,2362.0,,,,0
213.0,U. Denver,2540,,3462,,3284,,2854.0,,1599,,2530,,2301,,1796.0,,,,0
214.0,Marshall U.,4116,,4580,,2855,,2764.0,,3040,,3532,,2095,,1225.0,,,,0
215.0,Baylor U.,1240,,1613,,2254,,2716.0,,672,,195,,332,,474.0,,,,0
216.0,Idaho State U.,4243,,3405,,5327,,2670.0,,3587,,2974,,3000,,2265.0,,,,0
217.0,Tennessee State U.,2788,,2848,,2886,,2669.0,,1890,,1784,,2037,,1745.0,,,,0
218.0,South Carolina State U.,2243,,3099,i,2844,i,2589.0,i,2154,,2427,i,1830,i,1233.0,,,,0
219.0,"U. Puerto Rico, Rio Piedras",1899,,573,,2128,,2588.0,,1492,,0,,1237,,1950.0,,,,0
220.0,"U. Tennessee, Chattanooga",6193,,3475,,2271,,2531.0,,2647,,1588,,1047,,1025.0,,,,0
221.0,Florida Institute of Technology,2034,,2058,,2340,i,2499.0,,1415,,1482,,1328,,1272.0,,,,0
222.0,Prairie View A&M U.,4591,,4143,,2787,,2497.0,,3401,,3003,,1730,,1145.0,,,,0
223.0,Saint Louis U.,1980,,2586,,1910,,2474.0,,1472,,1493,,989,,1389.0,,,,0
224.0,Kettering U.,3147,,2725,,2495,,2457.0,,1968,,1077,,829,,602.0,,,,0
225.0,U. South Dakota,1148,,1006,,975,,2440.0,,563,,219,,47,,179.0,,,,0
226.0,U. South Alabama,1765,,2427,,2336,,2273.0,,900,,1460,,1363,,1235.0,,,,0
227.0,Humboldt State U.,977,,1278,,1439,,2185.0,,73,,6,,0,,0.0,,,,0
228.0,Franklin W. Olin C. of Engineering,1777,,1157,,1561,,2136.0,,1090,,946,,1050,,1103.0,,,,0
229.0,Texas A&M U.-Corpus Christi,43,,242,,1092,,2122.0,,0,,154,,175,,443.0,,,,0
230.0,"U. Minnesota, Duluth",2458,,2087,,1951,,2110.0,,690,,459,,198,,584.0,,,,0
231.0,Texas A&M U.-Kingsville,2129,,2415,,2953,,2081.0,,1340,,1510,,2045,,884.0,,,,0
232.0,"U. Arkansas, Little Rock",2610,,2169,,2242,,2065.0,,1944,,1559,,1258,,1140.0,,,,0
233.0,U. Southern Maine,36,,103,,104,i,2026.0,i,13,,28,,27,i,740.0,i,,,0
234.0,Virginia State U.,2471,,2507,,2394,,1972.0,,1406,,1101,,1036,,782.0,,,,0
235.0,Pittsburg State U.,1257,,1334,,2231,,1963.0,,788,,592,,797,,296.0,,,,0
236.0,Rowan U.,2685,,1568,,2060,,1958.0,,1852,,1127,,1027,,1430.0,,,,0
237.0,"U. North Carolina, general administration",ne,,ne,,ne,,1925.0,,ne,,ne,,ne,,135.0,,,,0
238.0,"California State U., Los Angeles",2522,,3342,,1959,,1851.0,,2473,,3197,,1881,,1357.0,,,,0
239.0,Lawrence Technological U.,1460,,1579,,1339,,1736.0,,1097,,928,,739,,906.0,,,,0
240.0,"Southern U. and A&M C., Baton Rouge",2060,,1770,,1584,,1708.0,,1956,,1722,,1549,,1612.0,,,,0
241.0,Miami U.,3044,,3287,i,2006,,1682.0,,2222,,1858,,988,,595.0,,,,0
242.0,Lamar U.,3153,,1915,,2040,,1664.0,,2752,,1129,,840,,128.0,,,,0
243.0,Catholic U. of America,2047,,1905,,1608,,1532.0,,1767,,1649,,1291,,1204.0,,,,0
244.0,Desert Research Institute,0,,0,,0,,1504.0,,0,,0,,0,,1343.0,,,,0
245.0,California Maritime Academy,2342,,2180,,992,,1501.0,,1748,,1257,,122,,15.0,,,,0
246.0,"Pennsylvania State U., Behrend",1232,,886,,1506,,1472.0,,218,,135,,146,,218.0,,,,0
247.0,"U. Nebraska, Omaha",1403,,1629,,1216,,1441.0,,1254,,1149,,751,,949.0,,,,0
248.0,Hofstra U.,363,,172,,199,,1430.0,,122,,160,,194,,1429.0,,,,0
249.0,Bucknell U.,1469,,1857,,1549,,1410.0,,580,,711,,652,,405.0,,,,0
250.0,West Texas A&M U.,1329,,988,,601,,1250.0,,877,,489,,330,,770.0,,,,0
