Rank,Institution,All federal R&D expenditures,Unnamed: 3,DOD,Unnamed: 5,DOE,Unnamed: 7,HHS,Unnamed: 9,NASA,Unnamed: 11,NSF,Unnamed: 13,USDA,Unnamed: 15,Othera,Unnamed: 17,shift
105.0,"U. California, Santa Cruz",92870.0,,1909.0,,2949.0,,28979.0,,30169.0,,18711.0,,1220.0,,8933.0,,0
106.0,U. New Hampshire,92040.0,,2641.0,,1664.0,,10327.0,,18883.0,,20505.0,,9453.0,,28567.0,,0
107.0,"U. South Carolina, Columbia",90453.0,,4895.0,,8430.0,,52505.0,,1702.0,,13955.0,,810.0,,8156.0,,0
108.0,U. Central Florida,88814.0,,30321.0,,6016.0,,11714.0,,18519.0,,11605.0,,344.0,,10295.0,,0
109.0,Georgetown U.,88015.0,,15776.0,,374.0,,55435.0,,1281.0,,4783.0,,27.0,,10339.0,,0
110.0,"U. Texas Health Science Center, San Antonio",85940.0,,9381.0,,0.0,,71425.0,,306.0,,257.0,,0.0,,4571.0,,0
111.0,Tulane U.,84166.0,,2879.0,,767.0,,70644.0,,112.0,,6145.0,,49.0,,3570.0,,0
112.0,U. Vermont,83733.0,,2184.0,,261.0,,60584.0,,1358.0,,10834.0,,5565.0,,2947.0,,0
113.0,U. Notre Dame,83710.0,,20281.0,,13372.0,,20877.0,,1472.0,,23004.0,,473.0,,4231.0,,0
114.0,"Louisiana State U., Baton Rouge",83644.0,,5269.0,,5637.0,,31934.0,,2913.0,,14639.0,,11843.0,,11409.0,,0
115.0,Rockefeller U.,81949.0,,8744.0,,127.0,,71741.0,,0.0,,1337.0,,0.0,,0.0,,0
116.0,"U. Alaska, Fairbanks",81586.0,,5531.0,,2680.0,,5820.0,,15549.0,,26775.0,,3104.0,,22127.0,,0
117.0,Northeastern U.,80576.0,,12439.0,,2666.0,,33337.0,,584.0,,21286.0,,44.0,,10220.0,,0
118.0,Mississippi State U.,80097.0,,12981.0,,10236.0,,5069.0,,1291.0,,8552.0,,21982.0,,19986.0,,0
119.0,"SUNY, U. Albany",79681.0,,3523.0,,720.0,,61569.0,,1127.0,,4230.0,,132.0,,8380.0,,0
120.0,New Mexico State U.,78903.0,,23464.0,,5909.0,,8011.0,,24485.0,,8103.0,,6319.0,,2612.0,,0
121.0,Naval Postgraduate School,78780.0,,71833.0,,1013.0,,0.0,,240.0,,5268.0,,0.0,,426.0,,0
122.0,U. Dayton,77973.0,,65468.0,,1250.0,,308.0,,309.0,,966.0,,0.0,,9672.0,,0
123.0,Florida International U.,76528.0,,4515.0,,4458.0,,22259.0,,629.0,,12977.0,,1406.0,,30284.0,,0
124.0,Rice U.,74266.0,,17198.0,,7270.0,,16886.0,,2767.0,,28219.0,,332.0,,1594.0,,0
125.0,"U. Nebraska, Medical Center",71920.0,,7880.0,,0.0,,62768.0,,290.0,,213.0,,41.0,,728.0,,0
126.0,Kansas State U.,69918.0,,2981.0,,4959.0,,9221.0,,494.0,,16065.0,,25574.0,,10624.0,,0
127.0,U. Oregon,69723.0,,1342.0,,5337.0,,32613.0,,333.0,,13761.0,,608.0,,15729.0,,0
128.0,Drexel U.,69462.0,,9436.0,,2987.0,,37753.0,,672.0,,13248.0,,1686.0,,3680.0,,0
129.0,"Montana State U., Bozeman",69136.0,,10170.0,,11153.0,,17548.0,,5080.0,,11011.0,,6416.0,,7758.0,,0
130.0,West Virginia U.,68731.0,,2275.0,,10100.0,,24182.0,,4394.0,,11978.0,,8549.0,,7253.0,,0
131.0,U. Louisville,68069.0,,3364.0,,21.0,,56718.0,,554.0,,3687.0,,201.0,,3524.0,,0
132.0,"U. Alabama, Huntsville",67451.0,,40251.0,,551.0,,289.0,,19520.0,,3517.0,,815.0,,2508.0,,0
133.0,U. Rhode Island,64711.0,,6018.0,,1978.0,,18982.0,,731.0,,15870.0,,5446.0,,15686.0,,0
134.0,George Mason U.,63600.0,,17273.0,,600.0,,10003.0,,5870.0,,9177.0,,284.0,,20393.0,,0
135.0,"U. California, Riverside",63515.0,,6757.0,,5408.0,,15587.0,,446.0,,23379.0,,6752.0,,5186.0,,0
136.0,U. Mississippi,59978.0,,6259.0,,936.0,,39589.0,,1485.0,,2998.0,,5676.0,,3035.0,,0
137.0,Rensselaer Polytechnic Institute,59528.0,,12136.0,,7490.0,,12318.0,,1254.0,,22331.0,,53.0,,3946.0,,0
138.0,Thomas Jefferson U.,58536.0,,2301.0,,0.0,,55895.0,,72.0,,261.0,,7.0,,0.0,,0
139.0,U. Houston,58458.0,,3675.0,,6507.0,,23310.0,,4302.0,,14958.0,,0.0,,5706.0,,0
140.0,New Jersey Institute of Technology,55094.0,,7662.0,,810.0,,6253.0,,3027.0,,6824.0,,370.0,,30148.0,,0
141.0,Clemson U.,53136.0,,4815.0,,2221.0,,5287.0,,886.0,,15059.0,,2917.0,,21951.0,,0
142.0,Rush U.,52193.0,,1272.0,,0.0,,50064.0,,0.0,,93.0,,203.0,,561.0,,0
143.0,"U. Nevada, Reno",51724.0,,1980.0,,6976.0,,20093.0,,802.0,,7239.0,,4259.0,,10375.0,,0
144.0,U. Arkansas for Medical Sciences,50603.0,,352.0,,0.0,,47510.0,,1053.0,,38.0,,0.0,,1650.0,,0
145.0,Georgia Regents U.,50585.0,,1478.0,,0.0,,48533.0,,0.0,,504.0,,0.0,,70.0,,0
146.0,U. Idaho,50559.0,,4210.0,,3940.0,,6918.0,,2339.0,,11775.0,,16201.0,,5176.0,,0
147.0,Georgia State U.,50122.0,,2515.0,,794.0,,32434.0,,376.0,,5632.0,,239.0,,8132.0,,0
148.0,Cold Spring Harbor Laboratory,49063.0,,2110.0,,1057.0,,36731.0,,0.0,,8576.0,,589.0,,0.0,,0
149.0,U. Wyoming,48970.0,,1239.0,,3168.0,,7977.0,,2168.0,,15980.0,,2909.0,,15529.0,,0
150.0,"Auburn U., Auburn",48352.0,,5984.0,,2031.0,,8506.0,,1731.0,,8117.0,,11597.0,,10386.0,,0
151.0,"U. Maryland, Baltimore County",47954.0,,7824.0,,130.0,,12128.0,,17538.0,,7621.0,,509.0,,2204.0,,0
152.0,Brandeis U.,47841.0,,826.0,,1697.0,,35315.0,,5.0,,6261.0,,0.0,,3737.0,,0
153.0,San Diego State U.,46870.0,,3493.0,,887.0,,29956.0,,1614.0,,8069.0,,301.0,,2550.0,,0
154.0,"U. Texas, El Paso",41897.0,,4738.0,,1676.0,,12421.0,,1878.0,,10291.0,,1373.0,,9520.0,,0
155.0,Cleveland State U.,41851.0,,866.0,,0.0,,37970.0,,863.0,,1111.0,,0.0,,1041.0,,0
156.0,Old Dominion U.,40002.0,,5963.0,,3780.0,,3552.0,,3999.0,,6168.0,,70.0,,16470.0,,0
157.0,"U. Tennessee, Health Science Center",39356.0,,1457.0,,41.0,,37816.0,,0.0,,17.0,,9.0,,16.0,,0
158.0,Howard U.,38820.0,,3293.0,,715.0,,21100.0,,178.0,,9400.0,,0.0,,4134.0,,0
159.0,"Oklahoma State U., Stillwater",38585.0,,4844.0,,2777.0,,5866.0,,118.0,,8332.0,,9387.0,,7261.0,,0
160.0,"CUNY, City C.",38434.0,,2612.0,,1606.0,,13321.0,,2022.0,,10611.0,,33.0,,8229.0,,0
161.0,U. North Dakota,37697.0,,2817.0,,14217.0,,10941.0,,4200.0,,2534.0,,2167.0,,821.0,,0
162.0,Florida A&M U.,36975.0,,1401.0,,1089.0,,7202.0,,270.0,,2873.0,,7543.0,,16597.0,,0
163.0,"Louisiana State U., Health Sciences Center – New Orleans",36027.0,,601.0,,0.0,,34997.0,,0.0,,176.0,,0.0,,253.0,,0
164.0,North Dakota State U.,35482.0,,949.0,,3774.0,,5052.0,,130.0,,6846.0,,10634.0,,8097.0,,0
165.0,U. Maine,35369.0,,866.0,,2429.0,,1726.0,,2000.0,,11684.0,,9276.0,,7388.0,,0
166.0,"U. Arkansas, Fayetteville",34288.0,,976.0,,1109.0,,2681.0,,806.0,,10167.0,,11154.0,,7395.0,,0
167.0,Colorado School of Mines,34266.0,,4681.0,,15434.0,,1324.0,,1262.0,,9954.0,,43.0,,1568.0,,0
168.0,San Jose State U.,33782.0,,264.0,,90.0,,832.0,,17630.0,,3860.0,,52.0,,11054.0,,0
169.0,"U. Montana, Missoula",33718.0,,2337.0,,140.0,,11374.0,,2867.0,,7087.0,,5952.0,,3961.0,,0
