Rank,Institution,All non-medical school R&D expenditures,Unnamed: 3,All medical school R&D expenditures,Unnamed: 5,All R&D expenditures,Unnamed: 7,shift
290.0,Rhode Island C.,10080.0,,0.0,,10080.0,,0
291.0,Clark Atlanta U.,9945.0,,0.0,,9945.0,,0
292.0,Western Washington U.,9921.0,,0.0,,9921.0,,0
293.0,Tarleton State U.,9825.0,,0.0,,9825.0,,0
294.0,"U. Maryland, Eastern Shore",9700.0,,0.0,,9700.0,,0
295.0,"Purdue U., Calumet",9669.0,,0.0,,9669.0,,0
296.0,U.S. Naval Academy,9609.0,,0.0,,9609.0,,0
297.0,Wellesley C.,9595.0,,0.0,,9595.0,,0
298.0,Xavier U. Louisiana,9588.0,,0.0,,9588.0,,0
299.0,St. Edward's U.,9515.0,,0.0,,9515.0,,0
300.0,DePaul U.,9479.0,,0.0,,9479.0,,0
301.0,"U. Nebraska, Omaha",9422.0,,0.0,,9422.0,,0
302.0,Alcorn State U.,9396.0,,0.0,,9396.0,,0
303.0,Dillard U.,9387.0,,0.0,,9387.0,,0
304.0,"CUNY, Brooklyn C.",9091.0,,0.0,,9091.0,,0
305.0,Florida Gulf Coast U.,8992.0,,0.0,,8992.0,,0
306.0,New School,8978.0,,0.0,,8978.0,,0
307.0,"California State U., Long Beach",8830.0,,0.0,,8830.0,,0
308.0,East Carolina U.,8761.0,,17788.0,,26549.0,,0
309.0,Fisk U.,8758.0,i,0.0,i,8758.0,i,0
310.0,"CUNY, John Jay C. of Criminal Justice",8689.0,,0.0,,8689.0,,0
311.0,"California State U., Fresno",8624.0,,0.0,,8624.0,,0
312.0,"Arkansas State U., Jonesboro",8453.0,,0.0,,8453.0,,0
313.0,"U. Arkansas, Pine Bluff",8425.0,,0.0,,8425.0,,0
314.0,Langston U.,8126.0,,0.0,,8126.0,,0
315.0,"Loyola U., Chicago",8101.0,,40563.0,,48664.0,,0
316.0,Thomas Jefferson U.,8043.0,,111588.0,,119631.0,,0
317.0,Texas Christian U.,8007.0,,0.0,,8007.0,,0
318.0,Bowling Green State U.,7995.0,,0.0,,7995.0,,0
319.0,Salisbury U.,7960.0,,0.0,,7960.0,,0
320.0,Western Kentucky U.,7854.0,,0.0,,7854.0,,0
321.0,Virginia State U.,7808.0,,0.0,,7808.0,,0
322.0,"U. Michigan, Dearborn",7802.0,,0.0,,7802.0,,0
323.0,U. Central Oklahoma,7691.0,,0.0,,7691.0,,0
324.0,"U. Washington, Bothell",7657.0,,0.0,,7657.0,,0
325.0,Azusa Pacific U.,7521.0,,0.0,,7521.0,,0
326.0,Grand Valley State U.,7453.0,,0.0,,7453.0,,0
327.0,West Virginia State U.,7365.0,,0.0,,7365.0,,0
328.0,Nova Southeastern U.,7303.0,,7472.0,,14775.0,,0
329.0,"U. South Florida, Saint Petersburg",7292.0,,0.0,,7292.0,,0
330.0,Wesleyan U.,7223.0,,0.0,,7223.0,,0
331.0,Wake Forest U.,7100.0,,164826.0,,171926.0,,0
332.0,Seton Hall U.,7058.0,,0.0,,7058.0,,0
333.0,"Indiana U.-Purdue U., Fort Wayne",7052.0,,0.0,,7052.0,,0
334.0,Clark U.,7050.0,,0.0,,7050.0,,0
335.0,"U. Arkansas, Little Rock",7003.0,,0.0,,7003.0,,0
336.0,U. Colorado Colorado Springs,6988.0,,0.0,,6988.0,,0
337.0,"U. Tennessee, Chattanooga",6817.0,,0.0,,6817.0,,0
338.0,Carleton C.,6746.0,,0.0,,6746.0,,0
339.0,"California State U., San Marcos",6432.0,,0.0,,6432.0,,0
340.0,Loyola Marymount U.,6389.0,,0.0,,6389.0,,0
341.0,U. Metropolitana,6361.0,,0.0,,6361.0,,0
342.0,"Lincoln U., Jefferson City",6296.0,,0.0,,6296.0,,0
343.0,Morehouse C.,6180.0,,0.0,,6180.0,,0
344.0,"CUNY, Graduate Center",6175.0,,0.0,,6175.0,,0
345.0,U. Guam,6062.0,,0.0,,6062.0,,0
346.0,Loma Linda U.,6057.0,,19462.0,,25519.0,,0
347.0,"SUNY, Upstate Medical U.",6022.0,,26431.0,,32453.0,,0
348.0,Kentucky State U.,6017.0,,0.0,,6017.0,,0
349.0,"U. Texas, Brownsville",5827.0,,0.0,,5827.0,,0
350.0,Georgia Regents U.,5786.0,,61951.0,,67737.0,,0
351.0,Fairfield U.,5750.0,,0.0,,5750.0,,0
352.0,Williams C.,5679.0,,0.0,,5679.0,,0
353.0,Rowan U.,5644.0,,2400.0,,8044.0,,0
354.0,"California State U., Fullerton",5611.0,,0.0,,5611.0,,0
355.0,National Defense U.,5542.0,,0.0,,5542.0,,0
