Rank,Institution,2013,Unnamed: 3,2014,Unnamed: 5,2015,All non-S&E fields,Unnamed: 8,Business and management,Unnamed: 10,"Communication, journalism, and library science",Unnamed: 12,Education,Unnamed: 14,Humanities,Unnamed: 16,Law,Unnamed: 18,Social work,Unnamed: 20,Visual and performing arts,Unnamed: 22,Other
286.0,U. Richmond,232,,130,,275,,275,,0,,0,,0,,0,,0,,0,,0,
287.0,Alaska Pacific U.,ne,,ne,,270,,0,,0,,270,,0,,0,,0,,0,,0,
288.0,Grambling State U.,39,,0,,262,,0,,0,,0,,12,,0,,0,,0,,250,
289.0,U. Texas Pan American,309,,16,,260,,128,,0,,117,,0,,0,,0,,0,,15,
290.0,"CUNY, York C.",0,,ne,,246,,0,,0,,24,,0,,0,,200,,22,,0,
291.0,U. of the Sciences Philadelphia,0,,50,,245,,66,,0,,0,,0,,0,,0,,0,,179,
292.0,Northern Illinois U.,237,,477,,243,,134,,0,,0,,109,,0,,0,,0,,0,
293.0,U. North Dakota,94,,149,,240,,55,,0,,1,,0,,0,,184,,0,,0,
294.0,U. of Mary Washington,ne,,ne,,238,,129,,0,,2,,107,,0,,0,,0,,0,
295.0,Saint Louis U.,415,,675,,237,,0,,31,,99,,42,,0,,65,,0,,0,
295.0,Tuskegee U.,3657,,43,i,237,i,58,i,0,i,0,i,0,i,0,i,179,i,0,i,0,i
297.0,"Rutgers, State U. New Jersey, Camden",239,,38,,231,,0,,0,,231,,0,,0,,0,,0,,0,
298.0,Idaho State U.,468,,525,,228,,0,,0,,201,,27,,0,,0,,0,,0,
299.0,Tennessee State U.,518,,130,,225,,52,,0,,173,,0,,0,,0,,0,,0,
299.0,West Texas A&M U.,1,,227,,225,,0,,0,,225,,0,,0,,0,,0,,0,
301.0,Barnard C.,38,,183,,218,,0,,0,,160,,0,,0,,0,,0,,58,
301.0,Clark U.,199,,108,,218,,5,,0,,210,,0,,0,,0,,0,,3,
303.0,Southeastern Louisiana U.,224,,0,,217,,217,,0,,0,,0,,0,,0,,0,,0,
304.0,Eastern Michigan U.,234,,99,,208,,0,,0,,170,,38,,0,,0,,0,,0,
305.0,Oregon Institute of Technology,ne,,ne,,207,,0,,0,,207,,0,,0,,0,,0,,0,
306.0,"Texas Tech U., Health Sciences Center, El Paso",ne,,36,,204,,0,,0,,0,,0,,0,,0,,0,,204,
307.0,"CUNY, C. Staten Island",9,,159,,201,,76,,0,,0,,125,,0,,0,,0,,0,
308.0,Claremont Graduate U.,1422,,1393,i,200,i,16,i,0,i,164,i,0,i,0,i,0,i,4,i,16,i
309.0,Creighton U.,297,i,263,i,195,i,12,i,0,i,121,i,0,i,9,i,38,i,3,i,12,i
310.0,New School,299,,80,,194,,0,,0,,0,,0,,0,,0,,15,,179,
311.0,Eastern Kentucky U.,448,,267,,192,,82,,0,,110,,0,,0,,0,,0,,0,
312.0,"Minnesota State U., Mankato",16,,21,,189,,0,,0,,0,,189,,0,,0,,0,,0,
313.0,"U. Massachusetts, Dartmouth",784,,136,,187,,0,,0,,187,,0,,0,,0,,0,,0,
314.0,DePaul U.,24,,205,,186,,1,,0,,182,,3,,0,,0,,0,,0,
314.0,Norfolk State U.,58,,111,,186,,0,,0,,0,,0,,0,,0,,0,,186,
316.0,South Dakota State U.,5,,70,,182,,0,,43,,130,,5,,0,,4,,0,,0,
317.0,Marquette U.,265,,203,,181,,0,,5,,0,,0,,9,,0,,0,,167,
318.0,Vassar C.,558,,221,,179,,0,,0,,105,,74,,0,,0,,0,,0,
319.0,"CUNY, Hunter C.",1047,,443,,175,,0,,0,,46,,0,,0,,39,,0,,90,
320.0,Northern Arizona U.,105,,165,,174,,0,,0,,3,,153,,0,,12,,0,,6,
321.0,U. Akron,58,,76,,166,,39,,0,,47,,0,,2,,73,,2,,3,
322.0,Ohio U.,69,,172,,163,,0,,0,,163,,0,,0,,0,,0,,0,
323.0,Shaw U.,ne,,62,,160,i,13,i,0,i,144,i,2,i,0,i,0,i,1,i,0,i
324.0,East Carolina U.,438,,417,,153,,0,,0,,6,,0,,0,,0,,0,,147,
324.0,Morehead State U.,18,,108,,153,,0,,0,,10,,143,,0,,0,,0,,0,
326.0,"California State U., Long Beach",184,,190,,151,,0,,0,,0,,42,,0,,109,,0,,0,
326.0,U. Southern Maine,67,,64,i,151,i,12,i,7,i,108,i,7,i,3,i,13,i,1,i,0,i
328.0,"California Polytechnic State U., San Luis Obispo",838,,184,,145,,91,,24,,0,,30,,0,,0,,0,,0,
329.0,"California State U., Fullerton",5452,,607,,144,,0,,0,,142,,0,,0,,0,,0,,2,
330.0,"SUNY, Binghamton U.",966,,86,,133,,0,,0,,0,,0,,0,,0,,0,,133,
