Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All physical sciences,Unnamed: 10,Astronomy,Unnamed: 12,Chemistry,Unnamed: 14,Physics,Unnamed: 16,"Physical sciences, nec"
203.0,New Mexico Institute of Mining and Technology,7232,,3550,i,1967,,2261,,0,,623,,1638,,0,
204.0,Alabama A&M U.,2280,i,2265,i,2250,i,2234,i,0,i,1017,i,1217,i,0,i
205.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,2691,,2808,,3137,,2233,,0,,820,,1413,,0,
206.0,Marshall U.,2238,,1134,,1429,,2168,,0,,858,,1310,,0,
207.0,"U. Massachusetts, Boston",1506,,1434,,2169,,2147,,0,,1267,,880,,0,
208.0,U. Louisville,2399,,2651,,2506,,2131,,40,,1789,,299,,3,
209.0,Worcester Polytechnic Institute,1920,,1860,,1296,,2092,,0,,1015,,1077,,0,
210.0,Youngstown State U.,2022,,2108,,1416,,2079,,0,,1666,,413,,0,
211.0,Wesleyan U.,2259,,2208,,1515,,2052,,621,,665,,766,,0,
212.0,South Dakota School of Mines and Technology,927,,648,,871,,2044,,0,,1080,,964,,0,
213.0,U.S. Naval Academy,2115,,2772,,1898,,2039,,0,,1146,,893,,0,
214.0,Central Michigan U.,1437,,1811,,2638,,1998,,16,,664,,1318,,0,
215.0,Hope C.,2634,,2610,,1884,,1996,,0,,1020,,367,,609,
216.0,American U.,1449,,1839,,2733,,1945,,0,,528,,1417,,0,
217.0,Prairie View A&M U.,989,,997,,1656,,1929,,214,,721,,994,,0,
218.0,"U. Missouri, Kansas City",2943,,2266,,2918,,1923,,0,,386,,1537,,0,
219.0,"U. Massachusetts, Dartmouth",2416,,2612,,2897,,1918,,116,,1315,,487,,0,
220.0,Marquette U.,2297,,2483,,2019,,1907,,0,,1821,,86,,0,
221.0,"Southern Illinois U., Carbondale",2946,,2627,,2172,,1892,,0,,968,,731,,193,
222.0,"CUNY, Queens C.",1647,,1383,,1982,,1804,,0,,1101,,703,,0,
223.0,"U. Missouri, Saint Louis",2819,,3108,,2366,,1753,,0,,1598,,155,,0,
224.0,Creighton U.,892,i,2106,i,2012,i,1747,i,0,i,836,i,911,i,0,i
225.0,"CUNY, Brooklyn C.",2411,,2099,,1980,,1744,,0,,1265,,479,,0,
226.0,Tuskegee U.,334,,70,,771,i,1723,i,0,i,784,i,939,i,0,i
227.0,U. Dayton,741,,1127,,1370,,1664,,0,,236,,1428,,0,
228.0,C. Charleston,1289,,1779,,1541,,1626,,202,,1186,,238,,0,
229.0,U. Colorado Colorado Springs,627,,519,,538,,1615,,0,,393,,1222,,0,
230.0,Carleton C.,863,,988,,689,,1611,,16,,325,,301,,969,
231.0,"U. Louisiana, Lafayette",1126,,1126,,970,,1565,,0,,510,,904,,151,
231.0,Villanova U.,1517,i,1491,i,1939,,1565,,1018,,493,,54,,0,
233.0,U. Memphis,2358,,1812,,1569,,1549,,0,,1041,,508,,0,
234.0,"Rutgers, State U. New Jersey, Newark",1458,,868,,1553,,1518,,0,,1107,,137,,274,
235.0,"U. Minnesota, Duluth",1147,,1249,,1183,,1513,,0,,1097,,416,,0,
236.0,Amherst C.,1500,i,1658,,1055,,1509,,58,,974,,477,,0,
237.0,"California State U., San Bernardino",344,,871,,993,,1496,,176,,52,,1098,,170,
238.0,"Indiana U.-Purdue U., Indianapolis",1475,,1857,,1258,,1485,,0,,1172,,287,,26,
239.0,San Jose State U.,1722,,1543,,1449,,1467,,0,,708,,754,,5,
240.0,Williams C.,1349,,1121,,1067,,1424,,228,,244,,563,,389,
241.0,Mount Holyoke C.,1128,,1039,,1742,,1408,,576,,307,,525,,0,
242.0,U. Maine,3809,,2764,,3995,,1405,,0,,112,,1293,,0,
243.0,Clarkson U.,2754,,2615,,2521,,1390,,0,,1121,,269,,0,
244.0,U. North Dakota,3684,,2075,,1583,,1330,,0,,1102,,228,,0,
245.0,"California State U., Long Beach",1625,i,1544,,1926,,1321,,0,,1027,,294,,0,
246.0,Furman U.,1384,,1499,,1233,,1317,,0,,1317,,0,,0,
247.0,U. Texas Pan American,347,,595,,833,,1231,,0,,815,,340,,76,
248.0,Boise State U.,1540,,1308,,942,,1203,,2,,444,,660,,97,
249.0,Haverford C.,1330,i,1042,i,916,i,1195,i,369,i,314,i,512,i,0,i
250.0,Morgan State U.,530,,912,,900,,1184,,0,,313,,871,,0,
251.0,Trinity U.,733,,881,,1209,,1146,,0,,961,,185,,0,
252.0,Bryn Mawr C.,1414,,1508,,1346,,1129,,0,,672,,457,,0,
252.0,"California State U., Los Angeles",1938,,1397,,1196,,1129,,0,,873,,256,,0,
254.0,"California State U., Fullerton",1553,,1772,,1270,,1118,,54,,371,,682,,11,
255.0,Grambling State U.,1523,,1071,,1152,,1098,,0,,468,,307,,323,
256.0,"U. Arkansas, Little Rock",3509,,2917,,1484,,1094,,2,,317,,36,,739,
257.0,Northern Arizona U.,1179,,1620,,607,,1074,,655,,303,,116,,0,
258.0,"Loyola U., Chicago",1086,,899,,822,,1057,,0,,805,,252,,0,
259.0,U. Vermont,2559,,2455,,1492,,1056,,0,,670,,386,,0,
260.0,Texas A&M U.-Commerce,881,,668,,1031,,1032,,498,,228,,306,,0,
261.0,Embry-Riddle Aeronautical U.,333,,559,,1007,,1017,,54,,0,,306,,657,
261.0,U. Tulsa,887,,726,,1405,,1017,,0,,555,,462,,0,
263.0,Texas Christian U.,1292,,1361,,976,,1004,,0,,557,,447,,0,
264.0,Norfolk State U.,516,,959,,1154,,1000,,0,,134,,866,,0,
265.0,Western Washington U.,1118,,1015,,1039,,973,,207,,766,,0,,0,
266.0,Cleveland State U.,1203,,1567,,1005,,923,i,0,i,591,i,332,i,0,i
267.0,"St. John's U., Manhattan",1087,,959,,1016,,913,,0,,777,,136,,0,
268.0,U. Richmond,1124,,1194,,1040,,898,,0,,558,,340,,0,
269.0,Bucknell U.,547,,711,,771,,878,,366,,512,,0,,0,
270.0,Tennessee State U.,890,,812,,916,,874,,605,,17,,252,,0,
271.0,"Arkansas State U., Jonesboro",5734,,3131,,1185,,872,,0,,689,,183,,0,
272.0,"U. North Carolina, Asheville",1107,,865,,576,,868,,16,,207,,0,,645,
273.0,"California Polytechnic State U., San Luis Obispo",2002,,2372,,1015,,855,,0,,330,,525,,0,
274.0,St. Edward's U.,1115,,1260,,195,,850,,250,,300,,300,,0,
275.0,Florida Atlantic U.,3422,,1238,,1178,,847,,47,,579,,221,,0,
276.0,Florida A&M U.,4118,,2651,,1019,,834,,0,,0,,834,,0,
277.0,Barnard C.,963,,712,,661,,824,,0,,221,,603,,0,
278.0,James Madison U.,846,,553,,485,,785,,10,,189,,586,,0,
278.0,U. Tampa,ne,,426,,715,,785,,0,,38,,0,,747,
280.0,U. Southern Maine,113,,30,,29,i,782,i,0,i,376,i,406,i,0,i
281.0,Tennessee Technological U.,355,,358,,401,,761,,0,,345,,416,,0,
282.0,Saint Louis U.,747,,1129,,1217,,754,,0,,723,,13,,18,
283.0,Dillard U.,114,,7692,,6907,,748,,0,,0,,748,,0,
283.0,"U. Puerto Rico, Humacao",1706,,1294,,1078,,748,,0,,222,,526,,0,
285.0,Elizabeth City State U.,1048,,1493,,1106,,746,,0,,746,,0,,0,
286.0,West Virginia State U.,0,,0,,67,,745,,0,,745,,0,,0,
287.0,Connecticut C.,894,,1135,,567,,743,,0,,743,,0,,0,
288.0,Wichita State U.,1151,,695,,802,,715,,0,,713,,0,,2,
289.0,Lewis and Clark C.,281,,536,,635,,710,,0,,487,,223,,0,
290.0,U. Colorado Denver and Anschutz Medical Campus,315,,673,,956,,678,,0,,467,,188,,23,
291.0,"CUNY, C. Staten Island",1158,,898,i,589,,658,,0,,658,,0,,0,
292.0,"CUNY, Lehman C.",145,,309,,618,,657,,67,,405,,185,,0,
293.0,Clark U.,744,,541,,691,,656,,0,,311,,345,,0,
294.0,Colgate U.,640,,687,,601,,640,,51,,430,,159,,0,
294.0,"Southern U. and A&M C., Baton Rouge",2695,,1400,,694,,640,,0,,113,,527,,0,
296.0,"SUNY, Geneseo",1387,,553,,389,,639,,0,,46,,593,,0,
297.0,U. North Florida,355,,179,,109,,637,,0,,543,,94,,0,
298.0,Claflin U.,1124,,843,,574,,630,,0,,630,,0,,0,
299.0,St. Cloud State U.,60,,224,,233,,627,,12,,364,,249,,2,
300.0,Northern Kentucky U.,621,,495,,673,,626,,0,,521,,97,,8,
301.0,Smith C.,276,,345,,443,,623,,30,,133,,460,,0,
302.0,Winthrop U.,582,,535,,532,,621,,0,,621,,0,,0,
303.0,Siena C.,1294,,1310,,915,,620,,0,,101,,519,,0,
304.0,U. San Diego,428,,573,,671,,616,,0,,396,,218,,2,
305.0,Albany State U.,1033,,899,,791,,595,,0,,482,,113,,0,
306.0,Montclair State U.,103,,431,,14,,593,,0,,593,,0,,0,
307.0,Augsburg C.,833,,566,,ne,,590,,0,,197,,393,,0,
308.0,South Carolina State U.,529,,513,i,551,i,589,i,150,i,227,i,212,i,0,i
309.0,"California State U., Dominguez Hills",108,,296,,777,i,581,,0,,457,,124,,0,
310.0,U. Northern Iowa,1073,,690,,468,,574,,0,,382,,192,,0,
311.0,U. Northern Colorado,182,,234,,143,,573,,0,,502,,71,,0,
