Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
133.0,"U. Missouri, Columbia",5429,,0,,4223,,41,,18,,0,,0,,0,,1147,,0,
134.0,U. Delaware,5415,,441,,1151,,20,,242,,0,,154,,232,,3092,,83,
135.0,Brandeis U.,5393,,0,,1195,,0,,187,,0,,4011,,0,,0,,0,
136.0,Tulane U.,5290,,52,,4583,,0,,440,,0,,84,,0,,70,,61,
137.0,U. Akron,5284,,30,,432,,62,,1723,,171,,1,,0,,2648,,217,
138.0,Missouri U. of Science and Technology,5171,,1151,,0,,0,,166,,0,,0,,0,,3829,,25,
139.0,U. Louisville,4999,,0,,4282,,0,,0,,0,,0,,0,,581,,136,
140.0,"U. Alaska, Fairbanks",4853,,1211,,638,,15,,1346,,0,,7,,1027,,609,,0,
141.0,U. Notre Dame,4796,,0,,484,,385,,390,,17,,72,,0,,3117,,331,
142.0,Kansas State U.,4676,,0,,4135,,4,,119,,50,,17,,0,,343,,8,
143.0,"U. Massachusetts, Lowell",4634,,0,,670,,154,,1049,,0,,4,,0,,1412,,1345,
144.0,"Brigham Young U., Provo",4468,,0,,315,,4,,861,,4,,0,,0,,3284,,0,
145.0,Utah State U.,4404,,0,,1667,,26,,46,,170,,17,,0,,2478,,0,
146.0,Van Andel Institute,4148,,0,,4148,i,0,,0,,0,,0,,0,,0,,0,
147.0,Cleveland State U.,4069,,0,,2715,,0,,0,,2,,98,,0,,1252,,2,
148.0,"U. Tennessee, Knoxville, Institute of Agriculture",4047,,0,,3428,,0,,0,,0,,221,,191,,207,,0,
149.0,Cold Spring Harbor Laboratory,3906,,0,,3906,,0,,0,,0,,0,,0,,0,,0,
150.0,New Mexico State U.,3846,,170,,854,,0,,2316,,78,,29,,0,,371,,28,
151.0,U. New Mexico,3729,,24,,2322,,192,,0,,0,,611,,0,,580,,0,
152.0,Syracuse U.,3610,,332,,0,,104,,142,,0,,107,,0,,840,,2085,
153.0,U. Toledo,3453,,0,,2154,,0,,216,,0,,0,,0,,1083,,0,
154.0,Creighton U.,3435,,0,i,2664,i,81,i,181,i,0,i,177,i,0,i,0,i,332,i
155.0,Albany Medical C.,3423,,0,,3423,,0,,0,,0,,0,,0,,0,,0,
156.0,Florida Institute of Technology,3385,,471,,238,,315,,0,,0,,0,,0,,649,,1712,
157.0,U. Texas Medical Branch,3378,,0,,3378,,0,,0,,0,,0,,0,,0,,0,
158.0,Brown U.,3197,,54,,1662,,396,,244,,41,,0,,274,,526,,0,
159.0,"SUNY, Binghamton U.",3096,,0,,103,,113,,233,,55,,332,,0,,2250,,10,
160.0,Southern Methodist U.,3092,,1552,,0,,522,,0,,0,,30,,0,,356,,632,
161.0,Drexel U.,3078,,138,,1045,,116,,161,,49,,0,,0,,1484,,85,
162.0,New York Medical C.,3075,,0,,3075,,0,,0,,0,,0,,0,,0,,0,
163.0,Saint Louis U.,3011,,146,,2734,,13,,0,,18,,0,,0,,80,,20,
164.0,Yeshiva U.,2910,,0,,2910,,0,,0,,0,,0,,0,,0,,0,
165.0,"Loyola U., Chicago",2893,,0,,2878,,0,,4,,0,,0,,0,,0,,11,
166.0,U. Rhode Island,2890,,990,,505,,0,,484,,0,,77,,194,,571,,69,
167.0,U. Southern Mississippi,2862,,2245,,292,,2,,226,,0,,0,,36,,0,,61,
168.0,George Mason U.,2858,,76,,1721,,342,,72,,59,,406,,0,,170,,12,
169.0,U. Memphis,2835,,120,,752,,97,,24,,60,,37,,0,,1288,,457,
170.0,Georgia Regents U.,2778,,0,,2778,,0,,0,,0,,0,,0,,0,,0,
171.0,"Indiana U.-Purdue U., Indianapolis",2743,,3,,2261,,29,,4,,0,,195,,26,,225,,0,
172.0,U. Maine,2700,,353,,482,,29,,25,,0,,3,,0,,1808,,0,
173.0,Milwaukee School of Engineering,2580,,0,,0,,0,,0,,0,,0,,0,,2580,,0,
174.0,Florida International U.,2545,,0,,1923,,41,,132,,0,,38,,0,,399,,12,
175.0,"U. Tennessee, Health Science Center",2544,,0,,2530,,0,,0,,0,,0,,14,,0,,0,
176.0,Rosalind Franklin U. of Medicine and Science,2423,,0,,2423,,0,,0,,0,,0,,0,,0,,0,
177.0,"Southern Illinois U., Edwardsville",2389,,9,,2145,,0,,20,,0,,14,,0,,165,,36,
178.0,Rochester Institute of Technology,2388,,0,,16,,55,,590,,0,,0,,0,,1715,,12,
179.0,"U. Puerto Rico, Medical Sciences Campus",2383,,0,,2383,,0,,0,,0,,0,,0,,0,,0,
180.0,"U. North Texas, Health Science Center",2375,,0,,2375,,0,,0,,0,,0,,0,,0,,0,
181.0,"CUNY, John Jay C. of Criminal Justice",2371,,0,,0,,0,,0,,208,,34,,0,,0,,2129,
182.0,Worcester Polytechnic Institute,2369,,0,,59,,161,,0,,0,,0,,0,,1924,,225,
183.0,"Louisiana State U., Health Sciences Center – New Orleans",2307,,0,,2307,,0,,0,,0,,0,,0,,0,,0,
184.0,"U. Alabama, Tuscaloosa",2252,,63,,443,,193,,203,,27,,230,,0,,581,,512,
185.0,U. Vermont,2193,,6,,1940,,20,,2,,0,,0,,0,,43,,182,
186.0,Texas Christian U.,2087,,577,,284,,9,,345,,23,,0,,0,,64,,785,
187.0,"U. North Texas, Denton",2086,,0,,524,,136,,215,,14,,22,,0,,964,,211,
188.0,"U. North Carolina, Charlotte",2058,,5,,172,,385,,53,,25,,23,,0,,1210,,185,
189.0,U. Wyoming,1993,,357,,654,,8,,230,,0,,41,,0,,703,,0,
190.0,Wright State U.,1983,,21,,860,,34,,218,,6,,0,,13,,831,,0,
191.0,U. Wisconsin-Milwaukee,1963,,182,,158,,35,,0,,139,,975,,0,,474,,0,
192.0,George Washington U.,1957,,0,,1407,,148,,46,,3,,39,,0,,314,,0,
193.0,Stevens Institute of Technology,1913,,11,,18,,0,,106,,0,,49,,0,,1729,,0,
194.0,Texas State U.,1843,,3,,723,,18,,417,,0,,15,,0,,653,,14,
195.0,U. West Florida,1823,,0,,18,,32,,6,,0,,9,,0,,0,,1758,
196.0,Eastern Virginia Medical School,1796,,0,,1796,,0,,0,,0,,0,,0,,0,,0,
197.0,North Dakota State U.,1761,,0,,816,,144,,149,,0,,55,,107,,490,,0,
198.0,"SUNY, Upstate Medical U.",1755,,0,,1755,,0,,0,,0,,0,,0,,0,,0,
199.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,1754,,10,,20,,12,,0,,1,,0,,0,,1665,,46,
200.0,U. Idaho,1745,,79,,1047,,0,,1,,0,,0,,0,,618,,0,
201.0,East Carolina U.,1733,,0,,1564,,0,,3,,5,,152,,0,,0,,9,
202.0,Baylor U.,1719,,0,,428,,400,,95,,0,,340,,0,,456,,0,
203.0,U. South Alabama,1711,,407,,920,,0,,27,,13,,80,,0,,215,,49,
204.0,New Jersey Institute of Technology,1687,,0,,238,,4,,172,,0,,0,,454,,797,,22,
205.0,"CUNY, City C.",1683,,192,,273,,76,,355,,1,,0,,0,,782,,4,
206.0,"Louisiana State U., Health Sciences Center - Shreveport",1677,,0,,1677,,0,,0,,0,,0,,0,,0,,0,
207.0,"U. Michigan, Dearborn",1668,,0,,0,,0,,0,,36,,0,,0,,1600,,32,
208.0,"Montana State U., Bozeman",1662,,86,,626,,0,,142,,0,,76,,0,,728,,4,
209.0,South Dakota School of Mines and Technology,1651,,0,,0,,19,,674,,0,,0,,0,,958,,0,
210.0,"U. Maryland, Baltimore County",1638,,165,,816,,123,,65,,84,,186,,26,,173,,0,
211.0,Illinois Institute of Technology,1572,,0,,736,,219,,57,,0,,0,,0,,560,,0,
211.0,"U. Puerto Rico, Mayaguez",1572,,179,,487,,0,,170,,0,,0,,0,,721,,15,
213.0,Florida State U.,1563,,39,,534,,60,,126,,0,,18,,4,,638,,144,
214.0,Lehigh U.,1533,,0,,222,,52,,310,,0,,1,,0,,844,,104,
215.0,"U. Maryland, Center for Environmental Science",1525,,1249,,255,,0,,0,,0,,0,,0,,0,,21,
216.0,Clarkson U.,1509,,0,,37,,3,,332,,0,,0,,0,,1137,,0,
217.0,"U. Massachusetts, Boston",1499,,81,,0,,15,,0,,85,,21,,0,,0,,1297,
218.0,"U. Nevada, Reno",1491,,190,,818,,15,,26,,0,,0,,0,,442,,0,
219.0,"U. Alabama, Huntsville",1403,,53,,42,,96,,60,,0,,0,,0,,1124,,28,
220.0,California Maritime Academy,1359,,3,,0,,0,,0,,0,,0,,0,,1356,,0,
220.0,"U. Texas, El Paso",1359,,304,,187,,4,,167,,0,,24,,0,,673,,0,
222.0,U. of the Sciences Philadelphia,1302,,0,,1130,,0,,4,,0,,0,,0,,0,,168,
223.0,C. of William and Mary and Virginia Institute of Marine Science,1262,,556,,43,,40,,229,,0,,370,,0,,0,,24,
224.0,Old Dominion U.,1247,,8,,193,,158,,83,,1,,0,,0,,804,,0,
225.0,South Dakota State U.,1175,,0,,993,,10,,18,,0,,23,,0,,131,,0,
226.0,U. Arkansas for Medical Sciences,1167,,0,,1167,,0,,0,,0,,0,,0,,0,,0,
227.0,Eastern Washington U.,1164,,0,,0,,0,,19,,0,,1145,,0,,0,,0,
228.0,"California Polytechnic State U., San Luis Obispo",1163,,16,,307,,64,,29,,49,,1,,0,,373,,324,
229.0,Idaho State U.,1143,,0,,105,,0,,1008,,0,,0,,0,,30,,0,
230.0,Nova Southeastern U.,1133,,724,,409,,0,,0,,0,,0,,0,,0,,0,
231.0,Embry-Riddle Aeronautical U.,1030,,53,,0,,100,,93,,0,,0,,0,,784,,0,
232.0,Howard U.,1018,,0,,344,,0,,101,,0,,0,,0,,251,,322,
233.0,"U. Montana, Missoula",1012,,302,,693,,0,,14,,0,,3,,0,,0,,0,
234.0,Humboldt State U.,999,,5,,10,,0,,0,,0,,17,,68,,895,,4,
235.0,Pittsburg State U.,989,,51,,0,,0,,0,,0,,0,,0,,938,,0,
235.0,Seton Hall U.,989,,0,,0,,0,,0,,0,,0,,0,,0,,989,
237.0,U. New Orleans,988,,123,,17,,4,,5,,0,,236,,0,,559,,44,
238.0,U. Colorado Colorado Springs,959,,0,,0,,73,,368,,0,,0,,260,,258,,0,
239.0,New Mexico Institute of Mining and Technology,954,,357,,0,,0,,0,,0,,314,,0,,283,,0,
240.0,Marquette U.,942,,0,,136,,0,,0,,0,,0,,0,,806,,0,
241.0,"U. Texas, San Antonio",941,,0,,29,,125,,160,,0,,251,,0,,258,,118,
242.0,Oakland U.,920,,0,,0,,79,,0,,0,,0,,0,,833,,8,
243.0,Kettering U.,901,,0,,0,,0,,1,,0,,0,,0,,900,,0,
244.0,"SUNY, C. of Environmental Science and Forestry",881,,8,,841,,0,,9,,0,,0,,0,,23,,0,
245.0,"SUNY, U. Albany",866,,333,,478,,0,,0,,55,,0,,0,,0,,0,
246.0,Alfred U.,851,,0,,0,,0,,0,,0,,0,,0,,851,,0,
247.0,U. Denver,823,,0,,23,,0,,50,,0,,0,,0,,750,,0,
248.0,Texas A&M U.-Kingsville,821,,0,,763,,0,,0,,0,,0,,0,,57,,1,
249.0,Northern Illinois U.,804,,61,,41,,3,,28,,0,,2,,0,,647,,22,
250.0,"SUNY, Downstate Medical Center",803,,0,,803,,0,,0,,0,,0,,0,,0,,0,
251.0,Bradley U.,800,,0,,48,,99,,103,,0,,0,,0,,541,,9,
252.0,"U. Nevada, Las Vegas",781,,51,,34,,0,,387,,0,,0,,0,,262,,47,
253.0,Loma Linda U.,768,,2,,766,,0,,0,,0,,0,,0,,0,,0,
253.0,Western U. of Health Sciences,768,,0,,744,,0,,0,,0,,0,,0,,0,,24,
255.0,Kent State U.,752,,0,,88,,8,,553,,27,,24,,0,,16,,36,
256.0,U. Tampa,750,,0,,15,,0,,735,,0,,0,,0,,0,,0,
257.0,"U. Missouri, Kansas City",735,,0,,474,,0,,96,,0,,0,,0,,165,,0,
258.0,Marshall U.,725,,0,,664,,0,,35,,0,,0,,0,,26,,0,
259.0,American U.,721,,1,,0,,0,,0,,0,,246,,347,,0,,127,
260.0,Louisiana Tech U.,708,,0,,40,,18,,97,,0,,0,,0,,532,,21,
261.0,"California State U., Sacramento",699,,0,,39,,0,,0,,0,,477,,0,,183,,0,
262.0,Desert Research Institute,674,,320,,216,,0,,0,,0,,0,,79,,59,,0,
263.0,Rowan U.,666,,0,,339,,61,,155,,0,,0,,0,,111,,0,
264.0,"U. North Carolina, Wilmington",655,,8,,198,,15,,24,,0,,0,,3,,351,,56,
265.0,Montana Tech of U. Montana,651,,451,,0,,0,,0,,0,,0,,0,,200,,0,
266.0,Albany C. of Pharmacy and Health Sciences,634,,0,,634,,0,,0,,0,,0,,0,,0,,0,
267.0,Villanova U.,630,,0,,5,,0,,7,,0,,3,,0,,615,,0,
268.0,Portland State U.,624,,105,,13,,0,,4,,0,,53,,0,,449,,0,
269.0,Northern Arizona U.,623,,370,,238,,0,,0,,0,,0,,0,,6,,9,
269.0,Texas A&M U.-Corpus Christi,623,,209,,36,,24,,0,,0,,0,,0,,354,,0,
271.0,"U. Alaska, Anchorage",614,,247,,7,,0,,0,,67,,0,,115,,154,,24,
272.0,Florida Atlantic U.,607,,0,,390,,76,,48,,0,,0,,0,,58,,35,
272.0,San Jose State U.,607,,253,,1,,138,,5,,10,,1,,0,,150,,49,
274.0,U. Wisconsin-La Crosse,603,,0,,148,,0,,1,,9,,432,,0,,0,,13,
275.0,"California State U., Long Beach",599,,0,,120,,0,,1,,0,,0,,0,,478,,0,
276.0,"SUNY, C. of Optometry",598,,0,,598,,0,,0,,0,,0,,0,,0,,0,
277.0,U. Oregon,593,,129,,13,,133,,174,,77,,0,,0,,0,,67,
278.0,"St. John's U., Manhattan",580,,0,,115,,0,,236,,12,,0,,0,,0,,217,
279.0,Duquesne U.,574,,80,,276,,0,,43,,1,,5,,0,,44,,125,
279.0,"Pennsylvania State U., Behrend",574,,14,,4,,58,,8,,0,,0,,0,,490,,0,
279.0,"U. California, Merced",574,,0,,105,,0,,170,,25,,0,,0,,274,,0,
282.0,"U. North Carolina, Greensboro",561,,0,,64,,0,,95,,72,,74,,0,,0,,256,
283.0,"U. Minnesota, Duluth",551,,295,,0,,0,,256,,0,,0,,0,,0,,0,
284.0,Miami U.,534,,8,,46,,58,,199,,11,,17,,0,,124,,71,
285.0,Ball State U.,522,,0,,163,,208,,62,,0,,3,,0,,20,,66,
