Rank,Institution,2006,Unnamed: 3,2007,Unnamed: 5,2008,Unnamed: 7,2009,Unnamed: 9,2010,Unnamed: 11,2011,Unnamed: 13,2012,Unnamed: 15,2013,Unnamed: 17,2014,Unnamed: 19,2015,Unnamed: 21,shift
29.0,"U. Maryland, College Park",209764,,218973,,236417,,246985,,293835,,333879,,340180,,341942,,328828,,332079.0,,0
30.0,"U. Texas, Austin",273147,,289331,,324287,,309125,,331439,,334240,,328560,,352788,,313955,,331388.0,,0
31.0,"U. Illinois, Urbana-Champaign",264645,,253612,,266912,,288013,,294236,,312796,,348536,,459791,,336172,,330479.0,,0
32.0,Icahn School of Medicine at Mt. Sinai,224911,,221397,,253319,,264914,,302770,,296835,,271722,,277517,,300667,,329641.0,,0
33.0,New York U.,189276,,194303,,199363,,202535,,250006,,289172,,300271,,283382,,314712,,326691.0,,0
34.0,"U. Alabama, Birmingham",292962,,269006,,303084,,300130,,320704,,340342,,303677,,286873,,276112,,325008.0,,0
35.0,"U. California, Davis",248190,,256994,,268957,,295924,,329041,,359704,,356540,,344632,,327697,,322919.0,,0
36.0,"Rutgers, State U. New Jersey, New Brunswick",,,,,,,,,218910,,235178,,273498,,288374,,355116,,320311.0,,0
37.0,Case Western Reserve U.,306980,,304742,,305483,,313044,,333438,,352938,,358722,,347628,,328548,,307960.0,,0
38.0,Uniformed Services U. of the Health Sciences,39461,,37275,,67345,,124314,,72125,,117781,,102134,,119647,,213389,,299007.0,,0
39.0,"Texas A&M U., College Station and Health Science Center",206242,,228363,,245607,,261491,,276977,,281063,,259506,,302356,,298489,,291714.0,,0
40.0,U. Chicago,253471,,261870,,284616,,301159,,348537,,365824,,329119,,294862,,276237,,291397.0,,0
41.0,U. Florida,248322,,240819,,230999,,232737,,269765,,296950,,295745,,285778,,279920,,281317.0,,0
42.0,Scripps Research Institute,268533,,267073,,265657,,288388,,313746,,317201,,309471,,308628,,292268,,274097.0,,0
43.0,U. Utah,174888,,174719,,171737,,192354,,226489,,263623,,271629,,297099,,284125,,270311.0,,0
44.0,California Institute of Technology,248591,,253657,,243624,,305682,,325751,,340131,,322295,,272223,,276447,,269156.0,,0
45.0,U. Colorado Denver and Anschutz Medical Campus,221214,,215184,,213761,,256007,,275573,,299230,,308023,,290443,,277209,,266147.0,,0
46.0,U. Arizona,301619,,269941,,277897,,287889,,307038,,324751,,328369,,334680,,286595,,265878.0,,0
47.0,U. Rochester,278399,,280132,,276268,,295963,,321258,,337312,,307390,,298781,,265686,,261023.0,,0
48.0,Baylor C. of Medicine,287679,,263146,,262498,,267130,,284072,,295529,,268753,,285230,,264641,,256895.0,,0
49.0,Boston U.,238560,,232115,,235153,,255178,,298467,,300923,,273204,,265476,,254285,,256562.0,,0
50.0,Michigan State U.,169116,,170350,,152907,,164198,,198735,,222937,,250416,,246131,,247970,,256228.0,,0
51.0,U. Cincinnati,201742,,219317,,221186,,229324,,261982,,286003,,266507,,256816,,243705,,250457.0,,0
52.0,Oregon Health and Science U.,223204,,227441,,232208,,233774,,247054,,268777,,242219,,244867,,246050,,243876.0,,0
53.0,U. Iowa,216521,,222944,,229903,,252336,,280089,,280989,,265780,,252161,,234122,,223730.0,,0
54.0,U. Miami,150408,,147535,,165986,,172000,,196435,,223870,,222535,,204315,,202818,,214976.0,,0
55.0,"Colorado State U., Fort Collins",182648,,210746,,208925,,211890,,205890,,230661,,245573,,213355,,206958,,213685.0,,0
56.0,"U. Maryland, Baltimore",186160,,164211,,169026,,169081,,206686,,228637,,229858,,237749,,220700,,211773.0,,0
57.0,"Purdue U., West Lafayette",,,,,,,,,221679,,246116,,255691,,258596,,227857,,209005.0,,0
58.0,"Indiana U., Bloomington",,,,,,,,,67483,,69298,,72501,,82005,,80109,,206263.0,,0
59.0,"U. Hawaii, Manoa",202419,,208196,,194508,,203453,,196275,,201700,,193722,,225263,,202574,,199818.0,,0
60.0,"U. South Florida, Tampa",,,,,,,,,219634,,220931,,218772,,207441,,205155,,196215.0,,0
61.0,North Carolina State U.,131262,,131056,,131412,,135318,,137124,,152790,,171464,,174440,,177722,,196058.0,,0
62.0,"U. Illinois, Chicago",203875,,208881,,196520,,196702,,229131,,245323,,243622,,219473,,201646,,192930.0,,0
63.0,Virginia Polytechnic Institute and State U.,119994,,128796,,135578,,148411,,161636,,187269,,181371,,197462,,198092,,191080.0,,0
64.0,Carnegie Mellon U.,185389,,168486,,170978,,170260,,179136,,200878,,209307,,215560,,198247,,187259.0,,0
65.0,Arizona State U.,109893,,114632,,125558,,134598,,164890,,178153,,182188,,190066,,186126,,186890.0,,0
66.0,"U. Virginia, Charlottesville",,,,,,,,,224607,,239249,,225558,,212051,,192907,,186676.0,,0
67.0,U. Texas Southwestern Medical Center,196621,,191687,,201480,,207216,,232027,,231639,,207513,,198114,,185137,,183787.0,,0
68.0,"U. Massachusetts, Medical School",136141,,131226,,145113,,145834,,178293,,208244,,202149,,189159,,183582,,183588.0,,0
69.0,Yeshiva U.,153785,,147941,,143866,,137108,,163399,,197032,,201397,,193831,,186885,,180791.0,,0
70.0,"SUNY, U. Buffalo",153152,,148989,,155340,,152146,,164477,,176923,,186747,,200212,,185144,,174146.0,,0
71.0,Woods Hole Oceanographic Institution,101631,,112754,,117587,,127378,,153066,,165819,,161115,,158672,,177616,,172995.0,,0
72.0,"U. California, Irvine",169983,,169912,,178299,,177098,,189343,,204134,,204062,,196256,,180431,,170622.0,,0
73.0,U. Texas M. D. Anderson Cancer Center,182028,,190508,,194889,,194633,,206664,,236400,,196753,,182971,,158986,,161171.0,,0
74.0,Princeton U.,117845,,119171,,125102,,128876,,149164,,162491,,160985,,156070,,163805,,157867.0,,0
75.0,U. New Mexico,127907,,123039,,134783,,133334,,147003,,161950,,159302,,155684,,151082,,151619.0,,0
76.0,Oregon State U.,116586,,110267,,113614,,118252,,135081,,146069,,155667,,148174,,143815,,150625.0,,0
77.0,Wake Forest U.,139549,,141467,,146298,,144454,,159084,,173004,,172779,,156506,,153069,,148084.0,,0
78.0,Dartmouth C.,140430,,128164,,121306,,134113,,117909,,131518,,147218,,154917,,145080,,145807.0,,0
79.0,U. Kentucky,151238,,154688,,154260,,144221,,167192,,175801,,157813,,148758,,140450,,145097.0,,0
80.0,George Washington U.,75209,,87624,,119100,,88949,,120844,,115463,,111068,,119441,,139148,,135667.0,,0
81.0,U. Connecticut,124837,,123513,,119915,,120668,,128700,,141252,,150402,,146400,,139594,,135349.0,,0
82.0,Florida State U.,110358,,113681,,110618,,117294,,127571,,136332,,131998,,132583,,140995,,133569.0,,0
83.0,U. Kansas,115522,,115670,,122401,,127449,,137458,,143300,,147052,,147557,,131186,,128374.0,,0
84.0,Brown U.,96922,,95023,,95145,,93753,,120749,,123649,,127665,,120977,,125005,,127886.0,,0
85.0,U. Georgia,92652,,103256,,102817,,106932,,117225,,134200,,133525,,127487,,122145,,127825.0,,0
86.0,"U. Texas Health Science Center, Houston",122870,,131879,,129277,,135087,,150324,,156790,,146424,,144235,,136145,,125890.0,,0
87.0,Virginia Commonwealth U.,97576,,90137,,95369,,97433,,125713,,134431,,124836,,119293,,119507,,123665.0,,0
88.0,"U. Oklahoma, Norman and Health Science Center",90880,,86422,,91578,,95809,,100065,,112146,,124131,,119762,,108356,,122918.0,,0
89.0,Washington State U.,81324,,78505,,97668,,95824,,105333,,115775,,120146,,119921,,112568,,121627.0,,0
90.0,Tufts U.,95964,,91379,,95620,,102330,,115159,,120864,,120042,,112495,,115046,,120181.0,,0
91.0,Temple U.,50904,,54452,,58686,,65126,,76170,,85021,,85062,,124764,,118892,,119945.0,,0
92.0,Utah State U.,96242,,90832,,88884,,84082,,89750,,112611,,107054,,106074,,114075,,119811.0,,0
93.0,Medical U. South Carolina,104057,,101402,,102187,,113789,,131650,,143464,,136907,,127472,,118649,,117255.0,,0
94.0,"SUNY, Stony Brook U.",112973,,111241,,106419,,107396,,120090,,124938,,123198,,118432,,111386,,115031.0,,0
95.0,"U. California, Santa Barbara",106169,,111848,,111601,,113837,,127696,,132490,,134984,,131392,,119816,,114596.0,,0
96.0,Iowa State U.,104553,,97112,,102771,,96483,,108181,,116109,,117144,,120934,,115285,,113443.0,,0
97.0,Medical C. Wisconsin,100128,,107200,,111602,,117842,,121750,,133929,,125325,,116765,,111241,,109542.0,,0
98.0,U. Delaware,79640,,82539,,84628,,87090,,102637,,112523,,110760,,114048,,111933,,109258.0,,0
99.0,Wayne State U.,118042,,114364,,115904,,116682,,131418,,133925,,125965,,118217,,112608,,108221.0,,0
100.0,"U. Missouri, Columbia",101732,,108328,,108131,,118998,,113362,,113072,,110446,,108305,,102784,,102852.0,,0
101.0,"U. Tennessee, Knoxville",,,,,,,,,83491,i,99712,,103147,,104558,,106778,,101608.0,,0
102.0,U. Texas Medical Branch,120408,,118173,,122009,,126703,,128840,,128098,,109867,,108287,,101761,,98050.0,,0
103.0,"U. Massachusetts, Amherst",69176,,71974,,79736,,80163,,97131,,106315,,106470,,103233,,102682,,97206.0,,0
104.0,"U. Nebraska, Lincoln",80731,,80379,,81884,,83702,,95190,,104240,,103294,,96177,,93190,,94763.0,,0
105.0,"U. California, Santa Cruz",66390,,68204,,69742,,76085,,81598,,95015,,91409,,88600,,89206,,91249.0,,0
106.0,Georgetown U.,92268,,105304,,111590,,119925,,119509,,122802,,113229,,113703,,99567,,87268.0,,0
107.0,"U. Texas Health Science Center, San Antonio",95110,,95610,,121758,,129399,,121723,,121200,,106177,,99198,,89303,,85940.0,,0
108.0,"U. South Carolina, Columbia",,,,,,,,,119890,,100045,,93237,,87562,,87844,,84723.0,,0
109.0,Tulane U.,84052,,98473,,109152,,109269,,106021,,110222,,101130,,97873,,94287,,84143.0,,0
110.0,U. Vermont,82519,,90049,,89717,,92555,,98588,,101465,,87843,,85028,,79727,,83733.0,,0
111.0,U. New Hampshire,86416,,81027,,83769,,78633,,76191,,96552,,109728,,92778,,89640,,83106.0,,0
112.0,U. Notre Dame,55710,,53974,,66812,,57425,,61645,,79003,,82244,,79268,,79192,,82615.0,,0
113.0,"Louisiana State U., Baton Rouge",79161,,79760,,78695,,86546,,94611,,96050,,91238,,93281,,93584,,82276.0,,0
114.0,Rockefeller U.,93742,,86728,,81557,,73906,,88705,,97710,,84616,,80384,,81820,,81949.0,,0
115.0,U. Central Florida,37974,,49359,,55771,,65042,,67795,,66736,,72620,,68691,,64323,,81788.0,,0
116.0,Mississippi State U.,94073,,106662,,105327,,102903,,105224,,97987,,96132,,73834,,70615,,79181.0,,0
117.0,"U. Alaska, Fairbanks",98330,,97551,,93352,,90927,,97889,,103677,,97472,,92602,,83483,,78985.0,,0
118.0,"SUNY, U. Albany",103835,,105776,,108747,,96910,,123404,,124848,,112161,,113736,,104861,,78824.0,,0
119.0,Northeastern U.,36071,,36028,,36497,,38178,,56727,,65757,,75733,,82587,,77401,,78379.0,,0
120.0,New Mexico State U.,101849,,100773,,86636,,88707,,98050,,90283,,90338,,86546,,80247,,78253.0,,0
121.0,U. Dayton,56779,,60089,,64515,,70469,,72567,,69847,,64369,,66396,,63881,,74548.0,,0
122.0,Rice U.,53880,,54279,,54959,,56270,,69176,,78249,,76431,,79742,,73782,,73817.0,,0
123.0,Naval Postgraduate School,54528,,62434,,82302,,75825,,86765,,88950,,120209,,86538,,89284,,71987.0,,0
124.0,"U. Nebraska, Medical Center",53808,,53506,,51300,,61224,,80784,,86295,,84196,,80750,,76195,,71920.0,,0
125.0,Florida International U.,45894,,52141,,52838,,53647,,52784,,61687,,54204,,57858,,68946,,67293.0,,0
126.0,Drexel U.,68499,,66795,,65198,,67620,,75339,,81424,,85584,,74047,,75557,,67226.0,,0
127.0,Kansas State U.,52649,,47654,,52984,,57743,,66400,,74414,,73247,,67524,,64565,,66632.0,,0
128.0,West Virginia U.,63764,,65699,,68147,,64388,,74465,,84061,,77981,,72677,,67450,,66608.0,,0
129.0,"U. Alabama, Huntsville",44636,,48415,,47068,,53893,,71461,,70197,,75715,,83396,,73913,,66564.0,,0
130.0,U. Louisville,70481,,76479,,72711,,72770,,83593,,84557,,79252,,72047,,63258,,66100.0,,0
131.0,"Montana State U., Bozeman",75362,,75765,,70386,,71620,,84735,,78431,,78409,,66451,,66770,,62827.0,,0
132.0,"U. California, Riverside",58023,,56129,,53780,,53971,,58159,,59351,,61304,,57032,,56327,,62642.0,,0
133.0,U. Rhode Island,46898,,52561,,50377,,57148,,60963,,77668,,78194,,70900,,61836,,61085.0,,0
134.0,Rensselaer Polytechnic Institute,44690,,48924,,47109,,48216,,54559,,58951,,62063,,60765,,58940,,59417.0,,0
135.0,U. Mississippi,67717,,77526,,65799,,62192,,69031,,72456,,72855,,62816,,63070,,58797.0,,0
136.0,Thomas Jefferson U.,82551,,81545,,76034,,73152,,77817,,80027,,68976,,56247,,54676,,58536.0,,0
137.0,U. Oregon,46583,,49467,,55190,,61464,,66809,,71344,,71157,,61856,,62824,,56448.0,,0
138.0,U. Houston,38559,,40116,,43162,,40020,,50148,,57090,,54657,,57569,,55574,,54516.0,,0
139.0,George Mason U.,35911,,46588,,50392,,55678,,59591,,61016,,57504,,57154,,53775,,54113.0,,0
140.0,Rush U.,45044,,39601,,40942,,43608,,51304,,57978,,57512,,57063,,53501,,52193.0,,0
141.0,U. Arkansas for Medical Sciences,66127,,60836,,62035,,61249,,72217,,75924,,69883,,64856,,55556,,50603.0,,0
142.0,Georgia Regents U.,na,,na,,na,,na,,na,,na,,na,,47913,,47771,,50585.0,,0
143.0,New Jersey Institute of Technology,35489,,41330,,40087,,42656,,47832,,52873,,57513,,55017,,51853,,50554.0,,0
144.0,"U. Nevada, Reno",64476,,62713,,66165,,63709,,58115,,55374,,55150,,53898,,50904,,49977.0,,0
145.0,U. Idaho,47018,,46144,,45301,,42207,,45082,,52812,,53765,,52430,,49423,,49591.0,,0
146.0,Cold Spring Harbor Laboratory,ne,,ne,,ne,,ne,,ne,,51529,,43874,,41002,,41845,,49063.0,,0
147.0,"Auburn U., Auburn",,,,,,,,,53648,,59061,,55118,,56809,,49739,,47939.0,,0
148.0,"U. Maryland, Baltimore County",44830,,49461,,50561,,53867,,58597,,61110,,44669,,44257,,46993,,47591.0,,0
149.0,U. Wyoming,25844,,25537,,28372,,29479,,44026,,47782,,55663,,52296,,39778,,47232.0,,0
150.0,Brandeis U.,41184,,41358,,38204,,40532,,43282,,47793,,44061,,43963,,45800,,46764.0,,0
151.0,Clemson U.,56268,,53905,,56535,,55108,,59374,,49365,,48182,,47825,,44673,,45292.0,,0
152.0,San Diego State U.,35351,,33139,,36267,,42736,,53746,,59769,,51690,,45175,,44807,,43526.0,,0
153.0,Cleveland State U.,5159,,5097,,5027,,4081,,24894,,42292,,46205,,50002,,44139,,41721.0,,0
154.0,"U. Texas, El Paso",19331,,21018,,26902,,29386,,34439,,34765,,39274,,37741,,34528,,40334.0,,0
155.0,"U. Tennessee, Health Science Center",,,,,,,,,52650,i,51840,,48473,,42269,,41830,,39356.0,,0
156.0,"Oklahoma State U., Stillwater",,,,,,,,,56998,,81855,,85876,,44200,,36687,,38498.0,,0
157.0,Howard U.,34959,,33996,,34630,,30599,,32211,,35632,,37336,,33403,,32052,,38051.0,,0
158.0,"CUNY, City C.",21408,,21776,,21739,,22598,,32170,,39064,,39063,,39756,,39860,,37900.0,,0
159.0,U. North Dakota,38848,,44610,,46620,,49215,,52381,,53913,,54411,,46397,,40191,,37457.0,,0
160.0,Georgia State U.,24968,,24569,,26257,,24038,,23732,,21980,,27251,,28216,,29470,,36843.0,,0
161.0,"Louisiana State U., Health Sciences Center – New Orleans",52437,,54690,,43392,,42622,,46142,,45581,,40637,,36886,,34637,,36027.0,,0
162.0,North Dakota State U.,45418,,45475,,50038,,43614,,51198,,52543,,45326,,37128,,35308,,35037.0,,0
163.0,U. Maine,41394,,41963,,40931,,47280,,48270,,59644,,39428,,33903,,50338,,35033.0,,0
164.0,"U. Montana, Missoula",33039,,33855,,34407,,36631,,40116,,38176,,35590,,33825,,30164,,33617.0,,0
165.0,Colorado School of Mines,20543,,18248,,20072,,25109,,28416,,31414,,31399,,31585,,33908,,33578.0,,0
166.0,"U. Arkansas, Fayetteville",31926,,37016,,31531,,31597,,32659,,37203,,34123,,30562,,26014,,33486.0,,0
167.0,"U. Puerto Rico, Medical Sciences Campus",31199,,31955,,28481,,27042,,29813,,54381,,35173,,31037,,30197,,31889.0,,0
168.0,San Jose State U.,23197,,22609,,22173,,23949,,21576,,23207,,21830,,24574,,28475,,31250.0,,0
169.0,"U. Texas, Dallas",19954,,17783,,21383,,25651,,30019,,32355,,34088,,31903,,32096,,30776.0,,0
170.0,Morehouse School of Medicine,25156,,23230,,24985,,23583,,25855,i,28128,,31786,,34511,i,33020,,30012.0,,0
171.0,U.S. Air Force Academy,9678,,14301,,43787,,38795,,43803,,60292,,36316,,42303,,32284,,29417.0,,0
172.0,"U. Massachusetts, Lowell",18741,,20045,,22406,,23083,,24475,,26802,,25670,,25441,,25874,,28998.0,,0
173.0,Eastern Virginia Medical School,19399,,20620,,17499,,24083,,29291,,25319,,24694,,28728,,28532,,28637.0,,0
174.0,Michigan Technological U.,18757,,28193,,29868,,27004,,27407,,32508,,32835,,31734,,30214,,28581.0,,0
175.0,South Dakota State U.,12788,,16729,,20912,,24303,,38309,,41876,,41941,,33226,,29454,,28488.0,,0
176.0,"U. Alabama, Tuscaloosa",22847,,27744,,23394,,23944,,25945,,32387,,32515,,27963,,25477,,28029.0,,0
177.0,Old Dominion U.,27506,,25694,,28298,,27644,,30534,,34084,,31877,,30478,,30568,,27857.0,,0
178.0,C. of William and Mary and Virginia Institute of Marine Science,29121,,25983,,25645,,24248,,22478,,23502,,25349,,24619,,27232,,27722.0,,0
179.0,"Loyola U., Chicago",25420,,24794,,23034,,22844,,27953,,27588,,27786,,32008,,29989,,27380.0,,0
180.0,Saint Louis U.,45183,,47704,,49434,,33644,,33655,,38206,,35841,,31230,,29396,,27343.0,,0
181.0,"U. Nevada, Las Vegas",42772,,48597,,41505,,31270,,31497,,29642,,24567,,23980,,26585,,26970.0,,0
182.0,"U. Texas, Arlington",19006,,19774,,20721,,24290,,29671,,28190,,30473,,28588,,24079,,26858.0,,0
183.0,Wright State U.,22430,,22229,,21315,,22789,,24785,,27422,,25519,,26496,,27523,,26814.0,,0
184.0,Syracuse U.,28876,,27694,,26764,,24228,,26971,,25272,,25327,,22564,,24163,,26769.0,,0
185.0,Florida A&M U.,24902,,14502,,22154,,23409,,26311,,30771,,27951,,28446,,25313,,26700.0,,0
186.0,U. Toledo,16534,,31863,,29201,,29328,,36984,,42680,,38563,,37539,,31648,,26428.0,,0
187.0,Worcester Polytechnic Institute,10193,,9545,,9977,,10106,,12705,,14773,,12161,,16275,,18310,,25743.0,,0
188.0,Illinois Institute of Technology,19121,,19731,,18888,,17349,,27780,,33016,,27515,,28255,,25506,,25479.0,,0
189.0,Texas Tech U.,22278,,22874,,19698,,24184,,32680,,32881,,27698,,25153,,26161,,25458.0,,0
190.0,Stevens Institute of Technology,22501,,22809,,19458,,19326,,26366,,31269,,25794,,23004,,22130,,25054.0,,0
191.0,U. Southern Mississippi,34577,,42645,,42540,,41517,,36729,,40764,,34487,,28324,,25956,,24710.0,,0
192.0,U. Wisconsin-Milwaukee,15867,,18368,,16895,,18955,,23641,,28336,,26424,,23872,,23726,,24222.0,,0
193.0,Portland State U.,18797,,17054,,18743,,25334,,25853,,29660,,30090,,27899,,26147,,23389.0,,0
194.0,"U. Texas, San Antonio",20277,,20545,,21523,,26393,,27036,,28011,,29168,,28066,,22518,,23108.0,,0
195.0,"U. North Texas, Health Science Center",19183,,19203,,19818,,20215,,25847,,26132,,26627,,24187,,21943,,22422.0,,0
196.0,North Carolina Agricultural and Technical State U.,15885,,15362,,18405,,18494,,23878,,22499,,21468,,20956,,22609,,21802.0,,0
197.0,Mercer U.,11741,,11075,,12012,,13377,,18778,,17904,,19963,,19411,,19666,,21563.0,,0
198.0,Alabama A&M U.,7537,,8467,,5566,,10265,,22154,,21355,i,21322,i,21290,i,21257,i,21222.0,i,0
199.0,Loma Linda U.,28788,,24666,,32350,,29114,,27175,,30899,,23447,,24991,,19044,,21082.0,,0
200.0,"SUNY, Downstate Medical Center",25184,,23232,,25299,,22849,,25023,,33964,,34884,,31972,,25802,,20779.0,,0
201.0,"Brigham Young U., Provo",17309,,17118,,17128,,16979,,18373,,19741,,17381,,19931,,20214,,20769.0,,0
202.0,Lehigh U.,18248,,22116,,22044,,19302,,22084,,20485,,20419,,20878,,20677,,20680.0,,0
203.0,Northern Arizona U.,14305,,12409,,13298,,13333,,14990,,17687,,15946,,15533,,18044,,20111.0,,0
204.0,New Mexico Institute of Mining and Technology,47901,,69050,,64322,,61178,,42243,,37316,,29894,,23581,,33168,,19975.0,,0
205.0,Catholic U. of America,13264,,15324,,15020,,15834,,15837,,19651,,17350,,17154,,17061,,19548.0,,0
206.0,U. of the Virgin Islands,12518,,12561,,12770,,16628,,27291,,15717,i,22605,,15627,,10475,i,19456.0,,0
207.0,"SUNY, Upstate Medical U.",27247,,27933,,23117,,21828,,27959,,28663,,27013,,23730,,21334,,19213.0,,0
208.0,"CUNY, Hunter C.",18472,,15768,,14978,,18512,,17543,,21191,,22078,,21465,,18825,,19018.0,,0
209.0,Jackson State U.,30783,,30980,,35221,,37321,,34927,,36460,,33342,,27285,,19898,,18449.0,,0
210.0,"U. Puerto Rico, Rio Piedras",16881,,16114,,25382,,18886,,21130,,24336,,24867,,17190,,17489,,18177.0,,0
211.0,"Indiana U.-Purdue U., Indianapolis",,,,,,,,,147375,,154966,,165374,,151962,,142589,,18090.0,,0
212.0,Boise State U.,7448,,9924,,9124,,9621,,14237,,18423,,19446,,15181,,15183,,17562.0,,0
213.0,Rochester Institute of Technology,14581,,13225,,14370,,18029,,19493,,18546,,17435,,16186,,16765,,17479.0,,0
214.0,Boston C.,18344,,20336,,21099,,22672,,31351,,23845,,23685,,22780,,19462,,17409.0,,0
215.0,Missouri U. of Science and Technology,22351,,18256,,22353,,23368,,28239,,27961,,23731,,25551,,21474,,17306.0,,0
216.0,Ohio U.,19573,,18605,,18204,,16508,,18209,,21938,,20340,,20134,,16425,,17140.0,,0
217.0,"U. North Carolina, Charlotte",10792,,11887,,10635,,11946,,15444,,14358,,16997,,18257,,16637,,17028.0,,0
218.0,Desert Research Institute,30407,,30752,,30703,,29544,,28307,,28489,,27294,,22814,,19932,,16511.0,,0
219.0,Air Force Institute of Technology,5212,,6681,,8244,,11500,,13514,,18986,,17919,,17614,,16342,,16369.0,,0
220.0,U. Memphis,15964,,17765,,15393,,16179,,17726,,16738,,19113,,15747,,18344,,16250.0,,0
221.0,"SUNY, Binghamton U.",12213,,13991,,14402,,16704,,20766,,20443,,20151,,16749,,14757,,16038.0,,0
222.0,"U. Massachusetts, Boston",8610,,9152,,12001,,13536,,17787,,15040,,17649,,13471,,14544,,15464.0,,0
223.0,"U. Tennessee, Knoxville, Institute of Agriculture",,,,,,,,,12527,i,15512,,17786,,17493,,15342,,15320.0,,0
224.0,"U. Puerto Rico, Mayaguez",10645,,11164,,11913,i,12663,,12505,,18269,,19536,,13830,,13638,,15313.0,,0
225.0,U. South Alabama,15147,,16400,,15746,,15807,,14343,,16259,,13294,,13361,,13478,,15025.0,,0
226.0,East Carolina U.,10657,,10354,,10807,,17079,,15587,,17636,,16946,,17789,,16992,,14926.0,,0
227.0,"Southern Illinois U., Carbondale",20108,,17724,,17499,,19223,,22209,,23696,,22055,,18398,,16288,,14895.0,,0
228.0,"SUNY, Polytechnic Institute",na,,na,,na,,na,,na,,na,,na,,na,,21208,,14641.0,,0
229.0,Hampton U.,28584,,23836,,20910,,12662,,14455,,12292,,15290,,12620,,11153,,14619.0,,0
230.0,U. Akron,11433,,11210,,9272,,10966,,11943,,12833,,16605,,19600,,20187,,14510.0,,0
231.0,San Francisco State U.,17255,,11896,,10143,,13178,,15407,,17337,,17075,,18638,,16753,,14336.0,,0
232.0,"U. North Texas, Denton",8343,,7192,,8241,,9045,,11997,,12255,,15921,,14974,,15054,,14286.0,,0
