Rank,Institution,NASA R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
140.0,George Washington U.,1036.0,,50.0,,1.0,,0.0,,57.0,,206.0,,0.0,,48.0,,0.0,,674.0,,0.0,,0
141.0,"U. Texas, Arlington",1017.0,,0.0,,43.0,,0.0,,0.0,,681.0,,0.0,,0.0,,0.0,,293.0,,0.0,,0
142.0,"U. Massachusetts, Lowell",997.0,,0.0,,27.0,,58.0,,0.0,,813.0,,0.0,,0.0,,0.0,,99.0,,0.0,,0
143.0,"U. Nebraska, Omaha",949.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,949.0,,0.0,,0
144.0,North Carolina Agricultural and Technical State U.,948.0,,0.0,,101.0,,0.0,,39.0,,0.0,,0.0,,0.0,,0.0,,808.0,,0.0,,0
145.0,American U.,944.0,,0.0,,0.0,,0.0,,0.0,,944.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
146.0,"U. Arkansas, Little Rock",918.0,,0.0,,101.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,817.0,,0.0,,0
147.0,Florida Institute of Technology,917.0,,0.0,,16.0,,159.0,,0.0,,465.0,,0.0,,0.0,,0.0,,277.0,,0.0,,0
148.0,Clemson U.,886.0,,0.0,,0.0,,46.0,,0.0,,711.0,,19.0,,0.0,,0.0,,110.0,,0.0,,0
149.0,Cleveland State U.,863.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,53.0,,0.0,,810.0,,0.0,,0
150.0,Salish Kootenai C.,860.0,,0.0,,860.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
151.0,"U. California, San Francisco",848.0,,0.0,,0.0,,473.0,,0.0,,375.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
152.0,U. Akron,834.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,834.0,,0.0,,0
153.0,Scripps Research Institute,828.0,,0.0,,0.0,,828.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
154.0,"U. Pittsburgh, Pittsburgh",824.0,,0.0,,473.0,,8.0,,0.0,,343.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
155.0,"U. Arkansas, Fayetteville",806.0,,0.0,,5.0,,235.0,,0.0,,200.0,,0.0,,0.0,,0.0,,366.0,,0.0,,0
156.0,"U. Nevada, Reno",802.0,,97.0,,460.0,,6.0,,0.0,,69.0,,0.0,,0.0,,0.0,,170.0,,0.0,,0
157.0,Ohio U.,793.0,,0.0,,0.0,,0.0,,0.0,,227.0,,0.0,,0.0,,0.0,,566.0,,0.0,,0
158.0,C. of William and Mary and Virginia Institute of Marine Science,790.0,,0.0,,440.0,,0.0,,0.0,,350.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
159.0,Tufts U.,783.0,,0.0,,0.0,,0.0,,0.0,,423.0,,0.0,,0.0,,0.0,,360.0,,0.0,,0
160.0,Northern Arizona U.,768.0,,0.0,,285.0,,0.0,,0.0,,467.0,,0.0,,0.0,,0.0,,16.0,,0.0,,0
161.0,"U. North Carolina, Chapel Hill",732.0,,6.0,,548.0,,52.0,,0.0,,49.0,,0.0,,24.0,,0.0,,53.0,,0.0,,0
162.0,"U. Nevada, Las Vegas",731.0,,0.0,,108.0,,137.0,,0.0,,349.0,,0.0,,0.0,,0.0,,137.0,,0.0,,0
162.0,U. Rhode Island,731.0,,0.0,,707.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,24.0,,0.0,,0
164.0,"U. Texas, San Antonio",673.0,,0.0,,19.0,,0.0,,10.0,,540.0,,0.0,,0.0,,0.0,,104.0,,0.0,,0
165.0,Drexel U.,672.0,,184.0,,0.0,,0.0,,0.0,,453.0,,0.0,,0.0,,0.0,,35.0,,0.0,,0
166.0,"California Polytechnic State U., San Luis Obispo",667.0,,3.0,,69.0,,0.0,,0.0,,7.0,,0.0,,0.0,,0.0,,573.0,,15.0,,0
167.0,"California State U., Long Beach",659.0,,0.0,,0.0,,0.0,,0.0,,0.0,,659.0,,0.0,,0.0,,0.0,,0.0,,0
168.0,Alabama A&M U.,645.0,i,16.0,i,333.0,i,70.0,i,2.0,i,79.0,i,18.0,i,16.0,i,0.0,i,104.0,i,7.0,i,0
168.0,Portland State U.,645.0,,0.0,,165.0,,0.0,,73.0,,180.0,,0.0,,0.0,,0.0,,227.0,,0.0,,0
170.0,Texas Tech U.,630.0,,108.0,,335.0,,0.0,,0.0,,144.0,,0.0,,0.0,,0.0,,43.0,,0.0,,0
171.0,Florida International U.,629.0,,0.0,,74.0,,429.0,,34.0,,69.0,,0.0,,0.0,,0.0,,23.0,,0.0,,0
172.0,"U. Missouri, Columbia",620.0,,0.0,,132.0,,261.0,,0.0,,227.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
173.0,Northeastern U.,584.0,,125.0,,0.0,,0.0,,0.0,,199.0,,0.0,,0.0,,0.0,,260.0,,0.0,,0
174.0,Wake Forest U.,583.0,,0.0,,0.0,,452.0,,0.0,,131.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
175.0,Mount Holyoke C.,565.0,,0.0,,128.0,,0.0,,0.0,,437.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
176.0,U. Louisville,554.0,,0.0,,21.0,,0.0,,0.0,,43.0,,0.0,,0.0,,0.0,,490.0,,0.0,,0
177.0,San Francisco State U.,541.0,,0.0,,192.0,,0.0,,0.0,,189.0,,159.0,,0.0,,0.0,,1.0,,0.0,,0
178.0,New York U.,529.0,,0.0,,0.0,,0.0,,203.0,,285.0,,0.0,,0.0,,0.0,,41.0,,0.0,,0
179.0,North Carolina Central U.,506.0,,0.0,,52.0,,0.0,,0.0,,441.0,,0.0,,0.0,,0.0,,0.0,,13.0,,0
180.0,Kansas State U.,494.0,,0.0,,0.0,,27.0,,20.0,,86.0,,0.0,,0.0,,36.0,,193.0,,132.0,,0
181.0,St. Edward's U.,450.0,,0.0,,0.0,,0.0,,0.0,,450.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
