Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21,shift
40.0,U. of the District of Columbia,2043.0,,53.0,,1967.0,,23.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
41.0,Grambling State U.,1863.0,,0.0,,0.0,,0.0,,1098.0,,0.0,,0.0,,0.0,,0.0,,765.0,,0
42.0,Savannah State U.,1801.0,,977.0,,654.0,,29.0,,62.0,,0.0,,14.0,,12.0,,53.0,,0.0,,0
43.0,Spelman C.,1524.0,,0.0,,284.0,,219.0,,294.0,,166.0,,0.0,,0.0,,72.0,,489.0,,0
44.0,Central State U.,1508.0,,176.0,,69.0,,12.0,,39.0,,0.0,,421.0,,700.0,,91.0,,0.0,,0
45.0,Bowie State U.,1497.0,,0.0,,149.0,,1153.0,,195.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
46.0,Shaw U.,1404.0,i,0.0,i,594.0,i,91.0,i,268.0,i,53.0,i,130.0,i,0.0,i,0.0,i,268.0,i,0
47.0,Benedict C.,1373.0,,498.0,,126.0,,136.0,,286.0,,0.0,,0.0,,0.0,,327.0,,0.0,,0
48.0,Albany State U.,1356.0,,53.0,,582.0,,0.0,,595.0,,3.0,,0.0,,0.0,,0.0,,123.0,,0
49.0,Claflin U.,1255.0,,0.0,,487.0,,39.0,,630.0,,0.0,,5.0,,43.0,,0.0,,51.0,,0
