Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
152.0,U. New Orleans,825,,926,,736,,1415.0,,504,,614,,505,,851.0,,,,0
153.0,"CUNY, City C.",779,,1049,,1213,,1391.0,,441,,822,,981,,1184.0,,,,0
154.0,U. Colorado Colorado Springs,685,,536,,821,,1361.0,,637,,500,,779,,1196.0,,,,0
155.0,Lehigh U.,1484,,1836,,1538,,1324.0,,1322,,1433,,1069,,866.0,,,,0
156.0,"U. Nevada, Reno",567,,1060,,1072,,1322.0,,483,,878,,858,,924.0,,,,0
157.0,Old Dominion U.,4181,,3391,,1137,,1316.0,,1348,,1023,,699,,840.0,,,,0
158.0,U.S. Naval Academy,620,,811,,1117,,1235.0,,608,,811,,1117,,1220.0,,,,0
159.0,"U. South Carolina, Columbia",2944,,890,,898,,1227.0,,2433,,759,,763,,1090.0,,,,0
160.0,U.S. Military Academy,2422,,623,,5312,,1206.0,,2422,,623,,5312,,1206.0,,,,0
161.0,Northern Arizona U.,8,,6,,85,,1195.0,,8,,6,,22,,57.0,,,,0
162.0,Gallaudet U.,8,,12,,12,,1157.0,,8,,12,,12,,789.0,,,,0
162.0,U. South Alabama,199,,140,,479,,1157.0,,0,,73,,378,,975.0,,,,0
164.0,"U. Nevada, Las Vegas",1520,,604,,546,,1156.0,,975,,13,,0,,0.0,,,,0
165.0,Bowie State U.,443,,1031,,827,,1153.0,,443,,1031,,827,,1153.0,,,,0
166.0,Villanova U.,1373,i,569,i,1304,,1138.0,,1343,i,483,,1219,,1017.0,,,,0
167.0,Harvey Mudd C.,757,,772,,1015,,1116.0,,743,,710,,753,,834.0,,,,0
168.0,Texas A&M U.-Corpus Christi,238,,244,,1196,,1110.0,,196,,167,,709,,740.0,,,,0
169.0,Southern Methodist U.,1396,,1244,,959,,1100.0,,875,,1029,,740,,415.0,,,,0
