Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
19.0,"U. North Carolina, Chapel Hill",4846,,6212,,7642,,8017,,4214,,5355,,6452,,6375,
20.0,Princeton U.,11695,,11788,,10764,,7820,,8742,,8328,,7971,,5691,
21.0,"U. California, Berkeley",6139,,7495,,7334,,7763,,5247,,6009,,5332,,6050,
22.0,"SUNY, Stony Brook U.",9242,,8510,,6373,,7618,,4332,,3471,,3121,,4314,
23.0,Stanford U.,9525,,10152,,8179,,7477,,8687,,9181,,7015,,6536,
24.0,"U. Maryland, College Park",7218,,7632,,5876,,7008,,5814,,5881,,4266,,4716,
25.0,"Purdue U., West Lafayette",7349,,8136,,7179,,6971,,5129,,5380,,4351,,4131,
26.0,Georgia Institute of Technology,6876,,6482,,6958,,6678,,3007,,2710,,2388,,2573,
27.0,Rice U.,5873,,7799,,7598,,6675,,4435,,4727,,4774,,3987,
28.0,Ohio State U.,8826,,8888,,7826,,6532,,7575,,7753,,6760,,5831,
29.0,U. Wisconsin-Madison,6942,,6776,,6251,,6170,,5393,,4600,,4419,,4533,
30.0,U. Chicago,4575,,4335,,5243,,6111,,3713,,3898,,4601,,5008,
31.0,U. Georgia,5078,,5525,,5437,,5990,,1347,,1567,,1307,,1668,
32.0,U. Utah,3691,,5633,,5816,,5959,,2906,,3792,,3824,,3889,
33.0,"U. Nebraska, Lincoln",8139,,5753,,5634,,5858,,4576,,2197,,2060,,2086,
34.0,"U. Washington, Seattle",34632,,6027,,6452,,5802,,33271,,5380,,5707,,5384,
35.0,Carnegie Mellon U.,4581,,6142,,6269,,5698,,3884,,5365,,5026,,4182,
36.0,"U. California, San Diego",4450,,5100,,5200,,5211,,3380,,4138,,4287,,4156,
37.0,Arizona State U.,4921,,4893,,5211,,4957,,3782,,3797,,3582,,3286,
38.0,"U. Illinois, Urbana-Champaign",3881,,4174,,4205,,4851,,3203,,3241,,2998,,3469,
39.0,New Jersey Institute of Technology,4098,,4790,,4245,,4650,,2122,,2201,,1716,,1834,
40.0,"U. California, Irvine",4466,,4651,,5084,,4558,,3657,,3643,,4058,,2851,
41.0,Air Force Institute of Technology,4739,,5225,,3088,,4477,,3586,,4415,,2499,,3575,
42.0,"U. Illinois, Chicago",2854,,3565,,3100,,4408,,2203,,2644,,2294,,2351,
43.0,Florida State U.,5221,,3325,,4604,,4318,,3554,,1850,,3300,,2807,
44.0,U. Notre Dame,2320,,3180,,2924,,4081,,1686,,1970,,1763,,2428,
45.0,Boston U.,3378,,4342,,2962,,4042,,2957,,3396,,2384,,2760,
46.0,U. Central Florida,488,,579,,4215,,3955,,357,,457,,718,,459,
47.0,Texas Tech U.,4588,,4664,,4828,,3865,,1977,,1694,,1504,,1075,
48.0,San Diego State U.,3329,,2313,,2940,,3433,,1694,,1035,,928,,1183,
49.0,Columbia U. in the City of New York,5022,,3792,,3426,,3390,,4399,,2666,,2521,,2589,
50.0,"U. California, Davis",3704,,4355,,3805,,3296,,2932,,3315,,2860,,2655,
51.0,U. Pennsylvania,3337,,3617,,2806,,3294,,3042,,3349,,2616,,2957,
52.0,"Colorado State U., Fort Collins",3207,,3681,,3632,,3291,,2631,,2906,,2895,,2772,
53.0,Cornell U.,3727,,4145,,3352,,3212,,3335,,2958,,2466,,2513,
54.0,U. Arizona,4006,,6003,,4124,,3169,,2440,,2299,,1570,,1818,
55.0,Naval Postgraduate School,7725,,4385,,4227,,3111,,7554,,3736,,3607,,2956,
56.0,"Oklahoma State U., Stillwater",2429,,2309,,3128,,3073,,209,,186,,256,,343,
57.0,"U. Pittsburgh, Pittsburgh",3886,,4484,,3698,,2980,,2782,,3175,,2503,,1915,
58.0,Virginia Polytechnic Institute and State U.,3358,,3681,,3612,,2734,,1563,,1879,,1824,,1236,
59.0,Yale U.,2653,,3123,,3695,,2726,,2173,,2266,,2709,,1848,
60.0,Tufts U.,1895,,2669,,3022,,2606,,1832,,2490,,2761,,2405,
61.0,"U. Massachusetts, Amherst",3254,,1960,,2007,,2587,,2174,,1358,,1334,,1694,
62.0,Clemson U.,1853,,2438,,2848,,2558,,834,,746,,747,,758,
63.0,"Indiana U., Bloomington",2373,,2557,,2829,,2411,,1497,,1652,,1544,,1227,
64.0,U. Houston,2003,,2158,,2338,,2344,,1124,,1556,,1779,,1664,
65.0,"SUNY, Binghamton U.",2169,,2149,,2085,,2275,,301,,251,,287,,144,
66.0,"California State U., San Bernardino",2161,,2519,,2367,,2245,,1854,,1875,,2048,,1959,
67.0,"U. South Carolina, Columbia",2734,,4572,,4557,,2236,,1826,,4037,,4042,,1733,
68.0,"Louisiana State U., Baton Rouge",2490,,1946,,2080,,2234,,1464,,1382,,1427,,1430,
69.0,Northwestern U.,2849,,2648,,2096,,2228,,2157,,1729,,1503,,1604,
70.0,"U. Missouri, Columbia",2003,,2320,,2434,,2111,,1911,,2232,,2230,,1939,
71.0,U. Colorado Boulder,2426,,1783,,1989,,2056,,2415,,1775,,1810,,1944,
72.0,Tulane U.,1882,,2182,,1879,,2053,,909,,1053,,1280,,1374,
73.0,Emory U.,1706,,2363,,2663,i,2023,,1487,,1949,,1883,,1493,
74.0,"U. South Florida, Tampa",1159,,1830,,1809,,1997,,663,,859,,846,,652,
75.0,Michigan Technological U.,1645,,1772,,1668,,1956,,77,,163,,155,,283,
76.0,George Mason U.,2014,,2330,,2069,,1950,,1728,,1981,,1577,,1325,
77.0,U. Delaware,2349,,2142,,2000,,1820,,1946,,1822,,1741,,1605,
78.0,U. Cincinnati,1342,,1707,,1606,,1788,,413,,838,,770,,771,
79.0,Rensselaer Polytechnic Institute,2715,,2060,,1714,,1754,,2337,,1806,,1354,,1326,
80.0,"U. Louisiana, Lafayette",1667,,1774,,1419,,1733,,575,,498,,348,,578,
81.0,"U. Texas, Arlington",2385,,1664,,1706,,1716,,1194,,666,,676,,460,
82.0,U. Southern California,3585,,4159,,3891,,1707,,3052,,3375,,3089,,1058,
83.0,U. Kansas,903,,815,,823,,1652,,825,,740,,736,,1511,
84.0,"Brigham Young U., Provo",656,,1198,,1491,,1593,,644,,1160,,1401,,1532,
85.0,"U. Virginia, Charlottesville",1206,,1284,,1294,,1538,,993,,1065,,1087,,945,
86.0,U. Connecticut,992,,1032,,1716,,1481,,744,,810,,1052,,923,
87.0,Rockefeller U.,1089,,1749,,1498,,1427,,386,,640,,199,,73,
88.0,Virginia Commonwealth U.,2572,,3606,,2063,,1425,,2493,,3549,,2026,,1278,
89.0,Oregon State U.,1178,,963,,1025,,1419,,762,,462,,541,,686,
90.0,American U.,844,,1088,,2711,,1396,,148,,270,,210,,126,
91.0,U. Wyoming,1014,,980,,864,,1392,,1014,,679,,853,,1310,
92.0,Delaware State U.,1418,,1552,,1780,,1381,,1410,,1552,,1780,,1176,
93.0,"U. California, Santa Barbara",1207,,1432,,1449,,1337,,1123,,1289,,1351,,1216,
94.0,U. New Mexico,1892,,1547,,1613,,1325,,1783,,1350,,1434,,1136,
95.0,Mississippi State U.,1003,,1284,,1371,,1302,,37,,125,,238,,204,
96.0,U. Wisconsin-Milwaukee,1083,,1240,,1232,,1292,,772,,904,,949,,957,
97.0,Vanderbilt U.,1031,,1123,,1343,,1290,,991,,1081,,1238,,983,
98.0,"U. Texas, Dallas",1559,,640,,985,,1254,,823,,339,,576,,659,
99.0,George Washington U.,1554,,1688,,1314,,1242,,779,,1052,,588,,679,
100.0,Rochester Institute of Technology,1161,,1541,,1262,,1201,,1029,,1244,,1171,,1086,
101.0,U. Florida,3158,,2218,,1674,,1199,,1931,,1250,,1240,,886,
102.0,Florida International U.,324,,314,,338,,1150,,250,,297,,323,,126,
103.0,Marquette U.,873,,1066,,1085,,1123,,612,,658,,580,,745,
104.0,U. Kentucky,2035,,2141,,1819,,1096,,1499,,1632,,1386,,839,
104.0,"U. Maryland, Baltimore County",2177,,1593,,1221,,1096,,985,,860,,1023,,903,
106.0,Kansas State U.,1249,,1001,,967,,1095,,639,,473,,459,,580,
107.0,Worcester Polytechnic Institute,1204,,1092,,1555,,1082,,1047,,932,,1309,,739,
108.0,U. Memphis,811,,560,,873,,1072,,402,,302,,634,,670,
109.0,Temple U.,876,,971,,804,,1052,,725,,683,,621,,840,
110.0,"U. North Texas, Denton",699,,1003,,1174,,1026,,458,,525,,606,,560,
111.0,Dartmouth C.,1636,,1431,,1160,,1019,,1320,,1241,,1042,,915,
112.0,Wayne State U.,1427,,1292,,936,,1017,,559,,777,,693,,694,
113.0,"U. Massachusetts, Dartmouth",443,,655,,530,,1001,,188,,317,,251,,335,
114.0,"California Polytechnic State U., San Luis Obispo",345,,809,,736,,989,,226,,299,,207,,482,
115.0,"U. Tennessee, Knoxville",510,,602,,891,,970,,428,,431,,732,,801,
116.0,"Indiana U.-Purdue U., Indianapolis",934,,821,,798,,964,,856,,625,,690,,793,
117.0,Georgia State U.,572,,1031,,1088,i,957,,371,,518,,403,,392,
118.0,San Francisco State U.,1833,,1886,,2287,,940,,1263,,1413,,1734,,550,
119.0,Boston C.,370,,597,,886,,929,,321,,442,,718,,871,
120.0,U. Iowa,1561,,1007,,1119,,924,,1438,,705,,682,,612,
121.0,Washington State U.,1448,,1630,,2194,i,909,,1116,,1157,,1369,,621,
122.0,"U. Puerto Rico, Mayaguez",924,,981,,768,,895,,722,,726,,503,,417,
123.0,Southern Methodist U.,1222,,909,,931,,883,,1126,,709,,814,,773,
124.0,Clarkson U.,482,,427,,798,,882,,450,,393,,429,,549,
125.0,"U. California, Merced",520,,436,,726,,868,,352,,200,,424,,314,
126.0,"U. Texas, El Paso",1477,,1658,,1085,,866,,648,,799,,583,,527,
127.0,Elizabeth City State U.,2455,,2052,,1069,,863,,2436,,2052,,640,,690,
128.0,Syracuse U.,1461,,1338,,1341,,843,,1145,,961,,565,,447,
129.0,"Montana State U., Bozeman",962,,952,,958,,828,,920,,909,,949,,712,
130.0,Louisiana Tech U.,815,,926,,1061,,823,,330,,437,,527,,292,
131.0,Illinois State U.,492,,639,,676,,820,,434,,556,,599,,722,
132.0,U. Miami,1061,,828,,905,,815,,968,,697,,532,,707,
133.0,Case Western Reserve U.,753,,836,,739,,793,,467,,599,,357,,564,
134.0,North Dakota State U.,132,,945,,741,,777,,112,,57,,77,,50,
135.0,"CUNY, City C.",323,,585,,549,,774,,243,,460,,348,,729,
136.0,"California State U., Northridge",764,,332,,496,,762,,635,,300,,496,,703,
137.0,U. Vermont,690,,1086,,1142,,759,,416,,857,,794,,494,
138.0,"SUNY, U. Buffalo",870,,932,,1287,,748,,601,,563,,638,,456,
139.0,Old Dominion U.,2298,,1923,,882,,727,,609,,681,,791,,645,
140.0,"U. North Carolina, Charlotte",1216,,1056,,835,,718,,1208,,1056,,832,,718,
141.0,"U. California, Riverside",850,,777,,624,,711,,608,,549,,504,,552,
142.0,Morgan State U.,362,,402,,852,,702,,346,,381,,829,,614,
143.0,Western Washington U.,109,,199,,510,,700,,49,,111,,399,,557,
144.0,U. Oregon,806,,817,,587,,692,,762,,771,,538,,612,
145.0,Brandeis U.,463,,592,,963,i,687,i,456,,488,,788,,464,
146.0,West Virginia U.,532,,460,,572,,678,,188,,255,,339,,376,
147.0,Bryn Mawr C.,560,,765,,581,,666,,272,,432,,274,,261,
148.0,Northeastern U.,976,,1448,,1088,,655,,836,,1212,,1019,,528,
149.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,2281,,1860,,1472,,652,,1745,,1475,,1077,,555,
150.0,Kent State U.,257,,335,,438,,627,,218,,334,,438,,537,
151.0,"U. Nevada, Reno",320,,211,,98,,620,,315,,211,,83,,446,
152.0,Illinois Institute of Technology,706,,526,,500,,619,,646,,479,,451,,563,
153.0,"Washington U., Saint Louis",468,,542,,514,,608,,441,,518,,479,,568,
154.0,"U. California, Santa Cruz",985,,822,,699,,556,,631,,577,,569,,414,
155.0,U.S. Air Force Academy,13,,40,,738,i,549,,0,,0,,0,,0,
156.0,Texas State U.,1298,,889,,883,,548,,622,,392,,439,,330,
157.0,Utah State U.,249,,402,,548,,544,,205,,324,,232,,306,
158.0,U. Colorado Denver and Anschutz Medical Campus,850,,1499,,1344,,542,,844,,1463,,1257,,484,
159.0,"U. Alabama, Huntsville",445,,431,,408,,540,,200,,137,,136,,37,
160.0,Sam Houston State U.,327,,378,,637,,522,,237,,302,,520,,395,
161.0,Portland State U.,199,,491,,567,,521,,191,,470,,550,,509,
162.0,Howard U.,285,,208,,177,,518,,272,,200,,156,,447,
163.0,Baylor U.,92,,162,,323,,512,,68,,84,,211,,316,
164.0,Drexel U.,714,,954,,619,,502,,687,,773,,542,,422,
164.0,Texas A&M U.-Corpus Christi,209,,194,,489,,502,,183,,151,,417,,441,
166.0,Miami U.,355,,459,i,557,,488,,320,,356,,365,,331,
167.0,U. Akron,481,,493,,429,,482,,237,,174,,83,,124,
168.0,"Pennsylvania State U., Harrisburg",828,,266,,70,,479,,807,,242,,51,,24,
169.0,Calvin C.,241,,934,,466,,457,i,102,,100,,89,,82,i
170.0,"Loyola U., Chicago",466,,764,,701,,442,,344,,523,,528,,195,
171.0,"U. Oklahoma, Norman and Health Science Center",388,,527,,538,,440,,318,,422,,456,,374,
172.0,C. of William and Mary and Virginia Institute of Marine Science,781,,680,,475,,431,,710,,626,,423,,376,
172.0,"Rutgers, State U. New Jersey, Newark",772,,2252,,486,,431,,675,,856,,404,,391,
174.0,Colorado School of Mines,347,,404,,299,,421,,304,,395,,288,,407,
175.0,U. Metropolitana,409,,403,,425,,419,,312,,403,,410,,359,
176.0,U. Northern Colorado,73,,184,,1309,,407,,5,,92,,932,,236,
177.0,"U. Montana, Missoula",354,,428,,246,,405,,291,,371,,211,,345,
178.0,Harvey Mudd C.,438,,437,,265,,397,,392,,390,,228,,336,
179.0,Smith C.,493,,464,,468,,391,,478,,434,,457,,364,
180.0,"U. Texas, San Antonio",108,,244,,346,,390,,87,,37,,116,,184,
181.0,U.S. Naval Academy,377,,327,,454,,380,,374,,233,,341,,279,
182.0,U. Rochester,463,,579,,575,,376,,410,,511,,507,,370,
183.0,Wright State U.,242,,313,,409,,374,,154,,221,,205,,221,
184.0,Boise State U.,381,,343,,431,,368,,330,,252,,313,,241,
184.0,Duquesne U.,1129,,1001,,1213,,368,,612,,463,,604,,152,
186.0,Pomona C.,286,,197,,515,,365,,272,,143,,297,,246,
187.0,"California State U., Fresno",26,,33,,0,,363,,26,,6,,0,,358,
188.0,Cleveland State U.,156,,153,,236,,344,i,128,,103,,169,,283,
189.0,"U. Arkansas, Pine Bluff",539,,419,,253,,341,,311,,262,,197,,255,
190.0,U. Idaho,317,,274,,204,,329,,197,,218,,152,,234,
191.0,U. Denver,272,,248,,309,,317,,252,,64,,73,,127,
192.0,Fairfield U.,270,i,260,,306,,316,,74,i,69,,115,,121,
193.0,"U. Massachusetts, Lowell",384,,556,,449,,311,,50,,71,,98,,16,
194.0,Wesleyan U.,297,,235,,268,,310,,120,,33,,67,,131,
195.0,"Auburn U., Auburn",532,,329,,645,,308,,455,,256,,184,,249,
196.0,Alcorn State U.,545,,849,,501,,302,,483,,758,,451,,262,
196.0,St. Olaf C.,192,,252,,287,,302,,192,,251,,259,,265,
198.0,Montclair State U.,816,,618,,333,,300,,740,,592,,312,,266,
199.0,Jackson State U.,571,,663,,345,,292,,447,,539,,275,,236,
200.0,Alabama A&M U.,297,i,295,i,293,i,291,i,237,i,237,i,236,i,236,i
200.0,Hampton U.,533,,691,,334,,291,,533,,691,,334,,291,
202.0,North Carolina Agricultural and Technical State U.,903,,450,,445,,290,,804,,426,,410,,262,
203.0,Georgetown U.,187,,290,,145,,287,,162,,261,,126,,285,
204.0,Carleton C.,570,,418,,369,,278,,289,,216,,233,,0,
205.0,Williams C.,373,,338,,204,,275,,188,,186,,144,,168,
206.0,New Mexico State U.,2384,,1066,,1080,,274,,2241,,948,,969,,216,
206.0,"U. Minnesota, Duluth",171,,146,,294,,274,,142,,109,,198,,189,
208.0,Norfolk State U.,26,,23,,368,,271,,26,,23,,368,,260,
209.0,C. Charleston,259,,214,,234,,270,,189,,95,,139,,150,
210.0,Saint Louis U.,84,,94,,210,,257,,82,,93,,155,,171,
210.0,U. Texas Pan American,224,,333,,402,,257,,199,,301,,287,,237,
212.0,South Dakota State U.,538,,362,,146,,254,,241,,362,,146,,163,
212.0,U. Mississippi,330,,74,,356,,254,,137,,26,,43,,19,
214.0,U. New Hampshire,183,,194,,242,,252,,124,,149,,138,,173,
214.0,"U. Texas, Brownsville",44,,43,,213,,252,,43,,38,,42,,45,
216.0,Lewis and Clark C.,23,,32,,220,,251,,1,,32,,25,,29,
217.0,Central Connecticut State U.,316,,457,,206,,250,,303,,291,,127,,0,
218.0,U.S. Military Academy,572,,300,,663,,241,,572,,300,,663,,241,
219.0,Tennessee State U.,15,,18,,15,,229,,15,,14,,15,,213,
219.0,Tuskegee U.,0,,158,,96,i,229,i,0,,158,,42,i,178,i
221.0,Trinity U.,249,,213,,210,,227,,243,,197,,196,,185,
222.0,Creighton U.,0,i,297,i,266,i,219,i,0,i,198,i,187,i,147,i
223.0,Missouri U. of Science and Technology,67,,92,,144,,216,,0,,60,,92,,155,
224.0,"Southern Illinois U., Edwardsville",481,,254,,276,,215,,152,,67,,78,,62,
225.0,Texas A&M International U.,222,,192,,190,,213,,210,,187,,175,,197,
226.0,Amherst C.,86,i,88,,134,,210,,83,i,85,,84,,162,
226.0,Stevens Institute of Technology,178,,174,,234,,210,,163,,156,,234,,196,
228.0,"U. Alabama, Tuscaloosa",359,,375,,275,,200,,302,,304,,231,,189,
229.0,"U. Missouri, Saint Louis",290,,322,,244,,198,,247,,235,,172,,147,
230.0,Virginia State U.,299,,214,,319,,197,,297,,186,,314,,59,
231.0,Loyola Marymount U.,285,,430,,641,,196,,175,,292,,341,,102,
232.0,San Jose State U.,142,,162,,162,,195,,123,,117,,102,,160,
233.0,"U. North Carolina, Greensboro",182,,31,,132,,185,,174,,31,,132,,163,
234.0,U. Central Arkansas,19,,74,,230,,182,,5,,51,,0,,127,
235.0,"California State U., Channel Islands",ne,,160,,502,,180,,ne,,150,,93,,131,
235.0,"CUNY, Queens C.",280,,470,,286,,180,,190,,164,,137,,130,
237.0,"U. Nebraska, Omaha",77,,206,,179,,173,,61,,126,,104,,105,
238.0,Villanova U.,89,i,0,i,102,,171,,79,i,0,,72,,148,
239.0,"CUNY, C. Staten Island",313,,346,i,229,,170,,269,,242,,226,,117,
240.0,"U. Hawaii, Hilo",37,,206,,192,,169,,37,,206,,189,,161,
241.0,West Chester U. Pennsylvania,77,,124,,120,,168,,22,,44,,13,,7,
242.0,Reed C.,71,,71,,373,,165,,71,,71,,193,,149,
243.0,"California State U., Bakersfield",26,,0,,71,,163,,0,,0,,0,,0,
243.0,Willamette U.,0,,162,,166,,163,,0,,162,,152,,147,
245.0,Barnard C.,215,,180,,150,,161,,213,,172,,143,,154,
246.0,Claremont Graduate U.,0,,0,,0,i,160,i,0,,0,,0,i,150,i
246.0,Macalester C.,79,,193,,240,,160,,79,,183,,218,,143,
248.0,Bowdoin C.,257,,196,,92,,159,,256,,192,,88,,145,
248.0,"Southern Illinois U., Carbondale",567,,474,,241,,159,,387,,272,,128,,68,
250.0,Central Michigan U.,126,,114,,218,,158,,69,,83,,113,,85,
251.0,Bowling Green State U.,0,,799,,1571,,154,,0,,536,,1334,,123,
252.0,Lehigh U.,266,,126,,106,,153,,255,,123,,102,,136,
252.0,Seattle U.,48,,ne,,103,,153,,24,,ne,,103,,151,
254.0,Mount Holyoke C.,242,,188,,89,,152,,133,,138,,23,,85,
255.0,Fayetteville State U.,231,,411,,402,,150,,231,,411,,402,,150,
255.0,"U. Arkansas, Fayetteville",360,,145,,178,,150,,250,,127,,145,,104,
257.0,U. Central Oklahoma,2,,0,,151,,145,,0,,0,,133,,133,
258.0,Embry-Riddle Aeronautical U.,46,,61,,154,,144,,21,,17,,112,,125,
259.0,U. Houston-Downtown,257,,11,,183,,141,,233,,9,,183,,132,
260.0,Bates C.,42,,10,,172,,139,,31,,0,,161,,131,
261.0,"SUNY, C. of Environmental Science and Forestry",49,i,43,i,45,i,138,,0,i,0,i,0,i,90,
262.0,"U. Alabama, Birmingham",1312,,441,,264,,137,,1158,,399,,233,,116,
263.0,U. Maine,287,,191,,145,,136,,136,,101,,94,,25,
263.0,West Texas A&M U.,39,,143,,127,,136,,39,,143,,120,,117,
265.0,Morehouse C.,82,,98,,114,,135,,82,,98,,114,,135,
266.0,Georgia Southern U.,57,,61,,42,,133,,33,,17,,3,,36,
267.0,"CUNY, Lehman C.",379,,165,,204,,132,,359,,145,,188,,132,
268.0,Northern Illinois U.,180,,179,,251,i,131,,133,,154,,135,,114,
269.0,"CUNY, Hunter C.",112,,216,,249,,129,,29,,63,,62,,29,
269.0,Valparaiso U.,241,,109,,189,,129,,150,,70,,165,,108,
271.0,"SUNY, U. Albany",217,,144,,83,,127,,203,,124,,69,,87,
272.0,U. Louisville,10,,30,,93,,125,,0,,25,,84,,106,
272.0,"U. Missouri, Kansas City",37,,81,,143,,125,,12,,71,,115,,97,
274.0,Florida Atlantic U.,1868,,229,,98,,123,,331,,183,,47,,68,
275.0,Florida Institute of Technology,3,,9,,60,i,120,,3,,9,,32,,112,
276.0,Winthrop U.,3,,22,,63,,119,,0,,17,,60,,112,
277.0,James Madison U.,534,,493,,495,,117,,522,,474,,444,,104,
277.0,U. Colorado Colorado Springs,103,,68,,77,,117,,94,,62,,67,,107,
279.0,Lafayette C.,31,,136,,116,,112,,26,,127,,111,,112,
280.0,Tennessee Technological U.,248,,3,,112,,111,,241,,0,,95,,73,
281.0,Grand Valley State U.,82,i,100,,96,,109,,57,i,71,,73,,83,
281.0,"U. Tennessee, Chattanooga",1,,47,,72,,109,,0,,26,,58,,80,
283.0,Kennesaw State U.,39,i,47,,17,,107,,24,i,27,,8,,0,
284.0,U. Southern Maine,0,,0,,0,i,105,i,0,,0,,0,i,47,i
285.0,Ohio U.,42,,19,,24,i,103,i,22,,0,,0,,45,
286.0,La Salle U.,0,,51,,79,,102,,0,,0,,0,,0,
286.0,"U. Hawaii, Manoa",62,,98,,116,,102,,11,,27,,46,,51,
288.0,Florida A&M U.,171,,108,,103,,101,,171,,108,,102,,96,
288.0,U. del Turabo,0,,0,,0,,101,,0,,0,,0,,56,
288.0,U. Hartford,0,,25,,71,,101,,0,,25,,71,,101,
291.0,"Purdue U., Calumet",42,,13,,15,,100,,11,,0,,2,,57,
292.0,"Lincoln U., Jefferson City",0,,0,,0,,98,,0,,0,,0,,98,
293.0,Fordham U.,3,,166,,117,,95,,0,,0,,0,,0,
294.0,Bucknell U.,170,,35,,39,,93,,159,,6,,11,,40,
294.0,"CUNY, Brooklyn C.",26,,58,,16,,93,,12,,35,,0,,52,
296.0,East Tennessee State U.,297,,315,,22,,92,,230,,315,,0,,92,
296.0,Grinnell C.,229,,338,,274,,92,,68,,119,,65,,22,
298.0,Wake Forest U.,0,,23,,47,,90,,0,,15,,35,,79,
299.0,"U. South Carolina, Aiken",ne,,0,,72,i,89,,ne,,0,,0,i,0,
300.0,Prairie View A&M U.,77,,54,,75,,88,,66,,46,,54,,41,
301.0,"CUNY, Graduate Center",227,,100,,171,,87,,227,,100,,171,,72,
302.0,Swarthmore C.,87,,202,,82,,86,,66,,180,,62,,54,
303.0,Elon U.,57,i,70,i,71,,85,,0,,0,,6,,0,
304.0,Azusa Pacific U.,0,i,ne,,ne,,84,,0,i,ne,,ne,,0,
305.0,Norwich U.,71,,72,,132,,82,,23,,36,,41,,48,
305.0,Oakland U.,80,,186,,87,,82,,47,,169,,85,,59,
307.0,"California State U., Long Beach",40,i,38,,39,,78,,40,i,38,,39,,78,
308.0,"CUNY, Baruch C.",21,,24,,7,,76,,0,,0,,0,,0,
309.0,"Indiana U.-Purdue U., Fort Wayne",15,,25,,45,,74,,0,,10,,16,,23,
309.0,"Pennsylvania State U., Behrend",28,,69,,74,,74,,0,,33,,33,,37,
311.0,Kean U.,0,,101,,ne,,73,,0,,101,,ne,,73,
312.0,Davidson C.,40,,39,,38,,72,,6,,0,,0,,7,
312.0,Spelman C.,0,,15,,86,,72,,0,,15,,86,,72,
314.0,"California State U., Sacramento",35,,58,,8,,70,,23,,48,,6,,0,
315.0,South Dakota School of Mines and Technology,23,,24,,0,,69,,23,,24,,0,,50,
315.0,Wiley C.,26,,0,,36,,69,,26,,0,,36,,69,
317.0,Middle Tennessee State U.,258,,36,,95,,68,,253,,30,,95,,59,
318.0,South Carolina State U.,0,,33,i,49,i,66,i,0,,0,i,0,i,0,
318.0,"U. Puerto Rico, Rio Piedras",141,,64,,24,,66,,110,,45,,0,,51,
320.0,Lawrence Technological U.,2,,87,,1,,65,,0,,57,,0,,65,
321.0,"Rutgers, State U. New Jersey, Camden",60,,104,,122,,64,,60,,104,,122,,64,
321.0,"Trinity C., Hartford",15,,21,,15,,64,,0,,4,,0,,34,
321.0,"U. Nebraska, Kearney",6,,5,,48,,64,,4,,0,,0,,0,
321.0,U. Rhode Island,1,,0,,0,,64,,0,,0,,0,,49,
321.0,"Union C., Schenectady",106,,164,,121,,64,,96,,152,,75,,45,
326.0,Benedict C.,28,,18,,38,,61,,28,,18,,38,,61,
326.0,Texas Christian U.,8,,107,,38,,61,,4,,98,,16,,52,
326.0,U. West Georgia,18,,0,,64,,61,,18,,0,,55,,52,
329.0,Ball State U.,50,,45,,46,,60,,11,,3,,2,,0,
329.0,East Central U.,142,,ne,,119,,60,,142,,ne,,113,,40,
329.0,U. Tulsa,0,,24,,39,,60,,0,,22,,24,,39,
