Rank,Institution,All R&D expenditures,Unnamed: 3,Environmental sciences,Unnamed: 5,Life sciences,Unnamed: 7,Math and computer sciences,Unnamed: 9,Physical sciences,Unnamed: 11,Psychology,Unnamed: 13,Social sciences,Unnamed: 15,"Sciences, nec",Unnamed: 17,Engineering,Unnamed: 19,All non-S&E fields,Unnamed: 21
174.0,U. New Mexico,2895,,56,,1102,,0,,0,,0,,1107,,0,,290,,340,
175.0,"Washington U., Saint Louis",2884,,13,,2643,,0,,0,,0,,2,,0,,78,,148,
176.0,"CUNY, City C.",2833,,0,,213,,17,,365,,0,,0,,0,,2238,,0,
177.0,Temple U.,2816,,0,,2288,,266,,77,,65,,22,,0,,59,,39,
178.0,Salisbury U.,2813,,925,,574,,0,,0,,240,,395,,0,,0,,679,
179.0,U. Texas Medical Branch,2806,,0,,2691,,0,,0,,0,,0,,0,,115,,0,
180.0,"California Polytechnic State U., San Luis Obispo",2794,,89,,1273,,109,,111,,0,,255,,0,,943,,14,
181.0,Wayne State U.,2744,,0,,1256,,0,,5,,106,,884,,0,,203,,290,
182.0,Tarleton State U.,2637,,2055,,400,,0,,0,,0,,0,,0,,0,,182,
183.0,"U. Maryland, Baltimore County",2587,,242,,304,,100,,211,,122,,1014,,66,,384,,144,
184.0,Langston U.,2505,,0,,2505,,0,,0,,0,,0,,0,,0,,0,
185.0,"U. Tennessee, Knoxville, Institute of Agriculture",2457,,0,,1926,,0,,0,,0,,218,,241,,72,,0,
186.0,Lehigh U.,2351,,3,,0,,75,,0,,20,,0,,0,,2245,,8,
187.0,"SUNY, Binghamton U.",2339,,0,,201,,171,,795,,147,,52,,0,,973,,0,
188.0,Georgetown U.,2315,,0,,1932,,0,,0,,0,,383,,0,,0,,0,
189.0,Clarkson U.,2291,,0,,34,,0,,247,,0,,24,,0,,1904,,82,
190.0,Humboldt State U.,2235,,79,,1997,,0,,0,,0,,36,,7,,84,,32,
191.0,Seton Hall U.,2230,,0,,0,,0,,0,,0,,0,,0,,0,,2230,
192.0,"Southern U. and A&M C., Agricultural Research and Extension Center",2214,,173,,2041,,0,,0,,0,,0,,0,,0,,0,
193.0,"SUNY, Upstate Medical U.",2200,,0,,2200,,0,,0,,0,,0,,0,,0,,0,
194.0,"California State U., Fresno",2159,,0,,1920,,0,,76,,0,,147,,0,,16,,0,
195.0,Florida Gulf Coast U.,2117,,413,,94,,0,,0,,0,,6,,0,,0,,1604,
196.0,Boise State U.,2112,,167,,267,,769,,53,,0,,335,,7,,514,,0,
197.0,U. Mississippi,2108,,378,,1613,,0,,0,,0,,65,,0,,0,,52,
198.0,"U. Massachusetts, central office",2071,,431,,0,,0,,0,,0,,0,,0,,0,,1640,
199.0,"SUNY, U. Albany",2058,,688,,1135,,0,,0,,34,,201,,0,,0,,0,
200.0,Desert Research Institute,2050,,744,,76,,892,,0,,0,,0,,211,,101,,26,
201.0,U. Chicago,2042,,0,,858,,0,,0,,0,,901,,0,,0,,283,
202.0,"U. Missouri, Columbia",2029,,0,,1644,,87,,0,,0,,177,,0,,121,,0,
203.0,U. Colorado Boulder,1983,,107,,398,,0,,296,,0,,18,,0,,995,,169,
204.0,South Dakota School of Mines and Technology,1978,,28,,0,,0,,78,,0,,0,,0,,1872,,0,
204.0,"U. Arkansas, Pine Bluff",1978,,0,,1973,,5,,0,,0,,0,,0,,0,,0,
206.0,Alfred U.,1882,,0,,0,,0,,0,,0,,0,,0,,1882,,0,
207.0,West Texas A&M U.,1805,,103,,1272,,0,,0,,0,,0,,262,,111,,57,
208.0,"U. Montana, Missoula",1796,,102,,1394,,10,,104,,2,,180,,0,,0,,4,
209.0,San Francisco State U.,1761,,501,,856,,12,,12,,2,,338,,0,,40,,0,
210.0,Stephen F. Austin State U.,1756,,235,,987,,44,,134,,5,,76,,0,,8,,267,
211.0,U. New Orleans,1750,,37,,324,,120,,244,,62,,238,,0,,667,,58,
212.0,Kent State U.,1737,,23,,20,,0,,1351,,24,,0,,0,,62,,257,
213.0,George Mason U.,1711,,0,,623,,17,,0,,11,,744,,0,,102,,214,
214.0,"U. Michigan, Ann Arbor",1696,,0,,61,,0,,0,,0,,100,,0,,1165,,370,
215.0,Boston C.,1664,,8,,0,,0,,0,,48,,79,,0,,0,,1529,
216.0,"U. Texas, Brownsville",1647,,0,,1060,,207,,376,,0,,4,,0,,0,,0,
217.0,Baylor U.,1638,,204,,466,,0,,965,,0,,0,,0,,3,,0,
218.0,Carnegie Mellon U.,1630,,0,,701,,64,,0,,0,,0,,123,,742,,0,
219.0,Rhode Island C.,1613,,0,,242,,0,,0,,0,,0,,0,,0,,1371,
220.0,"Brigham Young U., Provo",1561,,54,,346,,0,,98,,45,,267,,0,,576,,175,
221.0,Marshall U.,1544,,0,,966,,0,,71,,0,,77,,203,,227,,0,
222.0,Florida Atlantic U.,1520,,17,,1177,,62,,41,,0,,0,,0,,223,,0,
223.0,East Carolina U.,1512,,86,,1281,,0,,0,,0,,103,,0,,20,,22,
224.0,U. Baltimore,1504,,0,,0,,0,,0,,0,,1351,,0,,0,,153,
225.0,Nova Southeastern U.,1466,,526,,715,,0,,0,,0,,0,,0,,0,,225,
226.0,"CUNY, Hunter C.",1450,,365,,525,,0,,266,,106,,63,,0,,0,,125,
226.0,"U. Alabama, Huntsville",1450,,1117,,0,,0,,49,,0,,0,,0,,242,,42,
228.0,West Virginia State U.,1438,,77,,1207,,0,,100,,0,,0,,0,,54,,0,
229.0,Cleveland State U.,1416,,0,,51,,0,,39,,0,,388,,0,,626,,312,
230.0,U. Central Oklahoma,1398,,0,,0,,0,,0,,0,,0,,0,,183,,1215,
231.0,"Pennsylvania State U., Harrisburg",1394,,0,,0,,436,,0,,62,,896,,0,,0,,0,
232.0,Kentucky State U.,1391,,0,,1391,,0,,0,,0,,0,,0,,0,,0,
233.0,Miami U.,1377,,0,,60,,0,,3,,24,,948,,0,,109,,233,
234.0,Idaho State U.,1365,,240,,106,,0,,931,,0,,70,,0,,18,,0,
235.0,"California State Polytechnic U., Pomona",1341,,26,,1250,,0,,0,,0,,0,,0,,65,,0,
236.0,Rush U.,1335,,0,,1335,,0,,0,,0,,0,,0,,0,,0,
237.0,"U. Massachusetts, Dartmouth",1327,,1176,,38,,0,,0,,0,,0,,0,,108,,5,
238.0,Howard U.,1318,,0,,422,,0,,138,,0,,48,,0,,705,,5,
239.0,Jackson State U.,1313,,0,,0,,0,,0,,0,,499,,814,,0,,0,
239.0,"U. North Carolina, Greensboro",1313,,0,,143,,0,,94,,408,,86,,0,,0,,582,
241.0,Winthrop U.,1297,,0,,0,,0,,34,,0,,0,,0,,0,,1263,
242.0,Lamar U.,1273,,0,,123,,30,,0,,0,,12,,0,,839,,269,
243.0,U. Central Arkansas,1253,,0,,53,,31,,8,,1,,106,,0,,0,,1054,
244.0,Ohio U.,1238,,29,,60,,0,,4,,0,,10,,0,,991,,144,
245.0,Colorado School of Mines,1220,,358,,0,,0,,225,,0,,56,,0,,537,,44,
246.0,Tufts U.,1219,,0,,47,,0,,0,,1172,,0,,0,,0,,0,
247.0,"California State U., Monterey Bay",1218,,832,,260,,126,,0,,0,,0,,0,,0,,0,
248.0,U. Texas Pan American,1212,,23,,185,,121,,172,,12,,6,,0,,107,,586,
249.0,U. Wisconsin-Stevens Point,1211,i,52,i,682,i,30,i,67,i,17,i,58,i,0,i,206,i,99,i
250.0,Austin Peay State U.,1202,,0,,376,,0,,0,,0,,0,,0,,0,,826,
251.0,U. South Dakota,1191,,0,,114,,176,,528,,0,,17,,0,,350,,6,
252.0,Southern Methodist U.,1178,,0,,0,,34,,0,,0,,0,,17,,81,,1046,
253.0,Texas A&M U.-Commerce,1159,,0,,43,,0,,0,,0,,0,,0,,0,,1116,
254.0,Northwestern U.,1141,,0,,1141,,0,,0,,0,,0,,0,,0,,0,
255.0,Northeastern U.,1131,,309,,534,,0,,1,,0,,148,,0,,83,,56,
256.0,U. Oregon,1106,,2,,508,,0,,376,,32,,77,,0,,13,,98,
257.0,"California State U., San Marcos",1091,,80,,196,,0,,0,,1,,12,,0,,0,,802,
258.0,Florida A&M U.,1079,,15,,446,,0,,0,,0,,0,,0,,19,,599,
259.0,George Washington U.,1074,,0,,548,,0,,0,,0,,31,,0,,40,,455,
260.0,Brown U.,1058,,32,,883,,0,,64,,0,,0,,0,,1,,78,
261.0,U. South Alabama,1031,,695,,112,,0,,0,,0,,161,,0,,63,,0,
262.0,U. Houston system administration,1015,,0,,0,,0,,0,,0,,0,,1015,,0,,0,
263.0,Woods Hole Oceanographic Institution,989,,175,,0,,0,,0,,0,,0,,0,,814,,0,
264.0,"U. South Carolina, Columbia",980,,0,,224,,0,,23,,0,,0,,0,,304,,429,
265.0,Texas Christian U.,966,,0,,348,,0,,0,,0,,0,,0,,0,,618,
265.0,Thomas Jefferson U.,966,,0,,966,,0,,0,,0,,0,,0,,0,,0,
267.0,"U. North Carolina, Charlotte",955,,0,,168,,0,,8,,18,,198,,0,,62,,501,
