Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All environmental sciences,Unnamed: 10,Atmospheric sciences,Unnamed: 12,Earth sciences,Unnamed: 14,Oceanography,Unnamed: 16,"Environmental sciences, nec"
214.0,Savannah State U.,1064,,1406,,1079,,977,,0,,157,,820,,0,
215.0,"California Polytechnic State U., San Luis Obispo",2203,,1705,,1133,,915,,0,,0,,915,,0,
216.0,"Loyola U., Chicago",29,,0,,838,,912,,0,,0,,0,,912,
217.0,New York U.,1181,,3570,,5158,,904,,0,,904,,0,,0,
218.0,"U. Alabama, Tuscaloosa",1097,,628,,823,,903,,0,,836,,0,,67,
219.0,Case Western Reserve U.,1077,,1034,,843,,893,,0,,893,,0,,0,
220.0,Western Kentucky U.,380,,1080,,1548,,887,,0,,885,,0,,2,
221.0,Alaska Pacific U.,ne,,ne,,ne,,855,,0,,77,,778,,0,
222.0,Pace U.,1577,,963,,962,,841,,0,,0,,0,,841,
223.0,"Southern U. and A&M C., Baton Rouge",1160,,646,,0,,831,,0,,0,,0,,831,
224.0,West Virginia State U.,136,,146,,140,,830,,0,,0,,0,,830,
225.0,Temple U.,630,,417,,528,,828,,0,,828,,0,,0,
226.0,Plymouth State U.,830,,647,,836,,810,,222,,566,,20,,2,
226.0,"U. Texas, Dallas",1463,,817,,940,,810,,0,,738,,0,,72,
228.0,Rockefeller U.,632,,638,,776,,803,,0,,0,,0,,803,
229.0,Appalachian State U.,1011,,665,,940,,769,,262,,330,,0,,177,
230.0,"CUNY, Queens C.",774,,965,,932,,754,,0,,754,,0,,0,
231.0,"U. Washington, Bothell",0,,0,,510,,737,,724,,0,,13,,0,
232.0,Delaware State U.,1167,,721,,815,,725,,0,,100,,625,,0,
233.0,Florida Gulf Coast U.,1176,,1230,,1074,,709,,0,,33,,540,,136,
234.0,North Dakota State U.,194,,674,,541,,705,,0,,705,,0,,0,
235.0,Montclair State U.,733,,731,,888,,693,,0,,693,,0,,0,
235.0,Roger Williams U.,98,,621,,687,,693,,0,,0,,547,,146,
237.0,Northern Illinois U.,1025,,2006,,1462,i,683,,0,,620,,0,,63,
238.0,Wright State U.,664,,552,,564,,681,,0,,681,,0,,0,
239.0,Chapman U.,825,,1064,,1040,,651,,56,,315,,174,,106,
240.0,James Madison U.,3363,,1408,,1159,,649,,0,,346,,0,,303,
241.0,U. Southern Maine,217,,88,,88,i,625,i,0,i,625,i,0,i,0,i
242.0,Pomona C.,480,,587,,730,,620,,0,,498,,105,,17,
243.0,Kent State U.,601,,600,,490,,616,,73,,394,,52,,97,
244.0,"U. Texas, Permian Basin",337,,233,,506,,614,,0,,0,,0,,614,
245.0,Hawaii Pacific U.,382,,455,,528,,610,,0,,33,,577,,0,
245.0,Texas Christian U.,893,,711,,655,,610,,0,,610,,0,,0,
247.0,U. Akron,269,,493,,501,,609,,0,,584,,0,,25,
248.0,Tulane U.,1929,,1700,,1278,,591,,0,,591,,0,,0,
249.0,Wayne State U.,440,,394,,395,,587,,0,,587,,0,,0,
250.0,Florida Atlantic U.,1073,,449,,790,,584,,215,,0,,8,,361,
251.0,"CUNY, Brooklyn C.",289,,294,,237,,572,,0,,572,,0,,0,
252.0,Loyola Marymount U.,17,,35,,408,,569,,0,,10,,0,,559,
253.0,"U. North Carolina, Asheville",830,,876,,679,,561,,24,,13,,0,,524,
254.0,Georgia State U.,458,,780,,496,i,544,,0,,486,,0,,58,
255.0,American U.,346,,260,,902,,542,,0,,0,,0,,542,
256.0,"SUNY, C. Plattsburgh",181,,ne,,533,,531,,0,,531,,0,,0,
257.0,Sonoma State U.,ne,,926,,950,,527,,0,,307,,216,,4,
258.0,Bryn Mawr C.,556,,329,,366,,510,,0,,510,,0,,0,
259.0,"Minnesota State U., Mankato",372,,600,,464,,509,,0,,0,,0,,509,
260.0,South Carolina State U.,1239,,426,i,465,i,504,i,0,i,384,i,0,i,120,i
261.0,Benedict C.,854,,981,,701,,498,,0,,498,,0,,0,
261.0,Lewis and Clark C.,153,,470,,599,,498,,0,,498,,0,,0,
263.0,Embry-Riddle Aeronautical U.,500,,607,,534,,490,,451,,39,,0,,0,
264.0,"U. Massachusetts, Lowell",384,,492,,417,,472,,0,,472,,0,,0,
265.0,"Brigham Young U., Provo",489,,365,,370,,464,,0,,464,,0,,0,
266.0,South Dakota School of Mines and Technology,443,,679,,535,,463,,463,,0,,0,,0,
267.0,"California State Polytechnic U., Pomona",0,,276,i,535,,444,,0,,401,,0,,43,
268.0,"California State U., Long Beach",477,i,451,,242,,435,,0,,435,,0,,0,
269.0,"U. Hawaii, Hilo",4453,,6037,,240,,433,,117,,298,,18,,0,
270.0,Central Michigan U.,465,,270,,559,,432,,0,,370,,62,,0,
271.0,"U. Massachusetts, central office",0,,0,,154,,431,,0,,0,,0,,431,
272.0,Bates C.,686,,513,,494,,427,,0,,356,,20,,51,
273.0,Bowdoin C.,757,,930,,598,,412,,0,,216,,196,,0,
274.0,North Carolina Agricultural and Technical State U.,280,,638,,528,,392,,218,,0,,156,,18,
275.0,Mount Holyoke C.,386,,532,,307,,389,,0,,389,,0,,0,
276.0,U.S. Naval Academy,308,,413,,467,,378,,0,,0,,378,,0,
277.0,Georgia Southern U.,82,,889,,322,,374,,0,,374,,0,,0,
278.0,Wichita State U.,400,,409,,313,,373,,0,,61,,0,,312,
279.0,U. Houston-Clear Lake,611,,595,,442,,367,,0,,0,,0,,367,
280.0,Western Carolina U.,740,,276,,197,,358,,0,,37,,321,,0,
281.0,"California State U., Sacramento",95,,119,,176,,357,,0,,244,,0,,113,
282.0,"U. Missouri, Kansas City",262,,353,,179,,356,,0,,356,,0,,0,
283.0,Carnegie Mellon U.,1497,,628,,425,,348,,0,,0,,0,,348,
284.0,Colgate U.,453,,293,,336,,336,,0,,336,,0,,0,
284.0,Southern Connecticut State U.,13,i,43,i,294,i,336,i,0,i,336,i,0,i,0,i
286.0,Illinois State U.,181,,76,,96,,331,,0,,331,,0,,0,
287.0,"California State U., Chico",338,,279,,374,,330,,0,,330,,0,,0,
288.0,"Union C., Schenectady",198,,472,,227,,319,,0,,319,,0,,0,
289.0,Colorado C.,204,,117,,217,,318,,0,,126,,0,,192,
290.0,Middlebury C.,663,,225,,218,,313,,0,,313,,0,,0,
291.0,Wesleyan U.,626,,497,,446,,312,,0,,312,,0,,0,
292.0,"California State U., Channel Islands",ne,,52,,315,,311,,0,,0,,49,,262,
293.0,Franklin and Marshall C.,255,,245,,287,,309,,0,,309,,0,,0,
294.0,Stephen F. Austin State U.,435,,384,,304,,302,,0,,51,,0,,251,
295.0,Fayetteville State U.,350,,342,,308,,300,,0,,0,,0,,300,
296.0,Rhode Island School of Design,ne,,ne,,ne,,298,,0,,0,,264,,34,
297.0,Middle Tennessee State U.,112,,155,,198,,290,,0,,290,,0,,0,
298.0,Occidental C.,227,,337,,378,,268,,0,,86,,0,,182,
