Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17
92.0,San Diego State U.,1587,,4094,,6722,,5762,,911,,575,,385,,277,
93.0,U. Delaware,7908,,6848,,6328,,5620,,6564,,5620,,4784,,4611,
94.0,Dartmouth C.,5018,,5392,,5763,,5508,,4141,,4723,,4809,,4724,
95.0,New Jersey Institute of Technology,11625,,12677,,10452,,5332,,8438,,8082,,6919,,1906,
96.0,U. Rochester,8142,,7323,,6183,,5211,,7118,,6377,,5247,,4779,
97.0,Illinois Institute of Technology,4650,,4397,,4577,,5101,,4394,,4238,,4207,,4904,
98.0,U. Connecticut,4039,,3894,,4183,,5093,,3571,,3354,,3485,,4206,
99.0,"U. Illinois, Chicago",7897,,6493,,5389,,5064,,6072,,5285,,3873,,4077,
100.0,"SUNY, U. Buffalo",6286,,7046,,6571,,5049,,3787,,4687,,3816,,3154,
101.0,Case Western Reserve U.,5760,,7943,,6582,,4947,,3654,,4786,,4346,,3609,
102.0,Virginia Polytechnic Institute and State U.,7669,,8189,,4839,,4901,,3770,,4108,,3094,,3337,
103.0,Hampton U.,8990,,6644,,4009,,4650,,8990,,6644,,4009,,4650,
104.0,"U. Oklahoma, Norman and Health Science Center",5627,,4871,,5185,,4552,,4221,,2833,,2481,,3052,
105.0,"U. South Florida, Tampa",4139,,5818,,4877,,4470,,2749,,3780,,2890,,2299,
106.0,Clemson U.,3633,,5375,,4871,,4415,,2483,,3976,,2841,,2721,
107.0,"U. South Carolina, Columbia",4797,,4163,,4161,,4275,,3698,,3113,,3110,,3223,
108.0,Florida International U.,2793,,2507,,2711,,4274,,2139,,2016,,2010,,2113,
109.0,Kent State U.,3351,,3589,,2761,,4257,,2331,,2172,,1923,,2373,
110.0,"U. Arkansas, Fayetteville",5390,,3045,,4149,,4079,,3244,,1729,,2828,,2642,
111.0,Colorado School of Mines,4051,,4178,,3436,,4012,,3328,,3332,,2906,,3345,
112.0,Old Dominion U.,6337,,7304,,4902,,3989,,3375,,3808,,4055,,3413,
113.0,Wayne State U.,4860,,4917,,4113,,3962,,3117,,2642,,2567,,2378,
114.0,"Colorado State U., Fort Collins",4309,,4474,,4503,,3922,,3443,,3842,,3815,,3355,
115.0,U. Georgia,3570,,4212,,3898,,3876,,1824,,2272,,2150,,2092,
116.0,"U. Nevada, Reno",6025,,5194,,4492,,3807,,5943,,5180,,4263,,3415,
