Rank,Institution,NSF R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23
74.0,"U. California, Santa Cruz",18711,,1385,,4982,,2040,,375,,4686,,151,,903,,132,,3136,,921,
75.0,"U. Missouri, Columbia",18556,,1089,,676,,10272,,1657,,1794,,126,,258,,0,,1762,,922,
76.0,"U. Illinois, Chicago",17414,,5080,,390,,1343,,2261,,2972,,1343,,596,,151,,3245,,33,
77.0,Washington State U.,17351,,1045,,1589,,5301,,573,,3103,,19,,643,,129,,4605,,344,
78.0,Dartmouth C.,17229,,1503,,1959,,2675,,539,,1837,,342,,289,,710,,7241,,134,
79.0,Case Western Reserve U.,16343,,156,,87,,2830,,531,,3447,,0,,202,,0,,8665,,425,
80.0,Kansas State U.,16065,,2455,,130,,6069,,536,,2276,,107,,602,,6,,3109,,775,
81.0,U. Wyoming,15980,,210,,4671,,7276,,1119,,1423,,0,,251,,0,,570,,460,
82.0,U. Rhode Island,15870,,193,,8834,,1059,,49,,380,,0,,6,,3824,,1309,,216,
83.0,Tufts U.,15284,,1114,,128,,2874,,2226,,1580,,1073,,0,,0,,5824,,465,
84.0,"Washington U., Saint Louis",15281,,2389,,1107,,4219,,462,,2636,,128,,310,,0,,3997,,33,
85.0,Syracuse U.,15159,,1541,,1092,,1836,,316,,5230,,219,,1409,,143,,3039,,334,
86.0,Clemson U.,15059,,2361,,0,,629,,376,,1936,,0,,0,,0,,6841,,2916,
87.0,U. Houston,14958,,1355,,617,,901,,1255,,1945,,16,,112,,0,,8092,,665,
88.0,"Louisiana State U., Baton Rouge",14639,,962,,1641,,3359,,1149,,4286,,0,,367,,598,,2177,,100,
89.0,"U. Oklahoma, Norman and Health Science Center",14260,,540,,3136,,2765,,344,,2334,,138,,1113,,0,,2881,,1009,
90.0,"U. South Florida, Tampa",14222,,959,,2550,,943,,186,,1640,,119,,486,,434,,5807,,1098,
91.0,Utah State U.,14100,,1133,,1216,,6169,,212,,1662,,0,,318,,0,,3034,,356,
92.0,U. Miami,13962,,205,,10168,,603,,707,,1029,,287,,179,,0,,767,,17,
93.0,"U. South Carolina, Columbia",13955,,757,,1073,,2791,,811,,4326,,210,,164,,182,,3586,,55,
94.0,U. Oregon,13761,,1557,,1841,,1783,,612,,6492,,106,,410,,0,,0,,960,
95.0,U. Rochester,13342,,1812,,1061,,1862,,334,,2801,,1051,,18,,501,,3024,,878,
96.0,Drexel U.,13248,,1688,,677,,571,,414,,230,,75,,98,,0,,7828,,1667,
97.0,U. Iowa,13170,,791,,899,,2768,,590,,3428,,643,,803,,37,,3033,,178,
98.0,U. Kentucky,13093,,1138,,243,,2753,,493,,2504,,146,,505,,229,,4681,,401,
99.0,Florida International U.,12977,,4407,,707,,2850,,70,,902,,245,,129,,0,,3294,,373,
100.0,George Washington U.,12347,,2973,,445,,2796,,556,,1086,,56,,1374,,609,,1906,,546,
101.0,Temple U.,12041,,1650,,56,,933,,727,,2867,,3028,,103,,0,,1317,,1360,
102.0,West Virginia U.,11978,,581,,791,,1326,,106,,5040,,34,,562,,187,,2640,,711,
103.0,U. Idaho,11775,,671,,1308,,3688,,110,,342,,27,,71,,3723,,1113,,722,
104.0,U. Maine,11684,,180,,3788,,1081,,25,,493,,51,,706,,4190,,1170,,0,
105.0,U. Central Florida,11605,,1495,,42,,417,,459,,2759,,0,,56,,16,,4579,,1782,
106.0,Emory U.,11575,,0,,88,,1980,,1062,,7485,,331,,91,,0,,305,,233,
107.0,"Montana State U., Bozeman",11011,,81,,307,,3261,,420,,2763,,26,,0,,1549,,1751,,853,
108.0,U. Vermont,10834,,167,,460,,1663,,358,,807,,6,,129,,7244,,0,,0,
109.0,"CUNY, City C.",10611,,850,,143,,989,,280,,3539,,128,,85,,0,,4190,,407,
110.0,"U. Texas, El Paso",10291,,2088,,1822,,1248,,389,,1542,,1,,102,,0,,2676,,423,
111.0,"U. Arkansas, Fayetteville",10167,,0,,480,,2011,,104,,2895,,253,,42,,0,,4382,,0,
112.0,Colorado School of Mines,9954,,0,,1770,,0,,284,,1173,,0,,0,,0,,6182,,545,
113.0,Howard U.,9400,,317,,0,,1878,,205,,335,,621,,0,,0,,5809,,235,
114.0,North Carolina Agricultural and Technical State U.,9392,,1001,,173,,1108,,223,,302,,0,,0,,0,,6002,,583,
115.0,Rochester Institute of Technology,9320,,1789,,0,,77,,816,,2495,,0,,27,,0,,2344,,1772,
116.0,"U. Texas, Arlington",9216,,1305,,376,,334,,460,,3254,,46,,46,,0,,3092,,303,
117.0,George Mason U.,9177,,1998,,1464,,670,,573,,552,,100,,1021,,0,,1677,,1122,
118.0,U. Wisconsin-Milwaukee,8878,,3,,1000,,642,,605,,4883,,55,,172,,0,,1119,,399,
119.0,Lehigh U.,8616,,808,,966,,220,,133,,1327,,119,,678,,0,,4365,,0,
120.0,U. Cincinnati,8590,,0,,231,,828,,257,,2061,,923,,215,,0,,3752,,323,
121.0,Cold Spring Harbor Laboratory,8576,,0,,0,,8576,,0,,0,,0,,0,,0,,0,,0,
122.0,Michigan Technological U.,8560,,413,,3236,,602,,161,,221,,148,,816,,0,,2857,,106,
123.0,Mississippi State U.,8552,,1936,,495,,617,,183,,595,,0,,62,,2417,,2133,,114,
124.0,"Brigham Young U., Provo",8339,,390,,232,,1740,,1031,,974,,0,,24,,0,,3749,,199,
125.0,"Oklahoma State U., Stillwater",8332,,96,,386,,2446,,273,,486,,99,,305,,2566,,1620,,55,
126.0,"U. Puerto Rico, Rio Piedras",8275,,619,,2453,,1809,,0,,1444,,0,,0,,0,,1950,,0,
127.0,"U. North Texas, Denton",8149,,1611,,32,,1523,,560,,1178,,136,,299,,0,,1870,,940,
128.0,"Auburn U., Auburn",8117,,0,,372,,1797,,201,,1319,,14,,28,,0,,3999,,387,
129.0,New Mexico State U.,8103,,1280,,808,,2028,,126,,1074,,0,,0,,251,,2536,,0,
130.0,San Diego State U.,8069,,1352,,880,,1476,,853,,734,,123,,792,,401,,916,,542,
131.0,"U. Texas, Dallas",8042,,2557,,111,,60,,397,,1108,,0,,209,,96,,3311,,193,
132.0,Wayne State U.,7798,,1400,,217,,321,,547,,3010,,0,,0,,0,,2246,,57,
133.0,C. of William and Mary and Virginia Institute of Marine Science,7725,,1108,,2177,,835,,375,,2429,,0,,242,,0,,0,,559,
134.0,"U. Maryland, Baltimore County",7621,,692,,1051,,600,,233,,496,,0,,8,,7,,4250,,284,
135.0,Worcester Polytechnic Institute,7619,,1705,,0,,270,,583,,252,,0,,485,,0,,3862,,462,
136.0,Texas Tech U.,7284,,636,,876,,331,,808,,733,,79,,48,,0,,3658,,115,
137.0,"U. Nevada, Reno",7239,,141,,1997,,699,,127,,1190,,0,,122,,52,,2655,,256,
138.0,"U. Montana, Missoula",7087,,259,,450,,4967,,41,,1121,,0,,249,,0,,0,,0,
139.0,"U. Alabama, Birmingham",6978,,470,,0,,1539,,98,,1832,,0,,125,,0,,369,,2545,
140.0,North Dakota State U.,6846,,704,,131,,737,,33,,2270,,205,,109,,1890,,694,,73,
141.0,New Jersey Institute of Technology,6824,,478,,0,,125,,1395,,728,,0,,61,,291,,3536,,210,
142.0,"U. Alabama, Tuscaloosa",6566,,560,,623,,853,,189,,1361,,0,,215,,0,,2527,,238,
143.0,"U. Minnesota, Duluth",6558,,55,,4909,,434,,103,,722,,0,,0,,0,,335,,0,
144.0,South Dakota State U.,6540,,0,,416,,5148,,96,,236,,0,,49,,0,,595,,0,
145.0,"U. Massachusetts, Boston",6469,,1479,,1196,,768,,2,,493,,78,,291,,485,,0,,1677,
146.0,Portland State U.,6411,,1163,,1907,,1207,,310,,497,,42,,518,,0,,623,,144,
147.0,Oregon Health and Science U.,6350,,0,,4769,,1316,,0,,0,,0,,0,,160,,105,,0,
148.0,Stevens Institute of Technology,6328,,1095,,1,,125,,139,,199,,0,,23,,287,,4014,,445,
149.0,Brandeis U.,6261,,1187,,0,,737,,297,,3676,,303,,54,,0,,0,,7,
150.0,"U. California, Merced",6214,,0,,1074,,0,,314,,1466,,97,,332,,0,,2931,,0,
151.0,Boston C.,6211,,84,,722,,508,,780,,1912,,566,,85,,0,,0,,1554,
152.0,Old Dominion U.,6168,,634,,2495,,132,,84,,770,,227,,0,,0,,1589,,237,
153.0,New Mexico Institute of Mining and Technology,6149,,56,,4463,,47,,0,,960,,0,,0,,0,,623,,0,
154.0,Tulane U.,6145,,0,,339,,1300,,1007,,1470,,18,,36,,0,,1952,,23,
155.0,"U. North Carolina, Charlotte",5997,,2486,,84,,95,,231,,608,,0,,699,,0,,1684,,110,
156.0,Jackson State U.,5796,,786,,0,,0,,177,,4527,,0,,0,,0,,306,,0,
157.0,U. Akron,5752,,154,,113,,271,,15,,1777,,11,,2,,0,,3316,,93,
158.0,Missouri U. of Science and Technology,5731,,934,,340,,0,,155,,678,,0,,0,,0,,3624,,0,
159.0,"U. Massachusetts, Lowell",5681,,1415,,214,,243,,16,,582,,150,,0,,0,,2466,,595,
160.0,Georgia State U.,5632,,846,,155,,947,,167,,2689,,147,,79,,0,,0,,602,
161.0,Virginia Commonwealth U.,5518,,214,,0,,818,,903,,878,,115,,75,,0,,1837,,678,
162.0,Boise State U.,5365,,410,,1996,,397,,239,,325,,0,,100,,216,,1470,,212,
163.0,Naval Postgraduate School,5268,,247,,4769,,0,,208,,0,,0,,0,,44,,0,,0,
164.0,Miami U.,5032,,132,,968,,1620,,234,,842,,383,,183,,291,,82,,297,
165.0,Georgetown U.,4783,,646,,0,,1434,,129,,1695,,319,,376,,0,,0,,184,
166.0,Ohio U.,4687,,62,,927,,1260,,45,,1707,,54,,15,,15,,566,,36,
167.0,"U. California, San Francisco",4633,,0,,0,,4146,,0,,487,,0,,0,,0,,0,,0,
168.0,Illinois Institute of Technology,4371,,1091,,118,,39,,323,,729,,152,,57,,40,,1525,,297,
169.0,"California State U., Northridge",4352,,0,,1870,,457,,404,,1330,,37,,1,,182,,71,,0,
170.0,U. of the Virgin Islands,4279,,0,,0,,4279,,0,,0,,0,,0,,0,,0,,0,
171.0,Kent State U.,4235,,330,,165,,542,,537,,1915,,12,,123,,0,,147,,464,
172.0,"SUNY, U. Albany",4230,,398,,1727,,347,,87,,737,,69,,595,,0,,0,,270,
173.0,U. Metropolitana,4223,,0,,108,,374,,359,,3180,,0,,0,,0,,0,,202,
174.0,"Rutgers, State U. New Jersey, Newark",4103,,429,,792,,443,,346,,925,,464,,196,,0,,137,,371,
175.0,"U. Nevada, Las Vegas",4080,,0,,496,,1091,,3,,248,,260,,170,,0,,1693,,119,
176.0,Northern Arizona U.,4050,,57,,1707,,1788,,6,,194,,91,,0,,0,,54,,153,
177.0,U. Denver,4043,,88,,0,,79,,115,,754,,0,,84,,0,,1311,,1612,
178.0,U. Colorado Denver and Anschutz Medical Campus,4038,,108,,0,,1648,,422,,458,,0,,40,,0,,935,,427,
179.0,"SUNY, Binghamton U.",4028,,1205,,229,,25,,144,,738,,117,,15,,0,,1555,,0,
180.0,Alabama A&M U.,3988,i,393,i,530,i,1129,i,147,i,592,i,46,i,105,i,0,i,912,i,134,i
181.0,Texas State U.,3943,,1347,,24,,258,,263,,1231,,0,,267,,120,,242,,191,
182.0,U. Memphis,3928,,767,,606,,130,,580,,542,,498,,30,,0,,487,,288,
183.0,"U. Maryland, Center for Environmental Science",3922,,0,,3297,,100,,0,,0,,0,,0,,0,,0,,525,
184.0,Hampton U.,3901,,426,,2691,,103,,40,,509,,0,,0,,0,,132,,0,
185.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,3865,,58,,51,,469,,545,,765,,0,,38,,0,,689,,1250,
186.0,San Jose State U.,3860,,30,,2610,,240,,160,,479,,0,,0,,0,,311,,30,
187.0,U. Toledo,3805,,0,,144,,616,,0,,1859,,0,,0,,0,,712,,474,
188.0,"Indiana U.-Purdue U., Indianapolis",3737,,888,,334,,260,,593,,516,,0,,99,,0,,935,,112,
189.0,U. Southern Mississippi,3718,,210,,901,,317,,8,,2185,,0,,64,,18,,1,,14,
190.0,Idaho State U.,3704,,380,,1345,,825,,32,,560,,0,,301,,0,,234,,27,
191.0,U. Louisville,3687,,116,,68,,469,,98,,490,,190,,70,,0,,1469,,717,
192.0,Scripps Research Institute,3564,,0,,0,,3564,,0,,0,,0,,0,,0,,0,,0,
193.0,Carleton C.,3538,,17,,55,,166,,0,,719,,0,,0,,0,,0,,2581,
194.0,Desert Research Institute,3528,,78,,2409,,51,,0,,0,,0,,0,,990,,0,,0,
195.0,"U. Alabama, Huntsville",3517,,932,,934,,114,,37,,781,,150,,0,,0,,547,,22,
196.0,"U. Texas, San Antonio",3447,,1170,,35,,354,,120,,793,,0,,59,,0,,830,,86,
197.0,San Francisco State U.,3297,,167,,509,,1581,,459,,475,,0,,24,,0,,82,,0,
198.0,C. Charleston,3259,,292,,0,,2119,,150,,577,,0,,0,,0,,0,,121,
199.0,South Dakota School of Mines and Technology,3160,,0,,248,,0,,28,,614,,0,,0,,0,,2270,,0,
200.0,Western Washington U.,3077,,12,,713,,346,,245,,476,,0,,34,,431,,378,,442,
201.0,U. Mississippi,2998,,96,,17,,993,,0,,1831,,0,,15,,0,,32,,14,
202.0,Florida A&M U.,2873,,15,,42,,64,,0,,36,,0,,0,,2296,,406,,14,
203.0,Delaware State U.,2871,,0,,91,,2121,,451,,208,,0,,0,,0,,0,,0,
204.0,"California State U., San Bernardino",2870,,0,,17,,83,,1753,,922,,0,,0,,95,,0,,0,
205.0,North Carolina Central U.,2837,,0,,65,,256,,0,,2511,,5,,0,,0,,0,,0,
206.0,St. Edward's U.,2750,,0,,250,,2500,,0,,0,,0,,0,,0,,0,,0,
207.0,Wright State U.,2747,,736,,85,,639,,44,,576,,88,,4,,0,,575,,0,
208.0,"U. Alaska, Anchorage",2649,,44,,1852,,293,,0,,0,,0,,128,,203,,89,,40,
209.0,U. South Dakota,2619,,153,,7,,477,,0,,1286,,92,,28,,0,,105,,471,
210.0,U. Tulsa,2596,,1497,,88,,176,,2,,77,,0,,193,,0,,350,,213,
211.0,"Southern Illinois U., Carbondale",2580,,118,,187,,592,,68,,651,,0,,26,,374,,564,,0,
212.0,"U. Puerto Rico, Mayaguez",2579,,0,,97,,89,,0,,179,,0,,37,,0,,2177,,0,
213.0,Southern Methodist U.,2543,,142,,268,,0,,349,,747,,0,,45,,199,,730,,63,
