Rank,Institution,DOE R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
94.0,"U. Illinois, Chicago",4616.0,,53.0,,74.0,,442.0,,0.0,,2559.0,,0.0,,0.0,,0.0,,1488.0,,0.0,,0
95.0,Florida International U.,4458.0,,8.0,,0.0,,514.0,,0.0,,822.0,,0.0,,0.0,,0.0,,3114.0,,0.0,,0
96.0,Missouri U. of Science and Technology,4384.0,,391.0,,851.0,,0.0,,0.0,,196.0,,0.0,,0.0,,0.0,,2896.0,,50.0,,0
97.0,Temple U.,4251.0,,0.0,,297.0,,0.0,,0.0,,1898.0,,0.0,,0.0,,0.0,,31.0,,2025.0,,0
98.0,New York U.,4187.0,,259.0,,0.0,,1298.0,,1780.0,,774.0,,0.0,,0.0,,0.0,,37.0,,39.0,,0
99.0,"U. Missouri, Columbia",4155.0,,205.0,,82.0,,1467.0,,0.0,,744.0,,0.0,,0.0,,0.0,,1657.0,,0.0,,0
100.0,Idaho State U.,4086.0,,0.0,,12.0,,50.0,,0.0,,1974.0,,17.0,,6.0,,0.0,,2027.0,,0.0,,0
101.0,U. Idaho,3940.0,,334.0,,107.0,,1341.0,,0.0,,494.0,,96.0,,26.0,,0.0,,1542.0,,0.0,,0
102.0,Medical U. South Carolina,3892.0,,0.0,,0.0,,3892.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
103.0,Utah State U.,3873.0,,0.0,,0.0,,623.0,,0.0,,860.0,,0.0,,39.0,,0.0,,2351.0,,0.0,,0
104.0,Old Dominion U.,3780.0,,9.0,,0.0,,13.0,,0.0,,3251.0,,0.0,,0.0,,0.0,,507.0,,0.0,,0
105.0,North Dakota State U.,3774.0,,1220.0,,0.0,,2.0,,0.0,,2148.0,,0.0,,358.0,,0.0,,46.0,,0.0,,0
106.0,"U. Nebraska, Lincoln",3436.0,,54.0,,0.0,,807.0,,0.0,,1496.0,,0.0,,0.0,,280.0,,799.0,,0.0,,0
107.0,U. Wyoming,3168.0,,0.0,,2228.0,,161.0,,26.0,,485.0,,0.0,,0.0,,0.0,,268.0,,0.0,,0
108.0,Dartmouth C.,3122.0,,317.0,,0.0,,5.0,,0.0,,390.0,,0.0,,0.0,,0.0,,2410.0,,0.0,,0
109.0,"U. Alabama, Tuscaloosa",2995.0,,0.0,,43.0,,0.0,,0.0,,1898.0,,0.0,,0.0,,0.0,,1054.0,,0.0,,0
110.0,Drexel U.,2987.0,,0.0,,0.0,,277.0,,8.0,,189.0,,0.0,,0.0,,0.0,,2513.0,,0.0,,0
111.0,"U. California, Santa Cruz",2949.0,,130.0,,67.0,,0.0,,0.0,,2628.0,,0.0,,0.0,,0.0,,124.0,,0.0,,0
112.0,"Oklahoma State U., Stillwater",2777.0,,0.0,,0.0,,280.0,,6.0,,547.0,,0.0,,241.0,,0.0,,1703.0,,0.0,,0
113.0,"U. Alaska, Fairbanks",2680.0,,0.0,,1190.0,,0.0,,0.0,,0.0,,0.0,,0.0,,443.0,,1047.0,,0.0,,0
114.0,Lehigh U.,2675.0,,0.0,,0.0,,0.0,,0.0,,856.0,,0.0,,4.0,,0.0,,1815.0,,0.0,,0
115.0,Northeastern U.,2666.0,,0.0,,0.0,,8.0,,0.0,,2315.0,,0.0,,0.0,,0.0,,343.0,,0.0,,0
116.0,Wayne State U.,2629.0,,0.0,,0.0,,0.0,,0.0,,2263.0,,0.0,,0.0,,0.0,,366.0,,0.0,,0
117.0,Ohio U.,2541.0,,0.0,,411.0,,0.0,,0.0,,1527.0,,0.0,,0.0,,0.0,,603.0,,0.0,,0
118.0,South Dakota State U.,2523.0,,0.0,,0.0,,2523.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
119.0,Texas Tech U.,2478.0,,80.0,,327.0,,92.0,,0.0,,626.0,,0.0,,0.0,,0.0,,1353.0,,0.0,,0
120.0,"U. South Florida, Tampa",2445.0,,0.0,,113.0,,0.0,,0.0,,1018.0,,0.0,,0.0,,0.0,,1314.0,,0.0,,0
121.0,U. Maine,2429.0,,0.0,,267.0,,180.0,,0.0,,265.0,,0.0,,0.0,,0.0,,1717.0,,0.0,,0
122.0,"U. Tennessee, Knoxville, Institute of Agriculture",2308.0,,0.0,,0.0,,1506.0,,0.0,,0.0,,0.0,,226.0,,258.0,,318.0,,0.0,,0
123.0,"SUNY, Binghamton U.",2295.0,,0.0,,0.0,,0.0,,0.0,,2066.0,,0.0,,0.0,,0.0,,229.0,,0.0,,0
124.0,Clemson U.,2221.0,,0.0,,0.0,,0.0,,0.0,,298.0,,0.0,,0.0,,0.0,,1876.0,,47.0,,0
125.0,George Washington U.,2218.0,,19.0,,0.0,,156.0,,0.0,,1033.0,,0.0,,24.0,,0.0,,986.0,,0.0,,0
126.0,Boise State U.,2090.0,,41.0,,197.0,,70.0,,0.0,,58.0,,0.0,,106.0,,0.0,,1618.0,,0.0,,0
127.0,"Auburn U., Auburn",2031.0,,0.0,,0.0,,172.0,,0.0,,1139.0,,0.0,,0.0,,0.0,,720.0,,0.0,,0
128.0,U. Iowa,2022.0,,0.0,,0.0,,6.0,,0.0,,1659.0,,0.0,,0.0,,0.0,,357.0,,0.0,,0
129.0,U. Rhode Island,1978.0,,0.0,,632.0,,80.0,,0.0,,1187.0,,0.0,,0.0,,21.0,,28.0,,30.0,,0
130.0,Southern Methodist U.,1879.0,,0.0,,340.0,,0.0,,157.0,,1116.0,,0.0,,0.0,,0.0,,266.0,,0.0,,0
131.0,Tufts U.,1872.0,,0.0,,0.0,,0.0,,0.0,,979.0,,0.0,,0.0,,0.0,,817.0,,76.0,,0
132.0,Northern Illinois U.,1849.0,,237.0,,35.0,,0.0,,0.0,,1385.0,,0.0,,32.0,,0.0,,160.0,,0.0,,0
133.0,"California Polytechnic State U., San Luis Obispo",1787.0,,0.0,,0.0,,11.0,,0.0,,49.0,,0.0,,530.0,,0.0,,1197.0,,0.0,,0
134.0,Syracuse U.,1745.0,,3.0,,0.0,,141.0,,0.0,,802.0,,0.0,,40.0,,0.0,,759.0,,0.0,,0
135.0,"U. Texas, Arlington",1740.0,,0.0,,28.0,,0.0,,0.0,,1614.0,,0.0,,0.0,,0.0,,98.0,,0.0,,0
136.0,Brandeis U.,1697.0,,0.0,,0.0,,124.0,,0.0,,1573.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
137.0,"U. Texas, El Paso",1676.0,,136.0,,0.0,,0.0,,0.0,,158.0,,0.0,,0.0,,0.0,,1239.0,,143.0,,0
138.0,U. New Hampshire,1664.0,,0.0,,689.0,,175.0,,0.0,,442.0,,0.0,,0.0,,0.0,,358.0,,0.0,,0
139.0,Fisk U.,1661.0,i,0.0,i,0.0,i,830.0,i,0.0,i,831.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0
140.0,Hampton U.,1643.0,,0.0,,0.0,,2.0,,243.0,,830.0,,0.0,,0.0,,0.0,,568.0,,0.0,,0
141.0,U. Wisconsin-Milwaukee,1627.0,,0.0,,0.0,,0.0,,352.0,,1105.0,,0.0,,0.0,,0.0,,170.0,,0.0,,0
142.0,Michigan Technological U.,1621.0,,0.0,,968.0,,0.0,,0.0,,135.0,,0.0,,0.0,,0.0,,518.0,,0.0,,0
143.0,"CUNY, City C.",1606.0,,209.0,,0.0,,0.0,,0.0,,392.0,,0.0,,0.0,,0.0,,1005.0,,0.0,,0
144.0,Virginia Commonwealth U.,1605.0,,47.0,,0.0,,64.0,,0.0,,698.0,,0.0,,0.0,,0.0,,796.0,,0.0,,0
145.0,Worcester Polytechnic Institute,1596.0,,14.0,,0.0,,0.0,,35.0,,0.0,,0.0,,0.0,,0.0,,1547.0,,0.0,,0
146.0,Portland State U.,1582.0,,24.0,,295.0,,0.0,,0.0,,269.0,,0.0,,282.0,,0.0,,712.0,,0.0,,0
147.0,C. of William and Mary and Virginia Institute of Marine Science,1580.0,,277.0,,0.0,,0.0,,0.0,,1303.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
148.0,Youngstown State U.,1578.0,,0.0,,0.0,,0.0,,0.0,,1578.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
149.0,U. Miami,1530.0,,0.0,,1182.0,,0.0,,0.0,,131.0,,0.0,,0.0,,0.0,,217.0,,0.0,,0
150.0,"U. Texas, Dallas",1470.0,,71.0,,0.0,,0.0,,0.0,,575.0,,0.0,,0.0,,42.0,,782.0,,0.0,,0
151.0,U. Toledo,1448.0,,0.0,,0.0,,151.0,,0.0,,675.0,,0.0,,0.0,,0.0,,622.0,,0.0,,0
152.0,"U. North Texas, Denton",1392.0,,0.0,,0.0,,931.0,,0.0,,137.0,,0.0,,0.0,,0.0,,324.0,,0.0,,0
153.0,Kent State U.,1358.0,,0.0,,0.0,,185.0,,0.0,,1173.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
154.0,Alabama A&M U.,1335.0,i,36.0,i,115.0,i,283.0,i,6.0,i,433.0,i,0.0,i,5.0,i,0.0,i,456.0,i,1.0,i,0
155.0,U. Cincinnati,1315.0,,0.0,,0.0,,29.0,,0.0,,949.0,,0.0,,0.0,,0.0,,335.0,,2.0,,0
156.0,U. Dayton,1250.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1250.0,,0.0,,0
157.0,"Purdue U., Calumet",1247.0,,0.0,,0.0,,0.0,,0.0,,28.0,,0.0,,0.0,,0.0,,46.0,,1173.0,,0
158.0,Emory U.,1229.0,,0.0,,0.0,,97.0,,110.0,,903.0,,0.0,,0.0,,0.0,,0.0,,119.0,,0
159.0,South Carolina State U.,1182.0,,0.0,,120.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1062.0,,0.0,,0
160.0,"SUNY, U. Buffalo",1177.0,,0.0,,11.0,,0.0,,0.0,,571.0,,0.0,,0.0,,0.0,,595.0,,0.0,,0
161.0,Norfolk State U.,1174.0,,536.0,,0.0,,0.0,,0.0,,269.0,,0.0,,0.0,,0.0,,216.0,,153.0,,0
162.0,Humboldt State U.,1136.0,,0.0,,1136.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
163.0,"U. Arkansas, Fayetteville",1109.0,,0.0,,107.0,,64.0,,0.0,,349.0,,0.0,,0.0,,0.0,,589.0,,0.0,,0
164.0,Florida A&M U.,1089.0,,0.0,,0.0,,0.0,,0.0,,649.0,,0.0,,0.0,,0.0,,440.0,,0.0,,0
165.0,Cold Spring Harbor Laboratory,1057.0,,0.0,,0.0,,1057.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
166.0,Naval Postgraduate School,1013.0,,0.0,,562.0,,0.0,,18.0,,51.0,,0.0,,295.0,,0.0,,87.0,,0.0,,0
167.0,Boston C.,1000.0,,0.0,,0.0,,0.0,,0.0,,1000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
168.0,U. Tulsa,980.0,,0.0,,0.0,,0.0,,0.0,,271.0,,0.0,,0.0,,0.0,,709.0,,0.0,,0
169.0,"Brigham Young U., Provo",948.0,,60.0,,2.0,,0.0,,15.0,,44.0,,0.0,,0.0,,0.0,,827.0,,0.0,,0
170.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,943.0,,0.0,,209.0,,0.0,,0.0,,734.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
171.0,U. Mississippi,936.0,,0.0,,234.0,,0.0,,0.0,,493.0,,0.0,,0.0,,0.0,,209.0,,0.0,,0
172.0,Prairie View A&M U.,919.0,,10.0,,0.0,,0.0,,0.0,,643.0,,0.0,,0.0,,0.0,,266.0,,0.0,,0
173.0,San Diego State U.,887.0,,0.0,,3.0,,124.0,,0.0,,91.0,,0.0,,0.0,,0.0,,669.0,,0.0,,0
174.0,Valparaiso U.,830.0,,0.0,,0.0,,0.0,,0.0,,130.0,,0.0,,0.0,,0.0,,700.0,,0.0,,0
175.0,New Jersey Institute of Technology,810.0,,54.0,,0.0,,0.0,,0.0,,337.0,,0.0,,0.0,,0.0,,419.0,,0.0,,0
176.0,Georgia State U.,794.0,,0.0,,140.0,,0.0,,0.0,,654.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
177.0,Montana Tech of U. Montana,769.0,,0.0,,13.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,756.0,,0.0,,0
178.0,Tulane U.,767.0,,0.0,,16.0,,15.0,,29.0,,674.0,,0.0,,0.0,,0.0,,33.0,,0.0,,0
179.0,"U. North Carolina, Charlotte",766.0,,75.0,,0.0,,13.0,,0.0,,0.0,,0.0,,0.0,,0.0,,678.0,,0.0,,0
