Rank,Institution,All R&D expenditures,Unnamed: 3,Source of funds,Federal government,Unnamed: 6,State and local government,Unnamed: 8,Institution funds,Unnamed: 10,Business,Unnamed: 12,Nonprofit organizations,Unnamed: 14,All other sources
109.0,U. Delaware,175724,,114245,,10594,,38322.0,,5415.0,,4061.0,,3087.0,
110.0,Utah State U.,175353,,120369,,26650,,18025.0,,4404.0,,566.0,,5339.0,
111.0,"U. Tennessee, Knoxville",173533,,105417,,14061,,44246.0,,6333.0,,1784.0,,1692.0,
112.0,U. Texas Medical Branch,173506,,98050,,2806,,50863.0,,3378.0,,18409.0,,0.0,
113.0,Wake Forest U.,171926,,148451,,6071,,1153.0,,9013.0,,7151.0,,87.0,
114.0,Clemson U.,171215,,53136,,20935,,73959.0,,18265.0,,4147.0,,773.0,
115.0,"U. Texas Health Science Center, San Antonio",170277,,85940,,10817,,45250.0,,7856.0,,20414.0,,0.0,
116.0,West Virginia U.,170145,,68731,,11426,,63673.0,,12107.0,,2281.0,,11927.0,
117.0,Tufts U.,168314,,121428,,1219,,16861.0,,9151.0,,16935.0,,2720.0,
118.0,Texas Tech U.,163897,,32987,,24767,,86682.0,,11033.0,,7566.0,,862.0,
119.0,Florida International U.,163033,,76528,,9330,,69238.0,,2545.0,,4721.0,,671.0,
120.0,North Dakota State U.,153542,,35482,,51839,,58394.0,,1761.0,,1406.0,,4660.0,
121.0,Tulane U.,152658,,84166,,4063,,36030.0,,5290.0,,12029.0,,11080.0,
122.0,"U. California, Santa Cruz",151713,,92870,,3262,,27921.0,,8571.0,,8595.0,,10494.0,
123.0,U. Houston,150628,,58458,,32478,,38995.0,,9604.0,,7449.0,,3644.0,
124.0,U. New Hampshire,144735,,92040,,4153,,36254.0,,8568.0,,3072.0,,648.0,
125.0,Rice U.,144679,,74266,,8291,,33792.0,,10930.0,,13692.0,,3708.0,
126.0,"U. California, Riverside",144511,,63515,,6270,,44435.0,,6726.0,,9683.0,,13882.0,
127.0,"U. Nebraska, Medical Center",143999,,71920,,3058,,38596.0,,7585.0,,22840.0,,0.0,
128.0,"U. Alaska, Fairbanks",142742,,81586,,8540,,45229.0,,4853.0,,1125.0,,1409.0,
129.0,Georgia State U.,139596,,50122,,9953,,68931.0,,280.0,,10183.0,,127.0,
130.0,"Auburn U., Auburn",135899,,48352,,31207,,42853.0,,6165.0,,1434.0,,5888.0,
131.0,"U. Arkansas, Fayetteville",133660,,34288,,52041,,31782.0,,11097.0,,1514.0,,2938.0,
132.0,U. Arkansas for Medical Sciences,132451,,50603,,5261,,53200.0,,1167.0,,0.0,,22220.0,
133.0,New Mexico State U.,132377,,78903,,19122,,20732.0,,3846.0,,1941.0,,7833.0,
134.0,"Oklahoma State U., Stillwater",129968,,38585,,28183,,56712.0,,5676.0,,569.0,,243.0,
135.0,Drexel U.,128027,,69462,,4640,,40175.0,,3078.0,,10672.0,,0.0,
136.0,Northeastern U.,122915,,80576,,1131,,26696.0,,8507.0,,5699.0,,306.0,
137.0,Thomas Jefferson U.,119631,,58536,,966,,38545.0,,9315.0,,8145.0,,4124.0,
138.0,U. Vermont,114547,,83733,,224,,22150.0,,2193.0,,5304.0,,943.0,
139.0,"SUNY, U. Albany",111705,,79681,,2058,,16846.0,,866.0,,984.0,,11270.0,
140.0,New Jersey Institute of Technology,110512,,55094,,3355,,44038.0,,1687.0,,4741.0,,1597.0,
141.0,"Montana State U., Bozeman",108414,,69136,,3540,,28817.0,,1662.0,,2490.0,,2769.0,
142.0,George Mason U.,106410,,63600,,1711,,31775.0,,2858.0,,5593.0,,873.0,
143.0,Rensselaer Polytechnic Institute,102841,,59528,,7592,,26143.0,,7715.0,,1863.0,,0.0,
144.0,"U. Texas, Dallas",98551,,31068,,10753,,33424.0,,6357.0,,16949.0,,0.0,
145.0,U. Dayton,98182,,77973,,8943,,4191.0,,6271.0,,599.0,,205.0,
146.0,U. Idaho,97493,,50559,,26571,,15077.0,,1745.0,,1404.0,,2137.0,
147.0,U. Mississippi,94040,,59978,,2108,,19260.0,,8476.0,,3112.0,,1106.0,
148.0,U. Rhode Island,93828,,64711,,7629,,15599.0,,2890.0,,1026.0,,1973.0,
149.0,San Diego State U.,93572,,46870,,5445,,36941.0,,311.0,,2469.0,,1536.0,
150.0,"U. Nevada, Reno",90138,,51724,,10797,,20917.0,,1491.0,,1551.0,,3658.0,
151.0,"U. Texas, El Paso",89418,,41897,,18282,,17205.0,,1359.0,,2906.0,,7769.0,
152.0,Naval Postgraduate School,89170,,78780,,70,,9123.0,,439.0,,0.0,,758.0,
