Rank,Institution,USDA R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23,shift
90.0,Texas State U.,1386.0,,0.0,,0.0,,1005.0,,0.0,,0.0,,0.0,,204.0,,0.0,,177.0,,0.0,,0
91.0,"U. Texas, El Paso",1373.0,,0.0,,154.0,,111.0,,59.0,,144.0,,0.0,,0.0,,0.0,,905.0,,0.0,,0
92.0,American Samoa Community C.,1337.0,,0.0,,0.0,,1337.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
93.0,Arizona State U.,1316.0,,0.0,,0.0,,489.0,,23.0,,0.0,,0.0,,366.0,,27.0,,411.0,,0.0,,0
94.0,U. Pennsylvania,1276.0,,0.0,,43.0,,1158.0,,0.0,,0.0,,0.0,,71.0,,0.0,,0.0,,4.0,,0
95.0,Boise State U.,1236.0,,0.0,,92.0,,1012.0,,0.0,,132.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
96.0,"U. California, Santa Cruz",1220.0,,0.0,,989.0,,231.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
97.0,U. Texas Pan American,1206.0,,0.0,,0.0,,1203.0,,0.0,,0.0,,0.0,,3.0,,0.0,,0.0,,0.0,,0
98.0,Temple U.,1188.0,,0.0,,0.0,,1125.0,,0.0,,0.0,,0.0,,0.0,,0.0,,63.0,,0.0,,0
99.0,Duke U.,1121.0,,0.0,,621.0,,89.0,,0.0,,0.0,,0.0,,326.0,,0.0,,44.0,,41.0,,0
100.0,Portland State U.,1117.0,,0.0,,781.0,,97.0,,0.0,,0.0,,7.0,,232.0,,0.0,,0.0,,0.0,,0
101.0,U. Southern Mississippi,1116.0,,0.0,,10.0,,1100.0,,0.0,,6.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
102.0,Johns Hopkins U.a,1111.0,,0.0,,99.0,,1003.0,,0.0,,0.0,,0.0,,5.0,,0.0,,4.0,,0.0,,0
103.0,"U. Tennessee, Knoxville",1068.0,,0.0,,30.0,,624.0,,0.0,,0.0,,0.0,,0.0,,0.0,,414.0,,0.0,,0
104.0,"Arkansas State U., Jonesboro",1038.0,,0.0,,0.0,,1012.0,,0.0,,26.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
105.0,New York U.,979.0,,0.0,,0.0,,979.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
106.0,"U. Puerto Rico, Mayaguez",976.0,,0.0,,4.0,,246.0,,0.0,,697.0,,0.0,,0.0,,0.0,,29.0,,0.0,,0
107.0,Florida State U.,967.0,,0.0,,430.0,,537.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
108.0,U. New Mexico,949.0,,0.0,,36.0,,165.0,,0.0,,0.0,,0.0,,23.0,,0.0,,664.0,,61.0,,0
109.0,Desert Research Institute,938.0,,0.0,,855.0,,0.0,,0.0,,0.0,,0.0,,51.0,,32.0,,0.0,,0.0,,0
110.0,U. Iowa,928.0,,0.0,,7.0,,715.0,,0.0,,30.0,,0.0,,23.0,,0.0,,153.0,,0.0,,0
111.0,"U. North Carolina, Chapel Hill",913.0,,0.0,,113.0,,441.0,,0.0,,0.0,,0.0,,301.0,,0.0,,0.0,,58.0,,0
112.0,U. Colorado Boulder,906.0,,0.0,,701.0,,12.0,,0.0,,0.0,,0.0,,168.0,,25.0,,0.0,,0.0,,0
113.0,"SUNY, U. Buffalo",899.0,,0.0,,6.0,,154.0,,0.0,,0.0,,0.0,,739.0,,0.0,,0.0,,0.0,,0
114.0,Western Kentucky U.,872.0,,0.0,,95.0,,341.0,,0.0,,309.0,,0.0,,0.0,,0.0,,91.0,,36.0,,0
115.0,U. of the District of Columbia,860.0,,0.0,,0.0,,860.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
116.0,Georgia Institute of Technology,850.0,,84.0,,0.0,,0.0,,0.0,,0.0,,0.0,,72.0,,0.0,,694.0,,0.0,,0
117.0,"U. Alabama, Huntsville",815.0,,0.0,,642.0,,76.0,,0.0,,67.0,,0.0,,0.0,,0.0,,30.0,,0.0,,0
118.0,"U. South Carolina, Columbia",810.0,,0.0,,2.0,,588.0,,0.0,,0.0,,0.0,,13.0,,81.0,,126.0,,0.0,,0
119.0,U. Utah,745.0,,0.0,,94.0,,280.0,,0.0,,58.0,,0.0,,60.0,,0.0,,211.0,,42.0,,0
120.0,"U. Hawaii, Hilo",732.0,,0.0,,0.0,,732.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
121.0,"U. Oklahoma, Norman and Health Science Center",704.0,,0.0,,131.0,,525.0,,0.0,,0.0,,0.0,,0.0,,0.0,,48.0,,0.0,,0
122.0,George Washington U.,681.0,,0.0,,0.0,,12.0,,0.0,,0.0,,0.0,,629.0,,40.0,,0.0,,0.0,,0
123.0,"California State U., San Bernardino",656.0,,0.0,,0.0,,656.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
124.0,U. Oregon,608.0,,0.0,,301.0,,240.0,,0.0,,0.0,,0.0,,67.0,,0.0,,0.0,,0.0,,0
125.0,St. Edward's U.,600.0,,0.0,,0.0,,600.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
126.0,"California Polytechnic State U., San Luis Obispo",598.0,,0.0,,0.0,,545.0,,0.0,,0.0,,0.0,,0.0,,0.0,,53.0,,0.0,,0
127.0,Cold Spring Harbor Laboratory,589.0,,0.0,,0.0,,589.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
128.0,"U. Texas, Austin",557.0,,96.0,,11.0,,323.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,127.0,,0
129.0,Stephen F. Austin State U.,556.0,,0.0,,0.0,,479.0,,0.0,,0.0,,0.0,,77.0,,0.0,,0.0,,0.0,,0
130.0,"U. Puerto Rico, Rio Piedras",524.0,,0.0,,414.0,,110.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
131.0,"U. Maryland, Baltimore County",509.0,,0.0,,117.0,,68.0,,0.0,,0.0,,0.0,,307.0,,0.0,,17.0,,0.0,,0
132.0,Humboldt State U.,491.0,,0.0,,126.0,,336.0,,0.0,,0.0,,0.0,,29.0,,0.0,,0.0,,0.0,,0
133.0,"Indiana U., Bloomington",487.0,,0.0,,3.0,,352.0,,0.0,,0.0,,0.0,,132.0,,0.0,,0.0,,0.0,,0
134.0,"California State U., Long Beach",486.0,,0.0,,0.0,,486.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
135.0,Virginia Commonwealth U.,475.0,,0.0,,0.0,,48.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,427.0,,0
136.0,U. Notre Dame,473.0,,0.0,,0.0,,218.0,,0.0,,0.0,,0.0,,0.0,,0.0,,165.0,,90.0,,0
137.0,"U. Nebraska, Omaha",460.0,,0.0,,0.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,450.0,,0
138.0,Carnegie Mellon U.,437.0,,437.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
139.0,U. Wisconsin-Milwaukee,430.0,,0.0,,430.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
140.0,West Texas A&M U.,424.0,,0.0,,0.0,,44.0,,0.0,,76.0,,0.0,,82.0,,0.0,,222.0,,0.0,,0
141.0,"California State U., Fresno",414.0,,0.0,,0.0,,373.0,,0.0,,29.0,,0.0,,0.0,,0.0,,12.0,,0.0,,0
142.0,"U. North Carolina, Asheville",405.0,,0.0,,283.0,,0.0,,0.0,,0.0,,0.0,,109.0,,0.0,,0.0,,13.0,,0
143.0,"U. Texas, San Antonio",393.0,,0.0,,0.0,,273.0,,0.0,,41.0,,0.0,,0.0,,0.0,,79.0,,0.0,,0
143.0,U. Toledo,393.0,,0.0,,0.0,,393.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
145.0,"U. Maryland, Baltimore",383.0,,0.0,,0.0,,383.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
146.0,Oregon Health and Science U.,381.0,,0.0,,0.0,,381.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
147.0,"U. Illinois, Chicago",377.0,,0.0,,0.0,,368.0,,0.0,,0.0,,0.0,,0.0,,0.0,,9.0,,0.0,,0
148.0,California Institute of Technology,373.0,,0.0,,0.0,,373.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
149.0,New Jersey Institute of Technology,370.0,,0.0,,0.0,,0.0,,0.0,,144.0,,0.0,,0.0,,0.0,,226.0,,0.0,,0
150.0,Illinois Institute of Technology,364.0,,0.0,,0.0,,364.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
151.0,"U. South Florida, Tampa",350.0,,0.0,,6.0,,323.0,,0.0,,0.0,,0.0,,0.0,,0.0,,18.0,,3.0,,0
