Table 1-45: Air Passenger Travel Arrivals in the United States from Selected Foreign Countries (Thousands of passengers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,336,468,606,878,796,930,"1,045","1,114","1,090","1,130","1,155","1,260","1,405","1,578","1,487","1,411","1,706","1,868","2,026","2,156","2,145","2,075","2,154","2,336","2,313","2,546","2,696","3,029","3,312"
South Korea,105,234,390,849,871,"1,027","1,106","1,306","1,431","1,611","1,629","1,146","1,191","1,454","1,269","1,257","1,207","1,388","1,448","1,537","1,694","1,730","1,677","1,911","2,101","2,300","2,496","2,664","2,851"
Brazil,212,300,352,635,670,702,776,909,"1,087","1,234","1,371","1,382","1,205","1,369","1,137",992,964,991,"1,128","1,157","1,207","1,315","1,432","1,736","1,991","2,214","2,482","2,688","2,709"
Netherlands,312,427,583,903,931,"1,040","1,265","1,406","1,515","1,771","1,999","2,130","2,316","2,403","2,178","2,138","2,078","2,226","2,345","2,283","2,377","2,480","2,171","2,172","2,244","2,250","2,376","2,367","2,470"
Jamaica,457,429,707,991,927,973,"1,044","1,056","1,118","1,140","1,190","1,194","1,213","1,313","1,254","1,239","1,265","1,317","1,361","1,541","1,437","1,448","1,423","1,493","1,555","1,560","1,541","1,613","1,705"
Italy,431,537,662,745,669,872,883,956,959,"1,010","1,035","1,047","1,206","1,511","1,265","1,061",987,"1,265","1,331","1,394","1,508","1,425","1,330","1,370","1,332","1,282","1,303","1,490","1,586"
Colombia,173,315,279,297,286,314,349,397,441,480,580,598,650,699,679,597,608,670,723,790,854,915,985,"1,149","1,127","1,245","1,400","1,467","1,580"
Hong Kong,98,228,270,348,356,444,492,541,633,666,665,687,689,709,722,698,511,777,987,"1,081","1,134","1,110","1,042","1,148","1,168","1,210","1,191","1,407","1,500"
Spain,306,312,419,584,497,637,608,616,642,660,696,763,857,939,830,793,790,864,867,866,"1,009","1,125","1,199","1,328","1,460","1,390","1,321","1,381","1,494"
Australia,106,227,277,456,503,475,471,448,513,569,565,573,633,808,699,687,650,724,796,850,873,794,982,"1,111","1,187","1,261","1,360","1,360","1,447"
Panama,97,150,180,199,209,198,210,239,240,236,268,313,336,384,374,369,378,405,442,489,567,656,710,772,856,"1,048","1,181","1,370","1,428"
The Bahamas,758,"1,123","1,503","1,033",906,691,786,743,825,876,814,"1,087","1,191","1,281","1,219","1,216","1,454","1,493","1,565","1,580","1,519","1,405","1,270","1,303","1,223","1,327","1,246","1,296","1,283"
Ireland,220,220,274,349,277,411,391,440,445,552,597,573,754,847,800,681,787,838,914,995,"1,085","1,093",974,878,898,912,"1,042","1,125","1,250"
Switzerland,236,312,452,617,528,550,595,665,714,769,812,944,991,"1,067",921,722,693,706,715,727,821,828,804,923,972,"1,002","1,030",998,"1,034"
Israel,84,189,294,148,154,196,242,280,357,395,338,418,478,513,371,331,356,469,529,623,681,646,665,740,714,697,710,698,703
Belgium,144,242,281,469,388,339,396,368,364,400,522,622,708,752,600,275,275,355,379,365,441,568,536,556,569,546,565,602,615
Haiti,91,133,192,244,221,154,199,120,297,298,281,300,319,296,303,341,364,301,283,303,389,420,415,413,486,547,517,562,594
Denmark,222,267,241,326,256,269,269,254,227,221,248,206,206,225,236,314,319,341,309,350,383,376,315,335,302,265,308,398,434
Venezuela,205,533,248,411,470,566,652,679,763,657,709,791,866,806,730,588,478,636,661,609,605,551,474,537,589,657,736,484,428
Cayman Islands,25,121,173,145,252,262,313,329,338,345,342,364,353,365,346,306,299,290,200,303,336,358,326,334,349,351,376,403,415
Philippines,108,194,145,224,259,265,274,272,279,294,301,217,259,348,344,361,328,395,404,408,433,431,409,457,427,417,417,414,407
Bermuda,398,497,434,482,430,406,443,440,406,421,416,404,397,382,328,332,310,338,338,367,380,342,320,307,302,294,302,284,283
Barbados,76,135,216,270,257,213,221,229,260,244,268,226,201,214,216,231,233,255,257,260,236,224,197,219,223,212,202,193,225
Greece,121,208,187,117,63,114,146,181,206,221,188,184,180,194,134,112,98,128,133,162,208,220,176,158,137,88,61,77,104
Netherlands Antilles,213,327,407,366,291,271,340,361,339,269,330,337,328,324,340,333,367,388,416,443,454,479,454,384,0,0,0,0,0
KEY:  N = data does not exist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Country where passenger boarded a direct flight to the United States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data includes passengers on international commercial flights arriving at U.S. airports and only from foreign ports to U.S. ports and, Puerto Rico, Guam, or the Virgin Islands, and other U.S. territories. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data compiled from flight reports required by the U.S. Department of Transportation. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total arriving passengers for 1975, 1980, and 1985 does not include Canada. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals and all selected countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975, 1980, and 1985: U.S. Department of Transportation, Research and Special Programs Administration, Volpe National Transportation Systems Center, U.S. International Air Travel Statistics (Cambridge, MA: Annual issues), table IId. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2015: U.S. Department of Transportation, Bureau of Transportation Statistics, TranStats, Air Carriers data, T-100 International Segment (All Carriers), available at www.transtats.bts.gov as of June 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
