Table 1-72:  Annual Highway Congestion Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban area,Population group,Annual congestion cost per auto commuter (2014 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual congestion cost (2014 dollars- millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Value,,,,,,,,,,,,,,,,,Rank,,,,,,,,,,,,,,,,,Value,,,,,,,,,,,,,,,,,Rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleveland, OH",Large,"1,153","1,135","1,089","1,051","1,012",986,"1,030",997,960,954,934,902,916,913,902,896,887,12,14,25,33,39,49,44,51,59,61,63,59,56,55,57,60,61,"1,360","1,339","1,284","1,239","1,193","1,163","1,215","1,175","1,132","1,125","1,102","1,064","1,081","1,077","1,064","1,056","1,046",22,25,27,28,30,30,30,30,31,31,32,32,32,33,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado Springs, CO",Medium,724,752,777,771,773,783,788,787,779,794,775,786,782,769,758,752,772,69,71,70,73,75,75,77,78,79,78,77,77,78,77,77,78,78,334,347,358,356,356,361,363,363,359,366,358,362,361,355,350,347,356,69,70,70,71,71,71,71,72,72,72,72,71,71,71,71,73,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, SC",Medium,557,631,687,707,734,773,811,845,904,998,"1,003",984,975,953,958,956,951,84,80,77,77,79,78,76,73,68,52,46,43,45,47,45,46,47,240,271,295,304,316,332,349,364,389,429,432,423,419,410,412,411,409,76,76,76,76,75,75,72,71,70,67,66,64,64,64,65,64,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbus, OH",Large,827,859,880,919,945,959,962,955,950,935,911,887,908,894,928,943,933,52,56,55,51,51,54,57,60,63,65,65,64,59,59,52,49,49,817,848,869,908,933,947,950,943,938,923,899,876,896,883,917,931,921,40,39,39,39,42,41,43,43,41,41,43,43,42,42,41,40,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corpus Christi, TX",Small,649,648,642,644,646,638,637,625,626,632,618,645,647,635,676,701,697,77,78,80,85,87,88,90,91,91,91,90,88,87,88,88,86,86,167,166,165,165,166,164,164,161,161,162,159,166,166,163,174,180,179,85,87,87,91,92,92,92,93,94,94,93,90,92,92,91,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX",Very large,"1,086","1,130","1,145","1,149","1,159","1,203","1,247","1,289","1,330","1,329","1,182","1,128","1,140","1,154","1,182","1,190","1,185",17,16,16,18,21,18,16,15,13,12,18,22,21,20,14,14,14,"3,853","4,009","4,060","4,075","4,112","4,267","4,424","4,570","4,716","4,713","4,192","4,002","4,042","4,093","4,192","4,220","4,202",7,7,7,8,9,9,8,7,5,5,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayton, OH",Medium,724,746,752,768,774,774,725,696,688,684,651,606,615,603,596,593,590,69,72,74,74,74,77,84,87,88,88,89,91,91,91,91,91,91,425,438,441,450,454,454,426,408,404,401,382,356,361,354,350,348,346,61,61,62,62,62,63,65,66,67,68,71,72,71,72,71,72,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denver-Aurora, CO",Large,866,929,981,"1,048","1,118","1,133","1,170","1,175","1,159","1,136","1,089","1,082","1,092","1,066","1,091","1,109","1,101",47,43,39,34,30,29,26,22,25,28,31,28,27,28,26,25,28,"1,620","1,738","1,835","1,961","2,093","2,120","2,189","2,199","2,168","2,126","2,038","2,024","2,043","1,994","2,041","2,075","2,061",18,18,17,17,17,17,18,18,18,18,18,17,17,18,18,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Detroit, MI",Very large,"1,607","1,619","1,597","1,603","1,604","1,579","1,551","1,514","1,473","1,438","1,324","1,177","1,177","1,172","1,174","1,165","1,183",4,5,6,6,6,6,8,8,8,8,9,14,18,16,16,18,15,"4,774","4,809","4,746","4,763","4,766","4,691","4,607","4,499","4,376","4,274","3,933","3,496","3,496","3,482","3,488","3,462","3,514",4,4,5,5,5,5,7,9,9,8,9,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Paso, TX-NM",Medium,738,781,776,801,820,871,863,836,826,824,787,789,784,770,773,768,760,67,66,71,70,71,69,70,75,76,77,76,76,77,76,76,77,79,426,451,448,463,474,503,498,483,477,476,455,456,453,445,447,444,439,60,59,60,59,58,58,58,59,60,60,62,61,62,62,62,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
