Table 1-47:  U.S.-Canadian Border Land-Passenger Gateways: Entering the United States,,,,,,,,,,,,,,,,,,,,,,,,,
All U.S.-Canadian land gateways,2002,2003,,2004,,2005,,2006,,2007,,2008,,,,,,,,,,,,,
All pedestrians,"379,902",All pedestrians,"395,103",All pedestrians,"406,685",All pedestrians,"426,981",All pedestrians,"417,094",All pedestrians,"423,605",All pedestrians,"428,147",,,,,,,,,,,,
All train passengers,"217,833",All train passengers,"254,536",All train passengers,"276,730",All train passengers,"269,048",All train passengers,"279,477",All train passengers,"(R) 283,213",All train passengers,"286,090",,,,,,,,,,,,
All buses,"116,355",All buses,"116,064",All buses,"113,932",All buses,"108,021",All buses,"106,152",All buses,"(R) 103,748",All buses,"96,160",,,,,,,,,,,,
Personal vehicle passengers – top 5 gateways,,,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo-Niagara Falls, NY","11,817,527","Buffalo-Niagara Falls, NY","11,917,742","Buffalo-Niagara Falls, NY","12,687,201","Buffalo-Niagara Falls, NY","13,062,312","Buffalo-Niagara Falls, NY","12,553,685","Buffalo-Niagara Falls, NY","11,617,483","Buffalo-Niagara Falls, NY","10,488,584",,,,,,,,,,,,
"Detroit, MI","7,270,765","Detroit, MI","7,217,693","Blaine, WA","8,312,888","Blaine, WA","9,121,154","Blaine, WA","9,736,188","Blaine, WA","9,711,226","Blaine, WA","8,153,216",,,,,,,,,,,,
"Blaine, WA","5,966,409","Blaine, WA","6,996,337","Detroit, MI","7,202,633","Detroit, MI","7,326,327","Detroit, MI","7,315,039","Detroit, MI","7,049,603","Detroit, MI","6,916,029",,,,,,,,,,,,
"Port Huron, MI","3,319,652","Port Huron, MI","3,442,631","Port Huron, MI","3,768,493","Port Huron, MI","3,946,252","Port Huron, MI","4,018,331","Port Huron, MI","3,864,165","Port Huron, MI","3,209,591",,,,,,,,,,,,
"Champlain-Rouses Point, NY","2,198,127","Champlain-Rouses Point, NY","2,238,864","Champlain-Rouses Point, NY","2,402,487","Champlain-Rouses Point, NY","2,581,591","Champlain-Rouses Point, NY","2,635,060","Champlain-Rouses Point, NY","2,561,398","Champlain-Rouses Point, NY","2,316,270",,,,,,,,,,,,
Personal vehicles – top 5 gateways,,,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo-Niagara Falls, NY","5,291,623","Buffalo-Niagara Falls, NY","5,477,863","Buffalo-Niagara Falls, NY","5,912,282","Buffalo-Niagara Falls, NY","6,072,382","Buffalo-Niagara Falls, NY","5,847,483","Buffalo-Niagara Falls, NY","5,446,904","Buffalo-Niagara Falls, NY","4,902,293",,,,,,,,,,,,
"Detroit, MI","4,082,030","Detroit, MI","4,051,434","Blaine, WA","4,288,924","Blaine, WA","4,730,705","Blaine, WA","4,977,947","Blaine, WA","4,873,847","Blaine, WA","4,234,824",,,,,,,,,,,,
"Blaine, WA","2,842,631","Blaine, WA","3,365,754","Detroit, MI","4,174,337","Detroit, MI","4,165,732","Detroit, MI","4,129,032","Detroit, MI","4,027,427","Detroit, MI","4,046,472",,,,,,,,,,,,
"Port Huron, MI","1,570,273","Port Huron, MI","1,651,107","Port Huron, MI","1,842,632","Port Huron, MI","1,981,177","Port Huron, MI","2,037,430","Port Huron, MI","1,975,750","Port Huron, MI","1,618,685",,,,,,,,,,,,
"Champlain-Rouses Point, NY","1,040,154","Calais, ME","1,054,681","Point Roberts, WA","1,093,910","Point Roberts, WA","1,169,632","Lynden, WA","(R) 1,365,458","Point Roberts, WA","1,190,183","Champlain-Rouses Point, NY","1,030,395",,,,,,,,,,,,
Bus passengers – top 5 gateways,,,,,,,,,,,,,,,,,,,,,,,,,
